date,open,high,low,close,volume
2024-01-30,21.07,21.07,20.97,21.07,9900
2024-01-31,21.26,21.26,20.78,20.78,9692
2024-02-01,21.17,21.17,20.97,21.17,1900
2024-02-02,20.97,21.65,20.97,21.55,2618
2024-02-05,21.36,21.75,21.36,21.65,3201
2024-02-06,19.81,22.13,19.81,21.17,5000
2024-02-07,21.07,21.36,20.97,21.36,2506
2024-02-15,21.17,21.75,21.17,21.55,2932
2024-02-16,21.65,22.13,21.65,22.13,6004
2024-02-19,21.07,22.23,21.07,22.04,9700
2024-02-20,22.04,22.04,21.65,22.04,705
2024-02-21,21.75,21.84,21.65,21.65,5825
2024-02-22,21.75,21.75,21.46,21.46,2200
2024-02-23,21.26,21.75,21.26,21.75,2700
2024-02-26,21.46,21.46,21.36,21.46,8700
2024-02-27,21.17,21.65,21.17,21.46,1303
2024-02-28,21.17,21.84,21.17,21.84,16000
2024-02-29,21.75,21.75,21.46,21.65,4300
2024-03-01,21.65,21.65,20.97,21.65,8800
2024-03-04,21.36,22.13,21.26,21.65,6301
2024-03-05,21.55,21.55,21.46,21.55,12000
2024-03-06,21.94,21.94,21.26,21.36,8000
2024-03-07,21.26,21.65,21.26,21.65,3600
2024-03-08,21.65,21.65,21.17,21.36,1400
2024-03-11,21.26,21.26,21.17,21.26,2408
2024-03-12,20.78,21.65,20.78,21.65,13500
2024-03-13,21.07,21.36,21.07,21.36,2200
2024-03-14,21.26,21.65,21.26,21.55,26200
2024-03-15,21.26,21.65,21.26,21.65,2150
2024-03-18,21.55,21.65,21.26,21.26,10610
2024-03-19,21.36,21.55,21.26,21.55,2900
2024-03-20,21.65,21.65,21.46,21.65,26948
2024-03-21,21.65,21.65,21.17,21.55,12100
2024-03-22,21.46,22.13,21.46,22.04,5000
2024-03-25,22.13,22.13,21.75,21.75,24710
2024-03-26,22.13,22.23,21.75,22.04,32015
2024-03-27,21.94,22.04,21.84,22.04,4600
2024-03-28,21.55,21.94,21.46,21.94,5331
2024-03-29,21.55,22.52,21.55,22.04,5620
2024-04-01,22.23,22.23,21.75,21.75,2402
2024-04-02,21.75,21.84,21.55,21.84,2100
2024-04-03,21.65,21.75,21.65,21.65,11820
2024-04-04,21.65,21.65,21.46,21.55,4400
2024-04-05,21.55,21.55,21.26,21.26,9800
2024-04-08,21.26,21.26,21.07,21.26,4000
2024-04-09,21.17,21.17,21.17,21.17,500
2024-04-10,21.07,21.17,21.07,21.17,1400
2024-04-11,21.17,21.17,20.88,20.88,817
2024-04-12,20.97,22.13,20.97,22.13,2500
2024-04-15,22.13,22.13,20.78,20.78,6400
2024-04-16,20.59,20.59,20.59,20.59,4700
2024-04-17,21.07,21.07,18.46,20.39,5800
2024-04-19,20.39,20.39,20.2,20.2,5500
2024-04-22,20.59,20.68,20.49,20.59,9500
2024-04-23,20.59,20.78,19.72,19.81,10210
2024-04-24,20.78,20.78,20.2,20.2,4407
2024-04-25,20.68,21.07,20.39,21.07,15200
2024-04-26,20.39,21.07,20.39,21.07,3700
2024-05-02,20.97,20.97,20.97,20.97,300
2024-05-03,21.94,21.94,21.17,21.55,2106
2024-05-06,20.78,21.55,20.78,21.55,700
2024-05-07,20.88,20.88,20.88,20.88,1200
2024-05-08,21.65,21.65,20.59,20.97,1690
2024-05-09,21.07,21.26,21.07,21.26,2300
2024-05-10,21.17,21.17,20.88,20.88,10100
2024-05-13,21.07,21.17,21.07,21.07,4200
2024-05-14,20.88,21.17,19.81,21.17,1804
2024-05-15,20.78,21.26,20.78,21.17,2118
2024-05-16,20.97,21.26,20.97,21.26,10412
2024-05-17,21.07,21.36,20.97,21.36,14400
2024-05-20,21.07,21.65,21.07,21.26,24100
2024-05-21,21.46,21.84,21.46,21.84,19701
2024-05-22,21.84,22.52,21.75,21.75,95200
2024-05-23,22.04,22.71,21.75,22.04,29302
2024-05-24,21.94,21.94,21.26,21.36,14600
2024-05-27,20.3,21.26,20.3,21.26,45300
2024-05-28,21.17,22.13,21.17,21.36,16200
2024-05-29,21.36,21.94,21.36,21.75,21100
2024-05-30,21.36,21.75,21.36,21.46,13705
2024-05-31,21.55,21.75,21.07,21.17,17800
2024-06-03,21.26,21.55,21.26,21.46,16600
2024-06-04,21.36,21.94,21.26,21.46,18600
2024-06-05,21.65,22.13,21.65,21.75,35000
2024-06-06,21.84,23.78,21.84,23.78,687143
2024-06-07,24.19,25.76,24.09,25.56,242418
2024-06-10,25.56,28.02,25.56,27.14,386150
2024-06-11,27.53,27.73,25.56,25.96,171638
2024-06-12,25.96,26.05,25.07,25.96,189364
2024-06-13,25.96,26.94,25.56,26.15,134000
2024-06-14,26.55,26.74,25.56,25.56,178646
2024-06-17,25.96,27.73,25.96,27.73,190223
2024-06-18,27.33,29.4,27.33,28.71,160671
2024-06-19,29.2,29.4,27.82,28.61,92096
2024-06-20,28.51,29.5,28.41,29.5,281151
2024-06-21,28.91,31.27,28.91,31.07,195514
2024-06-24,31.17,31.17,28.41,28.41,227792
2024-06-25,28.32,29.5,27.92,28.61,137352
2024-06-26,29.0,30.38,28.91,29.69,95583
2024-06-27,29.5,31.17,29.5,30.09,197527
2024-06-28,30.48,30.48,28.91,29.59,152850
2024-07-01,29.79,30.38,27.73,27.82,164450
2024-07-02,28.32,28.51,27.53,27.63,163834
2024-07-03,28.02,28.71,27.53,28.02,127012
2024-07-04,28.22,29.3,28.22,29.0,193170
2024-07-05,28.61,29.99,28.61,29.0,213319
