date,open,high,low,close,volume
2024-01-05,14.16,14.53,14.16,14.53,2168
2024-01-08,14.53,14.53,14.53,14.53,0
2024-01-09,14.53,14.53,14.53,14.53,0
2024-01-10,14.44,14.53,14.44,14.53,400
2024-01-11,14.53,14.53,14.53,14.53,5
2024-01-12,13.21,13.68,13.21,13.68,85420
2024-01-15,12.55,13.21,12.55,13.21,8687
2024-01-16,13.21,13.21,13.21,13.21,100
2024-01-17,12.65,13.21,12.65,13.21,148700
2024-01-18,13.21,13.21,12.83,13.21,68320
2024-01-19,13.68,13.68,13.68,13.68,125
2024-01-22,12.74,13.59,12.36,13.59,8815
2024-01-23,12.46,14.25,12.27,14.25,31300
2024-01-24,13.31,14.06,12.83,14.06,38310
2024-01-25,13.97,15.1,13.02,13.97,2000
2024-01-26,13.78,13.78,13.78,13.78,2000
2024-01-29,13.78,13.78,13.78,13.78,4848
2024-01-30,13.78,13.78,13.78,13.78,1327
2024-01-31,13.78,14.53,13.78,14.53,5400
2024-02-01,14.53,14.53,14.53,14.53,0
2024-02-02,14.53,14.63,14.53,14.63,2200
2024-02-05,14.63,14.63,14.63,14.63,0
2024-02-06,14.63,14.63,14.63,14.63,0
2024-02-07,14.53,14.63,14.53,14.63,4250
2024-02-15,14.63,14.63,14.63,14.63,0
2024-02-16,14.63,14.63,14.63,14.63,0
2024-02-19,14.34,14.34,14.34,14.34,600
2024-02-20,14.34,14.34,14.34,14.34,0
2024-02-21,14.34,14.34,14.34,14.34,104
2024-02-22,14.34,14.34,14.34,14.34,50
2024-02-23,14.34,14.34,14.34,14.34,0
2024-02-26,14.44,14.53,14.44,14.53,18000
2024-02-27,14.53,14.53,14.53,14.53,0
2024-02-28,13.68,14.53,13.68,14.53,1790
2024-02-29,14.16,14.63,14.16,14.63,1201
2024-03-01,14.34,14.63,14.34,14.63,3400
2024-03-04,14.53,14.63,14.53,14.63,2873
2024-03-05,14.16,14.63,14.16,14.63,3864
2024-03-06,13.5,14.91,13.31,14.91,1175
2024-03-07,14.91,14.91,14.91,14.91,810
2024-03-08,14.91,15.1,14.44,15.1,10900
2024-03-11,15.1,15.1,14.91,14.91,300
2024-03-12,15.0,15.0,15.0,15.0,300
2024-03-13,14.91,14.91,14.91,14.91,126
2024-03-14,13.78,14.82,13.78,14.82,4362
2024-03-15,14.82,14.82,14.82,14.82,100
2024-03-18,13.59,14.72,13.59,14.72,1453
2024-03-19,14.44,14.91,14.44,14.91,4800
2024-03-20,14.91,14.91,14.91,14.91,1002
2024-03-21,14.91,14.91,13.87,14.91,600
2024-03-22,14.91,16.04,14.91,16.04,4207
2024-03-25,16.04,16.04,16.04,16.04,0
2024-03-26,16.04,16.04,16.04,16.04,0
2024-03-27,16.04,16.04,16.04,16.04,0
2024-03-28,16.04,16.04,16.04,16.04,0
2024-03-29,16.04,16.04,16.04,16.04,0
2024-04-01,15.67,15.67,15.48,15.57,11500
2024-04-02,15.1,15.57,15.1,15.57,16486
2024-04-03,15.57,15.57,15.57,15.57,0
2024-04-04,15.57,15.57,15.57,15.57,10001
2024-04-05,15.48,15.76,15.48,15.76,5257
2024-04-08,15.76,15.76,15.76,15.76,100
2024-04-09,15.76,15.76,15.57,15.57,1100
2024-04-10,15.57,15.57,14.44,15.57,800
2024-04-11,15.57,15.57,15.57,15.57,900
2024-04-12,14.72,15.57,14.72,15.57,800
