date,open,high,low,close,volume
2023-08-31,24.23,24.23,24.23,24.23,0
2023-09-05,24.23,24.23,24.23,24.23,0
2023-09-06,24.23,24.23,24.23,24.23,0
2023-09-07,24.23,24.23,24.23,24.23,2000
2023-09-08,24.23,24.23,24.23,24.23,0
2023-09-11,24.23,24.23,24.23,24.23,0
2023-09-12,24.23,24.23,24.23,24.23,0
2023-09-13,23.4,23.4,23.3,23.3,400
2023-09-14,23.3,23.3,23.3,23.3,400
2023-09-15,19.85,23.3,19.85,23.3,400
2023-09-18,22.46,22.46,22.46,22.46,0
2023-09-19,19.11,22.46,19.11,22.46,420
2023-09-20,22.93,22.93,22.93,22.93,100
2023-09-21,19.57,19.57,19.57,19.57,100
2023-09-22,19.57,19.57,19.57,19.57,0
2023-09-25,22.09,22.09,22.09,22.09,100
2023-09-26,22.09,22.09,22.09,22.09,0
2023-09-27,22.09,22.09,22.09,22.09,0
2023-09-28,22.09,22.09,22.09,22.09,1
2023-09-29,22.09,22.09,22.09,22.09,0
2023-10-02,22.09,22.09,22.09,22.09,0
2023-10-03,22.09,22.09,22.09,22.09,0
2023-10-04,22.09,22.09,22.09,22.09,0
2023-10-05,22.09,22.09,22.09,22.09,22
2023-10-06,22.09,22.09,22.09,22.09,0
2023-10-09,22.09,22.09,22.09,22.09,0
2023-10-10,21.44,21.44,21.44,21.44,1600
2023-10-11,21.44,21.44,21.44,21.44,0
2023-10-12,21.44,21.44,21.44,21.44,0
2023-10-13,21.44,21.44,21.44,21.44,0
2023-10-16,21.44,21.44,21.44,21.44,0
2023-10-17,21.44,21.44,21.44,21.44,0
2023-10-18,21.44,21.44,21.44,21.44,0
2023-10-19,21.44,21.44,21.44,21.44,0
2023-10-20,21.44,21.44,21.44,21.44,0
2023-10-23,21.44,21.44,21.44,21.44,1
2023-10-24,21.44,21.44,21.44,21.44,0
2023-10-25,21.44,21.44,21.44,21.44,0
2023-10-26,21.44,21.44,21.44,21.44,0
2023-10-27,21.44,21.44,21.44,21.44,0
2023-10-30,21.44,21.44,21.44,21.44,0
2023-10-31,21.44,21.44,21.44,21.44,0
2023-11-01,21.44,21.44,21.44,21.44,0
2023-11-02,21.44,21.44,21.44,21.44,0
2023-11-03,21.44,21.44,21.44,21.44,0
2023-11-06,21.44,21.44,21.44,21.44,200
2023-11-07,21.44,21.44,21.44,21.44,500
2023-11-08,21.44,21.44,21.44,21.44,1100
2023-11-09,19.29,19.29,19.29,19.29,100
2023-11-10,19.29,19.29,19.29,19.29,0
2023-11-13,19.29,19.29,19.29,19.29,0
2023-11-14,19.29,19.29,19.29,19.29,0
2023-11-15,19.29,19.29,19.29,19.29,0
2023-11-16,19.29,19.29,19.29,19.29,0
2023-11-17,19.29,19.29,19.29,19.29,0
2023-11-20,19.29,19.29,19.29,19.29,0
2023-11-21,19.29,19.29,19.29,19.29,0
2023-11-22,19.29,19.29,19.29,19.29,0
2023-11-23,19.29,19.29,19.29,19.29,0
2023-11-24,19.29,19.29,19.29,19.29,0
2023-11-27,19.29,19.29,19.29,19.29,0
2023-11-28,19.29,19.29,19.29,19.29,0
2023-11-29,19.29,19.29,19.29,19.29,0
2023-11-30,19.29,19.29,19.29,19.29,0
2023-12-01,19.29,19.29,19.29,19.29,0
2023-12-04,19.29,19.29,19.29,19.29,0
2023-12-05,19.29,19.29,19.29,19.29,0
2023-12-06,19.29,19.29,19.29,19.29,0
2023-12-07,19.29,19.29,19.29,19.29,0
2023-12-08,19.29,19.29,19.29,19.29,0
2023-12-11,19.29,19.29,19.29,19.29,0
2023-12-12,19.39,20.51,19.39,20.51,201
2023-12-13,20.51,20.51,20.51,20.51,500
2023-12-14,20.51,20.51,20.51,20.51,0
2023-12-15,20.51,20.51,20.51,20.51,0
2023-12-18,20.51,20.51,20.51,20.51,0
2023-12-19,20.51,20.51,20.51,20.51,0
2023-12-20,23.58,23.58,23.58,23.58,100
2023-12-21,20.97,20.97,20.97,20.97,100
2023-12-22,20.97,20.97,20.97,20.97,6400
2023-12-25,23.95,23.95,23.95,23.95,100
2023-12-26,20.97,24.23,20.97,24.23,222
2023-12-27,21.07,24.14,21.07,24.14,300
