date,open,high,low,close,volume
2024-01-30,29.05,29.24,28.86,29.24,103246
2024-01-31,29.43,30.47,29.43,29.81,330628
2024-02-01,29.71,30.09,29.52,29.9,117702
2024-02-02,29.99,30.65,29.71,29.71,156780
2024-02-05,29.81,29.81,29.24,29.71,145106
2024-02-06,29.71,29.81,29.24,29.43,97976
2024-02-07,29.71,29.9,29.43,29.81,102875
2024-02-15,29.81,30.75,29.81,30.56,357584
2024-02-16,30.75,30.75,30.37,30.56,178972
2024-02-19,30.94,31.88,30.65,31.32,421475
2024-02-20,31.6,31.6,30.75,31.03,188837
2024-02-21,31.32,31.32,30.56,30.94,109429
2024-02-22,30.94,31.13,30.56,30.84,156238
2024-02-23,30.84,31.03,29.71,30.18,330066
2024-02-26,30.09,30.18,29.81,29.99,149841
2024-02-27,29.99,30.47,29.9,30.37,143978
2024-02-28,30.37,31.32,30.37,30.75,253497
2024-02-29,30.94,30.94,30.18,30.18,104601
2024-03-01,30.18,31.5,30.18,31.32,462734
2024-03-04,31.6,31.98,31.22,31.5,209078
2024-03-05,31.69,31.69,30.75,30.94,250309
2024-03-06,30.94,31.03,30.09,30.37,273179
2024-03-07,30.28,30.65,30.28,30.28,194455
2024-03-08,30.28,30.56,29.81,29.81,256584
2024-03-11,29.9,30.09,29.62,29.71,126674
2024-03-12,29.52,29.81,29.43,29.62,145010
2024-03-13,29.81,30.37,29.71,30.18,109395
2024-03-14,30.37,30.84,29.99,30.28,221913
2024-03-15,30.28,30.84,30.18,30.65,191650
2024-03-18,30.56,30.84,28.96,29.52,297359
2024-03-19,29.71,30.18,29.62,29.99,124611
2024-03-20,29.99,30.18,29.71,29.9,83372
2024-03-21,30.37,30.47,29.9,29.99,132395
2024-03-22,30.18,31.98,30.09,31.98,906076
2024-03-25,31.98,33.48,31.98,32.73,750639
2024-03-26,33.01,33.48,32.45,32.73,427094
2024-03-27,33.01,33.2,32.45,32.73,302162
2024-03-28,32.73,33.01,32.16,32.26,285149
2024-03-29,32.16,32.82,32.07,32.45,255711
2024-04-01,32.26,32.73,31.69,32.45,289508
2024-04-02,32.45,33.58,32.16,33.2,544507
2024-04-03,33.3,33.67,32.35,32.35,390991
2024-04-04,32.35,32.64,31.5,31.79,294310
2024-04-05,31.98,32.64,31.22,31.79,348077
2024-04-08,31.79,32.07,30.75,30.75,311349
2024-04-09,30.75,31.03,30.37,31.03,199005
2024-04-10,31.03,31.13,30.18,30.28,242179
2024-04-11,30.09,30.47,29.71,30.18,217988
2024-04-12,30.65,30.65,29.71,30.09,187811
2024-04-15,30.09,30.75,27.45,27.45,316294
2024-04-16,27.45,27.92,26.41,27.64,288653
2024-04-17,27.73,28.11,26.88,26.88,272691
2024-04-19,26.88,26.88,25.28,25.28,413707
2024-04-22,25.66,26.69,25.66,26.41,138443
2024-04-23,26.79,26.79,25.47,25.66,269671
2024-04-24,25.66,26.88,25.66,26.79,203824
2024-04-25,26.79,26.88,26.32,26.6,64601
2024-04-26,26.32,26.69,26.13,26.5,110775
2024-05-02,26.41,26.69,26.22,26.41,97742
2024-05-03,26.69,26.69,26.41,26.41,164507
2024-05-06,26.41,27.16,26.22,27.16,305187
2024-05-07,27.45,27.45,27.16,27.16,128137
2024-05-08,27.26,28.11,26.88,26.98,456572
2024-05-09,27.35,27.64,26.6,26.6,267643
2024-05-10,26.69,27.35,26.13,26.6,484797
2024-05-13,26.88,26.88,26.03,26.32,263548
2024-05-14,26.22,26.69,26.22,26.32,190661
2024-05-15,26.32,26.79,25.66,26.6,293585
2024-05-16,26.88,27.35,26.79,26.98,320119
2024-05-17,27.16,27.83,26.98,27.45,525720
2024-05-20,27.64,28.96,27.64,27.92,408776
2024-05-21,28.11,28.11,27.26,27.64,319058
2024-05-22,27.73,28.49,27.64,27.83,586522
2024-05-23,28.3,29.99,27.92,29.81,1600228
2024-05-24,29.81,31.13,28.58,29.24,1123403
2024-05-27,29.24,30.09,28.86,29.05,605348
2024-05-28,29.99,30.94,28.96,29.33,548701
2024-05-29,29.33,30.18,28.96,28.96,741142
2024-05-30,28.96,29.62,28.11,28.3,730549
2024-05-31,28.39,29.05,28.01,28.2,532658
2024-06-03,28.67,29.33,28.39,29.24,649019
2024-06-04,30.22,30.22,28.85,28.85,578669
2024-06-05,28.85,29.24,28.36,28.55,431604
2024-06-06,28.55,28.95,28.06,28.45,265360
2024-06-07,28.45,28.65,28.36,28.36,238651
2024-06-10,28.45,29.04,28.26,28.45,367230
2024-06-11,28.45,28.65,27.77,28.45,526429
2024-06-12,28.26,28.45,27.87,28.36,312059
2024-06-13,28.36,28.75,28.06,28.16,350150
2024-06-14,28.36,29.14,28.06,28.06,578764
2024-06-17,28.06,28.06,27.28,27.38,388566
2024-06-18,27.38,27.67,27.38,27.47,269594
2024-06-19,27.47,27.47,26.69,26.88,469179
2024-06-20,27.08,27.28,26.79,27.28,270890
2024-06-21,27.28,27.47,27.18,27.28,170005
2024-06-24,27.47,27.57,26.39,26.39,336470
2024-06-25,26.39,26.69,26.1,26.3,221868
2024-06-26,26.3,26.59,26.0,26.49,115300
2024-06-27,26.49,26.69,26.2,26.3,104111
2024-06-28,26.3,26.59,26.0,26.0,136831
2024-07-01,26.2,26.88,25.71,26.88,184768
2024-07-02,26.88,26.98,26.49,26.98,133105
2024-07-03,27.18,27.18,26.69,26.98,95763
2024-07-04,26.88,27.08,26.49,26.98,185960
2024-07-05,26.98,26.98,26.59,26.69,136508
2024-07-08,26.98,26.98,26.49,26.49,156720
2024-07-09,26.69,27.77,26.3,27.77,390093
2024-07-10,27.87,28.06,27.28,27.28,371958
2024-07-11,27.57,27.57,26.98,26.98,200258
2024-07-12,27.08,27.18,26.88,26.88,139156
2024-07-15,26.98,27.38,26.49,26.59,569568
2024-07-16,26.39,26.79,25.9,25.9,632250
2024-07-17,25.9,26.2,25.12,25.41,391845
2024-07-18,25.51,25.61,24.73,25.31,239037
2024-07-19,25.51,25.9,25.02,25.71,251902
2024-07-22,25.71,25.9,24.92,25.41,238918
2024-07-23,25.51,25.61,25.02,25.12,106737
2024-07-24,25.12,25.71,24.63,25.31,168879
2024-07-25,25.31,25.51,24.92,25.12,93146
2024-07-26,25.12,25.51,25.12,25.22,81484
2024-07-29,25.22,25.71,25.22,25.51,87200
2024-07-30,25.51,26.1,25.41,25.81,251874
2024-07-31,25.81,25.81,25.12,25.61,272048
2024-08-01,25.61,25.71,24.63,24.82,254275
2024-08-02,24.82,24.92,24.33,24.92,225902
2024-08-05,24.92,24.92,23.45,23.55,275521
2024-08-06,23.45,24.53,23.45,24.43,191921
2024-08-07,24.63,24.73,24.33,24.33,82462
2024-08-08,24.33,25.81,24.24,25.02,288819
2024-08-09,25.51,25.51,25.12,25.12,72379
2024-08-12,25.41,25.61,25.12,25.41,103535
2024-08-13,25.51,25.51,25.02,25.31,58053
2024-08-14,25.51,25.71,25.12,25.22,80639
2024-08-15,25.51,25.71,25.12,25.22,97126
2024-08-16,25.51,26.1,25.31,25.71,324462
2024-08-19,25.71,26.1,25.71,26.1,148234
2024-08-20,26.2,26.3,25.81,26.0,215817
2024-08-21,26.0,26.49,25.81,26.1,208463
2024-08-22,26.0,26.0,25.71,25.81,85864
2024-08-23,25.71,25.9,25.51,25.71,84268
2024-08-26,25.71,26.1,25.51,25.61,108070
2024-08-27,25.51,26.0,25.22,25.61,106066
2024-08-28,25.51,25.71,25.12,25.41,88343
2024-08-29,25.41,25.51,25.12,25.12,79091
2024-08-30,25.51,25.51,25.31,25.31,74675
2024-09-04,25.31,26.0,25.12,25.81,348451
2024-09-05,25.81,26.1,25.51,25.9,99608
2024-09-06,25.9,25.9,25.41,25.51,74820
2024-09-09,25.51,25.71,25.12,25.31,107824
2024-09-10,25.51,25.51,24.82,24.82,254040
2024-09-11,24.92,24.92,24.73,24.82,46540
2024-09-12,22.37,24.92,22.37,24.43,132080
2024-09-13,24.53,24.53,24.14,24.33,79162
2024-09-16,24.33,24.43,23.94,23.94,47537
2024-09-17,24.04,24.73,23.94,24.73,72862
2024-09-18,24.73,25.31,24.43,24.53,50173
2024-09-19,24.53,24.63,24.43,24.53,57245
2024-09-20,24.82,25.12,24.63,24.73,51713
2024-09-23,24.73,24.73,24.33,24.33,72811
2024-09-24,24.33,24.53,24.33,24.43,39040
2024-09-25,24.53,24.73,24.24,24.53,85512
2024-09-26,24.63,24.82,24.24,24.53,150652
2024-09-27,24.53,24.73,24.33,24.43,81992
2024-09-30,24.43,24.53,23.94,24.33,146893
2024-10-01,24.43,24.73,24.33,24.43,71170
2024-10-02,24.43,24.82,24.14,24.14,103410
2024-10-03,24.14,24.33,23.94,24.04,113377
2024-10-04,24.14,24.14,23.84,23.84,135455
2024-10-07,23.84,24.04,23.75,23.75,56602
2024-10-08,23.75,23.94,23.55,23.84,116341
2024-10-09,23.84,24.04,23.84,23.94,56935
2024-10-10,21.59,24.04,21.59,23.94,132308
2024-10-11,24.04,24.04,23.84,24.04,35335
2024-10-14,24.04,24.14,23.84,23.84,75348
2024-10-15,23.84,23.94,23.45,23.55,71643
2024-10-16,23.75,23.75,22.86,22.86,112483
2024-10-17,23.35,23.35,22.76,23.16,76563
