date,open,high,low,close,volume
2023-05-26,9.84,10.75,9.84,10.75,400
2023-05-29,10.3,10.8,10.0,10.8,1705
2023-05-30,10.1,11.15,10.05,11.15,2600
2023-05-31,10.4,10.95,10.4,10.95,3406
2023-06-01,10.2,10.2,10.2,10.2,2500
2023-06-02,10.3,10.3,10.3,10.3,400
2023-06-05,10.3,10.3,10.3,10.3,0
2023-06-06,10.3,10.3,10.3,10.3,0
2023-06-07,10.3,10.3,10.3,10.3,0
2023-06-08,10.0,10.5,10.0,10.3,606
2023-06-09,10.25,10.25,10.25,10.25,300
2023-06-12,10.25,10.25,10.25,10.25,1
2023-06-13,10.25,10.25,10.25,10.25,5
2023-06-14,9.58,9.58,9.58,9.58,500
2023-06-15,9.58,9.58,9.58,9.58,0
2023-06-16,9.69,9.7,9.59,9.59,605
2023-06-19,9.59,9.59,9.59,9.59,0
2023-06-20,9.59,9.59,9.26,9.59,2100
2023-06-21,9.79,9.8,9.79,9.8,201
2023-06-22,9.88,9.88,9.88,9.88,114
2023-06-23,9.8,9.9,9.8,9.8,400
2023-06-26,10.25,10.25,10.0,10.0,1000
2023-06-27,9.72,9.72,9.72,9.72,100
2023-06-28,9.72,9.72,9.72,9.72,0
2023-06-29,9.72,9.72,9.72,9.72,0
2023-06-30,9.6,9.6,9.6,9.6,300
2023-07-03,9.7,9.7,9.7,9.7,120
2023-07-04,9.8,9.81,9.8,9.8,600
2023-07-05,9.8,9.8,9.8,9.8,5
2023-07-06,9.8,9.8,9.8,9.8,0
2023-07-07,9.8,9.8,9.8,9.8,1
2023-07-10,9.12,10.25,9.12,10.25,600
2023-07-11,10.0,10.0,9.62,9.65,1700
2023-07-12,9.65,9.65,9.65,9.65,78
2023-07-13,9.7,9.7,9.5,9.5,700
2023-07-14,9.5,9.7,9.5,9.7,200
2023-07-17,9.11,9.8,9.11,9.7,3625
2023-07-18,9.9,9.9,9.6,9.6,4013
2023-07-19,9.03,9.03,9.03,9.03,100
2023-07-20,9.54,9.59,9.5,9.59,2020
2023-07-21,9.59,9.59,9.59,9.59,0
2023-07-24,9.68,9.68,9.68,9.68,500
2023-07-25,9.8,9.82,9.75,9.75,3445
2023-07-26,9.9,9.9,9.8,9.8,805
2023-07-27,9.8,9.8,9.8,9.8,100
2023-07-28,10.0,10.0,10.0,10.0,1100
2023-07-31,10.0,10.0,10.0,10.0,200
2023-08-01,10.0,10.0,10.0,10.0,7
2023-08-02,10.0,10.0,9.42,9.45,1225
2023-08-03,9.5,9.6,9.5,9.6,1100
2023-08-04,9.58,9.6,9.58,9.6,637
2023-08-07,9.6,9.6,9.6,9.6,107
2023-08-08,9.9,9.9,9.9,9.9,103
2023-08-09,9.9,9.9,9.9,9.9,56
2023-08-10,9.9,9.9,9.89,9.9,306
2023-08-11,9.9,9.9,9.9,9.9,0
2023-08-14,9.9,9.9,9.9,9.9,7
2023-08-15,9.9,9.9,9.9,9.9,1
2023-08-16,9.9,9.9,9.9,9.9,68
2023-08-17,9.9,9.9,9.9,9.9,1110
2023-08-18,9.9,9.9,9.8,9.8,325
2023-08-21,9.8,9.8,9.6,9.6,400
2023-08-22,9.0,9.0,9.0,9.0,107
2023-08-23,9.63,9.63,9.6,9.6,701
2023-08-24,9.6,9.6,9.6,9.6,0
2023-08-25,9.6,9.6,9.6,9.6,1
2023-08-28,9.5,9.5,9.5,9.5,301
2023-08-29,9.99,9.99,9.99,9.99,100
2023-08-30,9.6,9.6,9.6,9.6,1000
2023-08-31,9.6,9.6,9.6,9.6,0
2023-09-05,10.0,10.0,9.7,9.7,1850
2023-09-06,9.7,9.7,9.7,9.7,0
2023-09-07,9.05,9.06,9.04,9.05,1103
2023-09-08,9.68,9.68,9.67,9.67,305
2023-09-11,10.0,10.0,9.13,9.13,502
2023-09-12,9.13,9.15,9.13,9.15,308
2023-09-13,9.15,9.15,9.15,9.15,0
2023-09-14,9.5,9.5,9.5,9.5,110
2023-09-15,9.5,9.5,9.4,9.4,1100
2023-09-18,8.86,9.4,8.85,9.4,300
2023-09-19,9.5,9.5,9.4,9.4,600
2023-09-20,9.9,9.9,9.7,9.7,400
2023-09-21,9.03,9.5,9.03,9.3,450
2023-09-22,9.3,9.3,9.3,9.3,0
2023-09-25,9.3,9.3,9.3,9.3,0
2023-09-26,9.3,9.3,9.3,9.3,0
2023-09-27,8.71,9.9,8.71,9.9,1100
2023-09-28,9.79,9.79,9.79,9.79,100
2023-09-29,9.3,9.3,9.12,9.12,700
2023-10-02,8.5,9.69,8.5,9.69,200
2023-10-03,9.69,9.69,9.69,9.69,0
2023-10-04,9.69,9.69,9.69,9.69,0
2023-10-05,9.69,9.69,9.69,9.69,0
2023-10-06,9.02,9.02,9.02,9.02,500
2023-10-09,9.4,9.4,9.4,9.4,100
2023-10-10,9.9,9.9,9.9,9.9,100
2023-10-11,9.9,9.9,9.9,9.9,0
2023-10-12,9.21,10.0,9.21,10.0,201
2023-10-13,9.3,9.5,9.3,9.4,354
2023-10-16,9.3,9.3,8.81,8.81,300
2023-10-17,8.65,8.9,8.65,8.9,202
2023-10-18,8.9,8.9,8.9,8.9,0
2023-10-19,8.28,9.3,8.28,9.3,300
2023-10-20,9.9,9.9,9.88,9.9,7803
2023-10-23,10.2,10.2,9.3,9.3,1400
2023-10-24,8.65,9.7,8.65,9.7,200
2023-10-25,9.05,9.05,9.05,9.05,101
2023-10-26,8.5,8.51,8.5,8.5,1900
2023-10-27,8.11,9.0,8.11,9.0,400
2023-10-30,9.0,9.0,9.0,9.0,0
2023-10-31,8.5,8.5,8.5,8.5,100
2023-11-01,8.01,8.1,8.01,8.1,200
2023-11-02,8.1,8.1,8.1,8.1,0
2023-11-03,7.6,7.6,7.6,7.6,600
2023-11-06,8.05,8.05,8.05,8.05,400
2023-11-07,8.05,8.05,8.05,8.05,0
2023-11-08,8.05,8.05,8.05,8.05,600
2023-11-09,7.65,8.5,7.5,8.5,1903
2023-11-10,8.9,8.9,8.9,8.9,100
2023-11-13,9.3,9.3,9.3,9.3,100
2023-11-14,8.65,9.3,8.65,9.3,2300
2023-11-15,9.9,9.9,9.85,9.9,1100
2023-11-16,9.21,9.21,9.21,9.21,101
2023-11-17,9.21,9.21,8.57,9.0,1101
2023-11-20,8.38,8.38,8.38,8.38,100
2023-11-21,8.38,8.38,8.38,8.38,0
2023-11-22,7.9,8.9,7.8,8.9,1500
2023-11-23,8.9,8.9,8.9,8.9,11
2023-11-24,8.9,8.9,8.9,8.9,20
2023-11-27,8.9,8.9,8.9,8.9,100
2023-11-28,8.28,8.9,8.28,8.9,300
2023-11-29,8.9,8.9,8.9,8.9,0
2023-11-30,8.9,8.9,8.9,8.9,9
2023-12-01,9.13,9.13,9.13,9.13,100
2023-12-04,8.5,9.3,8.5,9.3,209
2023-12-05,9.3,9.3,9.3,9.3,0
2023-12-06,9.3,9.3,9.2,9.2,200
2023-12-07,9.2,9.2,9.2,9.2,0
2023-12-08,9.2,9.2,9.2,9.2,0
2023-12-11,9.2,9.2,9.2,9.2,0
2023-12-12,9.2,9.2,9.2,9.2,2
2023-12-13,9.2,9.2,9.2,9.2,1
2023-12-14,9.2,9.2,9.2,9.2,100
2023-12-15,9.2,9.2,9.2,9.2,0
2023-12-18,9.2,9.2,9.2,9.2,0
2023-12-19,9.2,9.2,9.2,9.2,0
2023-12-20,9.2,9.2,9.2,9.2,100
2023-12-21,9.2,9.2,9.2,9.2,0
2023-12-22,9.1,9.1,9.0,9.0,900
2023-12-25,9.0,9.0,9.0,9.0,0
2023-12-26,9.0,9.0,8.9,8.9,310
2023-12-27,8.9,8.9,8.9,8.9,0
2023-12-28,8.3,8.3,8.3,8.3,130
2023-12-29,8.3,8.3,8.3,8.3,0
2024-01-02,7.86,8.5,7.86,8.5,200
2024-01-03,7.95,8.9,7.91,8.9,1711
2024-01-04,8.9,8.9,8.9,8.9,0
2024-01-05,8.3,8.93,8.29,8.29,600
2024-01-08,8.09,8.54,8.09,8.54,500
2024-01-09,8.54,8.54,8.54,8.54,100
2024-01-10,8.62,9.13,8.62,9.13,6910
2024-01-11,9.76,9.76,8.53,9.5,5401
2024-01-12,10.0,10.1,8.85,10.0,2201
2024-01-15,9.3,10.0,9.3,10.0,2500
2024-01-16,9.3,9.5,9.3,9.5,200
