date,open,high,low,close,volume
2023-10-03,10.41,10.41,10.41,10.41,0
2023-10-04,10.58,10.58,10.58,10.58,100
2023-10-05,10.58,10.58,10.58,10.58,5
2023-10-06,10.58,10.58,10.58,10.58,1
2023-10-09,10.32,10.32,10.32,10.32,207
2023-10-10,10.06,10.15,10.06,10.15,1019
2023-10-11,10.15,10.15,10.15,10.15,0
2023-10-12,10.15,10.15,10.15,10.15,10
2023-10-13,10.24,10.84,10.24,10.84,2931
2023-10-16,10.84,10.84,10.76,10.84,2222
2023-10-17,11.02,11.19,10.58,10.58,4000
2023-10-18,10.58,10.58,10.58,10.58,23
2023-10-19,10.58,10.58,10.58,10.58,1100
2023-10-20,10.58,10.58,10.58,10.58,0
2023-10-23,10.24,10.24,10.24,10.24,508
2023-10-24,10.24,10.24,10.24,10.24,1
2023-10-25,10.76,10.76,10.41,10.41,700
2023-10-26,10.24,10.24,10.15,10.15,1600
2023-10-27,10.15,10.15,10.15,10.15,1000
2023-10-30,10.15,10.15,10.15,10.15,600
2023-10-31,10.15,10.15,10.15,10.15,100
2023-11-01,10.15,10.15,10.15,10.15,0
2023-11-02,9.8,9.8,9.8,9.8,100
2023-11-03,10.06,10.06,10.06,10.06,100
2023-11-06,10.06,10.06,10.06,10.06,0
2023-11-07,10.06,10.06,10.06,10.06,100
2023-11-08,10.06,10.06,10.06,10.06,0
2023-11-09,10.06,10.06,10.06,10.06,100
2023-11-10,9.89,10.67,9.89,10.67,300
2023-11-13,10.41,10.41,10.41,10.41,1900
2023-11-14,10.41,10.41,10.41,10.41,0
2023-11-15,10.41,10.41,9.89,9.89,405
2023-11-16,9.98,10.5,9.98,10.5,200
2023-11-17,11.11,11.11,10.5,10.5,900
2023-11-20,10.5,10.5,10.5,10.5,600
2023-11-21,10.5,10.5,9.98,9.98,1308
2023-11-22,9.98,9.98,9.98,9.98,100
2023-11-23,10.15,10.15,10.15,10.15,100
2023-11-24,10.06,10.06,10.06,10.06,135
2023-11-27,10.06,10.06,10.06,10.06,0
2023-11-28,10.24,10.24,10.24,10.24,100
2023-11-29,10.24,10.24,10.24,10.24,0
2023-11-30,10.32,10.32,10.32,10.32,2000
2023-12-01,10.32,10.32,10.32,10.32,0
2023-12-04,10.32,10.32,10.32,10.32,0
2023-12-05,10.32,10.58,10.32,10.58,1312
2023-12-06,10.58,10.67,10.58,10.67,500
2023-12-07,10.67,10.67,10.67,10.67,0
2023-12-08,10.67,10.84,10.67,10.84,2100
2023-12-11,11.89,11.89,10.84,10.84,200
2023-12-12,11.02,11.02,11.02,11.02,110
2023-12-13,11.02,11.02,11.02,11.02,200
2023-12-14,11.02,11.02,11.02,11.02,0
2023-12-15,11.02,11.02,11.02,11.02,0
2023-12-18,11.02,11.02,11.02,11.02,0
2023-12-19,11.02,11.02,10.5,10.5,200
2023-12-20,10.06,10.06,10.06,10.06,100
2023-12-21,10.06,10.06,10.06,10.06,0
2023-12-22,10.06,10.06,10.06,10.06,0
2023-12-25,10.84,10.84,10.76,10.76,400
2023-12-26,10.76,10.76,10.76,10.76,0
2023-12-27,10.76,10.76,10.76,10.76,1100
2023-12-28,10.76,10.76,10.76,10.76,0
2023-12-29,10.76,10.76,10.76,10.76,100
2024-01-02,10.76,10.76,10.76,10.76,0
2024-01-03,10.76,10.76,10.76,10.76,1000
2024-01-04,10.58,10.58,10.58,10.58,100
2024-01-05,10.58,10.58,10.5,10.5,700
2024-01-08,10.41,10.41,10.41,10.41,1800
2024-01-09,10.41,10.41,10.41,10.41,0
2024-01-10,11.45,11.45,11.45,11.45,1000
2024-01-11,11.45,11.45,11.45,11.45,0
2024-01-12,11.45,11.45,11.45,11.45,0
2024-01-15,11.45,11.45,11.45,11.45,0
2024-01-16,11.45,11.45,11.45,11.45,0
2024-01-17,11.45,11.45,11.45,11.45,0
2024-01-18,11.45,11.45,11.45,11.45,0
2024-01-19,11.45,11.45,11.45,11.45,0
2024-01-22,11.45,11.45,11.45,11.45,0
2024-01-23,10.76,10.76,10.76,10.76,101
2024-01-24,10.76,10.76,10.76,10.76,0
2024-01-25,10.76,10.76,10.76,10.76,0
2024-01-26,10.76,10.76,10.76,10.76,100
2024-01-29,10.76,10.76,10.76,10.76,0
2024-01-30,10.76,10.76,10.76,10.76,0
2024-01-31,10.76,10.76,10.76,10.76,0
2024-02-01,10.76,10.76,10.76,10.76,500
2024-02-02,10.76,10.76,10.76,10.76,4000
2024-02-05,11.19,11.19,11.19,11.19,410
2024-02-06,11.19,11.19,11.19,11.19,603
2024-02-07,11.19,11.19,11.19,11.19,0
2024-02-15,11.19,11.19,11.19,11.19,500
2024-02-16,11.28,11.28,11.28,11.28,111
2024-02-19,11.28,11.28,11.28,11.28,200
2024-02-20,11.28,11.28,11.28,11.28,449
2024-02-21,11.28,11.28,11.28,11.28,0
2024-02-22,11.28,11.28,11.28,11.28,0
2024-02-23,11.28,11.28,11.28,11.28,0
2024-02-26,11.02,11.02,11.02,11.02,200
2024-02-27,11.02,11.02,11.02,11.02,0
2024-02-28,10.93,10.93,10.93,10.93,100
2024-02-29,10.84,10.93,10.76,10.93,2600
2024-03-01,10.93,11.02,10.93,10.93,2000
2024-03-04,10.93,10.93,10.93,10.93,1001
2024-03-05,10.93,10.93,10.93,10.93,0
2024-03-06,11.71,11.71,11.71,11.71,1400
2024-03-07,11.71,11.71,11.71,11.71,0
2024-03-08,10.76,10.84,10.76,10.84,2100
2024-03-11,10.84,10.84,10.84,10.84,0
2024-03-12,11.02,11.11,11.02,11.11,400
2024-03-13,11.19,11.19,11.11,11.11,800
2024-03-14,11.19,11.19,11.11,11.11,8800
2024-03-15,11.11,11.11,11.11,11.11,0
2024-03-18,11.19,11.19,11.19,11.19,1500
2024-03-19,11.28,11.28,11.28,11.28,200
2024-03-20,11.37,11.71,11.37,11.71,3800
2024-03-21,11.71,11.71,11.71,11.71,1400
2024-03-22,11.28,11.28,11.28,11.28,4321
2024-03-25,11.28,11.28,11.28,11.28,0
2024-03-26,11.71,12.15,11.71,12.15,4141
2024-03-27,12.15,12.15,12.15,12.15,100
2024-03-28,11.97,11.97,11.97,11.97,100
2024-03-29,12.15,12.15,11.97,12.06,2600
2024-04-01,12.06,12.06,12.06,12.06,800
2024-04-02,12.06,12.06,12.06,12.06,0
2024-04-03,12.06,12.06,12.06,12.06,0
2024-04-04,12.06,12.06,12.06,12.06,0
2024-04-05,13.01,13.01,12.75,12.84,1009
2024-04-08,12.15,12.15,12.15,12.15,500
2024-04-09,12.15,12.15,12.15,12.15,0
2024-04-10,12.15,12.15,12.15,12.15,0
2024-04-11,11.11,11.11,11.02,11.02,600
2024-04-12,11.02,11.02,11.02,11.02,1
2024-04-15,11.02,11.02,11.02,11.02,0
2024-04-16,11.97,11.97,11.71,11.71,800
2024-04-17,11.71,11.71,11.71,11.71,5
2024-04-19,11.71,11.71,11.71,11.71,0
2024-04-22,11.71,11.71,11.71,11.71,0
2024-04-23,11.71,11.71,11.71,11.71,0
2024-04-24,11.71,11.71,11.71,11.71,0
2024-04-25,11.71,11.71,11.71,11.71,2
2024-04-26,11.71,11.71,11.71,11.71,0
2024-05-02,11.71,11.71,11.71,11.71,0
2024-05-03,11.71,11.71,11.71,11.71,1
2024-05-06,11.71,11.71,11.71,11.71,0
2024-05-07,11.71,11.71,11.71,11.71,0
2024-05-08,11.71,11.71,11.71,11.71,0
2024-05-09,11.71,11.71,11.71,11.71,1
2024-05-10,11.71,11.71,11.71,11.71,0
2024-05-13,11.71,11.71,11.71,11.71,0
2024-05-14,11.71,11.71,11.71,11.71,0
2024-05-15,11.28,11.28,11.28,11.28,1300
2024-05-16,11.28,11.28,11.28,11.28,0
2024-05-17,12.15,12.15,12.15,12.15,407
2024-05-20,12.15,12.15,12.15,12.15,0
2024-05-21,11.02,11.02,11.02,11.02,100
2024-05-22,11.02,11.02,11.02,11.02,500
2024-05-23,11.02,11.02,11.02,11.02,6
2024-05-24,11.02,11.02,11.02,11.02,0
2024-05-27,11.02,11.02,11.02,11.02,0
2024-05-28,11.02,11.02,11.02,11.02,0
2024-05-29,10.06,11.8,9.98,11.8,3800
2024-05-30,11.8,11.8,11.8,11.8,0
2024-05-31,11.8,11.8,11.8,11.8,0
