date,open,high,low,close,volume
2023-11-01,24.58,24.58,21.19,21.19,200
2023-11-02,23.31,23.31,23.31,23.31,150
2023-11-03,25.43,25.43,25.43,25.43,100
2023-11-06,23.31,23.31,23.06,23.06,700
2023-11-07,24.5,24.5,24.5,24.5,107
2023-11-08,24.5,24.5,24.5,24.5,0
2023-11-09,25.43,25.43,25.43,25.43,112
2023-11-10,26.28,26.28,26.28,26.28,100
2023-11-13,26.28,26.28,26.28,26.28,0
2023-11-14,26.28,26.28,26.28,26.28,0
2023-11-15,26.28,26.28,26.28,26.28,0
2023-11-16,26.28,26.28,26.28,26.28,0
2023-11-17,26.28,26.28,26.28,26.28,0
2023-11-20,23.65,23.65,23.65,23.65,410
2023-11-21,23.74,23.74,23.74,23.74,318
2023-11-22,23.74,23.74,23.74,23.74,200
2023-11-23,22.04,25.85,22.04,25.85,400
2023-11-24,25.85,25.85,25.85,25.85,0
2023-11-27,25.85,25.85,25.85,25.85,50
2023-11-28,23.74,28.14,23.74,28.14,353
2023-11-29,28.14,28.14,28.14,28.14,0
2023-11-30,28.14,28.14,28.14,28.14,0
2023-12-01,25.85,25.85,25.35,25.35,592
2023-12-04,25.35,25.35,23.74,24.58,400
2023-12-05,24.58,24.58,24.58,24.58,100
2023-12-06,22.55,22.55,22.55,22.55,100
2023-12-07,23.9,23.9,23.9,23.9,200
2023-12-08,24.75,24.75,24.75,24.75,200
2023-12-11,24.75,24.75,24.75,24.75,700
2023-12-12,24.75,24.75,24.75,24.75,0
2023-12-13,24.75,24.75,24.75,24.75,0
2023-12-14,24.75,24.75,24.75,24.75,0
2023-12-15,24.75,24.75,24.75,24.75,0
2023-12-18,22.38,22.72,22.38,22.72,350
2023-12-19,22.72,22.72,22.72,22.72,0
2023-12-20,24.58,24.58,24.58,24.58,100
2023-12-21,23.31,23.57,22.89,23.57,600
2023-12-22,23.57,23.57,23.57,23.57,0
2023-12-25,23.74,23.74,23.74,23.74,100
2023-12-26,23.74,23.74,23.74,23.74,100
2023-12-27,23.74,23.74,23.74,23.74,0
2023-12-28,23.74,23.74,23.74,23.74,0
2023-12-29,23.9,23.9,23.9,23.9,100
2024-01-02,23.9,23.9,23.9,23.9,0
2024-01-03,23.9,23.9,23.9,23.9,0
2024-01-04,23.9,23.9,23.9,23.9,900
2024-01-05,23.9,23.9,23.9,23.9,0
2024-01-08,24.16,24.16,24.16,24.16,1800
2024-01-09,24.16,24.16,24.16,24.16,0
2024-01-10,24.16,24.16,24.16,24.16,0
2024-01-11,21.87,22.12,21.87,22.12,300
2024-01-12,22.12,22.12,22.12,22.12,0
2024-01-15,22.46,22.46,22.46,22.46,100
2024-01-16,23.57,24.58,22.12,22.12,600
2024-01-17,22.21,22.21,22.04,22.21,9501
2024-01-18,22.21,22.21,22.21,22.21,0
2024-01-19,23.31,23.31,21.19,22.46,1300
2024-01-22,22.46,22.46,22.46,22.46,7000
2024-01-23,22.46,22.46,22.46,22.46,10001
2024-01-24,22.46,22.46,22.46,22.46,10700
2024-01-25,23.31,23.31,22.55,22.55,15702
2024-01-26,22.63,22.63,22.55,22.55,20500
2024-01-29,22.55,22.55,22.55,22.55,17600
2024-01-30,22.63,22.63,22.55,22.55,15900
2024-01-31,22.46,22.55,22.46,22.55,7100
2024-02-01,22.55,23.65,22.55,22.55,67800
2024-02-02,22.55,23.4,22.55,22.55,35100
2024-02-05,22.63,22.89,22.55,22.63,33500
2024-02-06,22.72,24.58,22.63,23.74,2700
2024-02-07,23.65,23.65,23.14,23.14,500
2024-02-15,23.23,23.23,23.14,23.14,5300
2024-02-16,23.14,23.14,23.06,23.14,3100
2024-02-19,22.89,23.65,22.89,23.31,8270
2024-02-20,22.97,23.31,22.97,23.31,15000
2024-02-21,22.38,23.31,22.38,23.31,4700
2024-02-22,23.74,23.74,23.65,23.65,1110
2024-02-23,23.06,23.06,23.06,23.06,200
2024-02-26,23.06,23.06,23.06,23.06,0
2024-02-27,22.97,22.97,22.89,22.89,1000
2024-02-28,23.74,23.74,23.14,23.14,1100
2024-02-29,23.14,23.14,23.14,23.14,14
2024-03-01,23.06,23.82,22.89,23.74,10700
2024-03-04,24.5,25.35,24.33,24.33,3500
2024-03-05,24.5,24.58,24.24,24.24,13500
2024-03-06,23.82,23.99,23.74,23.99,4000
2024-03-07,23.99,23.99,23.99,23.99,0
2024-03-08,24.33,24.33,24.33,24.33,300
2024-03-11,24.58,24.75,24.33,24.41,8100
2024-03-12,24.67,24.75,24.58,24.58,4600
2024-03-13,25.26,25.35,24.75,24.75,3600
2024-03-14,24.84,24.84,24.84,24.84,2140
2024-03-15,24.92,24.92,24.92,24.92,204
2024-03-18,24.92,25.01,24.92,25.01,3100
2024-03-19,25.01,25.01,25.01,25.01,100
2024-03-20,25.18,25.18,25.18,25.18,100
2024-03-21,25.18,25.18,25.18,25.18,0
2024-03-22,25.43,25.43,25.43,25.43,100
2024-03-25,26.7,26.7,25.52,25.52,300
