date,open,high,low,close,volume
2024-01-09,17.28,17.57,17.28,17.28,800
2024-01-10,17.28,17.28,17.28,17.28,43
2024-01-11,17.28,17.28,17.28,17.28,0
2024-01-12,17.18,17.77,16.29,17.77,600
2024-01-15,17.77,17.77,17.77,17.77,0
2024-01-16,17.77,17.77,17.77,17.77,500
2024-01-17,17.77,17.77,17.77,17.77,17
2024-01-18,17.77,17.77,17.77,17.77,2700
2024-01-19,17.87,18.26,17.77,17.77,1200
2024-01-22,17.77,17.77,17.77,17.77,1
2024-01-23,16.88,17.77,16.09,17.77,5417
2024-01-24,18.76,18.76,16.68,17.77,4400
2024-01-25,16.78,16.78,16.68,16.68,3700
2024-01-26,16.68,16.68,16.68,16.68,300
2024-01-29,16.68,16.68,16.68,16.68,1200
2024-01-30,16.98,16.98,16.98,16.98,104
2024-01-31,16.09,16.09,16.09,16.09,1000
2024-02-01,16.09,16.09,16.09,16.09,432
2024-02-02,16.19,16.19,16.19,16.19,100
2024-02-05,16.19,16.19,16.19,16.19,102
2024-02-06,16.19,16.19,16.19,16.19,200
2024-02-07,16.59,16.59,16.59,16.59,104
2024-02-15,16.59,16.59,16.59,16.59,600
2024-02-16,16.59,16.59,16.59,16.59,1
2024-02-19,16.59,16.59,16.59,16.59,0
2024-02-20,16.59,16.59,16.59,16.59,0
2024-02-21,16.59,16.59,16.59,16.59,10
2024-02-22,16.39,16.78,15.99,16.78,700
2024-02-23,16.78,16.78,16.78,16.78,20
2024-02-26,17.38,17.38,15.89,17.08,1442
2024-02-27,16.88,16.88,16.88,16.88,400
2024-02-28,16.78,16.78,16.78,16.78,200
2024-02-29,16.59,16.59,16.59,16.59,100
2024-03-01,16.59,16.59,16.59,16.59,0
2024-03-04,16.59,17.18,16.59,17.18,700
2024-03-05,16.29,17.67,16.29,17.67,803
2024-03-06,17.57,17.67,17.57,17.67,2416
2024-03-07,17.67,17.67,17.67,17.67,0
2024-03-08,17.67,17.77,17.67,17.77,1500
2024-03-11,17.77,17.77,17.77,17.77,98
2024-03-12,17.77,17.77,17.77,17.77,88
2024-03-13,17.77,17.87,17.77,17.87,2008
2024-03-14,17.77,17.77,17.77,17.77,3600
2024-03-15,17.77,18.46,17.77,17.77,3800
2024-03-18,17.77,17.77,17.77,17.77,3400
2024-03-19,17.77,18.07,16.98,18.07,300
2024-03-20,17.77,18.07,16.98,17.18,3101
2024-03-21,17.18,17.18,17.18,17.18,100
2024-03-22,18.07,18.66,17.77,17.77,2240
2024-03-25,17.08,17.77,17.08,17.77,379
2024-03-26,17.38,18.46,17.38,18.46,727
2024-03-27,17.77,18.66,17.77,17.97,313
2024-03-28,17.57,17.57,17.28,17.28,532
2024-03-29,17.77,18.17,17.77,18.17,300
2024-04-01,18.17,18.17,18.17,18.17,500
2024-04-02,18.66,18.66,18.66,18.66,100
2024-04-03,17.08,17.77,17.08,17.77,396
2024-04-04,17.97,18.26,17.97,18.26,409
2024-04-05,17.97,18.26,17.97,18.26,515
2024-04-08,18.26,18.26,18.26,18.26,0
2024-04-09,18.76,18.76,18.76,18.76,1000
2024-04-10,19.55,19.55,19.55,19.55,201
2024-04-11,19.65,19.65,19.05,19.05,1905
2024-04-12,19.35,19.35,19.35,19.35,6700
2024-04-15,17.97,18.46,17.97,18.46,302
2024-04-16,18.76,18.76,18.76,18.76,1006
2024-04-17,18.76,18.76,18.76,18.76,0
2024-04-19,17.77,17.77,17.77,17.77,100
2024-04-22,19.15,19.15,19.15,19.15,100
2024-04-23,19.15,19.15,19.15,19.15,13
2024-04-24,19.15,19.15,19.15,19.15,0
2024-04-25,18.26,18.26,18.26,18.26,300
2024-04-26,18.26,18.26,18.26,18.26,144
2024-05-02,17.38,17.47,17.38,17.38,301
2024-05-03,18.26,18.26,18.07,18.07,318
2024-05-06,18.66,18.66,18.66,18.66,100
2024-05-07,18.17,18.17,18.17,18.17,100
2024-05-08,18.17,18.17,18.17,18.17,0
2024-05-09,18.17,18.17,18.17,18.17,0
2024-05-10,18.17,18.17,18.17,18.17,100
2024-05-13,18.07,18.76,18.07,18.76,5529
2024-05-14,18.76,18.76,18.76,18.76,0
2024-05-15,18.76,19.45,18.76,19.45,601
2024-05-16,18.17,19.45,18.17,19.45,213
2024-05-17,19.45,19.45,19.45,19.45,0
2024-05-20,19.45,19.45,19.45,19.45,0
2024-05-21,21.23,21.23,18.17,18.17,400
2024-05-22,18.17,18.17,18.17,18.17,0
2024-05-23,18.17,18.17,18.17,18.17,308
2024-05-24,18.17,18.17,17.67,18.17,1500
2024-05-27,18.17,18.17,18.17,18.17,50
2024-05-28,18.07,18.07,17.67,17.67,200
2024-05-29,17.67,17.67,17.67,17.67,0
2024-05-30,16.88,17.67,16.88,17.08,300
2024-05-31,17.18,17.18,17.18,17.18,101
2024-06-03,18.56,18.56,18.56,18.56,100
2024-06-04,17.28,18.46,17.28,18.46,200
2024-06-05,18.56,18.56,18.56,18.56,100
2024-06-06,18.26,19.55,17.67,17.67,1000
2024-06-07,18.66,18.66,18.66,18.66,10000
2024-06-10,18.66,18.66,18.66,18.66,100
2024-06-11,18.66,18.66,18.66,18.66,0
2024-06-12,17.77,17.77,17.57,17.77,2100
2024-06-13,17.38,17.38,17.38,17.38,108
2024-06-14,17.57,17.57,17.47,17.47,800
2024-06-17,16.88,17.77,16.88,17.77,200
2024-06-18,16.78,16.78,16.78,16.78,300
2024-06-19,18.26,18.36,18.26,18.36,200
2024-06-20,17.77,17.77,17.47,17.47,1562
2024-06-21,17.77,19.05,17.77,17.97,754
2024-06-24,19.15,19.74,19.15,19.74,3303
2024-06-25,18.17,18.26,18.17,18.26,400
2024-06-26,18.96,19.25,18.26,18.26,2448
2024-06-27,18.26,18.26,18.26,18.26,27
2024-06-28,19.25,19.25,18.07,18.26,2718
2024-07-01,18.26,18.26,18.26,18.26,0
2024-07-02,18.26,18.26,18.26,18.26,0
2024-07-03,18.76,18.76,18.76,18.76,118
2024-07-04,18.07,18.07,18.07,18.07,100
2024-07-05,18.07,18.07,18.07,18.07,76
2024-07-08,18.07,18.96,18.07,18.96,324
2024-07-09,18.96,18.96,18.96,18.96,104
2024-07-10,18.96,18.96,18.96,18.96,0
2024-07-11,18.96,18.96,18.96,18.96,0
2024-07-12,17.57,17.57,17.47,17.47,305
2024-07-15,17.67,17.67,17.67,17.67,119
2024-07-16,17.67,17.67,17.67,17.67,0
2024-07-17,17.67,17.67,17.67,17.67,8
2024-07-18,17.47,17.47,17.47,17.47,2551
2024-07-19,17.47,17.47,17.47,17.47,0
2024-07-22,17.77,18.17,17.77,18.17,647
2024-07-23,18.17,18.17,18.17,18.17,1
