date,open,high,low,close,volume
2023-12-15,8.27,8.27,8.27,8.27,0
2023-12-18,7.9,7.9,7.9,7.9,13700
2023-12-19,7.9,7.9,7.9,7.9,51
2023-12-20,8.27,8.27,8.18,8.18,1500
2023-12-21,8.18,8.18,8.18,8.18,100
2023-12-22,8.08,8.08,8.08,8.08,500
2023-12-25,8.08,8.08,8.08,8.08,1500
2023-12-26,8.08,8.08,8.08,8.08,0
2023-12-27,8.08,8.08,8.08,8.08,0
2023-12-28,8.18,8.18,8.18,8.18,4000
2023-12-29,7.9,7.9,7.9,7.9,102
2024-01-02,8.92,8.92,8.92,8.92,401
2024-01-03,8.92,8.92,8.92,8.92,0
2024-01-04,8.92,8.92,8.92,8.92,0
2024-01-05,8.92,8.92,8.92,8.92,0
2024-01-08,8.73,8.73,8.73,8.73,367
2024-01-09,7.99,8.18,7.99,7.99,518
2024-01-10,7.99,7.99,7.99,7.99,100
2024-01-11,8.08,8.08,8.08,8.08,1009
2024-01-12,8.08,8.08,8.08,8.08,10510
2024-01-15,8.08,8.18,8.08,8.08,7400
2024-01-16,8.08,8.08,8.08,8.08,0
2024-01-17,7.99,8.55,7.99,8.55,603
2024-01-18,8.45,8.45,8.27,8.27,300
2024-01-19,8.36,8.36,8.18,8.18,200
2024-01-22,8.27,8.27,8.27,8.27,3
2024-01-23,7.9,8.27,7.9,8.18,4802
2024-01-24,7.9,7.99,7.9,7.99,2600
2024-01-25,7.99,7.99,7.9,7.9,1600
2024-01-26,7.9,7.9,7.9,7.9,202
2024-01-29,8.08,8.08,8.08,8.08,105
2024-01-30,8.08,8.08,8.08,8.08,0
2024-01-31,8.08,8.08,8.08,8.08,0
2024-02-01,8.08,8.08,8.08,8.08,1000
2024-02-02,8.08,8.08,8.08,8.08,1200
2024-02-05,8.08,8.08,8.08,8.08,2000
2024-02-06,8.08,8.08,7.99,7.99,4302
2024-02-07,8.08,8.08,8.08,8.08,3500
2024-02-15,8.18,8.18,8.18,8.18,1182
2024-02-16,8.18,8.18,8.18,8.18,0
2024-02-19,8.27,8.27,8.27,8.27,3000
2024-02-20,8.27,8.27,8.27,8.27,0
2024-02-21,8.27,8.27,8.27,8.27,2300
2024-02-22,8.27,8.27,8.27,8.27,3200
2024-02-23,8.27,8.27,8.27,8.27,1901
2024-02-26,8.27,8.27,8.27,8.27,0
2024-02-27,8.18,8.18,8.08,8.08,3078
2024-02-28,8.08,8.18,8.08,8.08,26536
2024-02-29,8.27,8.27,8.08,8.08,1407
2024-03-01,8.18,8.18,7.99,7.99,500
2024-03-04,7.99,7.99,7.99,7.99,4502
2024-03-05,8.36,8.36,7.99,7.99,271
2024-03-06,8.27,8.27,7.9,7.99,2000
2024-03-07,7.99,8.27,7.99,8.18,2100
2024-03-08,8.18,8.18,8.18,8.18,156
2024-03-11,8.18,8.18,8.08,8.08,544
2024-03-12,8.08,8.18,7.99,8.18,10200
