date,open,high,low,close,volume
2024-01-30,9.46,9.63,9.42,9.5,7276277
2024-01-31,9.55,9.55,9.38,9.38,4574416
2024-02-01,9.38,9.46,9.34,9.38,2542279
2024-02-02,9.42,9.42,9.34,9.34,2619127
2024-02-05,9.38,9.38,9.3,9.3,3683131
2024-02-06,9.34,9.38,9.3,9.38,3945611
2024-02-07,9.38,9.42,9.34,9.38,2858745
2024-02-15,9.42,9.46,9.38,9.42,4293271
2024-02-16,9.46,9.5,9.42,9.5,2897892
2024-02-19,9.5,10.0,9.5,9.92,22521564
2024-02-20,9.96,10.12,9.79,9.84,7681169
2024-02-21,9.79,9.84,9.71,9.75,6654882
2024-02-22,9.75,9.84,9.71,9.71,5357705
2024-02-23,9.75,9.79,9.5,9.5,9335672
2024-02-26,9.5,9.59,9.46,9.55,6814875
2024-02-27,9.59,9.75,9.55,9.71,6556994
2024-02-28,9.79,9.84,9.71,9.75,7061368
2024-02-29,9.84,9.84,9.63,9.63,6479655
2024-03-01,9.63,9.71,9.59,9.71,4803429
2024-03-04,9.79,9.84,9.71,9.79,7089976
2024-03-05,9.79,9.84,9.71,9.79,4591531
2024-03-06,9.75,10.0,9.75,9.84,8877090
2024-03-07,9.84,9.88,9.71,9.79,5717255
2024-03-08,9.84,9.96,9.67,9.67,13574209
2024-03-11,9.71,9.75,9.5,9.59,7005953
2024-03-12,9.59,9.63,9.5,9.5,5970594
2024-03-13,9.5,9.63,9.5,9.59,4094440
2024-03-14,9.59,9.67,9.55,9.59,6977986
2024-03-15,9.59,9.63,9.42,9.46,10621566
2024-03-18,9.46,9.55,9.26,9.34,12764717
2024-03-19,9.34,9.42,9.26,9.3,4146182
2024-03-20,9.34,9.46,9.3,9.42,5379088
2024-03-21,9.46,9.5,9.42,9.42,6410698
2024-03-22,9.42,9.55,9.38,9.5,8796312
2024-03-25,9.55,9.63,9.42,9.42,8068750
2024-03-26,9.42,9.46,9.34,9.46,4590246
2024-03-27,9.5,9.59,9.46,9.46,5915288
2024-03-28,9.5,9.55,9.42,9.46,4072435
2024-03-29,9.5,9.5,9.38,9.42,4809283
2024-04-01,9.42,9.46,9.38,9.38,5408858
2024-04-02,9.42,9.63,9.34,9.55,8871040
2024-04-03,9.55,9.59,9.38,9.42,6919873
