date,open,high,low,close,volume
2023-11-28,11.4,11.4,11.4,11.4,0
2023-11-29,11.4,11.4,11.4,11.4,0
2023-11-30,11.4,11.4,11.4,11.4,200
2023-12-01,11.5,11.5,11.21,11.21,601
2023-12-04,11.31,11.31,11.31,11.31,0
2023-12-05,11.31,11.31,11.31,11.31,24
2023-12-06,11.12,11.12,11.02,11.02,1004
2023-12-07,10.93,11.02,10.93,10.93,1800
2023-12-08,10.93,10.93,10.83,10.83,2001
2023-12-11,10.93,10.93,10.93,10.93,0
2023-12-12,11.12,11.12,10.83,10.93,2400
2023-12-13,11.12,11.12,10.93,10.93,2202
2023-12-14,11.02,11.02,10.93,10.93,2300
2023-12-15,10.93,10.93,10.93,10.93,1800
2023-12-18,10.93,10.93,10.93,10.93,1000
2023-12-19,10.93,10.93,10.83,10.83,400
2023-12-20,10.93,10.93,10.93,10.93,2000
2023-12-21,10.93,10.93,10.93,10.93,0
2023-12-22,10.93,10.93,10.93,10.93,0
2023-12-25,11.07,11.17,11.07,11.17,7200
2023-12-26,11.17,11.17,11.17,11.17,0
2023-12-27,11.66,11.66,10.98,10.98,600
2023-12-28,11.17,11.17,11.17,11.17,0
2023-12-29,11.07,11.17,11.07,11.17,800
2024-01-02,11.07,11.07,11.07,11.07,0
2024-01-03,11.07,11.07,11.07,11.07,1200
2024-01-04,11.07,11.07,11.07,11.07,5100
2024-01-05,11.07,11.07,11.07,11.07,0
2024-01-08,11.07,11.17,10.98,11.07,2300
2024-01-09,11.75,11.75,11.07,11.17,2300
2024-01-10,11.85,11.85,11.36,11.75,900
2024-01-11,11.66,11.66,11.66,11.66,1800
2024-01-12,11.66,11.66,11.66,11.66,500
2024-01-15,11.17,11.66,11.07,11.66,1100
2024-01-16,11.56,11.56,11.56,11.56,200
2024-01-17,11.66,12.63,11.56,11.66,2800
2024-01-18,12.53,12.53,12.53,12.53,600
2024-01-19,12.53,12.53,12.53,12.53,0
2024-01-22,12.53,12.53,12.53,12.53,0
2024-01-23,12.82,12.82,12.34,12.34,600
2024-01-24,11.66,11.66,11.66,11.66,900
2024-01-25,11.27,11.66,11.27,11.66,2300
2024-01-26,11.36,11.36,11.36,11.36,0
2024-01-29,11.66,11.66,11.66,11.66,102
2024-01-30,11.66,11.66,11.66,11.66,0
2024-01-31,11.66,11.66,11.66,11.66,1100
2024-02-01,11.66,11.66,11.66,11.66,0
2024-02-02,11.66,11.66,11.66,11.66,1800
2024-02-05,11.66,11.66,11.66,11.66,8600
2024-02-06,11.66,11.66,11.66,11.66,2000
2024-02-07,11.66,11.66,11.66,11.66,0
2024-02-15,11.66,11.66,11.66,11.66,200
2024-02-16,11.17,11.17,11.17,11.17,500
2024-02-19,11.17,12.34,11.17,11.66,900
2024-02-20,11.36,11.36,11.36,11.36,0
2024-02-21,11.36,11.36,11.36,11.36,200
2024-02-22,12.43,12.43,12.14,12.14,2300
2024-02-23,12.14,12.14,12.14,12.14,0
2024-02-26,12.14,12.14,12.14,12.14,0
2024-02-27,12.14,12.14,12.14,12.14,0
2024-02-28,12.14,12.14,12.14,12.14,0
2024-02-29,12.14,12.14,12.14,12.14,0
2024-03-01,12.24,12.24,12.24,12.24,2000
2024-03-04,12.24,12.24,12.24,12.24,0
2024-03-05,12.24,12.24,12.24,12.24,0
2024-03-06,12.24,12.24,12.24,12.24,0
2024-03-07,12.24,12.24,12.24,12.24,0
2024-03-08,11.66,12.14,11.66,12.14,218
2024-03-11,11.17,11.17,11.17,11.17,920
2024-03-12,11.66,11.66,11.17,11.17,700
2024-03-13,11.27,11.27,11.27,11.27,22
2024-03-14,11.27,11.27,11.27,11.27,1
2024-03-15,11.17,11.17,10.88,10.88,500
2024-03-18,12.04,12.04,12.04,12.04,300
2024-03-19,11.66,12.04,11.66,12.04,1700
2024-03-20,12.14,12.14,12.14,12.14,400
2024-03-21,11.66,11.66,11.66,11.66,400
2024-03-22,11.17,11.85,11.17,11.85,3200
2024-03-25,11.66,11.66,11.17,11.17,4201
2024-03-26,11.66,12.14,11.66,12.14,1200
2024-03-27,12.43,13.11,12.14,12.14,1538
2024-03-28,12.72,12.72,12.72,12.72,100
2024-03-29,12.82,12.82,12.63,12.63,2100
2024-04-01,12.63,12.63,12.63,12.63,0
2024-04-02,12.63,12.63,12.63,12.63,0
2024-04-03,12.43,12.43,12.43,12.43,101
2024-04-04,12.04,12.04,12.04,12.04,100
2024-04-05,11.95,11.95,11.75,11.75,601
2024-04-08,11.75,11.75,11.75,11.75,1
2024-04-09,11.66,11.66,11.66,11.66,1300
2024-04-10,11.66,11.66,11.27,11.27,6600
2024-04-11,11.56,11.56,11.56,11.56,2
2024-04-12,12.34,12.34,12.34,12.34,100
2024-04-15,12.34,12.34,12.34,12.34,128
2024-04-16,12.34,12.34,12.34,12.34,2
2024-04-17,12.34,12.34,12.34,12.34,0
2024-04-19,12.34,12.34,12.34,12.34,0
2024-04-22,12.34,12.34,12.34,12.34,0
2024-04-23,10.88,10.88,10.88,10.88,100
2024-04-24,11.66,11.66,11.66,11.66,100
2024-04-25,11.66,11.66,11.66,11.66,0
2024-04-26,11.66,11.66,11.66,11.66,200
2024-05-02,11.66,11.66,11.66,11.66,1301
2024-05-03,11.66,11.66,11.66,11.66,0
2024-05-06,11.66,11.66,11.66,11.66,1800
2024-05-07,11.95,12.04,11.95,12.04,3000
2024-05-08,12.04,12.04,12.04,12.04,1
2024-05-09,12.04,12.04,12.04,12.04,0
2024-05-10,12.04,12.43,12.04,12.43,2001
2024-05-13,12.24,12.24,12.24,12.24,1200
2024-05-14,12.14,12.24,11.75,11.75,4400
2024-05-15,12.14,12.14,11.66,11.66,5100
2024-05-16,11.95,11.95,11.95,11.95,2500
2024-05-17,12.43,13.21,12.04,13.02,8831
2024-05-20,12.63,12.63,11.95,12.04,7900
2024-05-21,12.24,12.63,12.14,12.63,15900
2024-05-22,12.43,13.02,12.34,13.02,29359
2024-05-23,13.11,13.11,13.11,13.11,3833
2024-05-24,13.11,14.57,13.11,13.7,11900
2024-05-27,13.7,15.44,13.7,14.28,5118
2024-05-28,14.28,14.76,14.18,14.18,4600
2024-05-29,13.99,14.76,13.99,14.28,12500
2024-05-30,13.6,14.08,13.6,14.08,500
2024-05-31,14.57,14.57,14.57,14.57,100
2024-06-03,13.4,13.89,13.21,13.89,2805
2024-06-04,13.99,14.38,13.99,14.38,200
2024-06-05,13.31,13.6,13.31,13.6,9126
2024-06-06,13.5,13.5,13.11,13.11,4815
2024-06-07,13.5,13.5,13.02,13.02,12700
2024-06-10,13.5,13.5,13.21,13.5,5900
2024-06-11,13.5,13.5,13.4,13.5,6315
2024-06-12,13.4,13.4,13.4,13.4,0
2024-06-13,13.4,13.4,13.4,13.4,0
2024-06-14,13.79,13.79,13.79,13.79,100
2024-06-17,13.79,13.79,13.79,13.79,0
2024-06-18,12.63,12.63,12.63,12.63,400
2024-06-19,12.82,13.5,12.82,13.5,200
2024-06-20,12.63,12.82,12.34,12.34,10800
2024-06-21,12.82,12.92,12.82,12.92,6405
2024-06-24,12.92,12.92,12.92,12.92,1100
2024-06-25,13.31,13.31,12.82,12.82,1900
2024-06-26,12.82,12.82,12.82,12.82,800
2024-06-27,13.21,13.21,12.72,12.72,2900
2024-06-28,12.63,12.63,12.63,12.63,100
2024-07-01,12.63,12.63,12.63,12.63,0
2024-07-02,12.92,12.92,12.63,12.92,3800
2024-07-03,13.02,13.02,13.02,13.02,100
2024-07-04,13.02,13.02,13.02,13.02,0
2024-07-05,13.02,13.02,13.02,13.02,0
2024-07-08,13.02,13.02,13.02,13.02,0
2024-07-09,13.02,13.02,13.02,13.02,21
2024-07-10,12.53,12.53,12.53,12.53,2100
2024-07-11,12.53,12.53,12.53,12.53,1601
2024-07-12,12.82,12.82,12.82,12.82,100
2024-07-15,13.02,13.02,12.63,12.63,3100
2024-07-16,12.63,12.63,12.63,12.63,1500
2024-07-17,12.63,12.63,12.63,12.63,0
2024-07-18,12.53,12.53,12.53,12.53,400
2024-07-19,12.63,12.63,12.63,12.63,100
2024-07-22,12.63,12.63,12.63,12.63,0
2024-07-23,12.63,12.63,12.63,12.63,0
2024-07-24,12.63,12.63,12.63,12.63,0
2024-07-25,12.63,12.63,12.63,12.63,1000
2024-07-26,12.14,12.24,12.14,12.24,9200
2024-07-29,12.14,12.14,11.95,11.95,4200
2024-07-30,11.95,11.95,11.95,11.95,0
2024-07-31,11.95,11.95,11.95,11.95,0
