date,open,high,low,close,volume
2024-01-30,44.67,44.67,44.01,44.67,103075
2024-01-31,44.67,45.33,43.76,44.42,286619
2024-02-01,44.09,44.75,44.09,44.75,36806
2024-02-02,44.92,44.92,44.42,44.42,48128
2024-02-05,44.42,45.0,44.42,44.92,54533
2024-02-06,45.16,45.16,44.67,44.67,26042
2024-02-07,44.92,45.74,44.83,45.66,170473
2024-02-15,45.91,46.15,45.08,45.74,114490
2024-02-16,45.74,45.91,45.25,45.74,169157
2024-02-19,45.74,45.74,44.67,45.33,135811
2024-02-20,45.33,45.33,44.83,45.08,50726
2024-02-21,45.08,45.33,44.92,45.25,53677
2024-02-22,45.33,45.49,45.0,45.0,58966
2024-02-23,45.16,45.41,44.59,44.59,147266
2024-02-26,44.59,46.73,44.51,46.73,622150
2024-02-27,46.9,47.47,46.81,47.47,364225
2024-02-28,47.55,47.88,46.81,47.06,225612
2024-02-29,47.64,47.72,46.81,47.47,318890
2024-03-01,47.72,49.45,47.72,49.29,1392582
2024-03-04,49.45,49.53,48.96,49.29,576632
2024-03-05,49.37,49.45,48.21,49.12,461161
2024-03-06,48.54,49.04,48.05,48.54,218727
2024-03-07,48.38,49.62,47.72,48.21,411990
2024-03-08,47.97,49.62,47.55,48.38,604287
2024-03-11,48.38,50.6,48.38,49.86,1206486
2024-03-12,49.86,52.01,49.53,51.84,1109399
2024-03-13,52.09,52.5,51.68,51.92,774493
2024-03-14,52.09,54.15,51.92,52.99,1049838
2024-03-15,53.57,54.07,52.25,53.08,484101
2024-03-18,53.57,54.4,50.69,54.4,1049941
2024-03-19,54.64,55.22,53.57,53.98,425682
2024-03-20,53.65,53.82,52.66,53.32,251525
2024-03-21,53.74,54.81,52.75,53.32,573685
2024-03-22,53.32,53.82,52.17,53.32,467318
2024-03-25,53.32,53.41,51.76,51.76,597324
2024-03-26,51.92,52.66,51.1,51.68,782701
2024-03-27,52.33,53.98,52.09,53.98,462173
2024-03-28,54.64,55.14,52.75,52.83,628725
2024-03-29,52.91,54.81,52.91,54.31,488219
2024-04-01,54.23,54.23,52.42,52.83,368955
2024-04-02,52.75,53.49,51.92,53.49,501942
2024-04-03,52.66,52.75,51.43,51.92,984802
2024-04-04,51.51,51.84,50.85,51.02,355616
2024-04-05,50.27,52.33,50.27,51.1,574480
2024-04-08,51.02,52.42,50.44,51.84,457483
2024-04-09,51.84,52.91,51.84,52.83,333843
2024-04-10,52.83,52.99,52.25,52.91,351918
2024-04-11,52.01,52.99,51.51,52.91,236747
2024-04-12,52.66,53.74,52.17,53.74,324282
2024-04-15,53.74,53.74,51.1,51.1,524392
2024-04-16,51.43,51.51,50.69,51.51,486438
2024-04-17,52.33,52.33,50.44,50.44,356927
2024-04-19,51.1,51.18,49.45,51.1,319208
2024-04-22,51.1,54.64,50.6,54.64,491711
2024-04-23,54.64,54.81,52.75,53.08,302004
2024-04-24,54.07,54.07,52.75,53.57,350180
2024-04-25,53.57,53.57,52.66,52.75,145435
2024-04-26,52.33,53.98,52.33,52.99,218458
2024-05-02,52.99,53.57,52.17,53.24,228038
2024-05-03,53.57,56.95,53.57,56.79,1448823
2024-05-06,56.87,57.77,56.54,56.87,403515
2024-05-07,57.2,59.34,56.54,57.94,533363
2024-05-08,57.77,58.52,56.87,58.43,440598
2024-05-09,59.26,60.0,57.28,58.02,462898
2024-05-10,57.94,58.43,56.95,57.28,278612
2024-05-13,57.36,58.27,56.46,57.36,224604
2024-05-14,57.36,58.1,56.87,57.86,238300
2024-05-15,57.86,59.26,57.69,57.86,429089
2024-05-16,58.43,58.93,58.1,58.52,331465
2024-05-17,58.68,59.09,57.77,58.43,488964
2024-05-20,58.68,58.76,56.87,57.11,538218
2024-05-21,57.11,57.69,56.7,57.69,186271
2024-05-22,57.69,58.35,56.95,57.2,277173
2024-05-23,57.44,59.75,57.2,58.76,911650
2024-05-24,58.43,59.51,56.54,57.61,369685
2024-05-27,57.61,58.85,56.87,56.87,294006
2024-05-28,56.95,58.27,56.95,57.94,370732
2024-05-29,57.86,59.75,57.36,58.43,868035
2024-05-30,58.35,60.58,58.27,60.25,814574
2024-05-31,60.25,60.49,59.42,59.59,262039
2024-06-03,60.49,60.49,59.34,59.34,238814
2024-06-04,60.08,61.4,59.34,60.25,547923
2024-06-05,60.16,60.74,59.75,59.75,211947
2024-06-06,59.67,61.4,59.59,60.08,321944
2024-06-07,59.92,60.58,59.83,60.16,228285
2024-06-10,60.41,60.99,59.59,60.99,353363
2024-06-11,61.24,61.4,60.33,60.49,154717
2024-06-12,60.16,62.8,60.16,62.55,532433
2024-06-13,62.8,63.05,61.73,63.05,168584
2024-06-14,62.88,63.05,60.58,60.58,145469
2024-06-17,60.58,60.58,59.42,59.83,193312
2024-06-18,59.51,61.15,59.51,61.15,183957
2024-06-19,61.15,61.65,60.33,60.99,144619
2024-06-20,60.99,63.3,58.52,62.14,457161
2024-06-21,62.14,62.31,61.48,61.9,116154
2024-06-24,61.07,61.81,59.34,60.25,543650
2024-06-25,59.42,59.92,59.42,59.51,128539
2024-06-26,59.83,60.16,59.01,59.83,185417
2024-06-27,59.34,59.92,59.34,59.42,99017
2024-06-28,59.83,60.08,58.6,58.6,190627
2024-07-01,58.76,60.0,58.68,59.18,270517
2024-07-02,59.92,59.92,59.01,59.09,237449
2024-07-03,59.34,59.75,58.68,59.59,231398
2024-07-04,59.59,59.75,59.01,59.01,127159
2024-07-05,59.34,59.92,59.09,59.34,204311
2024-07-08,59.59,60.08,59.51,60.08,178568
2024-07-09,60.08,60.49,60.08,60.49,163358
2024-07-10,60.99,61.07,59.34,59.34,214153
2024-07-11,60.16,60.16,59.26,59.26,134000
2024-07-12,59.76,59.76,58.67,58.92,140578
2024-07-15,59.01,59.76,59.01,59.42,89871
2024-07-16,59.42,61.1,59.42,60.76,237908
2024-07-17,60.85,60.85,59.34,60.34,221548
2024-07-18,60.34,60.43,59.51,60.43,183698
2024-07-19,60.43,60.43,59.59,60.26,63050
2024-07-22,60.26,61.26,58.25,58.34,458222
2024-07-23,58.25,58.51,56.42,56.83,347086
2024-07-24,56.92,57.84,56.42,57.34,160938
2024-07-25,56.5,57.0,56.33,57.0,143448
2024-07-26,56.58,57.75,56.58,57.0,131841
2024-07-29,57.08,58.09,57.0,58.09,44040
2024-07-30,58.09,58.09,57.08,57.67,55754
2024-07-31,57.67,57.67,56.42,57.08,146819
2024-08-01,56.83,56.83,53.49,53.49,267622
2024-08-02,53.49,53.49,52.24,53.49,128354
2024-08-05,53.07,53.07,49.98,49.98,114018
2024-08-06,52.24,52.24,51.07,51.9,101514
2024-08-07,52.4,53.07,51.15,53.07,59810
2024-08-08,51.15,54.16,51.15,52.91,28632
2024-08-09,52.65,53.49,52.15,53.24,161150
2024-08-12,52.32,54.08,52.32,53.99,106816
2024-08-13,53.24,54.08,52.32,53.91,157788
2024-08-14,53.91,54.24,53.07,54.24,144318
2024-08-15,53.49,54.74,53.49,53.66,134014
2024-08-16,53.91,55.58,53.91,54.74,120225
2024-08-19,55.08,56.0,54.33,54.99,138512
2024-08-20,55.83,55.83,54.74,54.99,89618
2024-08-21,54.74,55.58,54.33,55.5,73223
2024-08-22,55.33,55.91,55.16,55.5,144450
2024-08-23,55.5,55.5,54.74,55.41,94712
2024-08-26,55.41,55.41,54.99,55.41,117434
2024-08-27,54.99,55.41,54.99,55.41,47929
2024-08-28,55.16,55.25,54.74,54.74,45943
2024-08-29,54.91,55.5,53.91,55.08,50941
2024-08-30,55.16,55.16,54.41,54.58,40874
2024-09-04,54.58,54.58,53.91,53.99,39469
2024-09-05,53.91,54.16,53.41,53.49,94793
2024-09-06,53.49,53.49,52.91,53.49,67741
2024-09-09,53.07,53.82,52.65,52.91,20914
2024-09-10,52.65,52.99,51.57,51.57,78477
2024-09-11,52.49,52.49,51.4,51.74,44531
2024-09-12,52.99,52.99,51.99,51.99,37595
2024-09-13,51.99,52.65,51.99,51.99,39610
2024-09-16,51.99,52.65,51.65,51.65,55786
2024-09-17,51.23,54.41,51.23,52.32,25449
2024-09-18,52.91,53.07,51.9,52.15,38303
2024-09-19,52.65,52.65,51.82,51.82,20991
2024-09-20,52.07,52.65,51.74,51.82,78700
2024-09-23,52.24,52.24,51.82,51.82,23424
2024-09-24,52.57,52.57,51.74,51.82,96957
2024-09-25,52.49,52.49,51.74,51.82,105980
2024-09-26,52.15,52.15,51.65,51.65,72780
2024-09-27,51.74,51.74,50.98,51.48,43696
2024-09-30,51.82,51.82,50.73,50.73,93190
2024-10-01,50.65,51.74,50.15,50.4,273866
2024-10-02,50.4,51.4,50.4,50.82,107586
2024-10-03,50.57,50.82,50.31,50.48,146094
2024-10-04,50.31,50.48,49.4,49.4,215922
2024-10-07,50.9,52.65,49.73,50.82,164946
2024-10-08,50.82,52.57,50.65,50.82,108650
2024-10-09,50.82,51.48,50.65,51.48,320955
2024-10-10,51.99,51.99,51.48,51.65,57727
2024-10-11,51.65,51.82,51.15,51.65,127540
2024-10-14,51.65,51.65,51.07,51.65,122868
2024-10-15,51.65,51.65,50.98,50.98,122290
2024-10-16,51.07,51.48,50.9,51.4,65442
2024-10-17,51.4,51.48,51.07,51.48,67349
2024-10-18,51.57,51.65,51.15,51.23,69944
2024-10-21,51.07,51.4,50.48,50.48,88242
2024-10-22,50.23,50.48,50.06,50.15,101320
2024-10-23,49.81,50.06,49.23,50.06,81012
2024-10-24,50.06,50.06,49.14,49.14,160442
2024-10-25,49.14,49.73,49.14,49.31,58451
2024-10-28,49.31,49.9,48.89,49.73,82968
2024-10-29,50.06,51.65,50.06,51.65,281942
2024-10-30,51.74,51.82,50.98,51.82,133753
2024-10-31,52.4,52.91,51.4,52.65,239657
2024-11-01,52.65,52.65,50.98,51.99,124915
2024-11-04,51.74,51.74,50.98,51.15,101367
2024-11-05,50.73,51.57,50.73,51.15,71403
2024-11-06,51.15,52.65,51.15,52.57,162284
2024-11-07,52.82,53.32,52.15,52.24,187178
2024-11-08,52.07,54.24,51.82,54.08,543708
2024-11-11,54.41,54.91,54.16,54.83,274455
2024-11-12,54.83,54.83,53.57,53.74,168510
2024-11-13,53.41,55.08,53.32,54.33,235418
2024-11-14,54.08,54.74,51.99,51.99,297154
2024-11-15,52.32,53.07,52.07,52.65,311733
2024-11-18,52.65,53.41,52.4,53.07,168460
2024-11-19,52.91,53.41,50.15,50.82,155425
2024-11-20,50.9,53.49,50.23,51.82,288837
2024-11-21,52.49,52.49,51.15,52.15,36982
2024-11-22,52.24,52.24,51.65,51.82,70485
2024-11-25,51.48,52.15,51.32,51.82,44508
2024-11-26,51.82,52.65,51.82,51.82,131836
2024-11-27,52.57,52.57,51.4,51.82,137520
2024-11-28,51.99,52.15,51.65,51.9,42645
2024-11-29,52.07,53.41,51.9,53.41,277402
2024-12-02,53.41,53.57,53.24,53.57,154114
2024-12-03,53.66,54.16,53.41,53.74,136491
2024-12-04,53.74,53.74,52.91,52.91,120823
2024-12-05,52.82,54.08,52.82,53.57,200909
2024-12-06,53.57,54.58,53.57,53.82,178474
2024-12-09,53.82,54.16,53.41,53.82,83833
2024-12-10,53.82,53.82,53.49,53.49,93341
2024-12-11,53.32,53.82,52.91,52.91,174699
