date,open,high,low,close,volume
2023-02-24,12.48,12.48,12.48,12.48,0
2023-02-27,12.48,12.48,12.48,12.48,0
2023-02-28,12.48,12.48,12.48,12.48,0
2023-03-01,12.48,12.48,12.48,12.48,0
2023-03-02,12.48,12.48,12.48,12.48,0
2023-03-03,12.48,12.48,12.48,12.48,0
2023-03-06,12.48,12.48,12.48,12.48,0
2023-03-07,12.48,12.48,12.48,12.48,0
2023-03-08,12.48,12.48,12.48,12.48,0
2023-03-09,12.48,12.48,12.48,12.48,0
2023-03-10,12.48,12.48,12.48,12.48,0
2023-03-13,12.48,12.48,12.48,12.48,0
2023-03-14,12.48,12.48,12.48,12.48,0
2023-03-15,12.48,12.48,12.48,12.48,0
2023-03-16,12.48,12.48,12.48,12.48,0
2023-03-17,12.48,12.48,12.48,12.48,0
2023-03-20,12.48,12.48,12.48,12.48,0
2023-03-21,12.48,12.48,12.48,12.48,0
2023-03-22,11.29,11.29,11.29,11.29,1500
2023-03-23,11.29,11.29,11.29,11.29,0
2023-03-24,11.29,11.29,11.29,11.29,0
2023-03-27,11.29,11.29,11.29,11.29,0
2023-03-28,11.29,11.29,11.29,11.29,0
2023-03-29,11.29,11.29,11.29,11.29,0
2023-03-30,11.29,11.29,11.29,11.29,0
2023-03-31,11.29,11.29,11.29,11.29,0
2023-04-03,11.29,11.29,11.29,11.29,0
2023-04-04,11.29,11.29,11.29,11.29,0
2023-04-05,11.29,11.29,11.29,11.29,0
2023-04-06,11.29,11.29,11.29,11.29,0
2023-04-07,11.29,11.29,11.29,11.29,0
2023-04-10,10.21,10.21,10.21,10.21,1000
2023-04-11,10.21,10.21,10.21,10.21,0
2023-04-12,10.21,10.21,10.21,10.21,0
2023-04-13,10.21,10.21,10.21,10.21,0
2023-04-14,10.21,10.21,10.21,10.21,0
2023-04-17,10.99,10.99,9.2,9.5,600
2023-04-18,8.6,8.6,8.6,8.6,100
2023-04-19,9.32,9.32,7.77,7.77,200
2023-04-20,8.54,8.54,8.54,8.54,200
2023-04-21,9.38,9.38,9.38,9.38,1000
2023-04-24,9.38,9.38,9.38,9.38,0
2023-04-25,9.38,9.38,9.38,9.38,0
2023-04-26,9.38,9.38,9.38,9.38,0
2023-04-27,9.38,9.38,9.38,9.38,0
2023-04-28,9.38,9.38,9.38,9.38,0
2023-05-04,8.96,8.96,8.96,8.96,2900
2023-05-05,8.96,8.96,8.96,8.96,0
2023-05-08,8.96,8.96,8.96,8.96,200
2023-05-09,8.96,9.86,8.96,9.86,8600
2023-05-10,8.96,8.96,8.96,8.96,300
2023-05-11,8.96,8.96,8.96,8.96,5900
