date,open,high,low,close,volume
2023-11-09,25.87,25.87,25.87,25.87,0
2023-11-10,24.67,25.87,24.67,25.87,11540
2023-11-13,25.87,25.87,25.47,25.87,8641
2023-11-14,25.87,25.87,25.87,25.87,0
2023-11-15,25.67,25.87,25.67,25.87,11800
2023-11-16,25.87,25.87,25.87,25.87,0
2023-11-17,25.87,25.87,25.87,25.87,20
2023-11-20,25.87,25.87,25.87,25.87,0
2023-11-21,25.87,25.87,25.87,25.87,0
2023-11-22,25.87,27.33,25.87,27.33,1900
2023-11-23,27.47,29.8,27.47,29.8,890
2023-11-24,26.87,30.0,26.87,30.0,7976
2023-11-27,30.0,32.93,27.4,32.93,2020
2023-11-28,32.0,33.34,32.0,33.34,2100
2023-11-29,33.34,33.34,33.34,33.34,601
2023-11-30,34.0,35.6,30.0,30.0,82810
2023-12-01,30.0,30.0,30.0,30.0,60
2023-12-04,27.47,32.67,27.47,32.67,3066
2023-12-05,32.67,35.74,32.67,35.74,44783
2023-12-06,35.74,38.0,35.74,37.34,10000
2023-12-07,40.6,40.6,33.6,37.34,49173
2023-12-08,37.34,37.34,34.67,34.67,45656
2023-12-11,33.6,33.6,31.33,31.4,6057
2023-12-12,31.4,33.2,28.4,33.2,10758
2023-12-13,33.34,33.34,29.93,29.93,800
2023-12-14,28.27,32.0,28.27,32.0,10534
2023-12-15,32.0,32.0,32.0,32.0,271
2023-12-18,28.87,28.93,28.87,28.87,15462
2023-12-19,26.73,26.73,26.73,26.73,299
2023-12-20,26.13,28.93,24.73,28.93,14400
2023-12-21,31.2,31.2,31.2,31.2,203
2023-12-22,28.33,28.33,28.33,28.33,3200
2023-12-25,26.2,26.2,26.2,26.2,1214
2023-12-26,26.67,27.87,26.67,27.87,3600
2023-12-27,26.67,26.73,25.8,25.8,34300
2023-12-28,26.67,26.67,26.67,26.67,300
2023-12-29,25.33,25.33,24.47,24.47,12329
2024-01-02,24.67,25.27,24.53,25.13,1703
2024-01-03,26.6,26.6,25.0,25.47,7500
2024-01-04,24.67,25.0,24.53,25.0,6107
2024-01-05,25.0,26.27,24.8,26.27,1700
2024-01-08,26.27,26.27,26.27,26.27,0
2024-01-09,27.27,27.27,26.67,26.67,7013
2024-01-10,26.6,26.6,26.6,26.6,300
2024-01-11,26.53,26.53,25.0,25.0,5100
2024-01-12,26.4,26.4,24.8,26.2,8200
2024-01-15,24.47,25.87,24.07,25.8,10300
2024-01-16,24.07,24.07,23.47,23.47,6400
2024-01-17,23.53,25.8,23.27,25.6,13973
2024-01-18,27.07,27.07,27.07,27.07,100
2024-01-19,24.73,24.73,24.73,24.73,100
2024-01-22,24.73,26.0,23.6,23.8,6302
2024-01-23,25.4,25.4,25.4,25.4,100
2024-01-24,24.0,24.0,24.0,24.0,1200
2024-01-25,23.87,23.87,23.87,23.87,2400
2024-01-26,24.13,25.27,24.13,24.93,18325
2024-01-29,24.93,24.93,24.93,24.93,100
2024-01-30,24.93,26.8,23.87,24.07,12608
2024-01-31,26.0,26.0,23.87,25.2,801
2024-02-01,25.87,25.87,23.8,24.93,11700
2024-02-02,25.33,25.33,23.33,23.8,1000
2024-02-05,25.53,25.53,23.07,23.93,28454
2024-02-06,24.33,24.33,23.2,24.0,1800
2024-02-07,23.0,24.47,22.93,24.0,11000
2024-02-15,23.8,23.8,23.47,23.53,1000
2024-02-16,24.2,24.2,22.87,23.27,12129
2024-02-19,23.33,23.33,23.33,23.33,5291
2024-02-20,23.27,23.27,22.93,22.93,14600
2024-02-21,22.93,22.93,22.6,22.6,10439
2024-02-22,22.67,23.33,22.67,22.67,21900
2024-02-23,22.67,22.67,22.67,22.67,1100
2024-02-26,22.67,23.27,22.6,23.27,2311
2024-02-27,23.27,23.27,23.27,23.27,3600
2024-02-28,23.07,23.07,23.07,23.07,100
2024-02-29,23.07,23.33,23.07,23.33,700
2024-03-01,23.33,23.8,23.33,23.8,4920
2024-03-04,23.73,24.93,23.73,24.93,8223
2024-03-05,23.47,23.47,23.47,23.47,191
2024-03-06,24.33,24.33,22.67,24.27,5100
2024-03-07,23.4,24.53,23.4,24.47,600
2024-03-08,23.33,24.33,23.33,24.33,1100
2024-03-11,23.33,23.87,23.33,23.87,1100
2024-03-12,23.07,23.73,23.0,23.73,3300
2024-03-13,23.73,23.73,23.73,23.73,0
2024-03-14,22.67,23.67,22.67,23.67,346
2024-03-15,23.67,23.67,23.67,23.67,100
2024-03-18,23.67,23.67,23.33,23.67,1810
2024-03-19,23.33,23.33,23.33,23.33,1910
2024-03-20,23.8,23.8,23.07,23.33,93011
2024-03-21,23.33,23.33,23.33,23.33,1109
2024-03-22,22.67,24.13,22.67,23.33,958
2024-03-25,23.33,23.8,23.33,23.8,310
2024-03-26,22.93,24.67,22.93,24.47,900
2024-03-27,24.47,24.47,24.47,24.47,17
2024-03-28,26.27,26.27,26.27,26.27,200
2024-03-29,23.67,23.67,23.67,23.67,100
