date,open,high,low,close,volume
2024-01-25,4.3,4.3,4.3,4.3,0
2024-01-26,4.2,4.2,4.2,4.2,3300
2024-01-29,4.2,4.2,4.2,4.2,11500
2024-01-30,4.2,4.2,4.2,4.2,1
2024-01-31,4.3,4.3,4.2,4.2,5600
2024-02-01,4.2,4.2,4.2,4.2,300
2024-02-02,4.2,4.2,4.2,4.2,2000
2024-02-05,4.2,4.2,4.2,4.2,200
2024-02-06,4.1,4.2,4.1,4.2,1200
2024-02-07,4.1,4.1,4.1,4.1,300
2024-02-15,4.1,4.2,4.1,4.2,7300
2024-02-16,4.3,4.3,4.3,4.3,1234
2024-02-19,4.4,4.4,4.2,4.2,1200
2024-02-20,4.4,4.4,4.3,4.3,8700
2024-02-21,4.3,4.3,4.3,4.3,600
2024-02-22,4.3,4.3,4.3,4.3,12200
2024-02-23,4.3,4.3,4.2,4.2,15700
2024-02-26,4.3,4.3,4.3,4.3,7752
2024-02-27,4.3,4.3,4.1,4.1,1800
2024-02-28,4.3,4.4,4.3,4.4,10324
2024-02-29,4.4,4.4,4.3,4.4,1100
2024-03-01,4.4,4.4,3.9,4.3,21609
2024-03-04,4.3,4.4,4.2,4.3,55600
2024-03-05,4.4,4.5,4.2,4.3,10658
2024-03-06,4.4,4.4,4.2,4.3,9412
2024-03-07,4.3,4.3,4.3,4.3,1800
2024-03-08,4.3,4.4,4.3,4.3,47700
2024-03-11,4.2,4.4,4.2,4.2,1911
2024-03-12,4.2,4.3,4.2,4.3,4201
2024-03-13,4.2,4.2,4.2,4.2,1010
2024-03-14,4.3,4.4,4.3,4.4,31400
2024-03-15,4.4,4.4,4.4,4.4,5020
2024-03-18,4.4,4.4,4.2,4.2,9316
2024-03-19,4.3,4.3,4.3,4.3,14403
2024-03-20,4.4,4.4,4.3,4.3,600
2024-03-21,4.3,4.4,4.3,4.4,21431
2024-03-22,4.4,4.5,4.4,4.5,42912
2024-03-25,4.5,4.6,4.5,4.5,8235
2024-03-26,4.5,4.6,4.5,4.5,8401
2024-03-27,4.5,4.6,4.5,4.5,10121
2024-03-28,4.5,4.5,4.5,4.5,9409
2024-03-29,4.5,4.6,4.4,4.6,30303
2024-04-01,4.6,4.8,4.6,4.7,36980
2024-04-02,4.8,5.0,4.7,4.9,36266
2024-04-03,5.0,5.5,5.0,5.5,340654
2024-04-04,5.6,6.2,5.6,5.6,94201
2024-04-05,5.5,5.8,5.1,5.1,109411
2024-04-08,5.2,5.2,4.6,4.6,107523
2024-04-09,5.1,5.1,4.8,5.0,10102
2024-04-10,5.2,5.2,4.4,4.6,49400
2024-04-11,4.5,4.5,4.3,4.5,19822
2024-04-12,4.5,4.5,4.1,4.5,47900
2024-04-15,4.5,4.5,3.7,4.3,33205
2024-04-16,3.7,4.3,3.6,4.3,33406
2024-04-17,3.8,4.4,3.7,4.4,17900
2024-04-19,4.4,4.4,3.8,4.2,25310
2024-04-22,4.2,4.2,4.0,4.0,5735
2024-04-23,4.2,4.2,3.8,4.0,6800
2024-04-24,4.0,4.2,3.9,4.2,14200
2024-04-25,4.2,4.2,4.1,4.1,2010
2024-04-26,4.1,4.3,3.9,4.1,30800
2024-05-02,4.2,4.2,4.2,4.2,2300
2024-05-03,4.2,4.2,4.2,4.2,6604
2024-05-06,4.1,4.2,4.0,4.2,8350
2024-05-07,4.5,4.5,4.1,4.2,2606
2024-05-08,4.2,4.5,4.2,4.3,24393
2024-05-09,4.3,4.3,4.0,4.2,18409
2024-05-10,4.2,4.2,4.0,4.0,20711
2024-05-13,4.2,4.2,4.1,4.1,1100
2024-05-14,4.1,4.1,4.1,4.1,8112
2024-05-15,4.1,4.1,4.0,4.1,12353
2024-05-16,4.1,4.2,4.1,4.2,10503
2024-05-17,4.2,4.2,4.0,4.1,20008
2024-05-20,4.1,4.1,4.0,4.1,9510
2024-05-21,4.0,4.1,4.0,4.1,19505
2024-05-22,4.1,4.1,4.1,4.1,12005
2024-05-23,4.1,4.1,4.1,4.1,8721
2024-05-24,4.1,4.3,4.1,4.2,24763
2024-05-27,4.2,4.3,4.2,4.2,15327
2024-05-28,4.3,4.4,4.2,4.2,21404
2024-05-29,4.2,4.4,4.1,4.2,25520
2024-05-30,4.2,4.2,4.1,4.2,6537
2024-05-31,4.2,4.2,4.1,4.1,9008
2024-06-03,4.1,4.2,4.1,4.1,8656
2024-06-04,4.2,4.2,4.1,4.1,8597
2024-06-05,4.2,4.2,4.1,4.2,5705
2024-06-06,4.2,4.2,4.1,4.2,25113
2024-06-07,4.2,4.5,4.2,4.5,55139
2024-06-10,4.4,4.5,4.4,4.5,7043
2024-06-11,4.5,5.1,4.5,5.1,141947
2024-06-12,5.1,5.1,4.8,5.0,16345
2024-06-13,5.0,5.2,4.5,4.6,39893
2024-06-14,4.6,4.8,4.5,4.7,38710
2024-06-17,4.2,4.5,4.2,4.4,12450
2024-06-18,4.4,4.5,4.2,4.5,9318
2024-06-19,4.5,4.6,4.4,4.6,7944
2024-06-20,4.6,4.7,4.3,4.4,22805
2024-06-21,4.4,4.5,4.3,4.3,12320
2024-06-24,4.6,4.8,4.6,4.7,109963
2024-06-25,4.6,4.7,4.6,4.6,2626
2024-06-26,4.7,4.7,4.3,4.6,21920
2024-06-27,4.6,4.6,4.5,4.5,9337
2024-06-28,4.5,4.6,4.4,4.4,6010
2024-07-01,4.5,4.7,4.3,4.3,7272
2024-07-02,4.5,4.5,4.4,4.4,5101
2024-07-03,4.4,4.6,4.4,4.4,6278
2024-07-04,4.6,4.8,4.5,4.8,54737
2024-07-05,4.6,4.9,4.6,4.6,25006
2024-07-08,4.6,4.6,4.5,4.6,2526
2024-07-09,4.6,4.7,4.4,4.6,17842
2024-07-10,4.6,4.7,4.5,4.7,11630
2024-07-11,4.7,4.7,4.4,4.5,6045
2024-07-12,4.7,4.7,4.3,4.6,13208
2024-07-15,4.6,4.6,4.4,4.4,6442
2024-07-16,4.5,4.5,4.5,4.5,36425
2024-07-17,4.5,4.5,4.3,4.3,8604
2024-07-18,4.4,4.5,4.3,4.5,17253
2024-07-19,4.4,4.5,4.4,4.5,5569
2024-07-22,4.5,4.6,4.3,4.4,11918
2024-07-23,4.4,4.4,4.4,4.4,1609
2024-07-24,4.3,4.3,4.3,4.3,10133
2024-07-25,4.3,4.3,4.2,4.2,12507
2024-07-26,4.2,4.2,4.2,4.2,7100
2024-07-29,4.2,4.2,4.2,4.2,4200
2024-07-30,4.2,4.3,4.2,4.3,11200
2024-07-31,4.3,4.3,4.2,4.2,4600
2024-08-01,4.3,4.3,4.2,4.2,1900
2024-08-02,4.2,4.2,4.1,4.1,5600
2024-08-05,4.2,4.2,4.1,4.1,14400
2024-08-06,4.2,4.2,4.1,4.2,8400
2024-08-07,4.1,4.3,4.1,4.3,2500
2024-08-08,4.3,4.3,4.2,4.2,16300
2024-08-09,4.2,4.2,4.2,4.2,9300
2024-08-12,4.2,4.2,4.2,4.2,28900
2024-08-13,4.2,4.3,4.2,4.3,11900
2024-08-14,4.3,4.4,4.3,4.4,9800
2024-08-15,4.4,4.4,4.4,4.4,7300
2024-08-16,4.4,4.5,4.4,4.5,7300
2024-08-19,4.5,4.6,4.5,4.6,17000
2024-08-20,4.5,4.7,4.5,4.7,11900
2024-08-21,4.6,4.8,4.6,4.8,80700
2024-08-22,4.8,5.0,4.8,5.0,87600
2024-08-23,5.0,5.0,4.7,4.8,34500
2024-08-26,4.8,4.8,4.6,4.6,111200
2024-08-27,4.6,4.6,4.5,4.5,16100
2024-08-28,4.5,4.5,4.5,4.5,9600
2024-08-29,4.5,4.5,4.5,4.5,5800
2024-08-30,4.5,4.5,4.5,4.5,16800
2024-09-04,4.5,4.5,4.3,4.5,22100
2024-09-05,4.5,4.7,4.5,4.7,11300
2024-09-06,4.8,5.0,4.7,4.8,15600
2024-09-09,4.2,4.7,4.2,4.7,21800
2024-09-10,4.7,4.8,4.7,4.8,216700
2024-09-11,5.1,5.1,4.7,4.8,85600
2024-09-12,4.8,5.0,4.2,4.3,71500
2024-09-13,4.5,4.5,4.3,4.4,34800
2024-09-16,4.4,4.4,4.4,4.4,34500
2024-09-17,4.4,4.4,4.4,4.4,30600
2024-09-18,4.4,4.4,4.4,4.4,9800
2024-09-19,4.4,4.5,4.4,4.5,13500
2024-09-20,4.5,4.5,4.4,4.5,3400
2024-09-23,4.4,4.4,4.4,4.4,25500
2024-09-24,4.4,4.5,4.4,4.5,15500
2024-09-25,4.5,4.5,4.4,4.4,30300
2024-09-26,4.5,4.5,4.4,4.5,6900
2024-09-27,4.4,4.4,4.4,4.4,18600
2024-09-30,4.4,4.5,4.4,4.5,12700
2024-10-01,4.5,4.5,4.4,4.4,10600
2024-10-02,4.5,4.5,4.4,4.4,26000
2024-10-03,4.4,4.5,4.4,4.5,24400
2024-10-04,4.5,4.5,4.1,4.4,21800
2024-10-07,4.5,4.8,4.5,4.8,249200
2024-10-08,5.5,5.5,4.7,4.8,75900
2024-10-09,4.8,4.9,4.4,4.5,215900
2024-10-10,4.5,4.6,4.4,4.4,23800
2024-10-11,4.3,4.5,4.3,4.4,38700
2024-10-14,4.4,4.6,3.8,4.6,101500
2024-10-15,4.6,4.7,4.6,4.7,94500
2024-10-16,4.7,4.9,4.5,4.7,40500
2024-10-17,4.7,4.7,4.2,4.3,57800
2024-10-18,4.3,4.4,4.2,4.3,40200
2024-10-21,4.4,4.4,4.2,4.3,53100
2024-10-22,4.3,4.4,4.2,4.4,40500
2024-10-23,4.2,4.4,4.1,4.4,20100
2024-10-24,4.4,4.4,4.2,4.4,8700
2024-10-25,4.2,4.4,4.2,4.3,25000
2024-10-28,4.2,4.2,4.1,4.2,9700
2024-10-29,4.2,4.3,4.1,4.3,20100
2024-10-30,4.2,4.2,4.1,4.2,26200
2024-10-31,4.1,4.2,4.1,4.2,9900
2024-11-01,4.2,4.2,4.0,4.2,5000
2024-11-04,4.0,4.4,4.0,4.3,8900
2024-11-05,4.3,4.5,4.2,4.2,6500
2024-11-06,4.2,4.3,4.1,4.3,5600
2024-11-07,4.3,4.3,4.2,4.3,2500
2024-11-08,4.2,4.3,4.2,4.2,16000
2024-11-11,4.2,4.2,4.0,4.2,27700
2024-11-12,4.1,4.1,4.1,4.1,8400
2024-11-13,4.1,4.1,4.1,4.1,900
2024-11-14,4.1,4.1,3.9,4.1,14700
2024-11-15,4.1,4.1,4.0,4.0,2500
2024-11-18,4.0,4.1,4.0,4.1,200
2024-11-19,4.1,4.1,4.1,4.1,300
2024-11-20,4.1,4.1,4.1,4.1,4500
2024-11-21,4.1,4.1,4.0,4.0,3300
2024-11-22,4.0,4.1,4.0,4.0,7800
2024-11-25,4.1,4.1,4.0,4.1,10700
2024-11-26,4.2,4.2,4.2,4.2,700
2024-11-27,4.1,4.1,4.0,4.0,2300
2024-11-28,4.0,4.1,4.0,4.1,1900
2024-11-29,4.0,4.1,4.0,4.1,200
2024-12-02,4.1,4.1,4.1,4.1,700
2024-12-03,4.1,4.1,4.0,4.0,4400
2024-12-04,4.0,4.0,4.0,4.0,9200
2024-12-05,4.0,4.0,3.9,3.9,12100
2024-12-06,3.9,4.0,3.9,4.0,1500
2024-12-09,4.1,4.1,4.1,4.1,2100
2024-12-10,4.1,4.1,4.0,4.0,7900
2024-12-11,4.0,4.0,3.9,4.0,21100
2024-12-12,4.0,4.0,4.0,4.0,3100
2024-12-13,4.1,4.1,4.0,4.0,2200
2024-12-17,4.0,4.0,4.0,4.0,3100
2024-12-18,4.0,4.0,4.0,4.0,1500
2024-12-19,4.0,4.0,4.0,4.0,10600
2024-12-20,4.2,4.2,4.1,4.2,300
2024-12-23,4.0,4.0,4.0,4.0,2000
2024-12-24,4.0,4.1,4.0,4.1,8500
2024-12-25,4.0,4.1,4.0,4.0,4100
2024-12-26,4.0,4.0,4.0,4.0,4300
2024-12-27,4.0,4.1,4.0,4.1,5800
2024-12-30,4.1,4.1,4.1,4.1,2100
2024-12-31,4.0,4.0,4.0,4.0,3000
2025-01-02,4.0,4.0,4.0,4.0,6400
2025-01-03,4.0,4.1,4.0,4.1,16700
2025-01-06,4.0,4.0,4.0,4.0,17000
2025-01-07,4.0,4.0,4.0,4.0,6300
2025-01-08,4.0,4.0,4.0,4.0,10500
2025-01-09,4.0,4.0,4.0,4.0,1000
2025-01-10,4.0,4.0,4.0,4.0,11700
2025-01-13,4.0,4.2,4.0,4.2,7100
2025-01-14,4.0,4.0,4.0,4.0,2500
2025-01-15,4.4,4.4,4.0,4.0,12100
2025-01-16,4.0,4.0,4.0,4.0,5400
2025-01-17,4.0,4.1,4.0,4.1,1500
2025-01-20,4.0,4.0,4.0,4.0,10300
2025-01-21,4.0,4.0,4.0,4.0,11600
2025-01-22,4.0,4.0,4.0,4.0,1300
2025-01-23,4.0,4.0,4.0,4.0,2300
2025-01-24,4.0,4.0,4.0,4.0,3000
2025-02-04,4.0,4.1,4.0,4.1,9200
2025-02-05,4.0,4.0,4.0,4.0,900
2025-02-06,4.0,4.0,4.0,4.0,6200
2025-02-07,4.1,4.1,4.1,4.1,3300
2025-02-10,4.0,4.2,4.0,4.1,11300
2025-02-11,4.1,4.1,4.1,4.1,1800
2025-02-12,4.1,4.1,4.1,4.1,200
2025-02-13,4.1,4.3,4.1,4.2,11100
2025-02-14,4.1,4.2,4.1,4.2,8900
2025-02-17,4.2,4.2,4.1,4.2,6800
2025-02-18,4.1,4.3,4.1,4.2,27400
2025-02-19,4.2,4.3,4.2,4.3,28300
2025-02-20,4.3,4.4,4.2,4.3,34200
2025-02-21,4.3,4.3,4.2,4.2,54700
2025-02-24,4.2,4.2,4.1,4.2,15700
2025-02-25,4.1,4.2,4.1,4.2,102700
2025-02-26,4.2,4.3,4.1,4.2,71100
2025-02-27,4.3,4.3,4.2,4.2,33200
2025-02-28,4.2,4.3,4.1,4.2,58300
2025-03-03,4.1,4.2,4.1,4.1,8300
2025-03-04,4.1,4.1,4.1,4.1,52100
2025-03-05,4.1,4.2,4.1,4.2,5500
2025-03-06,4.2,4.2,4.1,4.1,6500
2025-03-07,4.1,4.2,4.0,4.2,2600
2025-03-10,4.1,4.2,4.0,4.0,53800
2025-03-11,4.2,4.2,4.0,4.0,45600
2025-03-12,3.9,4.0,3.9,4.0,6000
2025-03-13,4.0,4.0,3.9,4.0,10400
2025-03-14,4.0,4.1,4.0,4.1,3300
2025-03-17,4.0,4.0,3.9,4.0,2500
2025-03-18,3.9,4.2,3.9,4.1,23100
2025-03-19,4.2,4.2,4.0,4.0,11600
2025-03-20,4.1,4.1,4.0,4.0,23200
2025-03-21,4.0,4.1,4.0,4.0,6400
2025-03-24,4.0,4.1,3.9,4.1,17200
2025-03-25,4.1,4.1,4.0,4.0,2800
2025-03-26,4.1,4.1,4.1,4.1,300
2025-03-27,4.0,4.0,4.0,4.0,1600
2025-03-28,4.1,4.1,4.0,4.0,5900
2025-03-31,4.0,4.0,4.0,4.0,12200
2025-04-01,3.9,4.1,3.9,4.0,600
2025-04-02,4.0,4.1,3.9,4.0,2100
2025-04-03,3.9,3.9,3.6,3.7,23800
2025-04-04,3.4,3.8,3.3,3.8,10300
2025-04-08,3.4,3.4,3.1,3.1,26100
2025-04-09,3.1,3.3,3.1,3.3,10700
2025-04-10,3.5,3.5,3.5,3.5,2600
2025-04-11,3.5,3.8,3.5,3.8,6300
2025-04-14,3.8,3.8,3.7,3.8,8400
2025-04-15,3.6,3.7,3.6,3.6,32600
2025-04-16,3.6,3.7,3.6,3.7,2900
2025-04-17,3.8,3.8,3.7,3.7,5300
2025-04-18,3.7,3.8,3.7,3.8,10400
2025-04-21,3.8,3.8,3.7,3.7,700
2025-04-22,3.7,3.8,3.7,3.7,53200
2025-04-23,3.7,3.7,3.7,3.7,20000
2025-04-24,3.7,3.7,3.7,3.7,2000
2025-04-25,3.8,3.8,3.8,3.8,1000
2025-04-28,3.7,3.7,3.7,3.7,4600
2025-04-29,3.7,3.7,3.7,3.7,500
2025-05-05,3.7,3.7,3.7,3.7,25100
2025-05-06,3.7,3.7,3.7,3.7,11400
2025-05-07,3.7,3.7,3.7,3.7,6200
2025-05-08,3.8,4.2,3.8,4.2,237000
2025-05-09,4.2,4.2,4.0,4.0,13300
2025-05-12,4.0,4.1,3.7,3.7,113800
2025-05-13,4.0,4.0,3.7,3.7,33700
2025-05-14,3.8,4.0,3.7,3.7,11300
2025-05-15,3.8,3.8,3.8,3.8,1600
2025-05-16,3.8,3.9,3.6,3.6,25900
2025-05-19,3.6,3.8,3.6,3.6,8100
2025-05-20,3.6,3.7,3.6,3.7,23800
2025-05-21,3.7,3.7,3.6,3.7,28600
2025-05-22,3.6,3.7,3.6,3.6,17400
2025-05-23,3.6,3.6,3.6,3.6,1000
2025-05-26,3.7,3.7,3.6,3.6,12300
2025-05-27,3.6,3.6,3.6,3.6,17300
2025-05-28,3.7,3.8,3.7,3.7,3100
2025-05-29,3.7,3.7,3.6,3.6,4100
2025-05-30,3.6,3.7,3.6,3.7,14200
2025-06-02,3.7,3.7,3.2,3.6,7900
2025-06-03,3.6,3.7,3.6,3.7,15800
2025-06-04,3.7,3.7,3.6,3.7,9000
2025-06-05,3.6,3.7,3.6,3.6,3600
2025-06-06,3.6,3.6,3.6,3.6,3100
2025-06-09,3.6,3.6,3.6,3.6,1900
2025-06-10,3.6,3.7,3.6,3.7,5900
2025-06-11,3.7,3.7,3.7,3.7,800
2025-06-12,3.7,3.7,3.7,3.7,2100
2025-06-13,3.7,4.2,3.7,4.0,176800
2025-06-16,4.0,4.3,4.0,4.3,226400
2025-06-17,4.4,4.7,3.9,4.0,145400
2025-06-18,4.2,4.4,4.2,4.2,27200
2025-06-19,4.0,4.2,4.0,4.2,37800
2025-06-20,4.0,4.0,3.9,4.0,31500
2025-06-23,4.0,4.4,4.0,4.4,230700
2025-06-24,4.4,4.4,4.0,4.2,74500
2025-06-25,4.1,4.1,3.8,4.0,38400
2025-06-26,3.9,4.0,3.9,3.9,20900
2025-06-27,3.9,4.0,3.9,3.9,19000
2025-06-30,4.0,4.0,3.9,3.9,26500
2025-07-01,3.9,4.0,3.8,3.9,49000
2025-07-02,3.9,4.0,3.8,3.9,10200
2025-07-03,3.9,4.0,3.8,3.9,57300
2025-07-04,3.9,4.0,3.8,3.9,9300
2025-07-07,3.9,4.0,3.9,3.9,2000
2025-07-08,3.9,3.9,3.8,3.9,6100
2025-07-09,3.9,4.1,3.9,4.0,20000
2025-07-10,4.0,4.2,4.0,4.2,32500
2025-07-11,4.1,4.2,4.1,4.1,20700
2025-07-14,4.2,4.2,4.1,4.1,14300
2025-07-15,4.1,4.1,4.1,4.1,5400
2025-07-16,4.1,4.3,4.1,4.2,12200
2025-07-17,4.3,4.3,4.1,4.1,24700
2025-07-18,4.1,4.3,4.1,4.2,12000
2025-07-21,4.2,4.2,4.1,4.2,8300
2025-07-22,4.1,4.2,4.1,4.2,36100
