date,open,high,low,close,volume
2023-10-24,10.78,10.78,10.44,10.44,700
2023-10-25,10.78,10.78,10.44,10.44,5800
2023-10-26,10.61,10.61,10.61,10.61,100
2023-10-27,11.54,11.63,11.54,11.63,200
2023-10-30,10.52,11.54,10.52,11.54,600
2023-10-31,11.54,11.54,11.54,11.54,0
2023-11-01,11.54,11.54,11.54,11.54,0
2023-11-02,11.54,11.54,11.54,11.54,0
2023-11-03,11.54,11.54,11.54,11.54,0
2023-11-06,10.42,10.42,10.42,10.42,1100
2023-11-07,10.42,10.42,10.42,10.42,101
2023-11-08,11.35,11.45,11.35,11.45,225
2023-11-09,11.45,11.45,11.45,11.45,0
2023-11-10,10.33,11.35,10.33,10.42,300
2023-11-13,11.45,11.45,11.45,11.45,100
2023-11-14,10.7,11.45,10.7,11.45,200
2023-11-15,10.7,10.7,10.7,10.7,1000
2023-11-16,10.7,11.17,10.7,11.17,569
2023-11-17,11.17,11.17,11.17,11.17,0
2023-11-20,11.17,11.17,11.17,11.17,0
2023-11-21,11.17,11.17,11.17,11.17,300
2023-11-22,11.17,11.17,11.17,11.17,1
2023-11-23,11.17,11.17,11.17,11.17,0
2023-11-24,10.7,10.7,10.7,10.7,100
2023-11-27,10.7,10.7,10.7,10.7,6
2023-11-28,10.7,10.7,10.7,10.7,0
2023-11-29,10.7,10.7,10.7,10.7,0
2023-11-30,10.7,10.7,10.7,10.7,0
2023-12-01,10.7,10.7,10.7,10.7,0
2023-12-04,10.7,10.7,10.7,10.7,0
2023-12-05,10.7,10.7,10.7,10.7,0
2023-12-06,10.7,10.7,10.7,10.7,0
2023-12-07,11.08,11.08,11.08,11.08,100
2023-12-08,11.08,11.08,11.08,11.08,0
2023-12-11,11.08,11.08,11.08,11.08,0
2023-12-12,11.08,11.08,11.08,11.08,0
2023-12-13,11.08,11.08,11.08,11.08,0
2023-12-14,11.08,11.08,11.08,11.08,0
2023-12-15,11.08,11.08,11.08,11.08,0
2023-12-18,11.08,11.08,11.08,11.08,0
2023-12-19,11.08,11.08,11.08,11.08,0
2023-12-20,11.08,11.08,11.08,11.08,0
2023-12-21,11.08,11.08,11.08,11.08,0
2023-12-22,11.08,11.08,11.08,11.08,0
2023-12-25,11.08,11.08,11.08,11.08,0
2023-12-26,11.08,11.08,11.08,11.08,0
2023-12-27,11.08,11.08,11.08,11.08,0
2023-12-28,11.08,11.08,11.08,11.08,0
2023-12-29,11.08,12.1,11.08,12.1,2801
2024-01-02,12.1,12.1,12.1,12.1,1
2024-01-03,10.98,10.98,10.98,10.98,102
2024-01-04,12.01,12.01,12.01,12.01,100
2024-01-05,10.89,11.63,10.89,11.63,200
2024-01-08,11.63,11.63,11.63,11.63,0
2024-01-09,11.17,11.63,10.61,11.63,1000
2024-01-10,11.63,11.63,11.63,11.63,0
2024-01-11,11.63,11.63,11.63,11.63,1
2024-01-12,11.17,11.17,11.17,11.17,400
2024-01-15,11.17,11.17,11.17,11.17,0
2024-01-16,11.54,11.54,11.54,11.54,100
2024-01-17,11.54,11.54,11.54,11.54,0
2024-01-18,11.54,11.54,11.54,11.54,0
2024-01-19,11.63,11.91,11.54,11.82,39900
2024-01-22,12.1,12.1,12.1,12.1,100
2024-01-23,12.1,12.1,12.1,12.1,0
2024-01-24,12.1,12.1,12.1,12.1,0
2024-01-25,12.1,12.1,12.1,12.1,0
2024-01-26,12.1,12.1,12.1,12.1,0
2024-01-29,12.1,12.1,12.1,12.1,0
2024-01-30,12.19,12.19,12.19,12.19,100
2024-01-31,12.56,12.56,10.98,12.19,600
2024-02-01,12.19,12.19,12.19,12.19,0
2024-02-02,12.38,12.38,12.38,12.38,100
2024-02-05,12.56,12.56,12.56,12.56,100
2024-02-06,12.94,12.94,12.94,12.94,100
2024-02-07,12.94,12.94,12.94,12.94,0
2024-02-15,12.94,12.94,12.94,12.94,0
2024-02-16,12.94,12.94,12.94,12.94,0
2024-02-19,11.73,12.94,11.73,12.94,200
2024-02-20,11.73,11.73,11.73,11.73,500
2024-02-21,11.73,11.73,11.73,11.73,0
2024-02-22,12.66,12.66,12.66,12.66,100
2024-02-23,12.66,12.66,12.66,12.66,0
2024-02-26,12.66,12.66,12.66,12.66,0
2024-02-27,11.73,11.73,11.73,11.73,1602
2024-02-28,11.73,11.73,11.73,11.73,0
2024-02-29,11.73,11.73,11.73,11.73,0
2024-03-01,11.73,11.73,11.73,11.73,0
2024-03-04,12.66,12.66,12.66,12.66,100
2024-03-05,11.63,11.63,11.63,11.63,518
2024-03-06,10.61,10.61,10.61,10.61,400
