date,open,high,low,close,volume
2024-01-30,105.71,106.91,105.71,105.99,37610
2024-01-31,106.63,107.55,106.17,106.72,51138
2024-02-01,106.72,108.47,106.72,108.47,24273
2024-02-02,108.47,112.06,108.1,108.1,24239
2024-02-05,109.85,109.85,107.64,108.01,13826
2024-02-06,108.19,108.47,107.09,108.47,30638
2024-02-07,107.37,109.11,107.37,109.11,20603
2024-02-15,110.95,110.95,109.21,110.31,17722
2024-02-16,110.31,111.14,109.39,110.77,15415
2024-02-19,110.31,111.87,108.56,110.58,19977
2024-02-20,110.58,111.04,109.67,109.67,19647
2024-02-21,110.31,110.49,109.39,110.49,10528
2024-02-22,110.49,113.53,110.49,112.42,37158
2024-02-23,112.42,114.91,112.06,113.53,36694
2024-02-26,113.53,116.28,113.53,116.01,26713
2024-02-27,116.01,119.5,116.01,118.21,51712
2024-02-28,119.32,119.32,115.55,116.28,55114
2024-02-29,115.82,117.57,114.91,115.92,15655
2024-03-01,114.91,116.28,114.91,116.28,17592
2024-03-04,116.28,117.3,115.0,117.3,19332
2024-03-05,116.65,117.3,116.47,116.84,16446
2024-03-06,116.1,116.84,115.27,115.37,20838
2024-03-07,114.54,115.37,114.54,115.37,11545
2024-03-08,115.92,115.92,114.91,115.37,13588
2024-03-11,115.37,117.66,115.37,115.55,15203
2024-03-12,117.48,117.48,114.91,116.19,9230
2024-03-13,117.66,118.12,116.28,117.66,22800
2024-03-14,117.66,118.12,117.3,117.66,8372
2024-03-15,117.66,117.66,113.99,115.73,51947
2024-03-18,115.82,115.82,113.16,114.08,18785
2024-03-19,113.99,115.73,110.31,110.31,15758
2024-03-20,112.15,113.99,112.15,113.16,23605
2024-03-21,113.99,114.91,113.07,114.91,38900
2024-03-22,114.72,114.91,112.61,114.91,35705
2024-03-25,114.91,115.55,114.54,115.37,21321
2024-03-26,115.37,117.02,114.91,116.65,14660
2024-03-27,116.74,117.02,116.38,117.02,12418
2024-03-28,117.2,117.3,114.91,116.74,11601
2024-03-29,116.74,117.2,115.82,115.82,7602
2024-04-01,115.82,117.2,114.45,115.82,2745
2024-04-02,115.46,116.28,115.0,116.28,6012
2024-04-03,114.54,116.74,114.54,115.46,9896
2024-04-04,115.0,123.45,115.0,123.45,98735
2024-04-05,123.45,124.1,120.42,120.88,13525
2024-04-08,120.88,120.88,119.23,119.41,30787
2024-04-09,119.13,119.59,118.58,119.5,11924
2024-04-10,119.13,119.78,119.13,119.78,6666
2024-04-11,119.41,119.87,119.41,119.59,8400
2024-04-12,119.13,120.05,117.66,120.05,15751
2024-04-15,119.5,124.74,118.58,120.15,107785
2024-04-16,120.24,126.86,117.66,125.02,71289
2024-04-17,125.02,125.57,123.18,125.2,2158
2024-04-19,125.2,125.2,119.59,120.42,32515
2024-04-22,122.72,123.09,121.34,122.99,16794
2024-04-23,122.99,124.1,121.62,121.98,11664
2024-04-24,124.13,125.07,123.29,124.6,8570
2024-04-25,124.6,124.6,121.79,124.6,31221
2024-04-26,124.6,126.48,122.73,122.92,22119
2024-05-02,123.01,123.67,122.92,123.57,12854
2024-05-03,123.48,123.57,122.73,123.48,13132
2024-05-06,124.04,124.13,123.2,124.13,18313
2024-05-07,123.67,124.88,123.67,124.6,18391
2024-05-08,124.6,124.6,123.29,124.51,8446
2024-05-09,123.57,124.6,123.48,124.04,11316
2024-05-10,123.67,123.67,123.01,123.38,15158
2024-05-13,123.38,123.57,121.98,121.98,17897
2024-05-14,122.17,123.67,122.17,122.73,10717
2024-05-15,122.92,123.29,122.73,123.2,13057
2024-05-16,123.67,124.32,122.73,123.57,11876
2024-05-17,123.57,124.6,123.29,124.04,9902
2024-05-20,123.95,123.95,122.73,123.57,22716
2024-05-21,123.48,123.48,121.89,123.38,7516
2024-05-22,123.38,123.38,122.07,122.26,53613
2024-05-23,122.63,122.63,121.51,121.51,29179
2024-05-24,121.6,123.2,121.6,122.35,19141
2024-05-27,122.35,122.35,120.85,120.95,39973
