date,open,high,low,close,volume
2023-05-15,19.2,19.2,19.2,19.2,100
2023-05-16,19.2,19.2,19.2,19.2,0
2023-05-17,19.2,19.2,19.2,19.2,0
2023-05-18,19.2,19.2,19.2,19.2,0
2023-05-19,19.2,19.2,19.2,19.2,1
2023-05-22,19.2,19.2,19.2,19.2,0
2023-05-23,19.2,19.2,19.2,19.2,0
2023-05-24,19.2,19.2,19.2,19.2,0
2023-05-25,19.2,19.2,19.2,19.2,2
2023-05-26,19.2,19.2,19.2,19.2,0
2023-05-29,19.2,19.2,19.2,19.2,30
2023-05-30,16.5,16.5,16.4,16.5,847
2023-05-31,16.5,16.5,16.5,16.5,0
2023-06-01,16.5,16.5,16.5,16.5,0
2023-06-02,16.5,16.5,16.5,16.5,0
2023-06-05,16.5,16.5,16.5,16.5,0
2023-06-06,14.4,14.4,14.3,14.3,700
2023-06-07,14.3,14.3,14.3,14.3,3
2023-06-08,14.3,16.4,14.3,16.4,1337
2023-06-09,15.9,15.9,15.9,15.9,0
2023-06-12,18.2,18.2,17.0,18.1,557
2023-06-13,17.5,17.5,17.5,17.5,205
2023-06-14,17.0,17.0,17.0,17.0,603
2023-06-15,17.0,17.0,17.0,17.0,0
2023-06-16,17.0,17.0,17.0,17.0,0
2023-06-19,14.6,14.6,14.6,14.6,200
2023-06-20,16.7,16.7,16.7,16.7,713
2023-06-21,16.7,16.7,16.7,16.7,0
2023-06-22,16.7,16.7,16.7,16.7,0
2023-06-23,16.7,16.7,16.7,16.7,7
2023-06-26,16.7,16.7,16.7,16.7,0
2023-06-27,16.6,19.1,16.6,19.1,9000
2023-06-28,21.0,21.6,19.0,19.0,44610
2023-06-29,23.6,23.8,23.0,23.0,32413
2023-06-30,23.8,23.8,23.8,23.8,64
2023-07-03,20.3,20.3,20.3,20.3,104
2023-07-04,17.6,17.6,17.3,17.3,313
2023-07-05,17.0,17.0,17.0,17.0,500
2023-07-06,15.5,15.6,15.5,15.5,800
2023-07-07,15.5,15.5,15.5,15.5,0
2023-07-10,15.5,15.5,15.5,15.5,13
2023-07-11,15.5,15.5,15.5,15.5,0
2023-07-12,15.5,15.5,15.5,15.5,0
2023-07-13,14.3,17.8,13.5,17.8,1700
2023-07-14,17.0,17.0,17.0,17.0,100
2023-07-17,17.0,17.0,17.0,17.0,500
2023-07-18,17.0,17.0,17.0,17.0,0
2023-07-19,17.6,17.6,15.2,15.2,200
2023-07-20,16.4,16.4,16.4,16.4,0
2023-07-21,16.0,16.0,16.0,16.0,100
2023-07-24,16.0,16.0,16.0,16.0,0
2023-07-25,16.0,18.3,16.0,18.3,500
2023-07-26,15.5,18.9,15.5,18.9,200
2023-07-27,18.8,18.8,18.8,18.8,100
2023-07-28,19.9,19.9,19.9,19.9,164
2023-07-31,19.7,19.7,18.0,18.0,200
2023-08-01,19.1,19.1,19.1,19.1,100
2023-08-02,19.1,19.1,19.1,19.1,0
2023-08-03,16.5,16.5,16.4,16.4,300
2023-08-04,17.9,17.9,17.9,17.9,1200
2023-08-07,19.9,19.9,19.0,19.0,2600
2023-08-08,19.5,19.5,19.5,19.5,400
2023-08-09,16.7,17.0,16.7,17.0,2201
2023-08-10,16.9,18.6,16.9,18.6,240
2023-08-11,17.9,17.9,17.9,17.9,1320
2023-08-14,17.9,17.9,17.9,17.9,0
2023-08-15,17.9,17.9,17.9,17.9,0
2023-08-16,15.8,18.8,15.8,18.8,214
2023-08-17,15.8,15.8,15.8,15.8,100
2023-08-18,17.6,18.1,17.6,18.1,307
2023-08-21,17.8,17.8,17.8,17.8,62
2023-08-22,15.5,19.3,15.2,19.3,1211
2023-08-23,17.0,17.0,17.0,17.0,100
2023-08-24,17.0,17.0,17.0,17.0,0
2023-08-25,17.0,17.0,17.0,17.0,0
2023-08-28,16.8,16.9,16.8,16.9,700
2023-08-29,16.9,16.9,16.9,16.9,0
2023-08-30,16.9,16.9,16.9,16.9,0
2023-08-31,16.9,16.9,16.9,16.9,500
2023-09-05,16.9,17.0,16.9,17.0,3901
2023-09-06,17.0,17.1,16.8,16.8,15800
2023-09-07,17.2,17.2,17.2,17.2,100
2023-09-08,16.1,16.1,16.1,16.1,300
2023-09-11,17.5,17.5,17.5,17.5,100
2023-09-12,18.0,18.0,18.0,18.0,706
2023-09-13,18.0,18.0,18.0,18.0,0
2023-09-14,18.0,18.0,18.0,18.0,0
2023-09-15,16.1,18.0,16.0,17.9,3300
2023-09-18,17.5,17.5,17.5,17.5,100
2023-09-19,17.5,17.5,17.5,17.5,100
2023-09-20,17.4,17.4,17.4,17.4,105
2023-09-21,17.4,17.4,17.4,17.4,0
2023-09-22,17.4,17.4,17.4,17.4,0
2023-09-25,17.4,17.4,17.4,17.4,0
2023-09-26,17.4,17.4,17.4,17.4,0
2023-09-27,17.4,17.4,17.4,17.4,0
2023-09-28,17.0,17.0,17.0,17.0,100
2023-09-29,17.0,17.0,17.0,17.0,0
2023-10-02,15.0,15.0,15.0,15.0,500
2023-10-03,15.0,15.0,15.0,15.0,0
2023-10-04,15.0,15.0,15.0,15.0,0
2023-10-05,15.0,15.0,15.0,15.0,0
2023-10-06,14.5,14.5,14.5,14.5,100
2023-10-09,14.5,14.5,14.5,14.5,0
2023-10-10,16.4,16.4,16.4,16.4,100
2023-10-11,17.0,18.4,17.0,18.4,500
2023-10-12,17.5,17.5,17.5,17.5,0
2023-10-13,17.5,17.5,17.5,17.5,0
2023-10-16,15.2,17.4,15.0,17.4,2800
2023-10-17,16.6,16.6,16.6,16.6,0
2023-10-18,16.6,16.6,16.6,16.6,1
2023-10-19,14.5,16.6,14.5,16.6,400
2023-10-20,15.0,15.0,15.0,15.0,0
2023-10-23,15.0,15.0,15.0,15.0,0
2023-10-24,15.0,15.0,15.0,15.0,0
2023-10-25,14.5,15.0,14.5,15.0,4000
2023-10-26,14.8,14.8,14.8,14.8,0
2023-10-27,14.8,14.8,14.8,14.8,0
2023-10-30,14.8,14.8,14.8,14.8,0
2023-10-31,14.8,14.8,14.8,14.8,0
2023-11-01,13.2,13.2,13.2,13.2,500
2023-11-02,15.0,15.1,15.0,15.1,600
2023-11-03,15.1,15.1,15.1,15.1,0
2023-11-06,15.1,15.1,15.1,15.1,0
2023-11-07,15.1,15.1,15.1,15.1,0
2023-11-08,17.3,17.3,17.3,17.3,101
2023-11-09,17.3,17.3,17.3,17.3,0
2023-11-10,17.3,17.3,17.3,17.3,0
2023-11-13,14.8,15.0,14.8,15.0,200
2023-11-14,15.2,15.2,15.2,15.2,101
2023-11-15,15.2,15.2,15.2,15.2,73
2023-11-16,15.2,15.2,15.2,15.2,0
2023-11-17,17.4,17.4,17.4,17.4,100
2023-11-20,17.4,17.4,17.4,17.4,0
2023-11-21,17.4,17.4,17.4,17.4,0
2023-11-22,17.4,17.4,17.4,17.4,0
2023-11-23,17.4,17.4,17.4,17.4,0
2023-11-24,17.4,17.4,17.4,17.4,0
2023-11-27,15.0,15.0,15.0,15.0,2400
2023-11-28,16.0,16.0,16.0,16.0,100
2023-11-29,16.0,16.0,16.0,16.0,26
2023-11-30,18.3,18.4,18.3,18.4,500
2023-12-01,15.7,15.7,15.7,15.7,106
2023-12-04,15.7,15.7,15.7,15.7,0
2023-12-05,15.7,15.7,15.7,15.7,0
2023-12-06,15.7,15.7,15.7,15.7,100
2023-12-07,15.7,15.7,15.7,15.7,100
2023-12-08,15.7,15.8,15.7,15.7,3400
2023-12-11,15.8,16.0,15.8,15.8,3606
2023-12-12,15.8,15.8,15.8,15.8,0
2023-12-13,15.8,15.8,15.8,15.8,6
2023-12-14,15.8,15.8,15.8,15.8,0
2023-12-15,15.8,15.8,15.8,15.8,300
2023-12-18,15.8,15.8,15.8,15.8,0
2023-12-19,15.8,15.8,15.8,15.8,0
2023-12-20,15.8,15.8,15.8,15.8,0
2023-12-21,15.9,17.3,15.9,17.3,2100
2023-12-22,17.5,18.9,14.7,14.7,78900
2023-12-25,17.0,17.0,17.0,17.0,2000
2023-12-26,19.4,19.4,17.9,17.9,2600
2023-12-27,18.5,22.0,16.5,16.5,13700
2023-12-28,17.0,22.8,17.0,22.8,22805
2023-12-29,18.0,23.1,18.0,18.5,2800
2024-01-02,18.8,19.0,18.6,18.6,11700
2024-01-03,16.7,16.7,16.0,16.0,6000
2024-01-04,16.0,16.0,13.9,13.9,14000
2024-01-05,14.8,14.8,14.8,14.8,100
2024-01-08,15.0,15.0,15.0,15.0,600
2024-01-09,16.8,16.8,16.8,16.8,100
2024-01-10,16.5,16.5,16.5,16.5,400
2024-01-11,16.5,16.5,16.5,16.5,0
2024-01-12,15.1,15.1,15.0,15.0,700
2024-01-15,16.4,16.4,16.0,16.2,300
2024-01-16,16.2,16.2,16.2,16.2,0
2024-01-17,16.2,16.2,16.2,16.2,64
2024-01-18,16.2,16.2,16.2,16.2,0
2024-01-19,16.2,16.2,16.2,16.2,5
2024-01-22,16.2,16.2,16.2,16.2,0
2024-01-23,16.2,16.2,16.2,16.2,44
2024-01-24,16.2,16.2,16.2,16.2,1
2024-01-25,16.2,16.2,16.2,16.2,10
2024-01-26,16.2,16.2,16.2,16.2,5
2024-01-29,16.0,16.1,16.0,16.1,1111
2024-01-30,16.1,16.1,16.1,16.1,105
2024-01-31,16.1,16.1,16.1,16.1,15
2024-02-01,16.1,16.1,16.1,16.1,0
2024-02-02,16.1,16.1,16.1,16.1,0
2024-02-05,16.1,16.1,16.1,16.1,10
2024-02-06,16.1,16.1,16.1,16.1,0
2024-02-07,16.1,16.1,16.1,16.1,220
2024-02-15,16.1,16.1,16.1,16.1,0
2024-02-16,17.0,17.0,16.1,16.1,200
2024-02-19,16.6,16.6,16.6,16.6,0
