date,open,high,low,close,volume
2024-01-12,28.96,30.26,28.7,30.26,1100
2024-01-15,30.21,30.6,30.21,30.6,4400
2024-01-16,30.6,30.6,30.6,30.6,0
2024-01-17,30.69,30.69,30.69,30.69,5403
2024-01-18,30.69,30.69,30.69,30.69,58
2024-01-19,31.76,31.76,31.32,31.32,400
2024-01-22,30.87,31.32,30.87,30.87,800
2024-01-23,30.87,30.87,30.87,30.87,227
2024-01-24,31.05,31.49,29.57,29.57,2900
2024-01-25,31.32,31.45,30.11,30.11,800
2024-01-26,31.32,31.32,30.87,30.87,400
2024-01-29,32.08,32.08,31.14,31.14,200
2024-01-30,29.88,29.88,29.88,29.88,10000
2024-01-31,31.32,31.94,31.32,31.76,3520
2024-02-01,31.81,33.55,31.81,31.85,3400
2024-02-02,33.82,33.82,31.9,31.9,2171
2024-02-05,32.66,32.7,32.66,32.66,1601
2024-02-06,32.66,32.66,32.66,32.66,0
2024-02-07,32.66,32.66,32.66,32.66,0
2024-02-15,32.66,32.66,32.66,32.66,0
2024-02-16,32.66,32.66,32.66,32.66,0
2024-02-19,32.66,32.66,32.66,32.66,0
2024-02-20,32.66,32.66,32.66,32.66,0
2024-02-21,33.55,34.18,33.55,34.18,2300
2024-02-22,34.0,34.18,34.0,34.18,1411
2024-02-23,34.18,34.18,34.18,34.18,82
2024-02-26,34.18,34.18,34.18,34.18,0
2024-02-27,34.0,34.04,34.0,34.04,201
2024-02-28,34.04,34.18,32.66,34.18,1516
2024-02-29,34.0,34.18,34.0,34.0,500
2024-03-01,35.07,35.07,32.84,32.93,19314
2024-03-04,33.02,33.55,32.93,32.93,13103
2024-03-05,34.0,34.0,31.41,32.03,16300
2024-03-06,32.03,32.03,32.03,32.03,5
2024-03-07,33.55,33.55,33.55,33.55,2400
2024-03-08,33.55,33.55,33.55,33.55,100
2024-03-11,33.55,33.55,33.55,33.55,0
2024-03-12,33.96,34.0,33.11,33.91,1500
2024-03-13,33.91,33.91,33.87,33.91,500
2024-03-14,34.0,34.54,34.0,34.0,3105
2024-03-15,34.45,34.45,34.0,34.0,1400
2024-03-18,34.89,34.89,34.81,34.81,3400
2024-03-19,34.81,34.81,34.81,34.81,0
2024-03-20,34.81,34.81,34.81,34.81,0
2024-03-21,34.81,34.81,34.81,34.81,0
2024-03-22,34.18,34.18,34.18,34.18,400
2024-03-25,34.18,34.18,34.18,34.18,0
2024-03-26,34.18,34.18,34.18,34.18,11
2024-03-27,34.18,34.18,34.18,34.18,39
2024-03-28,34.18,34.18,34.18,34.18,101
2024-03-29,34.89,34.89,34.18,34.18,4740
2024-04-01,34.09,34.09,34.09,34.09,1400
2024-04-02,34.09,34.09,34.09,34.09,0
2024-04-03,34.18,34.18,34.18,34.18,100
2024-04-04,34.18,34.18,34.18,34.18,0
2024-04-05,34.89,35.07,34.89,35.07,1700
2024-04-08,35.07,35.07,35.07,35.07,600
2024-04-09,35.07,35.07,35.07,35.07,50
2024-04-10,35.07,35.07,35.07,35.07,200
2024-04-11,35.07,35.07,35.07,35.07,0
2024-04-12,35.07,35.07,35.07,35.07,0
2024-04-15,35.07,35.07,35.07,35.07,0
2024-04-16,34.98,34.98,34.98,34.98,100
2024-04-17,34.98,34.98,34.98,34.98,0
2024-04-19,34.0,34.89,34.0,34.89,600
2024-04-22,34.89,34.89,34.89,34.89,504
2024-04-23,34.0,34.0,34.0,34.0,400
2024-04-24,34.89,34.89,34.89,34.89,500
2024-04-25,34.89,34.89,34.89,34.89,0
2024-04-26,35.79,35.79,35.79,35.79,200
2024-05-02,35.79,35.79,35.79,35.79,0
2024-05-03,35.79,35.79,35.79,35.79,200
2024-05-06,35.79,36.24,35.79,36.24,4701
2024-05-07,36.24,36.24,36.24,36.24,600
2024-05-08,36.24,36.24,36.24,36.24,101
2024-05-09,36.24,36.24,36.24,36.24,7301
2024-05-10,34.09,34.09,34.09,34.09,500
2024-05-13,34.13,36.24,34.13,36.24,1001
2024-05-14,36.24,36.24,36.24,36.24,9
2024-05-15,36.24,36.24,36.24,36.24,1004
2024-05-16,37.14,37.14,37.14,37.14,873
2024-05-17,37.14,37.14,37.14,37.14,129
2024-05-20,37.14,37.14,37.14,37.14,4
2024-05-21,37.14,37.14,37.14,37.14,0
2024-05-22,34.7,34.7,34.7,34.7,4000
2024-05-23,34.79,34.79,34.79,34.79,4089
2024-05-24,34.79,34.79,34.79,34.79,20
2024-05-27,34.97,34.97,34.88,34.88,3400
2024-05-28,34.88,34.97,34.88,34.97,875
2024-05-29,34.97,34.97,34.97,34.97,0
2024-05-30,36.24,36.24,36.24,36.24,300
2024-05-31,36.24,36.24,36.24,36.24,0
2024-06-03,36.24,36.24,36.24,36.24,0
2024-06-04,36.24,36.24,36.24,36.24,3080
2024-06-05,36.24,36.24,36.24,36.24,0
2024-06-06,36.69,36.69,36.69,36.69,1704
2024-06-07,36.69,36.69,36.69,36.69,200
2024-06-10,36.69,36.69,36.69,36.69,0
2024-06-11,37.14,37.14,37.14,37.14,1600
2024-06-12,37.14,37.14,37.14,37.14,0
2024-06-13,38.95,38.95,38.95,38.95,100
2024-06-14,38.95,38.95,38.95,38.95,207
2024-06-17,38.95,38.95,38.95,38.95,0
2024-06-18,38.95,38.95,38.95,38.95,0
2024-06-19,38.95,38.95,38.95,38.95,0
2024-06-20,38.95,38.95,38.95,38.95,0
2024-06-21,38.95,38.95,38.95,38.95,9
2024-06-24,38.95,38.95,38.95,38.95,0
2024-06-25,38.95,38.95,38.95,38.95,0
2024-06-26,38.95,38.95,38.95,38.95,0
2024-06-27,38.95,38.95,38.95,38.95,0
2024-06-28,38.82,38.82,38.82,38.82,100
2024-07-01,38.82,38.82,38.82,38.82,0
2024-07-02,38.82,38.82,38.82,38.82,0
2024-07-03,38.82,38.82,38.82,38.82,0
2024-07-04,38.82,38.82,38.82,38.82,0
2024-07-05,38.82,38.82,38.82,38.82,0
2024-07-08,38.82,38.82,38.82,38.82,0
2024-07-09,38.59,38.59,38.59,38.59,500
2024-07-10,36.24,36.24,36.24,36.24,100
2024-07-11,36.24,36.24,35.33,35.33,650
2024-07-12,35.33,35.33,35.33,35.33,0
2024-07-15,35.33,35.33,35.33,35.33,0
2024-07-16,35.33,35.33,35.33,35.33,0
2024-07-17,35.33,35.33,35.33,35.33,0
2024-07-18,35.33,35.33,35.33,35.33,0
2024-07-19,35.33,35.33,35.33,35.33,0
2024-07-22,36.24,36.24,36.24,36.24,146
2024-07-23,38.77,38.77,38.77,38.77,100
2024-07-24,38.77,38.77,38.77,38.77,0
2024-07-25,38.77,38.77,38.77,38.77,0
2024-07-26,38.77,38.77,38.77,38.77,0
2024-07-29,38.77,38.77,38.77,38.77,100
2024-07-30,38.77,38.77,38.77,38.77,0
2024-07-31,38.77,38.77,38.77,38.77,0
2024-08-01,38.77,38.77,38.77,38.77,0
2024-08-02,38.77,38.77,38.77,38.77,0
2024-08-05,38.77,38.77,38.77,38.77,0
2024-08-06,38.77,38.77,38.77,38.77,0
2024-08-07,36.1,38.5,36.1,38.5,6946
2024-08-08,38.5,38.5,38.5,38.5,0
2024-08-09,38.5,38.5,38.5,38.5,0
2024-08-12,40.99,40.99,36.24,36.24,1110
2024-08-13,36.24,36.24,36.24,36.24,0
2024-08-14,36.24,36.24,36.24,36.24,500
2024-08-15,35.42,35.42,35.33,35.33,810
2024-08-16,35.33,35.33,35.33,35.33,0
2024-08-19,35.33,35.33,35.33,35.33,50
2024-08-20,35.33,35.33,35.33,35.33,200
2024-08-21,35.33,35.33,35.33,35.33,1
2024-08-22,35.42,35.42,35.33,35.33,2900
2024-08-23,35.6,35.6,35.6,35.6,1600
2024-08-26,35.6,35.6,35.6,35.6,0
2024-08-27,35.6,35.6,35.6,35.6,10
2024-08-28,33.52,33.52,33.11,33.11,11324
2024-08-29,33.11,33.11,32.43,32.43,10000
2024-08-30,32.43,32.43,32.43,32.43,0
2024-09-04,32.61,32.79,32.61,32.7,910
