date,open,high,low,close,volume
2023-08-17,52.38,52.38,52.38,52.38,0
2023-08-18,47.22,47.22,47.22,47.22,200
2023-08-21,47.03,50.18,47.03,50.18,900
2023-08-22,47.41,50.18,47.41,50.18,600
2023-08-23,47.6,49.13,47.6,49.13,200
2023-08-24,45.12,48.46,45.12,48.46,452
2023-08-25,47.79,47.79,47.79,47.79,2000
2023-08-28,45.5,45.5,45.5,45.5,101
2023-08-29,48.18,48.18,48.18,48.18,300
2023-08-30,47.6,49.32,47.6,49.13,1800
2023-08-31,49.13,49.13,49.13,49.13,0
2023-09-05,49.13,49.13,49.13,49.13,0
2023-09-06,49.13,49.13,49.13,49.13,0
2023-09-07,48.27,48.27,48.27,48.27,13000
2023-09-08,48.27,48.27,48.27,48.27,4100
2023-09-11,45.31,45.31,45.31,45.31,100
2023-09-12,47.7,47.7,47.7,47.7,200
2023-09-13,45.98,47.7,45.98,47.7,2500
2023-09-14,45.98,45.98,45.98,45.98,600
2023-09-15,45.98,45.98,45.98,45.98,6000
2023-09-18,48.94,48.94,46.36,46.36,700
2023-09-19,46.36,48.75,46.36,48.75,15600
2023-09-20,48.56,52.48,48.56,52.48,400
2023-09-21,47.32,50.57,47.32,50.57,5700
2023-09-22,50.57,50.57,50.57,50.57,1
2023-09-25,46.26,46.26,46.17,46.17,5000
2023-09-26,49.71,49.71,49.71,49.71,100
2023-09-27,49.71,49.71,49.71,49.71,0
2023-09-28,49.71,49.71,49.71,49.71,0
2023-09-29,45.12,45.12,45.12,45.12,100
2023-10-02,48.65,48.65,48.65,48.65,100
2023-10-03,48.65,48.65,48.65,48.65,0
2023-10-04,48.65,48.65,48.65,48.65,0
2023-10-05,48.65,48.65,48.65,48.65,0
2023-10-06,48.65,48.65,48.65,48.65,0
2023-10-09,47.7,47.79,47.7,47.79,12900
2023-10-10,48.65,48.75,48.65,48.75,10201
2023-10-11,48.75,48.75,48.75,48.75,0
2023-10-12,48.75,48.75,48.75,48.75,0
2023-10-13,48.75,48.75,48.75,48.75,0
2023-10-16,48.75,48.75,48.75,48.75,0
2023-10-17,48.75,48.75,48.75,48.75,67
2023-10-18,48.75,48.75,48.75,48.75,0
2023-10-19,46.84,47.6,46.65,47.6,2100
2023-10-20,47.6,47.6,47.6,47.6,0
2023-10-23,47.6,50.47,47.6,50.47,300
2023-10-24,50.47,50.47,50.47,50.47,0
2023-10-25,50.47,50.47,50.47,50.47,1
2023-10-26,45.69,47.79,45.5,47.7,39600
2023-10-27,45.12,48.75,44.83,44.83,19400
2023-10-30,44.93,45.02,43.97,44.54,5003
2023-10-31,43.21,44.93,43.01,44.93,19200
2023-11-01,44.54,46.26,44.54,45.12,56001
2023-11-02,45.4,45.88,45.02,45.21,26500
2023-11-03,45.88,45.88,44.83,45.12,21100
2023-11-06,45.02,45.12,44.93,45.12,23800
2023-11-07,45.02,45.5,45.02,45.21,29514
2023-11-08,45.5,45.5,44.93,45.02,37300
2023-11-09,45.02,45.88,44.93,45.21,27400
2023-11-10,45.4,45.4,44.93,45.21,67500
2023-11-13,44.93,45.88,44.93,45.21,58203
2023-11-14,45.21,45.4,45.12,45.12,63300
2023-11-15,45.21,45.4,45.21,45.21,81500
2023-11-16,45.88,45.88,45.21,45.21,112800
2023-11-17,45.12,45.21,45.02,45.21,71700
2023-11-20,45.21,45.21,45.02,45.21,80600
2023-11-21,45.12,45.21,45.12,45.21,67600
2023-11-22,45.02,45.21,45.02,45.21,68100
2023-11-23,45.21,45.21,45.21,45.21,56100
2023-11-24,45.21,45.21,44.93,44.93,46800
2023-11-27,45.12,45.21,45.12,45.21,39700
2023-11-28,45.21,45.21,45.21,45.21,57200
2023-11-29,45.21,45.21,45.02,45.02,6400
2023-11-30,45.4,45.4,45.4,45.4,4720
2023-12-01,46.07,46.07,46.07,46.07,100
2023-12-04,45.21,45.21,45.21,45.21,100
2023-12-05,45.21,45.21,45.21,45.21,0
2023-12-06,45.21,45.21,45.21,45.21,100
2023-12-07,45.21,45.21,45.21,45.21,0
2023-12-08,45.21,45.21,45.21,45.21,0
2023-12-11,44.64,44.93,44.64,44.93,300
2023-12-12,44.93,44.93,44.93,44.93,500
2023-12-13,44.93,44.93,44.93,44.93,10
2023-12-14,44.93,44.93,44.93,44.93,400
2023-12-15,44.93,44.93,44.93,44.93,400
2023-12-18,44.93,45.4,44.93,45.4,26400
2023-12-19,46.07,46.07,46.07,46.07,100
2023-12-20,46.07,46.07,46.07,46.07,14
2023-12-21,46.07,46.07,46.07,46.07,30
2023-12-22,46.07,46.07,46.07,46.07,0
2023-12-25,45.4,46.84,45.4,46.84,15200
2023-12-26,45.88,46.46,44.93,46.46,29200
2023-12-27,45.88,45.88,45.88,45.88,12600
2023-12-28,45.88,46.46,45.88,46.46,12000
2023-12-29,45.88,45.88,45.88,45.88,4300
2024-01-02,43.21,46.84,43.21,46.84,15600
2024-01-03,46.84,46.84,46.84,46.84,0
2024-01-04,46.46,46.84,46.36,46.84,8400
2024-01-05,43.3,46.46,42.63,46.46,12136
2024-01-08,44.07,46.84,44.07,44.26,20700
2024-01-09,44.45,44.64,44.45,44.54,3200
2024-01-10,45.88,45.88,44.16,44.45,10528
2024-01-11,44.45,44.54,44.45,44.54,11100
2024-01-12,44.54,44.54,44.35,44.45,11500
2024-01-15,44.45,44.54,44.45,44.45,10200
2024-01-16,44.45,44.45,44.45,44.45,2000
2024-01-17,44.45,44.45,44.45,44.45,11102
2024-01-18,44.45,44.45,44.45,44.45,6900
2024-01-19,45.4,45.88,45.21,45.79,29305
2024-01-22,44.54,44.54,44.35,44.45,14600
2024-01-23,44.45,44.45,44.45,44.45,0
2024-01-24,44.45,45.98,44.45,44.93,22800
2024-01-25,45.4,46.36,45.4,46.36,142600
2024-01-26,46.36,46.36,46.36,46.36,0
2024-01-29,44.45,44.45,44.45,44.45,6000
2024-01-30,45.88,46.36,45.88,46.36,21000
2024-01-31,44.45,44.74,44.45,44.74,3000
2024-02-01,44.74,44.74,44.74,44.74,1
2024-02-02,44.74,44.74,44.74,44.74,0
2024-02-05,44.74,44.74,44.74,44.74,0
2024-02-06,44.74,44.74,44.74,44.74,1
2024-02-07,44.74,44.74,44.74,44.74,1
2024-02-15,44.74,44.74,44.74,44.74,0
2024-02-16,44.74,44.74,44.74,44.74,0
2024-02-19,46.36,47.32,45.88,47.32,37500
2024-02-20,47.32,47.32,47.32,47.32,0
2024-02-21,44.93,44.93,44.93,44.93,3000
2024-02-22,44.93,46.65,44.93,46.65,6700
2024-02-23,44.93,44.93,44.93,44.93,4000
2024-02-26,44.93,45.98,44.93,45.98,15000
2024-02-27,44.93,45.02,44.93,44.93,5700
2024-02-28,44.93,44.93,44.93,44.93,3300
2024-02-29,44.93,44.93,44.93,44.93,6000
2024-03-01,44.93,44.93,44.93,44.93,3500
2024-03-04,44.93,44.93,44.93,44.93,3500
2024-03-05,44.93,44.93,44.93,44.93,0
2024-03-06,44.93,44.93,44.93,44.93,0
2024-03-07,45.21,45.21,44.93,44.93,91800
2024-03-08,44.93,44.93,44.93,44.93,0
2024-03-11,44.93,44.93,44.93,44.93,0
2024-03-12,44.93,44.93,44.93,44.93,0
2024-03-13,44.93,44.93,44.93,44.93,3
2024-03-14,44.93,44.93,44.93,44.93,0
2024-03-15,46.65,46.65,46.65,46.65,115
2024-03-18,46.65,46.65,46.65,46.65,0
2024-03-19,46.65,46.65,46.65,46.65,0
2024-03-20,44.93,44.93,44.93,44.93,3000
2024-03-21,44.93,44.93,44.93,44.93,3000
2024-03-22,45.02,46.36,45.02,46.36,8200
2024-03-25,46.36,46.36,46.36,46.36,100
2024-03-26,46.36,46.36,46.36,46.36,0
2024-03-27,46.36,46.36,46.36,46.36,0
2024-03-28,46.36,46.36,46.36,46.36,0
2024-03-29,46.36,46.36,46.36,46.36,0
2024-04-01,46.36,46.36,46.36,46.36,0
2024-04-02,45.88,45.88,45.88,45.88,422
2024-04-03,45.6,45.6,45.6,45.6,312800
2024-04-04,45.88,46.84,45.88,46.84,2600
2024-04-05,46.84,46.84,46.84,46.84,0
2024-04-08,45.88,45.88,45.88,45.88,700
2024-04-09,46.36,46.36,45.88,45.88,2100
2024-04-10,45.88,45.88,45.88,45.88,300
2024-04-11,45.88,45.88,45.88,45.88,0
2024-04-12,45.88,45.88,45.88,45.88,20
2024-04-15,45.88,45.88,45.88,45.88,0
2024-04-16,45.88,45.88,45.88,45.88,100
2024-04-17,45.88,45.88,45.88,45.88,200
2024-04-19,45.88,45.88,45.88,45.88,500
2024-04-22,45.88,45.88,45.88,45.88,0
2024-04-23,45.88,45.88,45.88,45.88,0
2024-04-24,45.88,45.88,45.88,45.88,0
2024-04-25,45.88,45.88,45.88,45.88,0
2024-04-26,45.88,45.88,45.88,45.88,0
2024-05-02,45.88,45.88,45.88,45.88,0
2024-05-03,45.88,45.88,45.88,45.88,0
2024-05-06,45.88,45.88,45.88,45.88,0
2024-05-07,45.88,45.88,45.88,45.88,0
2024-05-08,45.88,45.88,45.88,45.88,0
2024-05-09,45.88,45.88,45.88,45.88,0
2024-05-10,45.88,45.88,45.88,45.88,0
2024-05-13,45.88,45.88,45.88,45.88,0
2024-05-14,44.45,44.83,44.45,44.83,634700
2024-05-15,44.83,44.83,44.83,44.83,0
2024-05-16,44.83,44.83,44.83,44.83,0
2024-05-17,45.88,46.84,45.88,46.84,6000
2024-05-20,46.36,46.36,46.36,46.36,500
2024-05-21,46.36,46.36,46.36,46.36,0
2024-05-22,46.36,46.36,46.36,46.36,0
2024-05-23,46.36,46.36,46.36,46.36,2000
2024-05-24,46.84,46.84,46.84,46.84,2400
2024-05-27,46.84,46.84,46.84,46.84,200
2024-05-28,46.84,46.84,46.84,46.84,0
2024-05-29,46.84,46.84,46.84,46.84,800
2024-05-30,46.84,46.93,46.84,46.93,400
2024-05-31,46.93,46.93,46.93,46.93,0
2024-06-03,47.32,47.32,47.32,47.32,100
2024-06-04,47.41,47.41,47.41,47.41,100
2024-06-05,47.41,47.51,47.41,47.51,500
2024-06-06,49.51,49.71,48.75,48.75,1000
2024-06-07,50.37,50.37,50.37,50.37,803
2024-06-10,50.66,50.66,50.66,50.66,600
2024-06-11,51.71,51.71,51.71,51.71,600
2024-06-12,51.71,51.71,51.71,51.71,0
2024-06-13,53.53,53.91,53.05,53.91,1700
2024-06-14,53.91,53.91,48.56,48.56,620
2024-06-17,50.95,51.62,50.95,51.62,1000
2024-06-18,51.43,51.43,50.95,50.95,700
2024-06-19,50.66,50.66,48.08,48.08,1010
2024-06-20,49.71,51.62,49.71,51.62,600
2024-06-21,49.04,49.04,49.04,49.04,104
2024-06-24,49.04,49.04,49.04,49.04,10
2024-06-25,45.12,45.12,45.12,45.12,100
2024-06-26,49.61,49.61,49.61,49.61,300
2024-06-27,45.6,49.71,45.6,49.71,200
2024-06-28,45.69,53.53,45.69,53.53,200
2024-07-01,53.53,53.53,53.53,53.53,9
2024-07-02,48.23,48.23,48.23,48.23,107
2024-07-03,48.23,48.23,48.23,48.23,0
2024-07-04,51.07,52.55,51.07,52.55,300
2024-07-05,52.55,52.55,52.55,52.55,0
2024-07-08,55.0,55.0,55.0,55.0,100
2024-07-09,55.0,55.0,55.0,55.0,0
2024-07-10,55.0,55.0,55.0,55.0,0
2024-07-11,55.0,55.0,55.0,55.0,0
2024-07-12,55.0,55.0,55.0,55.0,0
2024-07-15,54.02,54.51,54.02,54.51,500
2024-07-16,54.51,54.51,54.51,54.51,0
2024-07-17,54.51,54.51,54.51,54.51,0
2024-07-18,54.51,54.51,54.51,54.51,3
2024-07-19,54.51,54.51,54.51,54.51,0
2024-07-22,54.51,54.51,54.51,54.51,0
2024-07-23,54.81,54.81,54.71,54.81,3800
2024-07-24,55.0,55.79,54.81,54.81,1700
2024-07-25,54.81,55.0,54.81,54.81,1500
2024-07-26,54.81,54.81,54.81,54.81,700
2024-07-29,54.81,54.81,54.81,54.81,3
2024-07-30,54.81,54.81,54.81,54.81,700
2024-07-31,55.0,55.0,55.0,55.0,100
2024-08-01,55.0,55.0,55.0,55.0,2500
2024-08-02,55.0,55.0,55.0,55.0,1500
2024-08-05,55.0,55.0,55.0,55.0,0
2024-08-06,55.0,55.0,55.0,55.0,0
2024-08-07,55.0,55.0,55.0,55.0,0
2024-08-08,55.0,55.0,55.0,55.0,1000
2024-08-09,55.49,55.49,55.49,55.49,200
2024-08-12,55.49,55.49,55.49,55.49,0
2024-08-13,55.49,55.49,55.49,55.49,0
2024-08-14,55.49,55.49,55.49,55.49,0
2024-08-15,55.49,55.49,55.49,55.49,0
2024-08-16,55.49,55.49,55.49,55.49,600
2024-08-19,55.49,55.49,55.49,55.49,0
2024-08-20,55.49,55.49,55.49,55.49,0
2024-08-21,55.49,55.49,55.49,55.49,0
2024-08-22,55.49,55.49,55.49,55.49,5
2024-08-23,55.49,55.49,55.49,55.49,0
2024-08-26,55.49,55.49,55.49,55.49,0
2024-08-27,55.49,55.49,55.49,55.49,0
2024-08-28,55.49,55.49,55.49,55.49,0
2024-08-29,55.49,55.49,55.49,55.49,0
2024-08-30,55.49,55.49,55.49,55.49,0
2024-09-04,55.49,55.49,55.49,55.49,0
2024-09-05,55.49,55.49,55.49,55.49,0
2024-09-06,56.48,56.48,56.48,56.48,8300
2024-09-09,56.48,56.48,56.48,56.48,0
2024-09-10,56.48,56.48,56.48,56.48,0
2024-09-11,56.48,56.48,56.48,56.48,0
2024-09-12,56.48,56.48,56.48,56.48,48
2024-09-13,56.48,56.48,56.48,56.48,0
2024-09-16,56.48,56.48,56.48,56.48,39
2024-09-17,56.48,56.48,56.48,56.48,0
2024-09-18,56.48,56.48,56.48,56.48,100
2024-09-19,56.48,56.48,56.48,56.48,0
2024-09-20,56.48,56.48,56.48,56.48,0
2024-09-23,56.48,56.48,56.48,56.48,0
2024-09-24,56.48,56.48,56.48,56.48,0
2024-09-25,56.48,56.48,56.48,56.48,0
2024-09-26,56.48,56.48,56.48,56.48,0
2024-09-27,56.48,56.48,56.48,56.48,0
2024-09-30,56.48,56.48,56.48,56.48,20
2024-10-01,56.48,56.48,56.48,56.48,0
2024-10-02,56.48,56.48,56.48,56.48,0
2024-10-03,56.48,56.48,56.48,56.48,0
2024-10-04,56.48,56.48,56.48,56.48,0
2024-10-07,56.48,56.48,56.48,56.48,0
2024-10-08,56.48,56.48,56.48,56.48,0
2024-10-09,56.48,56.48,56.48,56.48,0
2024-10-10,56.48,56.48,56.48,56.48,0
2024-10-11,56.48,56.48,56.48,56.48,0
2024-10-14,56.48,56.48,56.48,56.48,0
2024-10-15,56.48,56.48,56.48,56.48,100
2024-10-16,56.48,56.48,56.48,56.48,145
2024-10-17,56.48,56.48,56.48,56.48,22
2024-10-18,56.48,56.48,56.48,56.48,2
2024-10-21,56.97,56.97,56.38,56.38,1000
2024-10-22,56.38,56.38,56.38,56.38,0
2024-10-23,56.38,56.38,56.38,56.38,0
2024-10-24,56.38,56.38,56.38,56.38,0
2024-10-25,56.38,56.38,56.38,56.38,0
2024-10-28,56.97,56.97,56.97,56.97,1000
2024-10-29,56.97,56.97,56.97,56.97,1500
2024-10-30,56.97,56.97,56.97,56.97,0
2024-10-31,56.97,56.97,56.97,56.97,0
2024-11-01,57.46,57.46,57.46,57.46,200
2024-11-04,57.46,57.46,57.46,57.46,8
2024-11-05,57.46,57.46,57.46,57.46,2
2024-11-06,57.46,57.46,57.46,57.46,0
2024-11-07,57.46,57.46,57.46,57.46,0
2024-11-08,57.46,57.46,57.46,57.46,0
2024-11-11,57.46,57.46,57.46,57.46,0
2024-11-12,57.46,57.46,57.46,57.46,0
2024-11-13,57.46,57.46,57.46,57.46,11
2024-11-14,62.96,62.96,62.96,62.96,100
2024-11-15,62.96,62.96,62.96,62.96,1
2024-11-18,62.96,62.96,62.96,62.96,0
2024-11-19,62.96,62.96,62.96,62.96,0
2024-11-20,62.96,62.96,62.96,62.96,0
2024-11-21,62.96,62.96,62.96,62.96,0
2024-11-22,62.96,62.96,62.96,62.96,0
2024-11-25,62.96,62.96,62.96,62.96,0
2024-11-26,62.96,62.96,62.96,62.96,0
2024-11-27,62.96,62.96,62.96,62.96,0
2024-11-28,62.96,62.96,62.96,62.96,0
2024-11-29,62.96,62.96,62.96,62.96,0
2024-12-02,62.96,62.96,62.96,62.96,0
2024-12-03,62.96,62.96,62.96,62.96,0
2024-12-04,62.96,62.96,62.96,62.96,0
2024-12-05,62.96,62.96,62.96,62.96,0
2024-12-06,62.96,62.96,62.96,62.96,0
2024-12-09,62.96,62.96,62.96,62.96,0
2024-12-10,62.96,62.96,62.96,62.96,0
2024-12-11,62.96,62.96,62.96,62.96,0
2024-12-12,62.96,62.96,62.96,62.96,0
2024-12-13,62.96,62.96,62.96,62.96,0
2024-12-16,62.96,62.96,62.96,62.96,0
2024-12-17,62.96,62.96,62.96,62.96,0
2024-12-18,62.96,62.96,62.96,62.96,0
2024-12-19,62.96,62.96,62.96,62.96,0
2024-12-20,62.96,62.96,62.96,62.96,1
2024-12-23,62.96,62.96,62.96,62.96,0
2024-12-24,62.96,62.96,62.96,62.96,0
2024-12-25,56.97,68.85,56.97,68.85,330
2024-12-26,68.85,68.85,68.85,68.85,16
2024-12-27,68.85,68.85,68.85,68.85,33
2024-12-30,68.85,68.85,68.85,68.85,0
2024-12-31,68.85,68.85,68.85,68.85,1
2025-01-02,68.85,68.85,68.85,68.85,0
2025-01-03,68.85,68.85,68.85,68.85,4
2025-01-06,68.85,68.85,68.85,68.85,0
2025-01-07,68.85,68.85,68.85,68.85,0
2025-01-08,68.85,68.85,68.85,68.85,0
2025-01-09,68.85,68.85,68.85,68.85,0
2025-01-10,68.85,68.85,68.85,68.85,0
2025-01-13,68.85,68.85,68.85,68.85,0
2025-01-14,68.85,68.85,68.85,68.85,0
2025-01-15,68.85,68.85,68.85,68.85,1
2025-01-16,68.85,68.85,68.85,68.85,0
2025-01-17,68.85,68.85,68.85,68.85,0
2025-01-20,68.85,68.85,68.85,68.85,0
2025-01-21,68.85,68.85,68.85,68.85,0
2025-01-22,68.85,68.85,68.85,68.85,0
2025-01-23,68.85,68.85,68.85,68.85,27
2025-01-24,68.85,68.85,68.85,68.85,0
2025-02-03,68.85,68.85,68.85,68.85,0
2025-02-04,68.85,68.85,68.85,68.85,0
2025-02-05,68.85,68.85,68.85,68.85,0
2025-02-06,68.85,68.85,68.85,68.85,0
2025-02-07,68.85,68.85,68.85,68.85,0
2025-02-10,68.85,68.85,68.85,68.85,32
2025-02-11,68.85,68.85,68.85,68.85,0
2025-02-12,68.85,68.85,68.85,68.85,0
2025-02-13,68.85,68.85,68.85,68.85,0
2025-02-14,68.85,68.85,68.85,68.85,0
2025-02-17,68.85,68.85,68.85,68.85,1
2025-02-18,68.85,68.85,68.85,68.85,0
2025-02-19,68.85,68.85,68.85,68.85,0
2025-02-20,68.85,68.85,68.85,68.85,0
2025-02-21,68.85,68.85,68.85,68.85,0
2025-02-24,68.85,68.85,68.85,68.85,0
2025-02-25,68.85,68.85,68.85,68.85,0
2025-02-26,68.85,68.85,68.85,68.85,0
2025-02-27,68.85,68.85,68.85,68.85,0
2025-02-28,68.85,68.85,68.85,68.85,0
2025-03-03,68.85,68.85,68.85,68.85,0
2025-03-04,68.85,68.85,68.85,68.85,0
2025-03-05,68.85,68.85,68.85,68.85,0
2025-03-06,68.85,68.85,68.85,68.85,0
2025-03-07,68.85,68.85,68.85,68.85,0
2025-03-10,68.85,68.85,68.85,68.85,0
2025-03-11,68.85,68.85,68.85,68.85,0
2025-03-12,68.85,68.85,68.85,68.85,37
2025-03-13,68.85,68.85,68.85,68.85,0
2025-03-14,68.85,68.85,68.85,68.85,0
2025-03-17,68.85,68.85,68.85,68.85,0
2025-03-18,61.98,62.17,61.98,61.98,207801
2025-03-19,61.98,61.98,61.98,61.98,0
2025-03-20,57.95,57.95,57.95,57.95,1000
2025-03-21,57.95,57.95,57.95,57.95,2000
2025-03-24,57.95,57.95,57.95,57.95,0
2025-03-25,57.95,57.95,57.95,57.95,0
2025-03-26,57.95,57.95,57.95,57.95,0
2025-03-27,57.95,57.95,57.95,57.95,22
2025-03-28,57.95,57.95,57.95,57.95,0
2025-03-31,57.95,57.95,57.95,57.95,2100
2025-04-01,57.95,57.95,57.95,57.95,1022
2025-04-02,57.95,57.95,57.95,57.95,0
2025-04-03,57.95,57.95,56.97,56.97,900
2025-04-04,56.97,56.97,56.97,56.97,0
2025-04-08,56.97,56.97,56.97,56.97,0
2025-04-09,55.0,55.0,55.0,55.0,110
2025-04-10,57.95,57.95,57.95,57.95,2000
2025-04-11,57.95,57.95,57.95,57.95,40
2025-04-14,55.0,55.0,54.22,54.22,1000
2025-04-15,57.95,59.62,57.95,59.62,900
2025-04-16,59.62,59.62,59.62,59.62,0
2025-04-17,59.62,59.62,59.62,59.62,0
2025-04-18,59.62,59.62,59.62,59.62,0
2025-04-21,59.62,59.62,59.62,59.62,0
2025-04-22,57.95,57.95,57.95,57.95,100
2025-04-23,57.95,57.95,57.95,57.95,7
2025-04-24,57.95,57.95,57.95,57.95,0
2025-04-25,57.95,57.95,57.95,57.95,0
2025-04-28,57.95,57.95,57.95,57.95,1
2025-04-29,57.95,57.95,57.95,57.95,0
2025-05-05,57.95,57.95,57.95,57.95,0
2025-05-06,57.95,57.95,57.95,57.95,0
2025-05-07,57.95,57.95,57.95,57.95,0
2025-05-08,57.95,57.95,57.95,57.95,0
2025-05-09,57.95,57.95,57.95,57.95,0
2025-05-12,56.97,57.95,56.97,57.95,1121
2025-05-13,57.95,57.95,57.95,57.95,0
2025-05-14,57.95,57.95,57.95,57.95,0
2025-05-15,57.95,57.95,57.95,57.95,3
2025-05-16,56.97,56.97,56.97,56.97,2300
2025-05-19,56.97,56.97,56.97,56.97,2
2025-05-20,56.97,56.97,56.97,56.97,0
2025-05-21,56.97,56.97,56.97,56.97,0
2025-05-22,56.97,56.97,56.97,56.97,1001
2025-05-23,56.97,56.97,56.97,56.97,500
2025-05-26,56.97,56.97,56.97,56.97,0
2025-05-27,56.97,56.97,56.97,56.97,0
2025-05-28,56.97,56.97,56.97,56.97,0
2025-05-29,56.97,56.97,56.97,56.97,0
2025-05-30,56.97,56.97,56.97,56.97,0
2025-06-02,51.37,56.48,51.27,56.48,15888
2025-06-03,60.8,60.8,60.8,60.8,100
2025-06-04,54.81,54.81,54.81,54.81,200
2025-06-05,55.89,56.87,55.89,56.87,3000
2025-06-06,56.87,56.87,56.87,56.87,0
2025-06-09,56.87,56.87,56.87,56.87,0
2025-06-10,52.65,54.51,52.65,54.51,1400
2025-06-11,56.28,56.38,54.61,54.61,1300
2025-06-12,55.0,55.0,55.0,55.0,500
2025-06-13,55.0,55.0,55.0,55.0,500
2025-06-16,55.0,55.0,55.0,55.0,0
2025-06-17,51.07,51.07,51.07,51.07,100
2025-06-18,56.18,56.18,56.18,56.18,702
2025-06-19,57.95,57.95,56.97,56.97,200
2025-06-20,56.97,56.97,56.97,56.97,0
2025-06-23,53.04,58.83,53.04,58.83,900
2025-06-24,58.83,58.83,58.83,58.83,0
2025-06-25,58.83,58.83,58.83,58.83,0
2025-06-26,58.83,58.83,58.83,58.83,0
2025-06-27,58.93,58.93,58.93,58.93,300
2025-06-30,58.93,58.93,58.93,58.93,100
2025-07-01,58.93,58.93,58.93,58.93,0
2025-07-02,58.93,58.93,58.93,58.93,100
2025-07-03,58.93,58.93,58.93,58.93,0
2025-07-04,58.93,58.93,55.1,55.1,1900
2025-07-07,57.5,57.5,57.0,57.5,900
