date,open,high,low,close,volume
2024-01-09,15.04,15.04,13.92,13.92,5900
2024-01-10,14.1,14.1,14.1,14.1,1100
2024-01-11,14.1,14.57,14.1,14.57,900
2024-01-12,15.51,15.51,13.63,14.01,63000
2024-01-15,14.1,14.1,13.82,13.82,2000
2024-01-16,13.92,14.01,13.45,13.45,206100
2024-01-17,13.92,13.92,13.92,13.92,122400
2024-01-18,13.92,13.92,13.73,13.73,59000
2024-01-19,13.82,13.92,13.82,13.92,52600
2024-01-22,13.92,14.01,13.92,14.01,162000
2024-01-23,14.01,14.1,14.01,14.1,68550
2024-01-24,14.29,14.29,14.29,14.29,100
2024-01-25,14.1,14.1,14.1,14.1,7000
2024-01-26,13.82,14.1,13.82,14.1,3002
2024-01-29,14.01,14.01,13.92,14.01,69300
2024-01-30,14.01,14.1,13.92,14.01,130500
2024-01-31,14.01,14.01,13.92,13.92,134039
2024-02-01,13.92,14.01,13.92,14.01,35000
2024-02-02,14.01,14.57,13.82,14.57,97139
2024-02-05,14.86,14.86,14.76,14.86,2400
2024-02-06,14.86,14.86,14.86,14.86,0
2024-02-07,17.02,17.02,16.64,16.64,600
2024-02-15,14.57,14.57,14.29,14.29,11620
2024-02-16,13.35,14.1,13.35,14.1,11400
2024-02-19,14.1,14.1,14.1,14.1,103300
2024-02-20,14.1,14.1,14.1,14.1,78100
2024-02-21,14.1,14.1,14.1,14.1,7100
2024-02-22,14.1,14.1,14.1,14.1,0
2024-02-23,14.1,14.1,13.63,14.1,132400
2024-02-26,14.1,14.1,13.92,14.1,40700
2024-02-27,14.01,14.01,14.01,14.01,6000
2024-02-28,14.1,14.1,14.1,14.1,1000
2024-02-29,14.01,14.1,13.92,14.1,110900
2024-03-01,13.92,13.92,13.92,13.92,2000
2024-03-04,13.92,13.92,13.73,13.82,10000
2024-03-05,14.29,14.29,14.1,14.1,61000
2024-03-06,14.2,14.57,14.1,14.1,53100
2024-03-07,14.1,14.1,13.92,14.1,20700
2024-03-08,14.01,14.48,14.01,14.48,275800
2024-03-11,14.1,14.39,13.92,14.39,123400
2024-03-12,14.2,14.39,14.2,14.2,83000
2024-03-13,14.1,14.39,14.1,14.39,33900
2024-03-14,14.29,14.29,14.2,14.2,4100
2024-03-15,14.1,14.29,14.1,14.29,81100
2024-03-18,14.29,14.29,13.73,14.1,59300
2024-03-19,14.01,14.1,14.01,14.1,61000
2024-03-20,14.01,14.29,14.01,14.29,42000
2024-03-21,14.01,14.29,13.92,13.92,83000
2024-03-22,14.2,14.29,13.92,14.29,37900
2024-03-25,13.92,14.1,13.92,14.01,116500
2024-03-26,14.01,14.1,14.01,14.1,32100
2024-03-27,14.1,14.29,14.01,14.29,49000
2024-03-28,14.39,14.39,14.2,14.2,12100
2024-03-29,14.39,14.39,14.39,14.39,30500
2024-04-01,14.29,14.29,14.29,14.29,1000
2024-04-02,14.29,14.29,14.29,14.29,0
2024-04-03,14.39,14.39,14.39,14.39,57900
2024-04-04,14.39,14.39,14.1,14.39,21000
2024-04-05,14.39,14.39,14.39,14.39,100
2024-04-08,14.39,14.39,14.1,14.1,16900
2024-04-09,14.1,14.29,13.92,14.29,4100
2024-04-10,14.2,14.39,14.1,14.39,42800
2024-04-11,14.01,14.48,14.01,14.48,57200
2024-04-12,14.68,14.87,14.39,14.39,14102
2024-04-15,13.71,14.29,13.71,14.29,300
2024-04-16,13.71,13.71,13.61,13.61,1800
2024-04-17,13.61,13.71,13.61,13.71,10100
2024-04-19,13.51,13.51,13.41,13.51,1102
2024-04-22,13.51,13.61,13.51,13.61,4500
2024-04-23,13.51,13.51,13.51,13.51,8000
2024-04-24,13.51,13.51,13.51,13.51,200
2024-04-25,13.9,13.9,13.9,13.9,102
2024-04-26,13.61,13.9,13.61,13.9,1100
2024-05-02,13.51,13.51,13.51,13.51,700
2024-05-03,13.61,13.61,13.61,13.61,100
2024-05-06,13.61,13.61,13.61,13.61,4000
2024-05-07,14.1,15.07,14.1,15.07,200
2024-05-08,14.58,14.68,14.58,14.68,5520
2024-05-09,14.68,14.78,14.68,14.78,2004
2024-05-10,14.78,14.78,14.78,14.78,0
2024-05-13,13.9,13.9,13.8,13.8,600
2024-05-14,13.8,13.8,13.8,13.8,1401
2024-05-15,13.8,13.8,13.8,13.8,0
2024-05-16,13.9,14.58,13.8,14.58,3200
2024-05-17,13.8,13.8,13.8,13.8,2000
2024-05-20,13.61,13.8,13.41,13.61,14229
2024-05-21,13.8,13.8,13.8,13.8,4500
2024-05-22,13.8,14.1,13.8,14.1,2616
2024-05-23,14.1,14.19,14.1,14.19,600
2024-05-24,14.19,14.48,14.19,14.48,900
2024-05-27,14.29,14.29,14.29,14.29,16
2024-05-28,14.0,14.48,14.0,14.39,7200
2024-05-29,14.39,14.39,14.39,14.39,101
2024-05-30,14.29,14.39,14.1,14.1,3500
2024-05-31,14.19,14.48,13.41,13.41,12205
2024-06-03,14.29,14.29,14.29,14.29,100
2024-06-04,14.1,14.19,14.1,14.19,3000
2024-06-05,14.29,14.39,14.29,14.39,4001
2024-06-06,14.29,14.29,14.29,14.29,26
2024-06-07,14.1,14.1,14.1,14.1,2000
2024-06-10,14.1,14.1,14.1,14.1,100
2024-06-11,14.1,14.1,14.1,14.1,2007
2024-06-12,14.1,14.19,14.1,14.19,1800
2024-06-13,14.19,14.19,14.1,14.1,45900
2024-06-14,14.19,14.19,13.9,13.9,13400
2024-06-17,14.1,14.1,14.1,14.1,5000
2024-06-18,14.1,14.29,14.1,14.1,3800
2024-06-19,14.19,14.19,14.1,14.19,62400
2024-06-20,14.19,14.19,14.19,14.19,18600
2024-06-21,14.1,14.19,14.1,14.19,20100
2024-06-24,14.19,14.19,14.1,14.19,26601
2024-06-25,14.19,14.19,14.19,14.19,21600
2024-06-26,14.19,14.19,14.19,14.19,27400
2024-06-27,14.19,14.19,14.19,14.19,0
2024-06-28,14.29,14.68,14.29,14.58,131700
2024-07-01,14.48,14.58,14.48,14.58,62500
2024-07-02,14.1,14.1,13.71,13.71,3020
2024-07-03,13.8,13.8,13.8,13.8,0
2024-07-04,14.19,14.19,14.1,14.1,50300
2024-07-05,14.19,14.19,14.1,14.1,59601
2024-07-08,14.19,14.29,14.19,14.29,6202
2024-07-09,14.39,14.39,14.39,14.39,17903
2024-07-10,14.39,14.39,14.39,14.39,30800
2024-07-11,14.1,14.1,14.0,14.0,10000
2024-07-12,14.1,14.78,14.1,14.58,141700
2024-07-15,14.58,14.58,14.58,14.58,301
2024-07-16,14.58,14.58,14.29,14.58,55000
2024-07-17,14.58,14.58,14.39,14.39,20522
2024-07-18,14.58,14.58,14.48,14.58,520871
2024-07-19,14.58,14.58,14.58,14.58,23100
2024-07-22,14.39,14.39,14.1,14.1,10210
2024-07-23,14.39,14.58,14.39,14.58,69500
2024-07-24,14.58,14.58,14.58,14.58,1000
2024-07-25,14.58,14.58,14.58,14.58,2000
2024-07-26,14.58,14.58,14.58,14.58,28501
2024-07-29,14.58,14.68,14.58,14.68,6100
2024-07-30,14.58,14.58,14.58,14.58,902
2024-07-31,14.19,14.19,13.61,13.61,27102
2024-08-01,14.1,14.1,13.61,14.1,28330
2024-08-02,14.1,14.1,13.61,13.61,71501
2024-08-05,13.8,13.8,13.8,13.8,0
2024-08-06,14.1,14.19,13.61,14.1,74518
2024-08-07,14.1,14.1,13.71,13.71,20500
2024-08-08,14.1,14.1,14.1,14.1,1000
2024-08-09,14.58,14.58,14.1,14.19,3800
2024-08-12,14.58,14.58,14.29,14.39,15000
2024-08-13,14.29,14.58,14.29,14.58,51900
2024-08-14,14.48,14.48,14.29,14.29,11500
2024-08-15,14.29,14.58,14.29,14.58,67500
2024-08-16,14.58,15.55,14.29,14.29,79700
2024-08-19,14.58,14.58,14.39,14.58,149000
2024-08-20,14.58,14.78,14.48,14.48,88700
2024-08-21,14.58,14.87,14.48,14.87,270300
2024-08-22,14.87,16.33,14.87,16.33,309200
2024-08-23,16.23,17.79,16.23,17.6,174632
2024-08-26,17.5,17.79,17.4,17.4,72401
2024-08-27,17.5,17.69,17.5,17.69,326812
2024-08-28,17.6,17.69,17.5,17.69,320228
2024-08-29,17.89,17.89,17.6,17.89,189605
2024-08-30,17.89,17.89,17.5,17.6,61856
2024-09-04,17.5,17.5,16.04,17.4,27740
2024-09-05,17.4,17.4,16.91,16.91,13506
2024-09-06,17.11,17.5,17.11,17.5,22107
2024-09-09,17.69,19.34,17.69,18.76,241553
2024-09-10,18.96,18.96,18.76,18.76,102139
2024-09-11,18.96,18.96,18.18,18.76,85775
2024-09-12,18.66,18.66,18.37,18.66,21752
2024-09-13,18.47,18.66,18.28,18.37,59922
2024-09-16,18.47,18.47,18.28,18.28,32200
2024-09-17,18.28,18.66,18.18,18.66,91300
2024-09-18,18.57,18.57,18.37,18.47,72407
2024-09-19,18.47,18.47,18.37,18.47,63900
2024-09-20,18.47,18.47,18.37,18.47,42207
2024-09-23,18.47,18.47,18.28,18.37,80000
