date,open,high,low,close,volume
2023-12-08,7.6,7.6,7.6,7.6,200
2023-12-11,7.6,7.6,7.6,7.6,2100
2023-12-12,7.6,7.6,7.3,7.4,6800
2023-12-13,7.4,7.4,7.3,7.3,7200
2023-12-14,7.3,7.5,7.3,7.5,1100
2023-12-15,7.2,7.2,7.2,7.2,600
2023-12-18,7.6,7.6,7.5,7.5,200
2023-12-19,7.5,7.5,7.5,7.5,2900
2023-12-20,7.5,7.5,7.5,7.5,0
2023-12-21,7.5,7.5,7.5,7.5,0
2023-12-22,7.5,7.5,7.5,7.5,0
2023-12-25,7.5,7.5,7.5,7.5,0
2023-12-26,7.5,7.5,7.5,7.5,0
2023-12-27,7.5,7.5,7.5,7.5,0
2023-12-28,7.6,7.6,7.6,7.6,100
2023-12-29,7.6,7.6,7.6,7.6,0
2024-01-02,7.6,7.6,7.6,7.6,0
2024-01-03,7.6,7.6,7.6,7.6,0
2024-01-04,7.6,7.6,7.6,7.6,100
2024-01-05,7.6,7.6,7.6,7.6,0
2024-01-08,7.6,7.6,7.6,7.6,0
2024-01-09,7.6,7.6,7.6,7.6,0
2024-01-10,8.7,8.7,8.0,8.0,400
2024-01-11,7.5,7.5,7.5,7.5,19000
2024-01-12,7.5,7.5,7.5,7.5,100
2024-01-15,7.5,7.5,7.5,7.5,0
2024-01-16,7.5,7.5,7.5,7.5,0
2024-01-17,7.5,7.5,7.5,7.5,0
2024-01-18,7.5,7.5,7.5,7.5,0
2024-01-19,7.5,7.5,7.5,7.5,0
2024-01-22,7.5,7.5,7.5,7.5,0
2024-01-23,7.5,7.5,7.5,7.5,0
2024-01-24,7.5,7.5,7.5,7.5,0
2024-01-25,7.5,7.5,7.5,7.5,0
2024-01-26,6.8,6.8,6.8,6.8,500
2024-01-29,7.8,7.8,7.8,7.8,2000
2024-01-30,8.5,8.5,8.5,8.5,100
2024-01-31,8.5,8.5,8.5,8.5,0
2024-02-01,9.7,9.7,9.7,9.7,500
2024-02-02,8.3,8.3,8.3,8.3,100
2024-02-05,8.2,8.2,8.2,8.2,100
2024-02-06,9.3,9.3,8.2,8.2,900
2024-02-07,9.2,9.2,9.2,9.2,0
2024-02-15,8.9,8.9,7.9,7.9,1500
2024-02-16,7.9,7.9,7.9,7.9,400
2024-02-19,7.0,7.9,7.0,7.9,400
2024-02-20,8.8,8.8,6.9,6.9,200
2024-02-21,7.9,7.9,7.9,7.9,113
2024-02-22,6.9,8.2,6.9,7.1,5200
2024-02-23,7.1,7.5,7.1,7.1,18000
2024-02-26,7.2,7.2,7.0,7.0,1000
2024-02-27,7.7,7.7,7.7,7.7,100
2024-02-28,7.6,7.6,7.5,7.5,4800
2024-02-29,7.5,7.5,7.5,7.5,400
2024-03-01,7.5,7.5,7.5,7.5,0
2024-03-04,7.5,7.5,7.5,7.5,0
2024-03-05,7.5,7.5,7.5,7.5,113
2024-03-06,7.5,7.6,7.5,7.6,5800
2024-03-07,7.5,7.5,7.5,7.5,6
2024-03-08,7.8,7.8,7.8,7.8,2000
2024-03-11,7.8,7.8,7.8,7.8,0
2024-03-12,7.8,7.8,7.8,7.8,200
2024-03-13,7.8,7.8,7.8,7.8,0
2024-03-14,7.8,7.8,7.8,7.8,31
2024-03-15,7.8,7.8,7.8,7.8,0
2024-03-18,7.5,7.5,7.5,7.5,5000
2024-03-19,7.6,7.6,7.6,7.6,200
2024-03-20,7.6,7.6,7.6,7.6,0
2024-03-21,7.6,7.6,7.6,7.6,0
2024-03-22,7.6,7.6,7.6,7.6,0
2024-03-25,7.6,7.6,7.6,7.6,0
2024-03-26,7.6,7.8,7.6,7.8,700
2024-03-27,7.7,7.7,7.7,7.7,0
2024-03-28,7.5,7.5,7.5,7.5,200
2024-03-29,7.1,7.8,7.1,7.8,1200
2024-04-01,8.0,8.0,8.0,8.0,5000
2024-04-02,8.0,8.0,8.0,8.0,0
2024-04-03,7.9,7.9,7.9,7.9,400
2024-04-04,8.0,8.0,8.0,8.0,100
2024-04-05,8.0,8.0,8.0,8.0,0
2024-04-08,7.8,7.8,7.8,7.8,100
2024-04-09,7.0,7.0,7.0,7.0,100
2024-04-10,8.0,8.0,7.5,7.5,4400
