date,open,high,low,close,volume
2024-01-30,7.2,7.3,7.1,7.3,474850
2024-01-31,7.3,7.4,7.1,7.2,1252845
2024-02-01,7.2,7.3,7.1,7.3,844988
2024-02-02,7.2,7.4,7.1,7.3,2131183
2024-02-05,7.3,7.3,7.2,7.3,837791
2024-02-06,7.2,7.3,7.1,7.2,884232
2024-02-07,7.2,7.3,7.1,7.3,806656
2024-02-15,7.2,7.3,7.1,7.3,515888
2024-02-16,7.3,7.4,7.2,7.4,1636573
2024-02-19,7.3,7.4,7.2,7.4,1146048
2024-02-20,7.4,7.6,7.3,7.5,3996100
2024-02-21,7.4,7.5,7.3,7.4,1006383
2024-02-22,7.4,7.5,7.3,7.4,2142346
2024-02-23,7.4,7.4,7.2,7.3,2205013
2024-02-26,7.3,7.4,7.1,7.4,2035411
2024-02-27,7.3,7.6,7.3,7.4,3193433
2024-02-28,7.5,7.5,7.3,7.3,1717001
2024-02-29,7.3,7.6,7.3,7.3,2667641
2024-03-01,7.4,7.6,7.4,7.6,5034808
2024-03-04,7.6,8.0,7.6,7.8,4239693
2024-03-05,7.8,7.9,7.6,7.8,2512994
2024-03-06,7.8,7.9,7.5,7.7,2703196
2024-03-07,7.7,8.3,7.6,8.1,7945010
2024-03-08,8.1,8.3,7.9,8.0,4169502
2024-03-11,8.0,8.1,7.7,7.7,3270500
2024-03-12,7.7,7.9,7.6,7.8,2780574
2024-03-13,7.8,8.1,7.6,8.1,3469462
2024-03-14,8.1,8.2,7.9,8.0,4013857
2024-03-15,8.0,8.0,7.8,8.0,2545549
2024-03-18,7.9,8.0,7.4,7.7,4676021
2024-03-19,7.9,8.0,7.6,7.7,2081278
2024-03-20,7.7,7.8,7.6,7.8,1385065
2024-03-21,7.8,8.0,7.8,7.9,2579970
2024-03-22,7.9,8.0,7.7,7.8,3078351
2024-03-25,7.8,8.0,7.7,7.9,2611357
2024-03-26,7.9,7.9,7.7,7.9,1663611
2024-03-27,7.9,8.0,7.8,7.9,1770016
2024-03-28,7.9,8.2,7.8,8.1,4259849
2024-03-29,8.1,8.1,7.9,8.0,1394937
2024-04-01,8.0,8.0,7.7,7.9,1829418
2024-04-02,7.8,7.9,7.6,7.8,2603027
2024-04-03,7.8,7.9,7.7,7.8,1554071
2024-04-04,7.7,7.8,7.6,7.7,1369524
2024-04-05,7.6,7.6,7.4,7.4,2391245
2024-04-08,7.4,7.5,7.3,7.4,1501103
2024-04-09,7.4,7.5,7.2,7.5,1486979
