date,open,high,low,close,volume
2024-01-22,9.16,9.19,9.12,9.16,1800
2024-01-23,9.19,9.19,9.19,9.19,100
2024-01-24,9.19,9.3,9.02,9.16,5102
2024-01-25,9.3,9.63,9.21,9.63,41001
2024-01-26,9.63,10.23,9.63,10.23,35700
2024-01-29,10.23,10.79,9.53,10.46,25102
2024-01-30,9.91,11.16,9.77,10.46,40100
2024-01-31,10.88,10.88,9.77,10.23,11201
2024-02-01,9.86,10.6,9.58,10.14,16400
2024-02-02,10.14,10.23,9.63,10.09,4400
2024-02-05,10.14,10.14,9.58,9.95,9100
2024-02-06,10.05,10.05,9.28,9.95,35600
2024-02-07,9.95,10.23,9.3,10.14,12700
2024-02-15,10.14,10.23,9.49,10.05,4444
2024-02-16,10.05,10.09,9.63,10.05,32201
2024-02-19,9.77,9.95,9.58,9.81,6600
2024-02-20,9.86,9.86,9.58,9.86,9800
2024-02-21,9.86,9.86,9.77,9.86,13400
2024-02-22,9.86,9.95,9.49,9.53,18374
2024-02-23,9.67,10.0,9.53,10.0,50800
2024-02-26,10.05,10.14,9.91,9.95,3800
2024-02-27,9.95,10.09,9.95,10.09,4200
2024-02-28,10.09,10.18,10.05,10.14,2100
2024-02-29,10.18,10.18,9.86,10.18,2150
2024-03-01,9.77,10.23,9.77,10.18,6100
2024-03-04,10.05,10.42,10.05,10.37,1967
2024-03-05,10.46,10.46,10.09,10.28,4173
2024-03-06,10.28,10.42,9.81,10.32,16812
2024-03-07,10.18,10.23,10.05,10.23,2200
2024-03-08,10.28,10.37,9.95,10.32,4600
2024-03-11,10.23,10.32,10.18,10.32,5762
2024-03-12,10.46,10.46,10.14,10.32,4613
2024-03-13,10.37,10.37,10.18,10.37,10700
2024-03-14,10.37,10.37,10.37,10.37,700
2024-03-15,10.18,10.32,10.05,10.32,4720
2024-03-18,10.05,10.14,9.72,10.14,6403
2024-03-19,10.18,10.23,9.77,10.23,7871
2024-03-20,10.23,10.42,10.23,10.42,1100
2024-03-21,10.14,10.37,9.91,10.37,1810
2024-03-22,10.32,10.37,10.23,10.37,7703
2024-03-25,10.37,10.42,10.28,10.37,7866
2024-03-26,10.32,10.32,10.23,10.32,1800
2024-03-27,10.32,10.32,10.32,10.32,0
2024-03-28,9.81,10.32,9.81,10.28,5408
2024-03-29,10.23,10.23,9.81,10.18,600
2024-04-01,10.23,10.23,10.23,10.23,1500
2024-04-02,10.42,10.42,9.91,9.91,1221
2024-04-03,10.18,10.28,10.18,10.23,7400
2024-04-04,9.86,10.23,9.81,9.81,9234
2024-04-05,10.14,10.23,10.14,10.18,500
2024-04-08,10.14,10.37,10.14,10.37,25103
2024-04-09,10.42,10.42,10.42,10.42,103
2024-04-10,10.51,10.51,9.86,10.46,7234
2024-04-11,9.86,10.42,9.77,10.42,3000
2024-04-12,10.46,10.56,9.86,9.86,7332
2024-04-15,10.14,10.18,9.67,10.05,1620
2024-04-16,9.39,10.0,9.39,10.0,700
2024-04-17,10.0,10.05,10.0,10.05,715
2024-04-19,9.58,9.91,9.39,9.91,601
2024-04-22,9.23,9.77,9.23,9.77,1323
2024-04-23,9.77,9.95,9.72,9.95,14800
2024-04-24,9.72,9.91,9.72,9.91,3900
2024-04-25,9.95,9.95,9.95,9.95,100
2024-04-26,9.95,9.95,9.95,9.95,500
2024-05-02,9.95,9.95,9.95,9.95,0
2024-05-03,9.91,9.95,9.91,9.95,323
2024-05-06,9.91,10.18,9.91,10.18,4060
2024-05-07,9.58,10.18,9.58,10.18,10601
2024-05-08,10.18,10.23,9.58,10.18,5200
2024-05-09,10.14,10.18,9.58,9.63,5600
2024-05-10,9.63,9.86,9.53,9.86,7099
2024-05-13,9.53,9.81,9.53,9.81,3100
2024-05-14,9.67,9.77,9.53,9.53,2149
2024-05-15,9.63,9.77,9.63,9.77,650
2024-05-16,9.77,10.0,9.77,10.0,2849
2024-05-17,10.0,10.0,10.0,10.0,0
2024-05-20,9.49,9.95,9.49,9.86,10365
2024-05-21,9.49,9.53,9.49,9.49,2300
2024-05-22,9.39,9.67,9.39,9.67,3565
2024-05-23,9.67,9.95,9.39,9.67,21100
2024-05-24,9.77,9.77,9.44,9.44,401
2024-05-27,9.39,9.77,9.39,9.67,25154
2024-05-28,9.77,9.91,9.49,9.86,2530
