date,open,high,low,close,volume
2024-01-30,7.19,7.25,7.15,7.16,1179522
2024-01-31,7.25,7.25,7.1,7.1,2277747
2024-02-01,7.1,7.15,7.09,7.13,1297146
2024-02-02,7.16,7.28,7.14,7.14,2339242
2024-02-05,7.14,7.21,7.1,7.12,1239149
2024-02-06,7.19,7.19,7.09,7.09,1205632
2024-02-07,7.13,7.14,7.07,7.08,1494533
2024-02-15,7.1,7.18,7.1,7.18,972689
2024-02-16,7.17,7.6,7.17,7.44,7985935
2024-02-19,7.49,7.5,7.39,7.42,2743177
2024-02-20,7.5,7.5,7.34,7.35,3445396
2024-02-21,7.36,7.43,7.31,7.37,3064964
2024-02-22,7.36,7.5,7.36,7.38,3250224
2024-02-23,7.41,7.43,7.16,7.16,4208328
2024-02-26,7.16,7.21,7.11,7.18,2177842
2024-02-27,7.22,7.25,7.16,7.23,1819279
2024-02-28,7.26,7.3,7.19,7.2,2031042
2024-02-29,7.22,7.25,7.18,7.19,2123303
2024-03-01,7.25,7.25,7.2,7.22,1606655
2024-03-04,7.28,7.5,7.28,7.4,5713286
2024-03-05,7.39,7.4,7.32,7.38,2385327
2024-03-06,7.43,7.63,7.41,7.48,7467501
2024-03-07,7.46,7.49,7.39,7.43,2355064
2024-03-08,7.5,7.5,7.24,7.24,3664389
2024-03-11,7.24,7.29,7.15,7.2,2934627
2024-03-12,7.2,7.25,7.13,7.14,1811824
2024-03-13,7.2,7.26,7.16,7.26,1533632
2024-03-14,7.3,7.37,7.25,7.27,2806510
2024-03-15,7.27,7.45,7.21,7.33,3285133
2024-03-18,7.35,7.75,7.35,7.69,14304807
2024-03-19,7.76,7.78,7.55,7.55,4187700
2024-03-20,7.55,7.59,7.41,7.55,2729853
2024-03-21,7.64,7.87,7.53,7.76,9278549
2024-03-22,7.81,7.86,7.67,7.75,5172864
2024-03-25,7.81,7.91,7.66,7.75,5934378
2024-03-26,7.75,7.94,7.65,7.82,4518830
2024-03-27,7.83,7.94,7.75,7.78,3232102
2024-03-28,7.83,7.86,7.69,7.7,3614807
2024-03-29,7.7,7.73,7.55,7.6,3746069
2024-04-01,7.58,7.88,7.58,7.8,5340425
2024-04-02,7.82,7.84,7.71,7.84,3756808
2024-04-03,7.84,8.19,7.83,8.0,10051788
2024-04-04,7.94,8.04,7.8,7.9,3847627
2024-04-05,7.8,7.89,7.62,7.7,5957554
2024-04-08,7.68,7.7,7.52,7.52,4309207
2024-04-09,7.52,7.7,7.5,7.7,1991207
2024-04-10,7.7,7.7,7.43,7.49,3238968
2024-04-11,7.35,7.52,7.35,7.5,2506889
2024-04-12,7.5,7.6,7.5,7.53,1856907
2024-04-15,7.42,7.52,7.01,7.01,4545761
2024-04-16,6.95,7.01,6.56,6.8,5507401
2024-04-17,6.81,6.84,6.66,6.68,2031454
2024-04-19,6.66,6.66,6.25,6.37,3855808
2024-04-22,6.45,6.54,6.4,6.5,1311139
2024-04-23,6.51,6.56,6.39,6.43,1915115
2024-04-24,6.52,6.69,6.5,6.69,2085808
2024-04-25,6.7,6.7,6.59,6.65,1047076
2024-04-26,6.61,6.66,6.6,6.6,1151375
2024-05-02,6.6,6.65,6.53,6.58,1485193
2024-05-03,6.7,6.74,6.6,6.68,1068338
2024-05-06,6.79,6.89,6.71,6.89,1241891
2024-05-07,6.89,6.89,6.78,6.86,856428
2024-05-08,6.81,6.81,6.69,6.8,1347187
2024-05-09,6.8,6.88,6.76,6.8,825466
2024-05-10,6.79,6.84,6.71,6.8,958391
2024-05-13,6.83,6.95,6.82,6.87,1657696
2024-05-14,6.87,6.95,6.83,6.9,875445
2024-05-15,6.99,6.99,6.86,6.87,1352571
2024-05-16,6.93,6.94,6.87,6.88,1355922
2024-05-17,6.95,6.95,6.86,6.9,1263834
2024-05-20,6.92,7.06,6.92,6.97,2322717
2024-05-21,7.0,7.09,6.95,7.09,2554923
