date,open,high,low,close,volume
2023-10-18,4.9,5.0,4.5,4.9,6200
2023-10-19,5.0,5.0,4.7,4.7,1200
2023-10-20,4.8,4.8,4.7,4.7,5000
2023-10-23,4.6,4.6,4.6,4.6,100
2023-10-24,5.0,5.0,5.0,5.0,100
2023-10-25,4.6,4.9,4.6,4.9,4500
2023-10-26,4.3,4.3,4.3,4.3,100
2023-10-27,4.3,4.7,3.7,4.7,6100
2023-10-30,4.2,4.6,4.1,4.6,4500
2023-10-31,4.7,4.7,4.7,4.7,100
2023-11-01,4.7,4.7,4.7,4.7,0
2023-11-02,4.6,4.6,4.6,4.6,3500
2023-11-03,4.2,4.6,4.2,4.4,12800
2023-11-06,4.4,4.4,4.4,4.4,7400
2023-11-07,4.6,4.6,4.6,4.6,3000
2023-11-08,4.6,5.0,4.6,5.0,300
2023-11-09,5.0,5.0,4.5,4.9,690
2023-11-10,4.6,4.6,4.6,4.6,1000
2023-11-13,4.6,4.6,4.6,4.6,0
2023-11-14,4.6,4.7,4.6,4.7,200
2023-11-15,4.6,4.6,4.1,4.5,2013
2023-11-16,4.4,4.7,4.0,4.5,8000
2023-11-17,4.7,4.7,4.7,4.7,100
2023-11-20,4.7,4.7,4.7,4.7,4000
2023-11-21,4.7,4.7,4.7,4.7,4900
2023-11-22,4.7,4.7,4.7,4.7,5100
2023-11-23,5.4,5.4,5.2,5.2,200
2023-11-24,4.7,4.7,4.6,4.7,22290
2023-11-27,4.7,4.7,4.7,4.7,1900
2023-11-28,5.1,5.1,4.7,4.7,5300
2023-11-29,4.7,4.7,4.7,4.7,2000
2023-11-30,4.7,4.7,4.7,4.7,2000
2023-12-01,4.7,4.7,4.7,4.7,2500
2023-12-04,4.7,4.8,4.7,4.8,800
2023-12-05,4.8,4.9,4.8,4.9,1300
2023-12-06,4.7,5.0,4.7,5.0,500
2023-12-07,5.1,5.1,4.8,4.8,2300
2023-12-08,4.8,4.8,4.8,4.8,0
2023-12-11,4.8,4.8,4.8,4.8,200
2023-12-12,5.0,5.1,4.8,4.8,38900
2023-12-13,5.1,5.1,5.1,5.1,0
2023-12-14,5.0,5.1,5.0,5.1,57800
2023-12-15,4.5,5.0,4.5,5.0,200
2023-12-18,5.0,5.3,5.0,5.0,36400
2023-12-19,5.0,5.0,5.0,5.0,14550
2023-12-20,5.1,5.1,5.0,5.0,9100
2023-12-21,5.1,5.1,5.1,5.1,6200
2023-12-22,5.1,5.1,5.1,5.1,3700
2023-12-25,5.1,5.3,5.1,5.2,17310
2023-12-26,5.3,5.3,5.3,5.3,16100
2023-12-27,5.4,5.4,5.4,5.4,100
2023-12-28,5.3,5.4,5.3,5.4,3900
2023-12-29,5.4,5.4,5.4,5.4,0
2024-01-02,5.2,5.3,5.2,5.3,1200
2024-01-03,5.3,5.3,5.3,5.3,105
2024-01-04,5.2,5.3,5.0,5.3,4700
2024-01-05,5.3,5.3,5.3,5.3,0
2024-01-08,5.9,5.9,4.6,5.3,10600
2024-01-09,5.3,5.3,5.3,5.3,2605
2024-01-10,5.2,5.3,5.2,5.3,700
2024-01-11,5.2,5.2,5.2,5.2,0
2024-01-12,5.0,5.2,5.0,5.2,37000
2024-01-15,5.0,5.9,4.6,5.2,3200
2024-01-16,5.1,5.2,5.1,5.2,4200
2024-01-17,5.5,5.5,5.5,5.5,100
2024-01-18,5.3,5.3,5.3,5.3,100
2024-01-19,5.2,5.5,5.2,5.5,1200
2024-01-22,5.4,5.4,5.3,5.4,72800
2024-01-23,5.6,5.6,5.5,5.6,9100
2024-01-24,5.8,5.8,5.8,5.8,100
2024-01-25,5.4,5.5,5.4,5.5,2200
2024-01-26,5.5,5.5,5.5,5.5,1700
2024-01-29,5.5,5.5,5.5,5.5,0
2024-01-30,5.5,5.5,5.5,5.5,1900
2024-01-31,5.7,5.7,5.7,5.7,5300
2024-02-01,5.7,5.7,5.4,5.4,8000
2024-02-02,5.7,5.7,5.7,5.7,200
2024-02-05,5.4,5.4,5.1,5.4,13500
2024-02-06,5.4,5.4,5.4,5.4,400
2024-02-07,5.9,5.9,5.5,5.6,3700
2024-02-15,5.5,5.5,5.5,5.5,8100
2024-02-16,5.5,5.5,5.5,5.5,13800
2024-02-19,5.5,5.5,5.5,5.5,5000
2024-02-20,5.5,5.7,4.7,5.5,83000
2024-02-21,5.6,5.6,5.6,5.6,100
2024-02-22,5.5,5.5,5.4,5.4,12800
2024-02-23,5.4,5.5,5.4,5.5,12100
2024-02-26,5.9,5.9,5.7,5.7,300
2024-02-27,5.5,5.8,5.5,5.8,500
2024-02-28,5.6,5.6,5.6,5.6,0
2024-02-29,5.8,5.8,5.6,5.6,200
2024-03-01,5.6,5.7,5.6,5.7,900
2024-03-04,5.7,5.7,5.7,5.7,0
2024-03-05,5.8,5.8,5.5,5.7,900
2024-03-06,5.7,5.7,5.7,5.7,4100
2024-03-07,5.8,5.8,5.7,5.7,1400
2024-03-08,5.8,5.8,5.7,5.8,20600
2024-03-11,6.0,6.0,5.8,5.8,400
2024-03-12,5.8,5.8,5.8,5.8,8200
2024-03-13,5.8,5.8,5.8,5.8,0
2024-03-14,6.6,6.6,6.6,6.6,200
2024-03-15,6.6,6.6,6.6,6.6,0
2024-03-18,6.6,6.6,6.6,6.6,0
2024-03-19,5.7,6.0,5.7,5.8,2400
2024-03-20,5.8,6.0,5.8,6.0,400
2024-03-21,6.0,6.2,6.0,6.2,5300
2024-03-22,6.5,6.5,6.5,6.5,100
2024-03-25,6.5,6.5,6.5,6.5,300
2024-03-26,6.5,6.5,5.7,6.5,4920
2024-03-27,6.5,6.5,5.8,6.0,4300
2024-03-28,6.5,6.5,6.5,6.5,200
2024-03-29,6.5,6.5,6.0,6.0,5400
2024-04-01,6.5,6.8,6.5,6.8,200
2024-04-02,7.4,7.4,6.0,6.7,801
2024-04-03,6.7,6.7,6.0,6.5,6322
2024-04-04,5.8,6.2,5.8,6.2,709
2024-04-05,6.2,6.2,5.8,6.2,900
