date,open,high,low,close,volume
2022-11-21,31.5,31.5,31.5,31.5,0
2022-11-22,31.5,31.5,31.5,31.5,0
2022-11-23,31.5,31.5,31.5,31.5,0
2022-11-24,31.5,31.5,31.5,31.5,0
2022-11-25,31.5,31.5,31.5,31.5,0
2022-11-28,28.4,28.4,28.4,28.4,104
2022-11-29,28.4,28.4,28.4,28.4,0
2022-11-30,25.6,25.6,25.6,25.6,100
2022-12-01,23.1,23.1,23.1,23.1,100
2022-12-02,25.4,25.4,20.8,20.8,300
2022-12-05,18.8,21.9,18.8,21.9,3300
2022-12-06,24.0,24.0,19.9,23.8,400
2022-12-07,25.8,25.8,21.5,23.5,5500
2022-12-08,23.5,23.5,23.5,23.5,0
2022-12-09,25.8,25.8,25.8,25.8,100
2022-12-12,25.8,25.8,25.8,25.8,0
2022-12-13,25.8,25.8,25.8,25.8,0
2022-12-14,25.8,25.8,25.8,25.8,0
2022-12-15,25.8,25.8,25.8,25.8,0
2022-12-16,25.8,25.8,25.8,25.8,0
2022-12-19,25.8,25.8,25.8,25.8,0
2022-12-20,25.8,25.8,25.8,25.8,0
2022-12-21,25.8,25.8,25.8,25.8,0
2022-12-22,25.8,25.8,25.8,25.8,0
2022-12-23,25.8,25.8,25.8,25.8,0
2022-12-26,25.8,25.8,25.8,25.8,0
2022-12-27,25.8,25.8,25.8,25.8,0
2022-12-28,25.8,25.8,25.8,25.8,0
2022-12-29,25.8,25.8,25.8,25.8,0
2022-12-30,25.8,25.8,25.8,25.8,0
2023-01-03,25.8,25.8,25.8,25.8,0
2023-01-04,25.8,25.8,25.8,25.8,0
2023-01-05,25.8,25.8,25.8,25.8,0
2023-01-06,25.8,25.8,25.8,25.8,0
2023-01-09,25.8,25.8,25.8,25.8,0
2023-01-10,25.8,25.8,25.8,25.8,0
2023-01-11,25.8,25.8,25.8,25.8,0
2023-01-12,25.8,25.8,25.8,25.8,0
2023-01-13,25.8,25.8,25.8,25.8,0
2023-01-16,28.3,28.3,28.3,28.3,100
2023-01-17,28.3,28.3,28.3,28.3,0
2023-01-18,28.3,28.3,28.3,28.3,0
2023-01-19,28.3,28.3,28.3,28.3,0
2023-01-27,28.3,28.3,28.3,28.3,0
2023-01-30,28.3,28.3,28.3,28.3,0
2023-01-31,28.3,28.3,28.3,28.3,0
2023-02-01,28.3,28.3,28.3,28.3,0
2023-02-02,28.3,28.3,28.3,28.3,0
2023-02-03,28.3,28.3,28.3,28.3,0
2023-02-06,28.3,28.3,28.3,28.3,0
2023-02-07,28.3,28.3,28.3,28.3,0
2023-02-08,28.3,28.3,28.3,28.3,0
2023-02-09,28.3,28.3,28.3,28.3,0
2023-02-10,28.3,28.3,28.3,28.3,0
2023-02-13,28.3,28.3,28.3,28.3,0
2023-02-14,28.3,28.3,28.3,28.3,0
2023-02-15,28.3,28.3,28.3,28.3,0
2023-02-16,28.3,28.3,28.3,28.3,0
2023-02-17,28.3,28.3,28.3,28.3,0
2023-02-20,28.3,28.3,28.3,28.3,0
2023-02-21,28.3,28.3,28.3,28.3,0
2023-02-22,28.3,28.3,28.3,28.3,0
2023-02-23,28.3,28.3,28.3,28.3,0
2023-02-24,28.3,28.3,28.3,28.3,0
2023-02-27,28.3,28.3,28.3,28.3,0
2023-02-28,28.3,28.3,28.3,28.3,0
2023-03-01,31.1,31.1,31.1,31.1,100
2023-03-02,31.1,31.1,31.1,31.1,0
2023-03-03,34.2,34.2,28.0,28.0,300
2023-03-06,28.0,28.0,28.0,28.0,0
2023-03-07,28.0,28.0,28.0,28.0,0
2023-03-08,28.0,28.0,28.0,28.0,0
2023-03-09,28.0,28.0,28.0,28.0,0
2023-03-10,28.0,28.0,28.0,28.0,0
2023-03-13,28.0,28.0,28.0,28.0,0
2023-03-14,28.0,28.0,28.0,28.0,0
2023-03-15,28.0,28.0,28.0,28.0,0
