date,open,high,low,close,volume
2024-01-30,11.44,11.44,11.35,11.35,2920
2024-01-31,11.18,11.27,11.18,11.27,7100
2024-02-01,11.18,11.35,11.18,11.18,8000
2024-02-02,11.1,11.1,11.01,11.1,18700
2024-02-05,11.1,11.44,11.01,11.44,32713
2024-02-06,11.18,11.18,11.01,11.1,11001
2024-02-07,11.1,11.1,11.01,11.1,15104
2024-02-15,11.52,11.52,11.35,11.35,14840
2024-02-16,11.35,11.35,11.18,11.27,18600
2024-02-19,11.35,11.44,11.18,11.27,32474
2024-02-20,11.27,11.27,11.18,11.27,9213
2024-02-21,11.27,11.35,11.27,11.27,58550
2024-02-22,11.35,11.52,11.27,11.52,29180
2024-02-23,11.52,11.95,11.44,11.52,153516
2024-02-26,11.52,11.61,11.44,11.52,16903
2024-02-27,11.61,11.61,11.44,11.52,22011
2024-02-28,11.52,11.52,11.1,11.27,45653
2024-02-29,11.52,11.52,11.35,11.35,4828
2024-03-01,11.27,11.27,11.1,11.27,11214
2024-03-04,11.27,11.35,11.27,11.27,9906
2024-03-05,11.27,11.52,11.27,11.52,14149
2024-03-06,11.52,11.78,11.52,11.78,64920
2024-03-07,11.61,11.69,11.61,11.69,24978
2024-03-08,11.61,11.69,11.52,11.61,15019
2024-03-11,11.69,11.69,11.61,11.69,26027
2024-03-12,11.61,11.78,11.61,11.69,26943
2024-03-13,11.61,11.87,11.61,11.78,55600
2024-03-14,11.87,11.95,11.69,11.95,44617
2024-03-15,11.95,11.95,11.78,11.87,54105
2024-03-18,12.04,12.38,12.04,12.29,110582
2024-03-19,12.38,12.38,12.21,12.21,18157
2024-03-20,12.29,12.38,12.21,12.29,14233
2024-03-21,12.29,12.8,12.29,12.63,52258
2024-03-22,12.46,12.55,12.29,12.38,21039
2024-03-25,12.63,12.72,12.29,12.29,19816
2024-03-26,12.38,12.55,12.29,12.55,6953
2024-03-27,12.38,12.46,12.29,12.29,38004
2024-03-28,12.38,12.72,12.21,12.38,20200
2024-03-29,12.29,12.38,12.12,12.12,144303
2024-04-01,12.12,12.38,12.12,12.38,21967
2024-04-02,12.29,12.46,12.29,12.38,39249
2024-04-03,12.38,12.55,12.38,12.55,59071
2024-04-04,12.38,12.38,12.38,12.38,5538
2024-04-05,12.38,12.46,12.38,12.46,25121
2024-04-08,12.46,12.46,12.38,12.46,3002
2024-04-09,12.55,12.72,12.55,12.63,2406
2024-04-10,12.63,12.63,12.29,12.46,3383
2024-04-11,12.63,12.72,12.46,12.63,10809
2024-04-12,12.63,12.72,12.46,12.55,4921
2024-04-15,12.55,12.63,12.21,12.46,22513
2024-04-16,12.46,12.46,12.29,12.38,11446
2024-04-17,12.38,12.63,12.29,12.38,11714
2024-04-19,12.46,12.63,12.04,12.63,59341
2024-04-22,12.63,12.8,12.63,12.8,40990
2024-04-23,12.63,12.63,12.46,12.46,10521
2024-04-24,12.49,12.68,12.49,12.58,2702
2024-04-25,12.39,12.68,12.21,12.49,6903
2024-04-26,12.39,13.52,12.11,13.15,4231
2024-05-02,13.15,13.15,12.3,12.77,993
2024-05-03,12.86,12.86,12.77,12.77,2253
2024-05-06,12.77,12.77,12.3,12.68,1702
2024-05-07,12.68,12.68,12.49,12.68,801
2024-05-08,12.68,12.68,12.49,12.68,2935
2024-05-09,12.68,12.68,12.58,12.68,3720
2024-05-10,12.68,12.68,12.58,12.58,301
2024-05-13,12.49,12.49,12.49,12.49,2200
2024-05-14,12.49,12.49,12.3,12.3,2500
2024-05-15,12.3,12.49,12.3,12.39,3400
2024-05-16,12.49,12.49,12.39,12.39,3630
2024-05-17,12.39,12.49,12.3,12.49,3601
2024-05-20,12.39,12.49,12.3,12.39,18318
2024-05-21,12.39,12.39,12.3,12.39,7743
2024-05-22,12.3,12.68,12.3,12.49,23400
2024-05-23,12.58,12.58,12.49,12.58,4800
2024-05-24,12.68,12.68,12.3,12.3,14722
2024-05-27,12.39,12.49,12.3,12.49,17700
2024-05-28,12.49,12.49,12.3,12.39,14901
2024-05-29,12.39,12.39,12.3,12.3,10500
2024-05-30,12.3,12.3,12.3,12.3,6161
2024-05-31,12.39,12.39,12.3,12.3,1600
2024-06-03,12.3,12.39,12.3,12.39,13412
2024-06-04,12.39,12.39,12.39,12.39,4036
2024-06-05,12.39,12.68,12.39,12.49,14500
2024-06-06,12.49,12.58,12.49,12.58,2000
2024-06-07,12.58,12.58,12.39,12.39,7539
2024-06-10,12.39,12.58,12.39,12.49,622
2024-06-11,12.49,12.49,12.49,12.49,2510
2024-06-12,12.49,12.49,12.39,12.49,2231
2024-06-13,12.58,12.58,12.58,12.58,5001
2024-06-14,12.58,12.58,12.58,12.58,3
2024-06-17,12.49,12.58,12.21,12.58,1810
2024-06-18,12.58,12.58,12.39,12.58,14551
2024-06-19,12.3,12.58,12.3,12.58,14310
2024-06-20,12.58,12.58,12.3,12.58,3513
2024-06-21,12.3,12.58,12.3,12.58,6359
2024-06-24,12.39,12.39,12.3,12.39,3007
2024-06-25,12.3,12.3,12.3,12.3,1300
2024-06-26,12.39,12.39,12.3,12.3,2100
