date,open,high,low,close,volume
2022-11-04,25.63,25.63,25.63,25.63,0
2022-11-07,25.63,25.63,25.63,25.63,0
2022-11-08,25.63,25.63,25.63,25.63,0
2022-11-09,25.63,25.63,25.63,25.63,0
2022-11-10,25.63,25.63,25.63,25.63,0
2022-11-11,25.63,25.63,25.63,25.63,0
2022-11-14,25.63,25.63,25.63,25.63,0
2022-11-15,25.63,25.63,25.63,25.63,0
2022-11-16,25.63,25.63,25.63,25.63,0
2022-11-17,25.63,25.63,25.63,25.63,0
2022-11-18,25.63,25.63,25.63,25.63,0
2022-11-21,25.63,25.63,25.63,25.63,0
2022-11-22,25.63,25.63,25.63,25.63,0
2022-11-23,25.63,25.63,25.63,25.63,0
2022-11-24,25.63,25.63,25.63,25.63,0
2022-11-25,25.63,25.63,25.63,25.63,0
2022-11-28,25.63,25.63,25.63,25.63,0
2022-11-29,25.63,25.63,25.63,25.63,0
2022-11-30,25.63,25.63,25.63,25.63,0
2022-12-01,25.63,25.63,25.63,25.63,0
2022-12-02,25.63,25.63,25.63,25.63,0
2022-12-05,25.63,25.63,25.63,25.63,0
2022-12-06,25.63,25.63,25.63,25.63,0
2022-12-07,25.63,25.63,25.63,25.63,0
2022-12-08,25.63,25.63,25.63,25.63,0
2022-12-09,25.63,25.63,25.63,25.63,0
2022-12-12,25.63,25.63,25.63,25.63,0
2022-12-13,25.63,25.63,25.63,25.63,0
2022-12-14,25.63,25.63,25.63,25.63,0
2022-12-15,25.63,25.63,25.63,25.63,0
2022-12-16,25.63,25.63,25.63,25.63,0
2022-12-19,25.63,25.63,25.63,25.63,0
2022-12-20,25.63,25.63,25.63,25.63,10
2022-12-21,25.63,25.63,25.63,25.63,0
2022-12-22,25.63,25.63,25.63,25.63,0
2022-12-23,25.63,25.63,25.63,25.63,0
2022-12-26,25.63,25.63,25.63,25.63,0
2022-12-27,25.63,25.63,25.63,25.63,0
2022-12-28,25.63,25.63,25.63,25.63,0
2022-12-29,25.53,28.1,23.07,23.07,300
2022-12-30,23.07,23.07,23.07,23.07,0
2023-01-03,23.07,23.07,23.07,23.07,0
2023-01-04,23.07,23.07,23.07,23.07,0
2023-01-05,23.07,23.07,23.07,23.07,0
2023-01-06,23.07,23.07,23.07,23.07,0
2023-01-09,23.07,23.07,23.07,23.07,0
2023-01-10,23.07,23.07,23.07,23.07,0
2023-01-11,23.07,23.07,23.07,23.07,0
2023-01-12,23.07,23.07,23.07,23.07,0
2023-01-13,23.07,23.07,23.07,23.07,0
2023-01-16,23.07,23.07,23.07,23.07,0
2023-01-17,23.07,23.07,23.07,23.07,0
2023-01-18,23.07,23.07,23.07,23.07,0
2023-01-19,23.07,23.07,23.07,23.07,0
2023-01-27,23.07,23.07,23.07,23.07,0
2023-01-30,23.07,23.07,23.07,23.07,0
2023-01-31,23.07,23.07,23.07,23.07,0
2023-02-01,23.07,23.07,23.07,23.07,0
2023-02-02,23.07,23.07,23.07,23.07,0
2023-02-03,23.07,23.07,23.07,23.07,0
2023-02-06,23.07,23.07,23.07,23.07,0
2023-02-07,23.07,23.07,23.07,23.07,0
2023-02-08,23.07,23.07,23.07,23.07,0
2023-02-09,23.07,23.07,23.07,23.07,0
2023-02-10,23.07,23.07,23.07,23.07,0
2023-02-13,23.07,23.07,23.07,23.07,0
2023-02-14,23.07,23.07,23.07,23.07,0
2023-02-15,23.07,23.07,23.07,23.07,0
2023-02-16,23.07,23.07,23.07,23.07,0
2023-02-17,23.07,23.07,23.07,23.07,0
2023-02-20,23.07,23.07,23.07,23.07,0
2023-02-21,23.07,23.07,23.07,23.07,0
2023-02-22,23.07,23.07,23.07,23.07,0
2023-02-23,23.07,23.07,23.07,23.07,0
2023-02-24,23.07,23.07,23.07,23.07,0
2023-02-27,23.07,23.07,23.07,23.07,0
2023-02-28,23.07,23.07,23.07,23.07,0
2023-03-01,23.07,23.07,23.07,23.07,0
2023-03-02,23.07,23.07,23.07,23.07,0
2023-03-03,23.07,23.07,23.07,23.07,0
2023-03-06,23.07,23.07,23.07,23.07,0
2023-03-07,23.07,23.07,23.07,23.07,0
2023-03-08,23.07,23.07,23.07,23.07,0
2023-03-09,23.07,23.07,23.07,23.07,0
2023-03-10,23.07,23.07,23.07,23.07,0
