date,open,high,low,close,volume
2023-07-27,21.08,21.08,21.08,21.08,100
2023-07-28,21.08,21.08,21.08,21.08,2
2023-07-31,21.08,21.08,21.08,21.08,0
2023-08-01,21.08,21.08,21.08,21.08,0
2023-08-02,21.08,21.08,21.08,21.08,500
2023-08-03,21.08,21.08,21.08,21.08,0
2023-08-04,21.08,21.08,21.08,21.08,0
2023-08-07,21.08,21.08,21.08,21.08,0
2023-08-08,21.08,21.08,21.08,21.08,0
2023-08-09,21.08,21.08,21.08,21.08,0
2023-08-10,21.08,21.08,21.08,21.08,0
2023-08-11,21.08,21.08,21.08,21.08,0
2023-08-14,21.08,21.08,21.08,21.08,0
2023-08-15,21.08,21.08,21.08,21.08,0
2023-08-16,21.08,21.08,21.08,21.08,0
2023-08-17,21.08,21.08,21.08,21.08,0
2023-08-18,21.08,21.08,21.08,21.08,100
2023-08-21,21.08,21.08,21.08,21.08,0
2023-08-22,21.08,21.08,21.08,21.08,0
2023-08-23,21.08,21.08,21.08,21.08,0
2023-08-24,21.08,21.08,21.08,21.08,0
2023-08-25,21.08,21.08,21.08,21.08,0
2023-08-28,20.39,20.39,20.39,20.39,107
2023-08-29,20.39,20.39,20.39,20.39,0
2023-08-30,21.69,22.39,21.69,22.39,400
2023-08-31,22.56,22.56,22.56,22.56,100
2023-09-05,22.73,22.73,22.21,22.21,800
2023-09-06,22.21,22.21,22.21,22.21,0
2023-09-07,22.13,22.13,22.13,22.13,200
2023-09-08,22.99,23.17,22.99,23.17,300
2023-09-11,23.25,23.25,23.25,23.25,100
2023-09-12,23.25,23.25,22.99,22.99,3100
2023-09-13,22.73,22.73,22.56,22.56,240
2023-09-14,22.56,22.56,22.56,22.56,100
2023-09-15,22.56,22.56,22.56,22.56,0
2023-09-18,22.73,22.73,22.65,22.65,300
2023-09-19,22.65,22.65,22.65,22.65,10
2023-09-20,22.65,22.65,22.65,22.65,30
2023-09-21,22.65,22.65,22.65,22.65,0
2023-09-22,22.99,22.99,22.99,22.99,104
2023-09-25,22.99,22.99,22.99,22.99,2
2023-09-26,22.99,22.99,22.99,22.99,0
2023-09-27,22.99,22.99,22.99,22.99,0
2023-09-28,23.17,23.25,23.17,23.25,304
2023-09-29,23.25,23.25,23.25,23.25,0
2023-10-02,23.43,23.43,23.43,23.43,100
2023-10-03,23.43,23.43,23.43,23.43,0
2023-10-04,23.43,23.43,23.43,23.43,0
2023-10-05,23.43,23.43,23.43,23.43,2
2023-10-06,23.51,23.77,23.51,23.77,400
2023-10-09,23.77,23.77,23.77,23.77,102
2023-10-10,23.77,23.77,23.77,23.77,0
2023-10-11,23.77,23.77,23.77,23.77,1
2023-10-12,23.77,23.77,23.77,23.77,0
2023-10-13,23.77,23.77,23.77,23.77,0
2023-10-16,23.77,23.77,23.77,23.77,0
2023-10-17,23.77,23.77,23.77,23.77,0
2023-10-18,23.77,23.77,23.77,23.77,0
2023-10-19,23.77,23.77,23.77,23.77,0
2023-10-20,23.77,23.77,23.77,23.77,0
2023-10-23,23.77,23.77,23.77,23.77,0
2023-10-24,23.77,23.77,23.77,23.77,0
2023-10-25,23.77,23.77,23.77,23.77,2
2023-10-26,23.77,23.77,23.77,23.77,0
2023-10-27,23.77,23.77,23.77,23.77,0
2023-10-30,23.77,23.77,23.77,23.77,0
2023-10-31,23.77,23.77,23.77,23.77,0
2023-11-01,23.77,23.77,23.77,23.77,0
2023-11-02,23.77,23.77,23.77,23.77,0
2023-11-03,23.77,23.77,23.77,23.77,0
2023-11-06,23.77,23.77,23.77,23.77,3
2023-11-07,23.86,24.3,23.86,24.3,300
2023-11-08,24.3,24.3,24.3,24.3,0
2023-11-09,23.86,23.86,23.86,23.86,100
2023-11-10,23.86,23.86,23.86,23.86,0
2023-11-13,24.3,24.3,24.3,24.3,300
2023-11-14,24.3,24.3,24.3,24.3,0
2023-11-15,24.3,24.3,24.3,24.3,0
2023-11-16,24.3,24.3,24.3,24.3,0
2023-11-17,24.73,24.73,24.73,24.73,200
2023-11-20,24.73,24.73,24.73,24.73,0
2023-11-21,24.73,24.73,24.73,24.73,10
2023-11-22,24.73,24.73,24.73,24.73,0
2023-11-23,24.73,24.73,24.73,24.73,0
2023-11-24,24.73,24.73,24.73,24.73,0
2023-11-27,24.73,24.73,24.73,24.73,0
2023-11-28,24.73,24.73,24.73,24.73,0
2023-11-29,26.03,26.03,26.03,26.03,100
2023-11-30,26.03,26.03,26.03,26.03,0
2023-12-01,26.03,26.03,26.03,26.03,0
2023-12-04,26.03,26.03,26.03,26.03,1
2023-12-05,26.03,26.03,26.03,26.03,0
2023-12-06,26.03,26.03,26.03,26.03,100
2023-12-07,26.03,26.03,26.03,26.03,0
2023-12-08,26.03,26.03,26.03,26.03,3
2023-12-11,26.03,26.03,26.03,26.03,0
2023-12-12,26.03,26.03,26.03,26.03,0
2023-12-13,26.03,26.03,26.03,26.03,13
2023-12-14,26.03,26.03,26.03,26.03,10
2023-12-15,26.03,26.03,26.03,26.03,0
2023-12-18,26.03,26.03,26.03,26.03,0
2023-12-19,26.03,26.03,26.03,26.03,0
2023-12-20,26.03,26.03,26.03,26.03,0
2023-12-21,26.03,26.03,26.03,26.03,0
2023-12-22,26.03,26.03,26.03,26.03,0
2023-12-25,26.03,26.03,26.03,26.03,0
2023-12-26,26.03,26.03,26.03,26.03,14
2023-12-27,26.03,26.03,26.03,26.03,0
2023-12-28,26.03,26.03,26.03,26.03,3
2023-12-29,28.63,28.63,28.63,28.63,103
2024-01-02,28.63,28.63,28.63,28.63,0
2024-01-03,31.5,31.5,31.5,31.5,200
2024-01-04,31.5,31.5,31.5,31.5,0
2024-01-05,31.5,31.5,31.5,31.5,0
2024-01-08,28.46,28.46,28.37,28.37,200
2024-01-09,28.37,28.37,28.37,28.37,0
2024-01-10,28.37,28.37,28.37,28.37,0
2024-01-11,28.37,28.37,28.37,28.37,1
2024-01-12,28.37,28.37,28.37,28.37,0
2024-01-15,28.37,28.37,28.37,28.37,1
2024-01-16,28.37,28.37,28.37,28.37,0
2024-01-17,28.37,28.37,28.37,28.37,5
2024-01-18,28.37,28.37,28.37,28.37,0
2024-01-19,28.37,28.37,28.37,28.37,0
2024-01-22,28.37,28.37,28.37,28.37,0
2024-01-23,28.37,28.37,28.37,28.37,0
2024-01-24,28.37,28.37,28.37,28.37,0
2024-01-25,28.37,28.37,28.37,28.37,0
2024-01-26,28.37,28.37,28.37,28.37,0
2024-01-29,28.37,28.37,28.37,28.37,0
2024-01-30,28.37,28.37,28.37,28.37,0
2024-01-31,28.37,28.37,28.37,28.37,0
2024-02-01,28.37,28.37,28.37,28.37,0
2024-02-02,28.37,28.37,28.37,28.37,0
2024-02-05,25.6,25.6,25.6,25.6,100
2024-02-06,25.6,25.6,25.6,25.6,0
2024-02-07,25.6,25.6,25.6,25.6,200
2024-02-15,25.6,25.6,25.6,25.6,0
2024-02-16,25.6,25.6,25.6,25.6,0
2024-02-19,25.6,25.6,25.6,25.6,0
2024-02-20,23.08,23.08,23.08,23.08,2000
2024-02-21,21.0,21.0,21.0,21.0,101
2024-02-22,21.0,21.0,21.0,21.0,0
2024-02-23,21.0,21.0,21.0,21.0,34
2024-02-26,21.0,21.0,21.0,21.0,1
2024-02-27,21.0,21.0,21.0,21.0,0
2024-02-28,21.0,21.0,21.0,21.0,0
2024-02-29,21.0,21.0,21.0,21.0,0
2024-03-01,21.0,21.0,21.0,21.0,0
2024-03-04,21.0,21.0,21.0,21.0,9
2024-03-05,21.0,21.0,21.0,21.0,100
2024-03-06,21.0,21.0,21.0,21.0,0
2024-03-07,21.0,21.0,21.0,21.0,9
2024-03-08,21.0,21.0,21.0,21.0,0
2024-03-11,21.0,21.0,21.0,21.0,0
2024-03-12,21.0,21.0,21.0,21.0,0
2024-03-13,21.0,21.0,21.0,21.0,0
2024-03-14,21.0,21.0,21.0,21.0,1
2024-03-15,21.0,21.0,21.0,21.0,0
2024-03-18,21.0,21.0,21.0,21.0,0
2024-03-19,21.0,21.0,21.0,21.0,0
2024-03-20,21.0,21.0,21.0,21.0,0
2024-03-21,21.0,21.0,21.0,21.0,0
2024-03-22,21.0,21.0,21.0,21.0,9
2024-03-25,21.0,21.0,21.0,21.0,0
2024-03-26,21.0,21.0,21.0,21.0,0
2024-03-27,21.0,21.0,21.0,21.0,0
2024-03-28,21.0,21.0,21.0,21.0,0
2024-03-29,21.0,21.0,21.0,21.0,0
2024-04-01,21.0,21.0,21.0,21.0,0
2024-04-02,21.0,21.0,21.0,21.0,0
2024-04-03,21.0,21.0,21.0,21.0,0
2024-04-04,21.0,21.0,21.0,21.0,0
2024-04-05,21.0,21.0,21.0,21.0,0
2024-04-08,21.0,21.0,21.0,21.0,0
2024-04-09,21.0,21.0,21.0,21.0,0
2024-04-10,21.0,21.0,21.0,21.0,0
2024-04-11,21.0,21.0,21.0,21.0,1
2024-04-12,21.0,21.0,21.0,21.0,0
2024-04-15,21.0,21.0,21.0,21.0,0
2024-04-16,21.0,21.0,21.0,21.0,0
2024-04-17,21.0,21.0,21.0,21.0,0
2024-04-19,21.0,21.0,21.0,21.0,0
2024-04-22,21.0,21.0,21.0,21.0,0
2024-04-23,21.0,21.0,21.0,21.0,0
2024-04-24,21.0,21.0,21.0,21.0,50
2024-04-25,21.0,21.0,21.0,21.0,0
2024-04-26,21.0,21.0,21.0,21.0,0
2024-05-02,21.0,21.0,21.0,21.0,0
2024-05-03,21.0,21.0,21.0,21.0,0
2024-05-06,21.0,21.0,21.0,21.0,0
2024-05-07,23.08,23.08,23.08,23.08,100
2024-05-08,23.08,23.08,23.08,23.08,0
2024-05-09,23.08,23.08,23.08,23.08,2
2024-05-10,23.08,23.08,23.08,23.08,9
2024-05-13,23.08,23.08,23.08,23.08,1
2024-05-14,23.08,23.08,23.08,23.08,0
2024-05-15,23.08,23.08,23.08,23.08,1
2024-05-16,23.08,23.08,23.08,23.08,0
2024-05-17,23.08,23.08,23.08,23.08,0
2024-05-20,23.08,23.08,23.08,23.08,0
2024-05-21,23.08,23.08,23.08,23.08,0
2024-05-22,23.08,23.08,23.08,23.08,0
2024-05-23,23.08,23.08,23.08,23.08,0
2024-05-24,23.08,23.08,23.08,23.08,0
2024-05-27,23.08,23.08,23.08,23.08,0
2024-05-28,23.08,23.08,23.08,23.08,0
2024-05-29,23.08,23.08,23.08,23.08,0
2024-05-30,23.08,23.08,23.08,23.08,2
2024-05-31,23.08,23.08,23.08,23.08,0
2024-06-03,23.08,23.08,23.08,23.08,0
2024-06-04,23.08,23.08,23.08,23.08,0
2024-06-05,23.08,23.08,23.08,23.08,0
2024-06-06,23.08,23.08,23.08,23.08,0
2024-06-07,25.16,25.34,25.16,25.34,900
2024-06-10,25.34,25.34,25.34,25.34,0
2024-06-11,25.34,25.34,25.34,25.34,0
2024-06-12,25.34,25.34,25.34,25.34,0
2024-06-13,25.34,25.34,25.34,25.34,0
2024-06-14,25.34,25.34,25.34,25.34,0
2024-06-17,25.34,25.34,25.34,25.34,0
2024-06-18,25.34,25.34,25.34,25.34,0
2024-06-19,25.34,25.34,25.34,25.34,6
2024-06-20,25.34,25.34,25.34,25.34,0
2024-06-21,25.34,25.34,25.34,25.34,0
2024-06-24,25.34,25.34,25.34,25.34,0
2024-06-25,25.34,25.34,25.34,25.34,0
2024-06-26,25.34,25.34,25.34,25.34,2
2024-06-27,25.34,25.34,25.34,25.34,0
2024-06-28,25.34,25.34,25.34,25.34,2
2024-07-01,25.34,27.77,25.34,27.77,400
2024-07-02,30.54,30.54,30.54,30.54,566
2024-07-03,33.58,33.58,33.58,33.58,1062
2024-07-04,36.88,36.88,36.88,36.88,847
2024-07-05,40.52,40.52,38.53,38.53,2516
2024-07-08,38.53,38.61,34.71,34.97,12574
2024-07-09,38.35,38.44,38.35,38.44,6602
2024-07-10,38.53,38.53,37.74,38.0,2846
2024-07-11,34.27,34.27,34.27,34.27,414
2024-07-12,34.27,34.27,34.27,34.27,300
2024-07-15,34.27,34.27,34.27,34.27,257
2024-07-16,34.27,34.27,34.27,34.27,0
2024-07-17,34.27,34.27,34.27,34.27,1
2024-07-18,34.27,34.27,34.27,34.27,2
2024-07-19,34.27,34.27,34.27,34.27,11
2024-07-22,34.27,34.27,34.27,34.27,1
2024-07-23,34.27,34.27,34.27,34.27,17
2024-07-24,34.27,34.27,34.27,34.27,0
2024-07-25,34.27,34.27,34.27,34.27,3
2024-07-26,30.86,30.86,30.86,30.86,141
2024-07-29,30.86,30.86,27.84,27.84,407
2024-07-30,25.12,25.12,25.12,25.12,2006
2024-07-31,25.12,25.12,23.85,23.85,300
2024-08-01,23.36,23.36,22.39,22.39,716
2024-08-02,20.25,20.25,20.25,20.25,101
2024-08-05,20.25,20.25,20.25,20.25,0
2024-08-06,20.25,20.25,20.25,20.25,0
2024-08-07,20.25,20.25,20.25,20.25,0
2024-08-08,20.25,20.25,20.25,20.25,0
2024-08-09,20.25,20.25,20.25,20.25,0
2024-08-12,20.25,20.25,20.25,20.25,1000
2024-08-13,20.25,20.25,20.25,20.25,0
2024-08-14,22.2,22.2,20.44,22.2,710
2024-08-15,24.34,24.34,23.36,24.34,504
2024-08-16,24.34,24.34,24.34,24.34,501
2024-08-19,26.28,26.28,26.28,26.28,200
2024-08-20,24.14,24.14,23.85,23.85,400
2024-08-21,23.85,23.85,23.85,23.85,0
2024-08-22,23.85,23.85,23.85,23.85,0
2024-08-23,24.34,24.34,24.34,24.34,200
2024-08-26,25.31,25.31,25.31,25.31,100
2024-08-27,25.31,25.31,25.31,25.31,200
2024-08-28,23.66,23.66,23.56,23.56,201
2024-08-29,25.31,25.31,25.31,25.31,200
2024-08-30,25.31,25.31,25.31,25.31,0
2024-09-04,25.31,25.31,25.31,25.31,100
2024-09-05,27.74,27.84,27.74,27.84,1100
2024-09-06,27.26,30.37,27.26,30.37,200
2024-09-09,30.37,30.37,30.37,30.37,100
2024-09-10,31.05,31.05,31.05,31.05,400
2024-09-11,33.0,34.07,33.0,34.07,140700
