date,open,high,low,close,volume
2023-12-26,10.77,10.77,10.77,10.77,0
2023-12-27,10.77,10.77,10.77,10.77,0
2023-12-28,10.77,10.77,10.77,10.77,0
2023-12-29,9.18,10.58,9.18,10.52,4506
2024-01-02,10.52,10.52,10.52,10.52,0
2024-01-03,10.52,10.52,10.52,10.52,0
2024-01-04,10.52,10.52,10.52,10.52,0
2024-01-05,9.24,10.64,9.24,10.64,1251
2024-01-08,10.52,10.52,10.52,10.52,0
2024-01-09,10.52,10.52,10.52,10.52,0
2024-01-10,10.52,10.52,10.52,10.52,0
2024-01-11,10.52,10.52,10.52,10.52,0
2024-01-12,9.3,10.58,9.3,10.58,5900
2024-01-15,10.58,10.58,10.58,10.58,0
2024-01-16,10.58,10.58,10.58,10.58,0
2024-01-17,10.58,10.58,10.58,10.58,0
2024-01-18,10.58,10.58,10.58,10.58,0
2024-01-19,10.07,10.13,10.07,10.13,742
2024-01-22,10.07,10.07,10.07,10.07,0
2024-01-23,10.07,10.07,10.07,10.07,0
2024-01-24,10.07,10.07,10.07,10.07,0
2024-01-25,10.07,10.07,10.07,10.07,0
2024-01-26,9.3,10.32,9.3,10.2,6114
2024-01-29,10.2,10.2,10.2,10.2,0
2024-01-30,10.2,10.2,10.2,10.2,0
2024-01-31,10.2,10.2,10.2,10.2,0
2024-02-01,10.2,10.2,10.2,10.2,0
2024-02-02,10.52,11.09,10.52,11.09,5230
2024-02-05,11.03,11.03,11.03,11.03,0
2024-02-06,11.03,11.03,11.03,11.03,0
2024-02-07,11.03,11.03,11.03,11.03,0
2024-02-15,11.03,11.03,11.03,11.03,0
2024-02-16,10.58,10.58,10.58,10.58,5000
2024-02-19,10.58,10.58,10.58,10.58,0
2024-02-20,10.58,10.58,10.58,10.58,0
2024-02-21,10.58,10.58,10.58,10.58,0
2024-02-22,10.58,10.58,10.58,10.58,0
2024-02-23,10.64,10.83,10.64,10.71,4100
2024-02-26,10.77,10.77,10.77,10.77,0
2024-02-27,10.77,10.77,10.77,10.77,0
2024-02-28,10.77,10.77,10.77,10.77,0
2024-02-29,10.77,10.77,10.77,10.77,0
2024-03-01,10.77,10.96,10.71,10.96,26400
2024-03-04,10.77,10.77,10.77,10.77,0
2024-03-05,10.77,10.77,10.77,10.77,0
2024-03-06,10.77,10.77,10.77,10.77,0
2024-03-07,10.77,10.77,10.77,10.77,0
2024-03-08,9.43,10.83,9.43,10.83,1600
2024-03-11,10.71,10.71,10.71,10.71,0
2024-03-12,10.71,10.71,10.71,10.71,0
2024-03-13,10.71,10.71,10.71,10.71,0
2024-03-14,10.71,10.71,10.71,10.71,0
2024-03-15,9.37,11.79,9.37,11.79,3827
2024-03-18,11.6,11.6,11.6,11.6,0
2024-03-19,11.6,11.6,11.6,11.6,0
2024-03-20,11.6,11.6,11.6,11.6,0
2024-03-21,11.6,11.6,11.6,11.6,0
2024-03-22,10.45,11.92,10.45,11.79,1100
2024-03-25,11.6,11.6,11.6,11.6,0
2024-03-26,11.6,11.6,11.6,11.6,0
2024-03-27,11.6,11.6,11.6,11.6,0
2024-03-28,11.6,11.6,11.6,11.6,0
2024-03-29,10.77,11.6,10.77,11.6,2200
2024-04-01,11.54,11.54,11.54,11.54,0
2024-04-02,11.54,11.54,11.54,11.54,0
2024-04-03,11.54,11.54,11.54,11.54,0
2024-04-04,11.54,11.54,11.54,11.54,0
2024-04-05,10.96,11.79,10.96,11.6,4201
2024-04-08,11.6,11.6,11.6,11.6,0
2024-04-09,11.6,11.6,11.6,11.6,0
2024-04-10,11.6,11.6,11.6,11.6,0
2024-04-11,11.6,11.6,11.6,11.6,0
2024-04-12,11.47,11.98,11.47,11.98,1305
2024-04-15,11.79,11.79,11.79,11.79,0
2024-04-16,11.79,11.79,11.79,11.79,0
2024-04-17,11.79,11.79,11.79,11.79,0
2024-04-19,11.15,11.85,10.64,10.83,6002
2024-04-22,10.9,10.9,10.9,10.9,0
2024-04-23,10.9,10.9,10.9,10.9,0
2024-04-24,10.9,10.9,10.9,10.9,0
2024-04-25,10.9,10.9,10.9,10.9,0
2024-04-26,10.83,11.85,10.83,11.85,719
2024-05-02,11.73,11.73,11.73,11.73,0
2024-05-03,11.73,11.73,11.73,11.73,3
2024-05-06,11.73,11.73,11.73,11.73,0
2024-05-07,11.73,11.73,11.73,11.73,0
2024-05-08,11.73,11.73,11.73,11.73,0
2024-05-09,11.73,11.73,11.73,11.73,0
2024-05-10,11.73,11.73,11.73,11.73,7
2024-05-13,11.73,11.73,11.73,11.73,0
2024-05-14,11.73,11.73,11.73,11.73,0
2024-05-15,11.73,11.73,11.73,11.73,0
2024-05-16,11.73,11.73,11.73,11.73,0
2024-05-17,11.73,11.73,11.66,11.73,7900
2024-05-20,11.73,11.73,11.73,11.73,0
2024-05-21,11.73,11.73,11.73,11.73,0
2024-05-22,11.73,11.73,11.73,11.73,0
