date,open,high,low,close,volume
2024-01-29,4.39,4.42,4.39,4.42,12124
2024-01-30,4.33,4.43,4.33,4.43,14540
2024-01-31,4.56,4.56,4.39,4.51,4100
2024-02-01,4.34,4.4,4.34,4.4,3303
2024-02-02,4.39,4.4,4.39,4.4,11967
2024-02-05,4.39,4.4,4.37,4.37,2300
2024-02-06,4.47,4.47,4.37,4.37,6224
2024-02-07,4.37,4.43,4.37,4.43,6804
2024-02-15,4.54,4.54,4.46,4.46,30900
2024-02-16,4.42,4.51,4.37,4.47,8694
2024-02-19,4.51,4.51,4.44,4.5,6185
2024-02-20,4.5,4.5,4.48,4.48,840
2024-02-21,4.48,4.48,4.4,4.47,33050
2024-02-22,4.43,4.48,4.35,4.47,71484
2024-02-23,4.47,4.6,4.43,4.47,14944
2024-02-26,4.47,4.47,4.21,4.45,37900
2024-02-27,4.46,4.47,4.39,4.46,8226
2024-02-28,4.46,4.56,4.46,4.5,87708
2024-02-29,4.5,4.5,4.46,4.5,36100
2024-03-01,4.4,4.5,4.4,4.45,7104
2024-03-04,4.49,4.5,4.45,4.5,69508
2024-03-05,4.5,4.5,4.45,4.45,15017
2024-03-06,4.48,4.54,4.46,4.51,7352
2024-03-07,4.5,4.52,4.43,4.51,9501
2024-03-08,4.48,4.54,4.48,4.52,9738
2024-03-11,4.51,4.52,4.45,4.5,3200
2024-03-12,4.43,4.5,4.41,4.48,14921
2024-03-13,4.48,4.48,4.42,4.48,56501
2024-03-14,4.52,4.52,4.48,4.48,7531
2024-03-15,4.51,4.51,4.48,4.48,17601
2024-03-18,4.43,4.48,4.38,4.48,2270
2024-03-19,4.47,4.47,4.47,4.47,326
2024-03-20,4.47,4.47,4.47,4.47,202
2024-03-21,4.32,4.5,4.32,4.49,5103
2024-03-22,4.49,4.5,4.47,4.47,8855
2024-03-25,4.47,4.47,4.44,4.44,5704
2024-03-26,4.44,4.47,4.42,4.47,16730
2024-03-27,4.47,4.48,4.44,4.48,19650
2024-03-28,4.48,4.48,4.44,4.47,38239
2024-03-29,4.48,4.48,4.39,4.47,5900
2024-04-01,4.47,4.47,4.4,4.47,12663
2024-04-02,4.45,4.45,4.44,4.44,68328
2024-04-03,4.41,4.47,4.4,4.47,122898
2024-04-04,4.48,4.54,4.4,4.42,17733
2024-04-05,4.38,4.38,4.38,4.38,12000
2024-04-08,4.38,4.43,4.38,4.38,1135
2024-04-09,4.34,4.45,4.12,4.44,23000
2024-04-10,4.34,4.43,4.34,4.43,1300
2024-04-11,4.36,4.43,4.34,4.42,9307
2024-04-12,4.44,4.44,4.38,4.43,7800
2024-04-15,4.43,4.44,4.38,4.38,2300
2024-04-16,4.36,4.42,4.2,4.36,41636
2024-04-17,4.35,4.35,4.19,4.19,25323
2024-04-19,4.34,4.34,4.19,4.19,7101
2024-04-22,4.45,4.45,4.36,4.36,1219
2024-04-23,4.33,4.33,4.29,4.29,2410
2024-04-24,4.03,4.34,4.03,4.3,26600
2024-04-25,4.3,4.3,4.3,4.3,3705
2024-04-26,4.3,4.3,4.2,4.3,9000
2024-05-02,4.29,4.3,4.29,4.3,3500
2024-05-03,4.3,4.43,4.3,4.3,5160
2024-05-06,4.3,4.3,4.21,4.3,19805
2024-05-07,4.3,4.3,4.24,4.3,28353
2024-05-08,4.26,4.45,4.26,4.29,9510
2024-05-09,4.45,4.45,4.33,4.37,1734
2024-05-10,4.26,4.35,4.15,4.35,19100
2024-05-13,4.35,4.41,4.28,4.41,1541
2024-05-14,4.29,4.41,4.29,4.37,14125
2024-05-15,4.37,4.37,4.29,4.37,12782
2024-05-16,4.37,4.37,4.3,4.37,5460
2024-05-17,4.37,4.41,4.3,4.4,16518
2024-05-20,4.38,4.41,4.29,4.41,43020
2024-05-21,4.39,4.39,4.3,4.37,9100
2024-05-22,4.37,4.39,4.3,4.36,9387
2024-05-23,4.29,4.36,4.27,4.36,61303
2024-05-24,4.29,4.36,4.29,4.36,13276
2024-05-27,4.29,4.29,4.25,4.26,20005
2024-05-28,4.36,4.36,4.35,4.35,6440
2024-05-29,4.41,4.41,4.29,4.36,20125
2024-05-30,4.35,4.39,4.35,4.38,7750
2024-05-31,4.29,4.36,4.29,4.29,5900
2024-06-03,4.3,4.32,4.28,4.32,9725
2024-06-04,4.36,4.41,4.3,4.32,11110
2024-06-05,4.39,4.39,4.27,4.31,33811
2024-06-06,4.28,4.3,4.28,4.28,12200
2024-06-07,4.29,4.3,4.29,4.29,1200
2024-06-10,4.29,4.37,4.29,4.33,6000
2024-06-11,4.26,4.29,4.26,4.29,1694
2024-06-12,4.29,4.35,4.24,4.31,11400
2024-06-13,4.29,4.33,4.29,4.32,22653
2024-06-14,4.31,4.43,4.31,4.33,13876
2024-06-17,4.38,4.38,4.24,4.34,11415
2024-06-18,4.34,4.43,4.29,4.37,7388
2024-06-19,4.38,4.4,4.29,4.3,4675
2024-06-20,4.37,4.37,4.3,4.3,3780
2024-06-21,4.3,4.32,4.28,4.28,35412
2024-06-24,4.36,4.36,4.28,4.28,3406
2024-06-25,4.29,4.33,4.28,4.32,2905
2024-06-26,4.3,4.31,4.26,4.26,12655
2024-06-27,4.26,4.3,4.26,4.3,24410
2024-06-28,4.35,4.35,4.19,4.2,8132
2024-07-01,4.2,4.34,4.2,4.31,6100
2024-07-02,4.21,4.31,4.21,4.31,17815
2024-07-03,4.31,4.31,4.24,4.29,3103
2024-07-04,4.29,4.29,4.19,4.29,6254
2024-07-05,4.29,4.29,4.21,4.21,3100
2024-07-08,4.22,4.37,4.19,4.35,16900
2024-07-09,4.2,4.33,4.19,4.33,5673
2024-07-10,4.25,4.25,4.25,4.25,130
2024-07-11,4.3,4.3,4.29,4.3,54719
2024-07-12,4.3,4.3,4.25,4.25,3832
2024-07-15,4.37,4.37,4.26,4.26,2300
2024-07-16,4.37,4.37,4.25,4.25,12200
2024-07-17,4.25,4.29,4.23,4.29,8053
2024-07-18,4.19,4.33,4.19,4.33,30147
2024-07-19,4.33,4.33,4.33,4.33,54
2024-07-22,4.33,4.33,4.33,4.33,1
2024-07-23,4.19,4.3,4.19,4.3,1800
