date,open,high,low,close,volume
2024-01-03,43.65,43.65,43.65,43.65,481
2024-01-04,43.56,43.82,43.56,43.82,2733
2024-01-05,43.56,44.0,43.21,44.0,13102
2024-01-08,43.74,44.44,43.74,44.0,15209
2024-01-09,44.0,44.0,43.56,44.0,3263
2024-01-10,43.91,43.91,43.12,43.47,8800
2024-01-11,43.21,43.91,43.21,43.91,201
2024-01-12,43.47,43.65,43.47,43.47,6509
2024-01-15,43.56,43.56,43.56,43.56,10
2024-01-16,43.03,43.82,43.03,43.3,31504
2024-01-17,43.47,43.56,43.3,43.56,38600
2024-01-18,43.3,43.3,43.12,43.12,1500
2024-01-19,43.21,43.82,43.21,43.82,4727
2024-01-22,43.3,44.35,43.3,44.18,13479
2024-01-23,43.56,43.82,43.56,43.56,4801
2024-01-24,44.0,44.18,43.38,43.38,6600
2024-01-25,43.82,44.26,43.82,44.26,2400
2024-01-26,44.09,44.79,43.12,43.12,20300
2024-01-29,42.42,43.21,42.24,42.5,29806
2024-01-30,43.12,43.12,42.68,43.12,2300
2024-01-31,42.68,43.03,42.59,42.59,17428
2024-02-01,42.06,42.68,41.8,42.24,27405
2024-02-02,42.5,42.5,42.06,42.06,805
2024-02-05,42.15,42.94,41.8,41.8,13214
2024-02-06,42.06,42.77,41.89,41.89,3411
2024-02-07,42.59,42.77,42.06,42.06,2402
2024-02-15,42.24,42.24,42.24,42.24,2743
2024-02-16,43.21,43.21,42.06,42.06,848
2024-02-19,45.67,45.67,42.59,43.12,2011
2024-02-20,45.76,45.76,43.65,43.65,210
2024-02-21,44.62,44.62,42.68,42.77,2900
2024-02-22,42.77,42.77,42.68,42.77,1600
2024-02-23,43.12,43.12,42.59,42.59,3500
2024-02-26,42.24,43.12,42.24,42.24,1300
2024-02-27,42.24,42.24,42.24,42.24,3901
2024-02-28,42.24,42.42,41.98,42.42,6201
2024-02-29,42.15,42.15,42.15,42.15,1000
2024-03-01,44.88,44.88,42.06,42.06,1700
2024-03-04,42.15,42.42,41.8,42.24,2539
2024-03-05,42.24,42.24,42.24,42.24,416
2024-03-06,42.24,42.24,42.15,42.15,4817
2024-03-07,42.24,42.24,42.24,42.24,916
2024-03-08,41.89,42.59,41.89,41.98,2009
2024-03-11,42.33,42.42,42.33,42.42,1435
2024-03-12,42.33,42.33,42.24,42.24,1800
2024-03-13,42.24,42.59,42.24,42.24,2424
2024-03-14,42.42,42.5,42.42,42.42,1110
2024-03-15,41.98,41.98,41.98,41.98,103
2024-03-18,42.24,42.24,42.06,42.06,4101
2024-03-19,42.24,42.24,42.24,42.24,1000
2024-03-20,42.24,42.24,42.15,42.15,2301
