date,open,high,low,close,volume
2025-08-15,13.1,13.1,13.1,13.1,100
2025-08-18,15.0,15.0,12.0,12.0,95100
2025-08-19,13.0,13.0,12.0,12.0,2000
2025-08-20,12.2,13.7,12.2,12.3,1700
2025-08-21,12.3,14.0,11.3,11.5,10100
2025-08-22,13.9,13.9,11.4,11.4,2300
2025-08-25,11.4,13.2,11.0,11.0,16200
2025-08-26,11.4,12.4,11.4,11.4,6400
2025-08-27,11.0,12.4,11.0,12.0,2800
2025-08-28,11.0,11.9,11.0,11.9,2200
2025-08-29,11.1,11.9,11.0,11.0,2900
2025-09-03,11.0,11.0,11.0,11.0,2700
2025-09-05,11.0,11.3,11.0,11.3,3500
2025-09-08,11.0,11.0,11.0,11.0,200
2025-09-09,11.0,11.0,11.0,11.0,2000
2025-09-10,11.0,11.0,11.0,11.0,1000
2025-09-16,12.6,12.6,10.9,10.9,1100
2025-09-18,10.5,10.5,10.5,10.5,55100
2025-09-23,10.5,10.5,10.5,10.5,100
2025-09-25,11.0,11.0,11.0,11.0,1000
2025-09-29,9.5,11.0,9.4,11.0,3100
2025-09-30,11.0,11.0,11.0,11.0,200
2025-10-01,10.0,11.0,10.0,11.0,10100
2025-10-02,11.0,11.0,11.0,11.0,400
2025-10-06,11.0,11.0,11.0,11.0,1000
2025-10-08,9.6,12.6,9.4,11.0,900
2025-10-21,10.8,10.8,10.8,10.8,400
2025-10-22,10.8,12.4,10.8,12.4,500
2025-10-23,12.5,12.7,11.1,11.1,4300
2025-10-24,12.7,13.1,10.5,10.5,1300
2025-10-29,9.5,12.7,9.5,11.1,2100
2025-11-03,12.0,12.0,12.0,12.0,100
2025-11-05,11.0,13.5,11.0,13.5,28400
2025-11-07,11.0,11.0,11.0,11.0,200
2025-11-10,11.0,12.6,11.0,12.6,1300
2025-11-11,11.0,12.6,11.0,12.6,800
2025-11-12,11.0,13.0,11.0,13.0,200
2025-11-21,11.0,11.0,11.0,11.0,2100
2025-12-30,11.0,11.0,11.0,11.0,100
2026-01-22,12.4,12.4,12.4,12.4,100
2026-01-23,13.9,13.9,10.6,10.6,1100
2026-01-26,9.5,9.5,9.5,9.5,100
2026-01-27,9.5,9.5,9.5,9.5,100
2026-02-03,8.1,8.1,8.1,8.1,200
2026-02-09,6.9,9.3,6.9,9.3,400
2026-02-10,9.5,9.6,9.5,9.6,200
2026-02-12,10.8,10.8,10.8,10.8,100
2026-02-25,9.3,9.3,9.3,9.3,200
2026-03-02,8.0,10.5,8.0,10.0,1900
2026-03-03,9.6,9.6,9.6,9.6,0.0
2026-03-04,9.6,9.6,9.6,9.6,0.0
2026-03-05,9.6,9.6,9.6,9.6,0.0
2026-03-06,9.6,9.6,9.6,9.6,0.0
2026-03-09,9.6,9.6,9.6,9.6,0.0
2026-03-10,9.6,9.6,9.6,9.6,0.0
2026-03-11,9.6,9.6,9.6,9.6,0.0
2026-03-12,9.6,9.6,9.6,9.6,0.0
2026-03-13,9.6,9.6,9.6,9.6,0.0
2026-03-16,9.6,9.6,9.6,9.6,0.0
2026-03-17,9.6,9.6,9.6,9.6,0.0
2026-03-18,9.6,9.6,9.6,9.6,0.0
2026-03-19,9.6,9.6,9.6,9.6,0.0
2026-03-20,9.6,9.6,9.6,9.6,0.0
2026-03-23,9.6,9.6,9.6,9.6,0.0
2026-03-24,9.6,9.6,9.6,9.6,0.0
2026-03-25,9.6,9.6,9.6,9.6,0.0
2026-03-26,9.6,9.6,9.6,9.6,0.0
2026-03-27,9.6,9.6,9.6,9.6,0.0
2026-03-30,9.6,9.6,9.6,9.6,0.0
2026-03-31,8.3,9.8,8.2,9.8,1600.0
2026-04-01,9.3,9.3,9.3,9.3,0.0
2026-04-02,8.1,8.1,8.1,8.1,100.0
2026-04-03,8.6,8.6,8.6,8.6,100.0
2026-04-06,8.6,8.6,8.6,8.6,0.0
2026-04-07,9.0,9.0,9.0,9.0,100.0
2026-04-08,9.0,9.0,9.0,9.0,0.0
2026-04-09,9.0,9.0,9.0,9.0,0.0
2026-04-10,9.0,9.0,9.0,9.0,0.0
2026-04-13,9.0,9.0,9.0,9.0,0.0
2026-04-14,9.0,9.0,9.0,9.0,0.0
2026-04-15,7.7,7.7,7.7,7.7,100.0
2026-04-16,7.7,7.7,7.7,7.7,0.0
2026-04-17,7.7,7.7,7.7,7.7,0.0
2026-04-20,7.7,7.7,7.7,7.7,0.0
2026-04-21,7.7,7.7,7.7,7.7,0.0
2026-04-22,7.7,7.7,7.7,7.7,0.0
2026-04-23,7.7,7.7,7.7,7.7,0.0
2026-04-24,8.0,8.0,8.0,8.0,100.0
2026-04-28,9.2,9.2,9.2,9.2,1100.0
2026-04-29,10.0,10.0,10.0,10.0,500.0
