date,open,high,low,close,volume
2024-01-19,26.52,26.52,26.24,26.33,3524
2024-01-22,26.33,26.33,26.24,26.24,1600
2024-01-23,26.05,26.24,25.58,26.24,2500
2024-01-24,25.86,26.14,25.49,26.05,12650
2024-01-25,26.14,26.24,26.05,26.05,1501
2024-01-26,26.05,26.05,25.77,25.77,2000
2024-01-29,25.77,29.31,25.77,29.12,48560
2024-01-30,29.31,32.28,29.31,30.7,26318
2024-01-31,31.63,32.28,30.98,31.63,34648
2024-02-01,31.63,33.4,31.63,32.28,65808
2024-02-02,31.73,32.0,31.17,31.63,16850
2024-02-05,30.98,31.82,30.79,31.82,31900
2024-02-06,30.89,35.26,30.89,32.19,13207
2024-02-07,32.66,32.75,32.19,32.38,9979
2024-02-15,32.38,32.38,30.98,31.17,27501
2024-02-16,31.26,31.63,31.07,31.17,6342
2024-02-19,30.7,31.26,30.24,30.61,21875
2024-02-20,30.24,30.7,29.86,30.7,2125
2024-02-21,30.05,31.07,30.05,31.07,5811
2024-02-22,30.61,30.61,30.52,30.52,1412
2024-02-23,30.52,31.63,30.33,30.52,21100
2024-02-26,30.79,31.26,30.79,31.26,1900
2024-02-27,31.54,31.54,30.05,31.35,8912
2024-02-28,30.98,30.98,30.61,30.89,3709
2024-02-29,30.7,30.7,30.42,30.61,23000
2024-03-01,30.61,30.89,30.42,30.89,7000
2024-03-04,30.61,31.91,30.61,31.45,10800
2024-03-05,31.73,31.73,31.73,31.73,121
2024-03-06,30.7,31.63,30.33,31.17,6401
2024-03-07,31.63,31.73,30.7,30.7,5720
2024-03-08,30.33,31.17,30.24,30.89,7122
2024-03-11,30.7,30.89,30.61,30.89,3000
2024-03-12,30.7,31.35,30.61,30.98,4801
2024-03-13,31.17,31.54,31.17,31.35,8047
2024-03-14,31.54,31.63,31.07,31.07,7400
2024-03-15,31.35,34.33,31.35,33.96,24601
2024-03-18,34.24,34.24,31.91,33.12,1311
2024-03-19,32.1,33.31,32.1,33.31,2500
2024-03-20,32.19,32.84,32.0,32.84,6016
2024-03-21,31.91,32.93,31.91,32.93,6300
2024-03-22,32.38,33.21,31.82,32.84,3500
2024-03-25,32.38,32.84,31.63,31.63,4400
2024-03-26,33.12,33.12,31.73,31.73,1500
2024-03-27,32.1,32.28,31.73,32.28,6900
2024-03-28,32.1,32.93,31.82,32.93,7300
2024-03-29,32.56,32.56,31.73,32.1,2700
2024-04-01,31.82,35.91,31.63,31.82,14600
2024-04-02,33.12,33.12,31.82,31.82,1500
2024-04-03,31.63,31.63,31.54,31.54,2000
2024-04-04,30.79,31.17,29.4,30.7,23500
2024-04-05,30.7,30.7,30.05,30.05,4401
2024-04-08,30.52,30.52,30.52,30.52,5
2024-04-09,30.05,31.63,29.86,31.63,5400
2024-04-10,30.61,30.61,30.61,30.61,0
2024-04-11,30.61,30.61,30.61,30.61,100
2024-04-12,29.4,31.07,29.4,31.07,1535
2024-04-15,30.52,30.52,30.52,30.52,11
2024-04-16,29.86,29.86,29.77,29.77,2300
2024-04-17,28.1,30.52,27.91,30.33,14030
2024-04-19,28.65,28.84,26.33,28.84,18100
2024-04-22,28.38,28.38,28.38,28.38,100
2024-04-23,28.38,28.38,28.38,28.38,0
2024-04-24,29.12,29.12,29.12,29.12,100
2024-04-25,29.59,29.59,28.19,29.4,2803
2024-04-26,29.49,29.86,29.49,29.86,1800
2024-05-02,30.24,30.61,30.24,30.42,4803
2024-05-03,30.24,30.24,30.14,30.14,9200
2024-05-06,29.96,30.98,29.96,30.7,3603
2024-05-07,30.7,31.35,30.7,31.35,5200
2024-05-08,30.7,30.7,30.24,30.24,5300
2024-05-09,30.33,30.61,29.77,30.61,10106
2024-05-10,30.05,30.33,29.96,30.33,5800
2024-05-13,30.14,30.14,30.14,30.14,30
2024-05-14,30.05,30.14,29.77,30.14,14500
2024-05-15,30.52,31.26,29.77,31.17,13900
2024-05-16,30.24,31.91,30.24,31.45,12100
2024-05-17,31.35,31.73,30.7,31.54,2600
2024-05-20,31.54,32.56,31.54,32.28,18861
2024-05-21,32.66,32.66,31.63,32.38,15000
2024-05-22,32.84,32.84,31.82,32.56,10900
2024-05-23,32.47,32.66,32.19,32.56,9005
2024-05-24,32.84,32.84,31.73,32.56,8600
2024-05-27,32.1,32.56,32.1,32.56,1800
2024-05-28,32.56,33.03,32.47,32.84,15530
2024-05-29,32.66,32.84,31.63,32.84,16700
2024-05-30,33.03,34.33,32.56,33.12,3730
2024-05-31,33.31,34.33,32.38,33.49,2500
2024-06-03,33.96,33.96,32.75,33.68,1700
2024-06-04,33.77,33.96,33.49,33.86,2102
2024-06-05,32.93,33.77,32.66,33.77,3600
2024-06-06,33.77,33.86,33.59,33.77,7200
2024-06-07,33.96,38.14,33.96,35.73,64020
2024-06-10,36.0,36.56,34.61,35.35,1101
2024-06-11,35.35,35.35,33.96,35.35,50400
2024-06-12,33.68,34.89,33.68,34.42,3300
2024-06-13,33.96,34.42,33.59,34.42,7780
2024-06-14,33.86,33.86,32.56,32.56,12500
2024-06-17,32.56,32.56,32.1,32.38,10900
2024-06-18,32.47,33.59,31.73,33.49,8240
2024-06-19,33.49,33.59,33.12,33.59,4700
2024-06-20,33.86,38.05,33.4,36.56,83679
2024-06-21,36.1,37.31,34.24,37.21,37130
2024-06-24,37.4,38.14,35.45,36.66,37713
2024-06-25,36.1,36.1,35.45,36.0,4563
2024-06-26,36.0,36.28,33.49,36.28,22802
2024-06-27,35.26,36.19,34.7,35.91,5200
2024-06-28,35.82,36.0,34.14,35.82,6700
2024-07-01,34.98,35.63,34.61,34.89,3501
2024-07-02,35.63,35.63,33.96,33.96,7800
2024-07-03,34.89,35.17,34.05,35.17,2100
2024-07-04,34.7,35.73,33.96,35.26,24014
2024-07-05,34.89,35.35,34.89,35.35,1600
2024-07-08,35.07,35.07,34.05,34.89,18400
2024-07-09,34.33,34.42,34.14,34.42,2201
2024-07-10,33.96,34.33,33.77,34.33,5300
2024-07-11,33.96,38.52,33.96,38.52,48506
2024-07-12,34.7,36.56,34.7,34.8,2590
2024-07-15,35.54,35.91,34.7,34.7,4905
2024-07-16,35.26,36.28,35.26,36.28,10500
2024-07-17,36.47,36.94,35.07,36.56,7211
2024-07-18,35.35,36.84,35.35,36.19,905
2024-07-19,36.38,36.38,36.38,36.38,0
2024-07-22,36.1,36.1,36.1,36.1,200
2024-07-23,32.66,40.66,32.66,34.7,50900
2024-07-24,33.96,36.84,33.86,34.89,6934
2024-07-25,34.42,35.63,34.42,35.63,300
2024-07-26,34.42,35.26,34.42,35.07,1700
2024-07-29,34.98,35.82,34.8,35.63,4100
2024-07-30,35.17,35.82,34.8,35.35,4003
2024-07-31,34.98,34.98,34.8,34.8,311
2024-08-01,34.61,34.61,34.33,34.33,1700
2024-08-02,33.96,33.96,33.77,33.96,2121
2024-08-05,33.49,33.49,31.73,33.03,6820
2024-08-06,33.86,34.8,32.56,34.24,12500
2024-08-07,35.91,35.91,31.63,31.63,34323
2024-08-08,33.49,33.49,31.73,31.73,4303
2024-08-09,32.1,32.93,31.73,31.73,1908
2024-08-12,32.56,32.56,32.56,32.56,616
2024-08-13,31.91,32.47,31.82,31.82,900
