date,open,high,low,close,volume
2022-11-09,3.3,3.3,3.3,3.3,0
2022-11-10,3.6,3.6,3.4,3.4,6600
2022-11-11,3.4,3.4,3.4,3.4,0
2022-11-14,3.4,3.4,3.4,3.4,0
2022-11-15,3.7,3.7,3.2,3.2,3100
2022-11-16,2.9,2.9,2.9,2.9,100
2022-11-17,2.9,2.9,2.9,2.9,0
2022-11-18,2.9,2.9,2.9,2.9,0
2022-11-21,2.9,2.9,2.9,2.9,0
2022-11-22,2.9,2.9,2.9,2.9,61
2022-11-23,3.1,3.1,3.1,3.1,100
2022-11-24,3.1,3.1,3.1,3.1,0
2022-11-25,3.4,3.4,3.4,3.4,1000
2022-11-28,3.4,3.4,3.4,3.4,0
2022-11-29,3.4,3.4,3.4,3.4,21
2022-11-30,3.4,3.4,3.4,3.4,0
2022-12-01,3.4,3.4,3.4,3.4,0
2022-12-02,3.2,3.2,3.2,3.2,6560
2022-12-05,3.2,3.2,3.2,3.2,0
2022-12-06,3.3,3.3,3.3,3.3,100
2022-12-07,3.3,3.3,3.3,3.3,0
2022-12-08,3.3,3.3,3.3,3.3,0
2022-12-09,3.5,3.5,3.1,3.1,3200
2022-12-12,3.1,3.1,3.1,3.1,0
2022-12-13,3.1,3.1,3.1,3.1,0
2022-12-14,3.4,3.4,3.4,3.4,200
2022-12-15,3.4,3.4,3.4,3.4,0
2022-12-16,3.7,3.7,3.7,3.7,215
2022-12-19,3.9,3.9,3.8,3.8,11100
2022-12-20,4.1,4.1,4.1,4.1,100
2022-12-21,4.5,4.5,4.5,4.5,171
2022-12-22,4.8,4.8,4.8,4.8,100
2022-12-23,4.4,4.4,4.4,4.4,1200
2022-12-26,4.0,4.0,4.0,4.0,100
2022-12-27,3.6,3.6,3.6,3.6,100
2022-12-28,3.7,3.7,3.7,3.7,100
2022-12-29,3.7,3.7,3.7,3.7,0
2022-12-30,3.7,3.7,3.7,3.7,0
2023-01-03,3.7,3.7,3.7,3.7,0
2023-01-04,3.7,3.7,3.7,3.7,0
2023-01-05,3.7,3.7,3.7,3.7,0
2023-01-06,3.7,3.7,3.7,3.7,0
2023-01-09,3.7,3.7,3.7,3.7,0
2023-01-10,3.7,3.7,3.7,3.7,0
2023-01-11,3.7,3.7,3.7,3.7,0
2023-01-12,3.7,3.7,3.7,3.7,100
2023-01-13,3.7,3.7,3.7,3.7,0
2023-01-16,3.7,3.7,3.7,3.7,0
2023-01-17,3.7,3.7,3.7,3.7,0
2023-01-18,3.7,3.7,3.7,3.7,100
2023-01-19,3.7,3.7,3.7,3.7,0
2023-01-27,3.7,3.7,3.7,3.7,0
2023-01-30,3.7,3.7,3.7,3.7,0
2023-01-31,3.7,3.7,3.7,3.7,0
2023-02-01,3.7,3.7,3.7,3.7,0
2023-02-02,3.7,3.7,3.7,3.7,0
2023-02-03,3.7,3.7,3.7,3.7,0
2023-02-06,3.7,3.7,3.7,3.7,0
2023-02-07,3.7,3.7,3.7,3.7,0
2023-02-08,3.7,3.7,3.7,3.7,0
2023-02-09,3.7,3.7,3.7,3.7,0
2023-02-10,3.7,3.7,3.7,3.7,0
2023-02-13,3.7,3.7,3.7,3.7,0
2023-02-14,3.8,3.8,3.8,3.8,700
2023-02-15,3.8,3.8,3.8,3.8,0
2023-02-16,3.8,3.8,3.8,3.8,0
2023-02-17,3.8,3.8,3.8,3.8,0
2023-02-20,3.8,3.8,3.8,3.8,0
2023-02-21,3.9,3.9,3.9,3.9,100
2023-02-22,4.2,4.2,4.2,4.2,100
2023-02-23,4.2,4.2,4.2,4.2,0
2023-02-24,4.6,4.6,4.6,4.6,100
2023-02-27,5.0,5.0,5.0,5.0,100
2023-02-28,5.4,5.4,5.4,5.4,200
2023-03-01,5.8,5.8,5.8,5.8,100
2023-03-02,6.2,6.2,6.2,6.2,100
2023-03-03,6.4,6.4,6.4,6.4,100
2023-03-06,6.7,6.7,6.7,6.7,100
