date,open,high,low,close,volume
2024-01-25,13.5,13.5,13.5,13.5,130
2024-01-26,13.5,13.5,13.5,13.5,100
2024-01-29,12.1,13.4,11.6,13.4,4001
2024-01-30,13.1,13.1,13.1,13.1,500
2024-01-31,13.0,13.2,13.0,13.2,1600
2024-02-01,13.0,13.0,12.9,13.0,900
2024-02-02,13.0,13.0,12.9,12.9,600
2024-02-05,12.8,14.4,12.8,14.4,212
2024-02-06,12.0,13.4,12.0,13.4,600
2024-02-07,12.2,12.2,12.2,12.2,3627
2024-02-15,11.6,14.0,11.0,14.0,10400
2024-02-16,13.1,13.2,12.8,13.2,42101
2024-02-19,15.1,15.1,14.7,14.8,17509
2024-02-20,14.7,14.7,13.7,14.7,1000
2024-02-21,14.5,14.5,12.5,12.8,7800
2024-02-22,12.7,14.6,12.7,14.6,448692
2024-02-23,14.7,16.2,14.6,15.0,603153
2024-02-26,15.4,16.2,13.8,13.8,420302
2024-02-27,14.4,14.5,13.2,13.5,303308
2024-02-28,13.2,14.5,13.1,13.5,108900
2024-02-29,13.4,13.5,12.9,13.5,123700
2024-03-01,13.1,13.2,12.8,13.0,68400
2024-03-04,13.5,13.5,12.5,12.6,67825
2024-03-05,12.7,12.9,12.0,12.6,27101
2024-03-06,12.4,12.6,12.0,12.5,26906
2024-03-07,12.4,12.4,12.0,12.2,40207
2024-03-08,12.1,12.1,11.7,12.1,7900
2024-03-11,11.9,11.9,11.0,11.0,18300
2024-03-12,11.5,12.9,11.5,11.6,28046
2024-03-13,11.7,12.2,11.7,12.2,19800
2024-03-14,11.8,12.1,11.8,11.8,2300
2024-03-15,11.9,12.1,11.5,11.7,11741
2024-03-18,11.8,11.8,11.0,11.6,21500
2024-03-19,11.4,11.4,11.0,11.2,2400
2024-03-20,11.9,11.9,11.9,11.9,100
2024-03-21,11.9,11.9,10.7,11.2,6910
2024-03-22,11.1,11.1,11.1,11.1,200
2024-03-25,10.9,11.0,10.3,10.3,30925
2024-03-26,10.3,11.0,10.0,11.0,4300
2024-03-27,10.3,10.4,10.3,10.4,2600
2024-03-28,10.5,10.9,10.5,10.5,2500
2024-03-29,10.9,11.0,10.7,10.8,3300
2024-04-01,10.5,10.8,10.0,10.8,9200
2024-04-02,10.5,10.9,10.5,10.9,9831
2024-04-03,10.8,10.8,10.6,10.6,6200
2024-04-04,10.1,10.2,9.1,9.6,33410
2024-04-05,9.2,10.0,9.2,10.0,4500
2024-04-08,10.3,10.3,10.3,10.3,113
2024-04-09,10.0,10.8,10.0,10.4,1600
2024-04-10,10.2,10.2,9.5,9.9,2500
2024-04-11,9.5,10.0,9.5,9.5,16800
2024-04-12,9.5,9.8,9.4,9.8,1100
2024-04-15,9.3,9.4,9.0,9.0,5000
2024-04-16,9.4,9.4,9.2,9.2,2400
2024-04-17,8.7,9.3,8.6,9.3,3100
2024-04-19,8.0,8.9,8.0,8.9,4500
2024-04-22,7.8,8.2,7.8,8.2,8601
2024-04-23,8.8,8.8,8.0,8.5,2700
2024-04-24,8.9,9.0,8.3,9.0,12300
2024-04-25,8.3,8.6,8.3,8.5,7300
2024-04-26,8.4,8.6,8.0,8.6,500
2024-05-02,7.9,8.4,7.7,8.1,3603
2024-05-03,8.0,8.4,8.0,8.4,1800
2024-05-06,8.2,8.2,8.0,8.2,5500
2024-05-07,8.1,8.2,7.7,8.2,23300
2024-05-08,7.9,8.1,7.8,7.8,7400
2024-05-09,7.9,7.9,7.8,7.9,14500
2024-05-10,7.9,8.4,7.9,8.3,30000
2024-05-13,8.7,8.7,8.2,8.4,9400
2024-05-14,7.6,8.5,7.6,8.3,3900
2024-05-15,8.5,8.5,7.7,8.1,11720
2024-05-16,8.3,8.3,7.7,8.0,9800
2024-05-17,8.2,8.5,7.8,8.0,7500
2024-05-20,8.0,8.1,7.7,7.8,2112
2024-05-21,8.4,8.4,7.1,8.3,37811
2024-05-22,8.4,8.4,8.1,8.2,4400
2024-05-23,8.1,8.1,7.8,8.0,12704
2024-05-24,7.8,8.2,7.8,7.8,3300
2024-05-27,7.9,8.2,7.5,7.9,2900
2024-05-28,7.6,7.9,7.6,7.8,1800
2024-05-29,7.8,8.1,7.7,7.7,17113
2024-05-30,7.7,8.0,7.7,8.0,200
2024-05-31,8.0,8.0,7.7,8.0,28100
2024-06-03,8.0,8.2,7.6,8.2,3600
2024-06-04,8.3,8.3,7.6,8.0,10233
2024-06-05,8.3,8.3,8.0,8.2,18100
2024-06-06,8.2,9.3,8.2,9.3,63179
2024-06-07,10.0,10.3,10.0,10.3,94427
2024-06-10,11.7,11.8,10.3,11.8,82909
2024-06-11,11.6,11.6,9.7,10.2,21279
2024-06-12,10.3,11.8,8.9,11.1,34948
2024-06-13,10.1,10.2,9.5,10.0,7100
2024-06-14,9.3,10.0,9.2,10.0,8496
2024-06-17,10.2,10.2,9.4,9.4,2399
2024-06-18,8.5,9.5,8.5,9.3,6900
2024-06-19,9.8,9.8,8.6,9.1,1210
2024-06-20,8.7,9.7,8.5,9.3,17700
2024-06-21,8.7,9.2,8.5,8.9,6300
2024-06-24,8.7,9.2,8.5,8.9,8600
2024-06-25,8.7,9.0,8.5,8.9,6507
2024-06-26,9.1,9.1,8.5,9.1,5300
2024-06-27,8.8,9.0,8.5,8.9,2100
2024-06-28,9.0,9.0,8.3,8.3,8003
2024-07-01,8.5,8.8,8.3,8.3,1600
2024-07-02,8.8,8.8,8.3,8.3,300
