date,open,high,low,close,volume
2024-01-04,10.35,10.35,10.35,10.35,0
2024-01-05,10.17,10.43,10.0,10.43,10100
2024-01-08,10.17,10.17,10.08,10.08,7600
2024-01-09,10.43,10.43,10.17,10.17,6100
2024-01-10,10.78,11.57,10.52,10.52,6402
2024-01-11,12.19,12.19,12.19,12.19,1000
2024-01-12,12.19,12.19,12.19,12.19,15
2024-01-15,10.96,10.96,10.96,10.96,100
2024-01-16,10.96,10.96,10.43,10.43,2300
2024-01-17,10.87,10.87,10.87,10.87,102
2024-01-18,11.05,11.05,11.05,11.05,1000
2024-01-19,11.05,11.05,10.96,11.05,1600
2024-01-22,10.96,10.96,10.96,10.96,0
2024-01-23,10.96,10.96,10.96,10.96,0
2024-01-24,10.96,10.96,10.96,10.96,0
2024-01-25,10.96,10.96,10.96,10.96,0
2024-01-26,10.43,10.43,10.43,10.43,100
2024-01-29,10.35,10.35,10.08,10.17,2800
2024-01-30,10.26,10.26,10.26,10.26,800
2024-01-31,10.43,10.43,10.43,10.43,100
2024-02-01,10.17,10.17,10.17,10.17,2100
2024-02-02,10.35,10.35,9.82,9.82,7400
2024-02-05,10.43,10.43,10.43,10.43,3000
2024-02-06,10.7,10.7,10.61,10.61,1600
2024-02-07,10.78,10.78,10.26,10.61,2500
2024-02-15,10.61,10.61,10.61,10.61,102
2024-02-16,10.61,10.61,10.35,10.61,7800
2024-02-19,10.61,10.61,10.61,10.61,0
2024-02-20,10.26,10.26,10.26,10.26,100
2024-02-21,10.43,10.43,10.43,10.43,300
2024-02-22,10.43,10.78,10.43,10.78,4800
2024-02-23,10.52,10.52,10.52,10.52,0
2024-02-26,10.61,11.66,10.61,11.66,2600
2024-02-27,12.01,12.01,10.52,10.52,900
2024-02-28,11.22,11.22,10.52,10.52,2119
2024-02-29,10.52,11.84,10.52,11.66,4900
2024-03-01,12.98,12.98,11.4,11.4,219
2024-03-04,10.61,10.61,10.61,10.61,600
2024-03-05,10.61,10.61,10.61,10.61,70
2024-03-06,12.19,12.19,12.19,12.19,192
2024-03-07,10.61,10.87,10.43,10.52,25801
2024-03-08,10.96,10.96,10.96,10.96,100
2024-03-11,10.96,10.96,10.96,10.96,0
2024-03-12,10.52,10.52,10.43,10.43,5902
2024-03-13,10.7,10.7,10.52,10.52,2600
2024-03-14,10.52,10.52,10.52,10.52,0
2024-03-15,10.52,10.52,10.52,10.52,4600
2024-03-18,10.43,10.7,10.43,10.7,1006
2024-03-19,10.61,10.61,10.61,10.61,0
2024-03-20,10.61,10.61,10.61,10.61,0
2024-03-21,10.17,10.17,10.17,10.17,14300
2024-03-22,10.17,10.7,10.17,10.52,10200
2024-03-25,10.78,10.78,10.78,10.78,1000
2024-03-26,10.78,10.78,10.52,10.52,2800
2024-03-27,10.26,10.26,10.17,10.17,1400
2024-03-28,10.17,10.17,10.17,10.17,38
2024-03-29,10.87,10.87,10.43,10.43,1500
2024-04-01,10.43,10.52,10.43,10.43,6802
2024-04-02,10.43,10.52,10.43,10.52,200
2024-04-03,10.78,10.78,10.78,10.78,1000
2024-04-04,10.43,10.7,10.43,10.7,800
2024-04-05,10.61,10.61,10.61,10.61,0
2024-04-08,10.61,10.61,10.61,10.61,106
2024-04-09,10.7,10.7,10.43,10.61,13500
2024-04-10,10.78,10.78,10.78,10.78,6601
2024-04-11,10.7,10.78,10.7,10.78,1594
2024-04-12,10.87,10.87,10.61,10.61,2300
2024-04-15,11.57,11.57,10.7,10.96,2400
2024-04-16,12.28,12.28,10.52,10.52,2101
2024-04-17,12.19,12.19,12.19,12.19,59
2024-04-19,12.19,12.19,12.19,12.19,0
2024-04-22,12.19,12.19,12.19,12.19,0
2024-04-23,13.85,13.85,10.96,10.96,1700
2024-04-24,11.14,11.14,11.14,11.14,14
2024-04-25,11.4,11.4,11.4,11.4,100
2024-04-26,12.19,12.19,10.78,10.78,511
2024-05-02,10.61,10.7,10.61,10.61,1713
2024-05-03,11.14,11.14,10.7,10.7,213
2024-05-06,11.31,11.31,11.31,11.31,3017
2024-05-07,10.7,10.78,10.7,10.7,8800
2024-05-08,10.96,10.96,10.7,10.7,2124
2024-05-09,10.87,10.87,10.87,10.87,500
2024-05-10,10.61,10.87,10.61,10.7,4200
2024-05-13,10.78,10.78,10.78,10.78,2700
2024-05-14,10.78,10.78,10.78,10.78,12000
2024-05-15,10.7,10.96,10.7,10.78,2500
2024-05-16,10.87,10.87,10.87,10.87,100
2024-05-17,10.78,10.96,10.78,10.96,513
2024-05-20,11.14,11.14,11.14,11.14,100
2024-05-21,11.14,11.14,11.14,11.14,4
2024-05-22,10.96,10.96,10.7,10.7,315
2024-05-23,12.01,12.01,10.78,10.78,3200
2024-05-24,10.87,10.87,10.87,10.87,0
2024-05-27,12.19,12.19,10.96,10.96,411
2024-05-28,10.96,10.96,10.96,10.96,1300
2024-05-29,11.4,11.4,11.4,11.4,147
2024-05-30,12.28,12.28,12.28,12.28,100
2024-05-31,10.78,10.96,10.78,10.96,2100
2024-06-03,11.05,11.05,10.96,11.05,6640
2024-06-04,10.96,12.19,10.96,11.4,1022
2024-06-05,11.14,11.14,11.05,11.05,6503
2024-06-06,11.05,11.05,11.05,11.05,100
2024-06-07,10.96,11.4,10.87,11.4,1140
2024-06-10,10.96,12.1,10.96,12.1,8130
2024-06-11,11.05,11.05,11.05,11.05,5006
2024-06-12,11.4,11.57,11.4,11.57,800
2024-06-13,10.96,10.96,10.96,10.96,253
2024-06-14,10.96,10.96,10.96,10.96,3018
2024-06-17,10.96,10.96,10.96,10.96,65
2024-06-18,11.05,11.05,11.05,11.05,109
2024-06-19,11.66,11.66,11.66,11.66,132
2024-06-20,11.57,12.1,11.57,12.1,410
2024-06-21,10.96,11.05,10.96,11.05,405
2024-06-24,11.05,11.05,11.05,11.05,10
2024-06-25,11.84,11.84,11.05,11.05,1200
2024-06-26,11.75,11.75,11.05,11.05,1000
2024-06-27,11.05,11.05,10.61,11.05,18013
2024-06-28,10.96,11.05,10.96,11.05,1100
2024-07-01,10.87,10.96,10.87,10.96,1902
2024-07-02,10.61,10.96,10.61,10.87,500
2024-07-03,10.96,10.96,10.96,10.96,100
2024-07-04,11.05,11.05,11.05,11.05,105
2024-07-05,10.96,11.05,10.87,11.05,2300
2024-07-08,10.78,10.87,10.78,10.87,3901
2024-07-09,10.96,10.96,10.96,10.96,100
2024-07-10,10.78,10.96,10.61,10.96,9589
2024-07-11,11.14,11.14,11.14,11.14,101
2024-07-12,11.14,11.14,11.14,11.14,0
2024-07-15,10.78,10.96,10.61,10.96,2400
2024-07-16,10.87,10.87,10.87,10.87,100
2024-07-17,11.05,11.05,10.78,10.78,200
2024-07-18,10.96,10.96,10.96,10.96,0
2024-07-19,11.31,11.84,11.31,11.84,5001
2024-07-22,11.05,11.05,10.78,11.05,20500
2024-07-23,10.78,10.78,10.78,10.78,340
2024-07-24,10.78,10.96,10.61,10.87,6500
2024-07-25,10.96,10.96,10.96,10.96,500
2024-07-26,11.31,11.31,10.78,10.78,331
2024-07-29,11.14,11.14,11.14,11.14,0
2024-07-30,11.14,11.14,11.14,11.14,0
2024-07-31,11.14,11.14,11.14,11.14,0
2024-08-01,11.14,11.14,11.14,11.14,0
2024-08-02,10.78,10.78,10.78,10.78,300
2024-08-05,11.31,11.31,11.31,11.31,136
2024-08-06,11.31,11.31,11.31,11.31,0
2024-08-07,11.31,11.31,11.31,11.31,36
2024-08-08,11.31,11.31,11.31,11.31,0
