date,open,high,low,close,volume
2023-05-24,17.39,17.39,17.39,17.39,0
2023-05-25,16.43,16.43,16.43,16.43,400
2023-05-26,16.43,16.43,16.43,16.43,0
2023-05-29,16.43,16.43,16.43,16.43,0
2023-05-30,16.43,16.43,16.43,16.43,0
2023-05-31,16.43,16.43,16.43,16.43,0
2023-06-01,16.43,16.43,16.43,16.43,0
2023-06-02,17.39,17.47,17.04,17.47,10300
2023-06-05,17.04,17.04,17.04,17.04,100
2023-06-06,17.04,17.04,17.04,17.04,0
2023-06-07,14.85,15.73,14.85,15.73,300
2023-06-08,14.85,14.85,14.85,14.85,400
2023-06-09,16.16,16.16,16.16,16.16,700
2023-06-12,16.16,16.16,16.16,16.16,0
2023-06-13,15.55,15.55,15.55,15.55,500
2023-06-14,15.55,15.55,15.55,15.55,0
2023-06-15,15.55,15.55,15.55,15.55,0
2023-06-16,15.55,15.55,15.55,15.55,0
2023-06-19,17.56,17.56,17.56,17.56,100
2023-06-20,17.56,17.56,17.56,17.56,0
2023-06-21,17.56,17.56,17.56,17.56,0
2023-06-22,18.26,18.26,18.26,18.26,100
2023-06-23,16.6,16.6,16.6,16.6,5000
2023-06-26,16.6,16.6,16.6,16.6,0
2023-06-27,16.43,16.43,16.43,16.43,100
2023-06-28,16.43,16.43,16.43,16.43,500
2023-06-29,16.43,16.43,16.43,16.43,0
2023-06-30,16.43,16.43,16.43,16.43,0
2023-07-03,14.5,14.5,14.5,14.5,500
2023-07-04,14.5,14.5,14.5,14.5,0
2023-07-05,14.5,14.5,14.5,14.5,0
2023-07-06,15.64,15.64,15.64,15.64,400
2023-07-07,15.64,15.64,15.64,15.64,0
2023-07-10,17.82,17.82,17.82,17.82,100
2023-07-11,15.99,16.43,15.99,16.16,17400
2023-07-12,16.08,16.08,16.08,16.08,0
2023-07-13,16.08,16.08,16.08,16.08,0
2023-07-14,16.08,16.08,16.08,16.08,0
2023-07-17,16.08,16.08,16.08,16.08,0
2023-07-18,16.08,16.08,16.08,16.08,0
2023-07-19,16.08,16.08,16.08,16.08,0
2023-07-20,16.08,16.08,16.08,16.08,0
2023-07-21,16.08,16.08,16.08,16.08,0
2023-07-24,16.08,16.08,16.08,16.08,0
2023-07-25,16.08,16.08,16.08,16.08,0
2023-07-26,16.08,16.08,16.08,16.08,0
2023-07-27,16.08,16.08,16.08,16.08,0
2023-07-28,17.39,17.47,17.39,17.47,500
2023-07-31,17.47,17.47,17.47,17.47,0
2023-08-01,15.38,15.38,15.38,15.38,100
2023-08-02,15.38,15.38,15.38,15.38,0
2023-08-03,15.38,15.38,15.38,15.38,0
2023-08-04,15.38,15.38,15.38,15.38,0
2023-08-07,17.47,17.47,17.47,17.47,2200
2023-08-08,17.47,17.47,17.47,17.47,0
2023-08-09,17.47,17.47,17.47,17.47,0
2023-08-10,17.47,17.47,17.47,17.47,0
2023-08-11,17.47,17.47,17.47,17.47,0
2023-08-14,15.99,15.99,15.99,15.99,300
2023-08-15,15.99,15.99,15.99,15.99,0
2023-08-16,15.99,15.99,15.99,15.99,0
2023-08-17,13.98,16.16,13.98,16.16,300
2023-08-18,15.46,15.46,15.46,15.46,0
2023-08-21,15.46,15.46,15.46,15.46,0
2023-08-22,15.46,15.46,15.46,15.46,0
2023-08-23,15.46,15.46,15.46,15.46,0
2023-08-24,15.46,15.46,15.46,15.46,0
2023-08-25,15.46,15.46,15.46,15.46,0
2023-08-28,15.29,15.46,15.29,15.46,700
2023-08-29,15.29,16.16,15.29,16.16,2100
2023-08-30,15.73,15.73,15.73,15.73,500
2023-08-31,15.73,15.73,15.73,15.73,200
2023-09-05,15.9,16.16,15.9,16.16,3200
2023-09-06,16.08,16.08,16.08,16.08,0
2023-09-07,16.08,16.08,16.08,16.08,0
2023-09-08,16.08,16.08,16.08,16.08,0
2023-09-11,16.08,16.08,16.08,16.08,0
2023-09-12,15.73,15.73,15.73,15.73,700
2023-09-13,15.73,15.73,15.73,15.73,200
2023-09-14,16.16,16.16,15.73,15.73,500
2023-09-15,15.73,15.99,15.73,15.99,2000
2023-09-18,15.73,15.73,15.73,15.73,500
2023-09-19,15.73,15.73,15.73,15.73,600
2023-09-20,15.73,15.73,15.73,15.73,200
2023-09-21,15.73,15.73,15.73,15.73,0
2023-09-22,15.73,15.73,15.73,15.73,0
2023-09-25,14.24,14.24,14.24,14.24,100
2023-09-26,14.42,14.42,14.42,14.42,2000
2023-09-27,12.41,12.41,12.41,12.41,100
2023-09-28,12.41,12.41,12.41,12.41,0
2023-09-29,14.24,14.24,14.24,14.24,100
2023-10-02,14.85,14.85,14.85,14.85,200
2023-10-03,14.85,14.85,14.68,14.68,1700
2023-10-04,14.85,14.85,14.85,14.85,110
2023-10-05,14.85,14.85,14.85,14.85,500
2023-10-06,14.68,14.77,14.68,14.77,200
2023-10-09,14.77,14.85,14.77,14.85,200
2023-10-10,14.77,14.85,14.77,14.85,200
2023-10-11,14.85,14.85,14.85,14.85,0
2023-10-12,14.77,14.85,14.77,14.85,2700
2023-10-13,14.85,14.85,14.85,14.85,0
2023-10-16,14.42,14.42,14.42,14.42,200
2023-10-17,14.42,14.42,14.42,14.42,0
2023-10-18,13.98,13.98,13.98,13.98,800
2023-10-19,13.98,13.98,13.98,13.98,500
2023-10-20,13.54,13.98,13.54,13.98,600
2023-10-23,13.63,13.63,13.63,13.63,0
2023-10-24,13.98,13.98,13.98,13.98,500
2023-10-25,13.98,13.98,13.98,13.98,0
2023-10-26,13.54,13.54,13.11,13.11,5200
2023-10-27,13.19,13.19,13.19,13.19,0
2023-10-30,13.19,13.19,13.19,13.19,0
2023-10-31,13.19,13.19,13.19,13.19,0
2023-11-01,13.54,13.54,13.54,13.54,3500
2023-11-02,13.54,13.54,13.54,13.54,0
2023-11-03,13.98,13.98,13.98,13.98,2500
2023-11-06,13.98,13.98,13.98,13.98,0
2023-11-07,13.98,13.98,13.98,13.98,6200
2023-11-08,13.98,13.98,13.98,13.98,4200
2023-11-09,13.98,13.98,13.98,13.98,900
2023-11-10,13.98,13.98,13.98,13.98,0
2023-11-13,13.98,13.98,13.89,13.98,11007
2023-11-14,13.89,13.89,13.89,13.89,102
2023-11-15,13.89,14.42,13.89,14.42,6900
2023-11-16,14.42,14.42,14.42,14.42,2000
2023-11-17,14.42,14.42,14.42,14.42,1000
2023-11-20,15.2,15.29,14.85,14.85,10000
2023-11-21,15.11,15.11,15.11,15.11,0
2023-11-22,14.42,14.42,14.42,14.42,100
2023-11-23,14.42,14.42,14.42,14.42,0
2023-11-24,14.33,14.33,14.33,14.33,1100
2023-11-27,14.33,14.33,14.33,14.33,0
2023-11-28,15.29,15.29,12.32,12.32,200
2023-11-29,13.8,13.8,13.8,13.8,0
2023-11-30,13.11,13.54,13.11,13.54,600
2023-12-01,13.19,13.19,13.19,13.19,0
2023-12-04,13.98,13.98,13.98,13.98,500
2023-12-05,13.98,13.98,13.98,13.98,1000
2023-12-06,14.07,14.42,14.07,14.42,1200
2023-12-07,14.24,14.24,14.24,14.24,0
2023-12-08,14.24,14.24,14.24,14.24,0
2023-12-11,14.24,14.24,14.24,14.24,0
2023-12-12,14.24,14.24,14.24,14.24,0
2023-12-13,14.42,14.85,14.42,14.85,1600
2023-12-14,15.11,15.11,15.03,15.11,1600
2023-12-15,15.11,15.11,15.11,15.11,0
2023-12-18,15.11,15.11,15.11,15.11,0
2023-12-19,15.11,15.11,15.11,15.11,0
2023-12-20,14.85,14.85,14.85,14.85,5000
2023-12-21,14.85,14.85,14.85,14.85,300
2023-12-22,14.85,14.85,14.85,14.85,0
2023-12-25,14.85,14.85,14.85,14.85,700
2023-12-26,14.85,14.85,14.85,14.85,0
2023-12-27,14.85,14.85,14.85,14.85,0
2023-12-28,14.85,14.85,14.85,14.85,0
2023-12-29,14.85,14.85,14.85,14.85,0
2024-01-02,14.85,14.85,14.85,14.85,0
2024-01-03,14.85,14.85,14.85,14.85,0
2024-01-04,14.85,14.85,14.85,14.85,0
2024-01-05,14.85,14.85,14.85,14.85,24
2024-01-08,14.85,14.85,14.85,14.85,100
2024-01-09,14.37,15.33,14.37,15.33,1400
2024-01-10,15.33,15.33,15.33,15.33,3800
2024-01-11,15.33,15.33,15.33,15.33,0
2024-01-12,15.33,15.33,15.33,15.33,0
2024-01-15,15.33,15.33,15.33,15.33,0
2024-01-16,15.33,15.33,15.33,15.33,0
2024-01-17,15.33,15.33,15.33,15.33,0
2024-01-18,15.33,15.33,15.33,15.33,0
2024-01-19,15.33,15.33,15.33,15.33,0
2024-01-22,15.33,15.33,15.33,15.33,1
2024-01-23,15.33,15.33,15.33,15.33,0
2024-01-24,15.33,15.33,15.33,15.33,0
2024-01-25,14.56,14.56,14.56,14.56,100
2024-01-26,13.8,13.8,13.8,13.8,300
2024-01-29,13.8,13.8,13.8,13.8,0
2024-01-30,14.56,14.56,13.8,13.8,200
2024-01-31,14.18,14.18,14.18,14.18,0
2024-02-01,14.18,14.18,14.18,14.18,0
2024-02-02,14.18,14.18,14.18,14.18,0
2024-02-05,14.18,14.18,14.18,14.18,0
2024-02-06,14.18,14.18,14.18,14.18,0
2024-02-07,15.33,15.33,15.33,15.33,100
2024-02-15,15.33,15.33,15.33,15.33,0
2024-02-16,15.33,15.33,15.33,15.33,0
2024-02-19,15.33,15.33,15.33,15.33,0
2024-02-20,14.56,14.56,14.56,14.56,100
2024-02-21,14.56,14.56,14.56,14.56,0
2024-02-22,14.56,14.56,14.56,14.56,0
2024-02-23,15.33,15.33,15.33,15.33,100
2024-02-26,15.33,15.33,15.33,15.33,0
2024-02-27,14.56,15.33,14.56,15.33,4900
2024-02-28,15.81,15.81,15.81,15.81,100
2024-02-29,15.81,15.81,15.81,15.81,0
2024-03-01,15.91,15.91,15.91,15.91,100
2024-03-04,15.91,15.91,15.91,15.91,0
2024-03-05,15.91,15.91,15.91,15.91,0
2024-03-06,16.77,16.77,16.77,16.77,100
2024-03-07,16.77,16.77,16.77,16.77,0
2024-03-08,16.77,16.77,16.77,16.77,0
2024-03-11,17.25,17.25,17.25,17.25,100
2024-03-12,17.25,17.25,17.25,17.25,0
2024-03-13,14.95,14.95,14.95,14.95,300
2024-03-14,15.81,15.81,15.81,15.81,1000
2024-03-15,15.33,15.33,15.33,15.33,100
2024-03-18,16.0,16.0,16.0,16.0,129
2024-03-19,16.0,16.0,16.0,16.0,0
2024-03-20,16.39,16.39,16.39,16.39,100
2024-03-21,16.0,16.0,15.52,15.52,1200
2024-03-22,15.81,15.81,15.81,15.81,0
2024-03-25,15.81,15.81,15.81,15.81,0
2024-03-26,15.81,15.81,15.81,15.81,0
2024-03-27,15.81,15.81,15.81,15.81,0
2024-03-28,15.81,15.81,15.81,15.81,0
2024-03-29,15.81,15.81,15.81,15.81,0
2024-04-01,15.81,15.81,15.81,15.81,0
2024-04-02,15.81,15.81,15.81,15.81,0
2024-04-03,15.81,15.81,15.81,15.81,0
2024-04-04,15.81,15.81,15.81,15.81,0
2024-04-05,15.81,15.81,15.81,15.81,0
2024-04-08,14.85,15.71,14.85,15.71,1500
2024-04-09,14.85,14.85,14.85,14.85,1000
2024-04-10,14.85,14.85,14.85,14.85,0
2024-04-11,14.85,14.85,14.85,14.85,0
2024-04-12,14.85,14.85,14.85,14.85,0
2024-04-15,14.85,14.85,14.85,14.85,1900
2024-04-16,14.85,14.85,14.85,14.85,0
2024-04-17,14.85,14.85,14.85,14.85,0
2024-04-19,14.66,14.66,14.66,14.66,400
2024-04-22,14.66,14.66,14.66,14.66,0
2024-04-23,14.85,14.85,14.85,14.85,500
2024-04-24,15.52,15.52,15.52,15.52,100
2024-04-25,15.52,15.52,15.52,15.52,0
2024-04-26,15.52,15.52,15.52,15.52,0
2024-05-02,15.04,15.04,15.04,15.04,1600
2024-05-03,15.04,15.04,15.04,15.04,0
2024-05-06,15.04,15.04,15.04,15.04,0
2024-05-07,15.04,15.04,15.04,15.04,0
2024-05-08,15.04,15.04,15.04,15.04,0
2024-05-09,15.04,15.04,15.04,15.04,0
2024-05-10,15.04,15.04,15.04,15.04,0
2024-05-13,15.04,15.04,15.04,15.04,0
2024-05-14,15.04,15.04,15.04,15.04,0
2024-05-15,15.52,15.52,15.52,15.52,100
2024-05-16,15.62,15.62,15.62,15.62,200
2024-05-17,15.62,15.62,15.62,15.62,0
2024-05-20,15.62,15.62,14.95,14.95,5200
2024-05-21,16.29,16.29,16.29,16.29,100
2024-05-22,16.77,16.77,16.77,16.77,100
2024-05-23,16.77,16.77,16.77,16.77,0
2024-05-24,16.77,16.77,16.77,16.77,0
2024-05-27,16.77,16.77,16.77,16.77,0
2024-05-28,16.77,16.77,16.77,16.77,0
