date,open,high,low,close,volume
2023-11-01,4.38,4.38,4.38,4.38,0
2023-11-02,4.38,4.38,4.38,4.38,0
2023-11-03,4.38,4.38,4.38,4.38,0
2023-11-06,4.11,4.11,4.11,4.11,700
2023-11-07,4.02,4.02,3.93,3.93,1900
2023-11-08,3.93,3.93,3.93,3.93,2800
2023-11-09,4.2,4.46,4.2,4.46,21000
2023-11-10,4.38,4.38,4.38,4.38,0
2023-11-13,4.29,4.29,4.29,4.29,100
2023-11-14,4.38,4.38,4.38,4.38,100
2023-11-15,4.55,4.55,4.55,4.55,300
2023-11-16,4.46,4.46,4.46,4.46,100
2023-11-17,4.46,4.46,4.46,4.46,0
2023-11-20,4.2,4.2,4.2,4.2,300
2023-11-21,4.2,4.2,4.2,4.2,0
2023-11-22,4.29,4.29,4.29,4.29,100
2023-11-23,4.11,4.11,4.11,4.11,500
2023-11-24,4.02,4.02,4.02,4.02,500
2023-11-27,4.11,4.11,4.11,4.11,500
2023-11-28,4.11,4.11,4.11,4.11,0
2023-11-29,4.11,4.11,4.11,4.11,0
2023-11-30,4.11,4.11,4.11,4.11,0
2023-12-01,4.11,4.11,4.11,4.11,200
2023-12-04,4.11,4.11,4.11,4.11,0
2023-12-05,4.11,4.11,4.11,4.11,0
2023-12-06,4.29,4.29,4.29,4.29,300
2023-12-07,4.29,4.29,4.29,4.29,0
2023-12-08,4.29,4.29,4.29,4.29,0
2023-12-11,4.29,4.29,4.29,4.29,0
2023-12-12,4.29,4.29,4.29,4.29,0
2023-12-13,4.2,4.29,4.2,4.29,600
2023-12-14,4.2,4.2,4.2,4.2,0
2023-12-15,4.11,4.2,4.02,4.2,759
2023-12-18,4.11,4.11,4.11,4.11,0
2023-12-19,4.11,4.11,4.11,4.11,0
2023-12-20,4.11,4.11,4.11,4.11,0
2023-12-21,4.11,4.11,4.11,4.11,546
2023-12-22,4.11,4.11,4.11,4.11,388
2023-12-25,4.11,4.11,3.93,3.93,1085
2023-12-26,4.46,4.46,4.02,4.02,417
2023-12-27,4.29,4.29,4.29,4.29,117
2023-12-28,4.2,4.2,4.2,4.2,500
2023-12-29,4.2,4.2,4.2,4.2,0
2024-01-02,4.2,4.2,4.2,4.2,16
2024-01-03,4.11,4.11,4.11,4.11,600
2024-01-04,4.11,4.11,4.11,4.11,300
2024-01-05,4.11,4.11,4.02,4.11,2100
2024-01-08,4.02,4.02,4.02,4.02,1400
2024-01-09,4.02,4.02,4.02,4.02,75
2024-01-10,4.02,4.02,4.02,4.02,8
2024-01-11,4.02,4.02,3.93,3.93,1200
2024-01-12,3.93,3.93,3.93,3.93,500
2024-01-15,3.93,3.93,3.93,3.93,500
2024-01-16,3.93,3.93,3.93,3.93,1300
2024-01-17,3.93,3.93,3.93,3.93,638
2024-01-18,3.93,3.93,3.93,3.93,4910
2024-01-19,4.11,4.11,4.11,4.11,106
2024-01-22,4.11,4.11,4.11,4.11,38
2024-01-23,4.02,4.02,4.02,4.02,2800
2024-01-24,4.02,4.11,4.02,4.02,9500
2024-01-25,4.11,4.11,4.11,4.11,1400
2024-01-26,4.11,4.11,4.11,4.11,100
2024-01-29,4.11,4.11,4.11,4.11,0
2024-01-30,4.11,4.11,4.11,4.11,0
2024-01-31,4.11,4.11,4.11,4.11,0
2024-02-01,4.11,4.11,4.11,4.11,5500
2024-02-02,3.93,3.93,3.93,3.93,105
2024-02-05,3.93,3.93,3.93,3.93,0
2024-02-06,4.11,4.2,4.11,4.2,3000
2024-02-07,4.2,4.2,4.2,4.2,270
2024-02-15,4.11,4.29,4.11,4.29,2300
2024-02-16,4.2,4.2,4.2,4.2,1647
2024-02-19,4.2,4.2,4.2,4.2,30
2024-02-20,4.29,4.29,4.29,4.29,400
2024-02-21,4.29,4.29,4.29,4.29,0
2024-02-22,4.29,4.29,4.29,4.29,1001
2024-02-23,4.2,4.29,4.2,4.29,2639
2024-02-26,4.29,4.29,4.29,4.29,700
2024-02-27,4.29,4.29,4.29,4.29,700
2024-02-28,4.2,4.2,4.2,4.2,1228
2024-02-29,4.2,4.2,4.2,4.2,14
2024-03-01,4.2,4.2,4.2,4.2,2000
2024-03-04,4.55,4.55,4.55,4.55,100
2024-03-05,4.29,4.29,4.29,4.29,4600
2024-03-06,4.46,4.46,4.46,4.46,100
2024-03-07,4.46,4.46,4.46,4.46,0
2024-03-08,4.11,4.11,4.11,4.11,500
2024-03-11,4.38,4.38,4.38,4.38,2500
2024-03-12,4.38,4.38,4.38,4.38,0
2024-03-13,4.38,4.38,4.38,4.38,4130
2024-03-14,4.38,4.38,4.38,4.38,700
2024-03-15,4.38,4.38,4.11,4.38,75700
2024-03-18,4.38,4.38,4.2,4.38,70668
2024-03-19,4.29,4.29,4.29,4.29,0
2024-03-20,4.29,4.29,4.29,4.29,0
2024-03-21,4.29,4.29,4.29,4.29,0
2024-03-22,4.29,4.29,4.29,4.29,0
2024-03-25,4.29,4.29,4.29,4.29,0
2024-03-26,4.29,4.29,4.29,4.29,0
2024-03-27,4.29,4.29,4.29,4.29,77
2024-03-28,4.38,4.38,4.38,4.38,200
2024-03-29,4.38,4.38,4.38,4.38,0
2024-04-01,4.38,4.38,4.38,4.38,0
2024-04-02,4.29,4.38,4.2,4.38,14263
2024-04-03,4.38,4.38,4.38,4.38,0
2024-04-04,4.38,4.38,4.38,4.38,0
2024-04-05,4.38,4.38,4.38,4.38,0
2024-04-08,4.46,4.46,4.46,4.46,8101
2024-04-09,4.46,4.46,4.46,4.46,0
2024-04-10,4.2,4.2,4.2,4.2,127
2024-04-11,4.2,4.2,4.2,4.2,0
2024-04-12,4.38,4.46,4.38,4.46,59759
2024-04-15,4.46,4.46,4.46,4.46,0
2024-04-16,4.46,4.46,4.46,4.46,45
2024-04-17,4.02,4.02,4.02,4.02,1100
2024-04-19,4.02,4.02,4.02,4.02,45
2024-04-22,4.2,4.29,4.2,4.29,805
2024-04-23,4.29,4.29,4.29,4.29,5
2024-04-24,4.29,4.29,4.29,4.29,0
2024-04-25,4.29,4.29,4.29,4.29,0
2024-04-26,4.02,4.02,4.02,4.02,200
2024-05-02,4.11,4.11,4.11,4.11,100
2024-05-03,4.11,4.11,4.11,4.11,0
2024-05-06,4.11,4.11,4.11,4.11,0
2024-05-07,4.11,4.11,4.11,4.11,0
2024-05-08,4.11,4.11,4.11,4.11,500
2024-05-09,4.11,4.11,4.11,4.11,0
2024-05-10,4.11,4.11,4.11,4.11,0
2024-05-13,4.02,4.02,4.02,4.02,200
2024-05-14,4.38,4.38,4.38,4.38,200
2024-05-15,4.11,4.11,4.11,4.11,1000
2024-05-16,4.29,4.29,4.29,4.29,100
2024-05-17,4.29,4.29,4.29,4.29,0
2024-05-20,4.29,4.29,4.29,4.29,0
2024-05-21,4.29,4.29,4.29,4.29,0
2024-05-22,4.29,4.29,4.29,4.29,0
2024-05-23,4.29,4.29,4.29,4.29,0
2024-05-24,4.11,4.11,3.93,3.93,2340
