date,open,high,low,close,volume
2024-01-30,35.5,35.5,35.4,35.4,2670
2024-01-31,35.5,35.5,35.2,35.3,6901
2024-02-01,35.4,35.5,34.7,35.0,10010
2024-02-02,35.1,35.3,35.1,35.2,6300
2024-02-05,35.3,35.3,35.0,35.1,6335
2024-02-06,35.2,35.3,35.1,35.3,2900
2024-02-07,35.4,35.4,35.3,35.3,700
2024-02-15,35.4,35.6,35.3,35.6,4151
2024-02-16,35.7,35.7,35.1,35.3,10317
2024-02-19,35.4,35.4,35.2,35.3,2609
2024-02-20,35.4,35.4,35.0,35.1,8631
2024-02-21,35.2,35.3,35.1,35.2,4088
2024-02-22,35.3,35.3,35.1,35.3,6858
2024-02-23,35.3,35.4,35.1,35.1,3702
2024-02-26,35.2,35.2,34.8,35.0,15000
2024-02-27,35.1,35.1,34.9,34.9,5700
2024-02-28,35.0,35.2,34.9,35.2,2900
2024-02-29,35.3,35.3,35.1,35.2,7800
2024-03-01,35.2,35.3,35.1,35.1,3010
2024-03-04,35.2,35.2,34.9,35.0,10302
2024-03-05,35.1,35.1,34.9,35.0,2445
2024-03-06,35.1,35.1,34.8,34.8,5660
2024-03-07,34.9,34.9,34.6,34.8,5400
2024-03-08,34.9,34.9,34.8,34.9,1500
2024-03-11,35.0,35.0,34.7,34.8,4906
2024-03-12,34.9,34.9,34.7,34.8,2903
2024-03-13,34.9,35.1,34.6,35.0,12347
2024-03-14,35.1,35.1,34.8,34.9,8500
2024-03-15,35.0,35.0,34.8,34.9,4900
2024-03-18,35.0,35.0,34.7,34.7,4909
2024-03-19,34.8,34.8,34.5,34.7,6505
2024-03-20,34.8,34.9,34.6,34.9,3706
2024-03-21,35.0,35.0,34.9,35.0,3945
2024-03-22,35.1,35.1,34.8,35.0,13379
2024-03-25,35.1,35.1,34.8,34.9,5905
2024-03-26,35.0,35.2,34.7,35.2,12200
2024-03-27,35.3,35.3,35.0,35.1,4922
2024-03-28,35.1,35.2,35.1,35.2,5700
2024-03-29,35.2,35.2,35.0,35.1,5401
