date,open,high,low,close,volume
2023-04-27,10.0,10.0,10.0,10.0,0
2023-04-28,10.0,10.0,10.0,10.0,0
2023-05-04,10.0,10.0,10.0,10.0,0
2023-05-05,10.7,10.7,10.7,10.7,1
2023-05-08,10.7,10.7,10.7,10.7,0
2023-05-09,10.7,10.7,10.7,10.7,0
2023-05-10,10.7,10.7,10.7,10.7,0
2023-05-11,10.7,10.7,10.7,10.7,0
2023-05-12,10.88,10.88,10.88,10.88,100
2023-05-15,10.88,10.88,10.88,10.88,0
2023-05-16,11.93,11.93,11.93,11.93,100
2023-05-17,11.93,11.93,11.93,11.93,0
2023-05-18,13.07,13.07,10.79,10.79,200
2023-05-19,10.79,10.79,10.79,10.79,0
2023-05-22,10.79,10.79,10.79,10.79,0
2023-05-23,11.84,11.84,11.84,11.84,100
2023-05-24,11.84,11.84,11.84,11.84,0
2023-05-25,11.84,11.84,11.84,11.84,0
2023-05-26,10.7,10.7,10.7,10.7,100
2023-05-29,10.7,10.7,10.7,10.7,0
2023-05-30,9.74,9.74,9.74,9.74,100
2023-05-31,8.86,8.86,8.86,8.86,100
2023-06-01,8.86,8.86,8.86,8.86,0
2023-06-02,9.74,9.74,9.74,9.74,100
2023-06-05,9.74,9.74,9.74,9.74,0
2023-06-06,10.62,10.62,10.62,10.62,100
2023-06-07,10.62,10.62,10.62,10.62,1
2023-06-08,10.62,10.62,10.62,10.62,0
2023-06-09,10.62,10.62,10.62,10.62,0
2023-06-12,10.62,10.62,10.62,10.62,0
2023-06-13,10.62,10.62,10.62,10.62,0
2023-06-14,10.62,10.62,10.62,10.62,0
2023-06-15,10.62,10.62,10.62,10.62,0
2023-06-16,10.62,10.62,10.62,10.62,0
2023-06-19,10.62,10.62,10.62,10.62,0
2023-06-20,10.62,10.62,10.62,10.62,0
2023-06-21,10.62,10.62,10.62,10.62,0
2023-06-22,10.62,10.62,10.62,10.62,0
2023-06-23,11.58,11.67,11.58,11.67,400
2023-06-26,11.67,11.67,11.67,11.67,0
2023-06-27,10.62,11.41,10.62,11.41,200
2023-06-28,10.35,11.41,10.35,11.41,400
2023-06-29,12.55,12.55,10.44,12.55,400
2023-06-30,13.69,13.77,13.69,13.77,200
2023-07-03,15.09,15.09,15.09,15.09,120
2023-07-04,15.09,15.09,15.09,15.09,0
2023-07-05,16.41,16.41,16.41,16.41,100
2023-07-06,17.99,17.99,17.99,17.99,500
2023-07-07,16.32,16.32,16.32,16.32,200
2023-07-10,14.74,14.74,14.74,14.74,100
2023-07-11,13.34,13.34,13.34,13.34,100
2023-07-12,12.2,12.2,12.02,12.02,300
2023-07-13,12.02,12.02,12.02,12.02,0
2023-07-14,10.97,10.97,10.97,10.97,100
2023-07-17,10.53,10.53,10.53,10.53,100
2023-07-18,11.23,11.23,9.65,9.65,200
2023-07-19,10.62,10.62,10.62,10.62,100
2023-07-20,11.67,11.67,11.67,11.67,100
2023-07-21,12.81,12.81,12.81,12.81,100
2023-07-24,11.58,11.58,11.58,11.58,100
2023-07-25,11.67,11.67,10.44,10.44,300
2023-07-26,10.44,10.44,10.44,10.44,100
2023-07-27,10.44,10.44,10.44,10.44,0
2023-07-28,10.44,10.44,10.44,10.44,0
2023-07-31,10.44,10.44,10.44,10.44,0
2023-08-01,11.41,11.41,11.41,11.41,100
2023-08-02,11.41,11.41,11.41,11.41,200
2023-08-03,11.41,11.41,11.41,11.41,0
2023-08-04,11.41,11.41,11.41,11.41,0
2023-08-07,10.35,10.35,10.35,10.35,600
2023-08-08,11.32,11.32,11.32,11.32,100
2023-08-09,11.32,11.32,11.32,11.32,0
2023-08-10,12.28,12.37,12.28,12.37,200
2023-08-11,13.51,13.51,13.51,13.51,100
2023-08-14,14.56,14.56,14.56,14.56,100
2023-08-15,14.48,14.48,13.16,13.16,800
2023-08-16,14.21,14.21,14.21,14.21,100
2023-08-17,14.21,14.21,14.21,14.21,0
2023-08-18,14.21,14.21,14.21,14.21,0
2023-08-21,14.21,14.21,14.21,14.21,0
2023-08-22,14.21,14.21,14.21,14.21,0
2023-08-23,12.81,12.81,12.81,12.81,100
2023-08-24,11.67,11.67,11.67,11.67,100
2023-08-25,11.67,11.67,11.67,11.67,0
2023-08-28,11.67,11.67,11.67,11.67,0
2023-08-29,11.67,11.67,11.67,11.67,0
2023-08-30,11.67,11.67,11.67,11.67,0
2023-08-31,11.67,11.67,11.67,11.67,0
2023-09-05,10.7,10.7,10.62,10.7,1300
2023-09-06,10.7,10.7,10.7,10.7,0
2023-09-07,10.7,10.7,10.7,10.7,0
2023-09-08,10.7,10.7,10.7,10.7,0
2023-09-11,9.74,10.7,9.74,10.7,600
2023-09-12,10.7,10.7,9.74,9.74,400
2023-09-13,9.74,9.74,9.74,9.74,0
2023-09-14,9.74,9.74,9.74,9.74,0
2023-09-15,9.74,9.74,9.74,9.74,0
2023-09-18,9.74,9.74,9.74,9.74,0
2023-09-19,9.74,9.74,9.74,9.74,0
2023-09-20,9.74,9.74,9.74,9.74,1
2023-09-21,9.74,9.74,9.74,9.74,0
2023-09-22,9.74,9.74,9.74,9.74,0
2023-09-25,9.74,9.74,9.74,9.74,1
2023-09-26,9.65,9.65,9.65,9.65,300
2023-09-27,10.62,10.62,10.62,10.62,100
2023-09-28,10.62,10.62,10.62,10.62,1
2023-09-29,10.62,10.62,10.62,10.62,0
2023-10-02,9.65,9.65,9.65,9.65,300
2023-10-03,9.65,9.65,9.65,9.65,0
2023-10-04,9.65,9.65,9.65,9.65,0
2023-10-05,9.65,9.65,9.65,9.65,0
2023-10-06,9.65,9.65,9.65,9.65,0
2023-10-09,9.65,9.65,9.65,9.65,0
2023-10-10,9.65,9.65,9.65,9.65,0
2023-10-11,9.65,9.65,9.65,9.65,0
2023-10-12,9.65,9.65,9.65,9.65,500
2023-10-13,9.65,9.65,9.65,9.65,0
2023-10-16,9.65,9.65,9.65,9.65,0
2023-10-17,9.65,9.65,9.65,9.65,0
2023-10-18,9.65,9.65,9.65,9.65,0
2023-10-19,9.65,9.65,9.65,9.65,0
2023-10-20,9.65,9.65,9.65,9.65,0
2023-10-23,9.65,9.65,9.65,9.65,0
2023-10-24,9.65,9.65,9.65,9.65,0
2023-10-25,9.65,9.65,9.65,9.65,3
2023-10-26,9.65,9.65,9.65,9.65,0
2023-10-27,9.65,9.65,9.65,9.65,0
2023-10-30,9.65,9.65,9.65,9.65,100
2023-10-31,9.65,9.65,9.65,9.65,0
2023-11-01,9.65,9.65,9.65,9.65,0
2023-11-02,9.65,9.65,9.65,9.65,0
2023-11-03,9.65,9.65,9.65,9.65,0
2023-11-06,8.77,8.77,8.77,8.77,100
2023-11-07,8.77,8.77,8.77,8.77,0
2023-11-08,8.77,8.77,8.77,8.77,0
2023-11-09,8.77,8.77,8.77,8.77,0
2023-11-10,8.77,8.77,8.77,8.77,0
2023-11-13,8.77,8.77,8.77,8.77,0
2023-11-14,8.77,8.77,8.77,8.77,0
2023-11-15,8.77,8.77,8.77,8.77,0
2023-11-16,8.77,8.77,8.77,8.77,0
2023-11-17,8.77,8.77,8.77,8.77,0
2023-11-20,8.77,8.77,8.77,8.77,0
2023-11-21,8.77,8.77,8.77,8.77,0
2023-11-22,8.77,8.77,8.77,8.77,0
2023-11-23,8.77,8.77,8.77,8.77,0
2023-11-24,8.77,8.77,8.77,8.77,0
2023-11-27,8.77,8.77,8.77,8.77,0
2023-11-28,8.77,8.77,8.77,8.77,0
2023-11-29,8.77,8.77,8.77,8.77,0
2023-11-30,8.77,8.77,8.77,8.77,0
2023-12-01,8.77,8.77,8.77,8.77,0
2023-12-04,8.77,8.77,8.77,8.77,0
2023-12-05,8.77,8.77,8.77,8.77,0
2023-12-06,8.77,8.77,8.77,8.77,0
2023-12-07,8.77,8.77,8.77,8.77,0
2023-12-08,8.77,8.77,8.77,8.77,0
2023-12-11,8.77,8.77,8.77,8.77,0
2023-12-12,8.77,8.77,8.77,8.77,0
2023-12-13,8.77,8.77,8.77,8.77,0
2023-12-14,8.77,8.77,8.77,8.77,0
2023-12-15,8.77,8.77,8.77,8.77,0
2023-12-18,8.77,8.77,8.77,8.77,0
