date,open,high,low,close,volume
2024-01-26,10.99,11.08,10.99,10.99,30200
2024-01-29,10.99,11.08,10.9,10.99,63001
2024-01-30,10.99,11.08,10.99,11.08,23500
2024-01-31,11.08,11.08,10.99,11.08,127300
2024-02-01,10.99,10.99,10.99,10.99,52600
2024-02-02,11.08,11.08,10.99,11.08,72600
2024-02-05,11.17,11.26,11.08,11.17,51280
2024-02-06,11.26,11.26,11.26,11.26,12330
2024-02-07,11.35,11.35,11.17,11.35,7851
2024-02-15,11.35,11.53,11.26,11.35,31700
2024-02-16,11.35,11.35,11.17,11.35,10900
2024-02-19,11.35,11.53,11.35,11.53,123130
2024-02-20,11.62,11.62,11.35,11.44,13638
2024-02-21,11.35,11.44,11.35,11.35,7400
2024-02-22,11.44,11.44,11.35,11.35,470
2024-02-23,11.35,11.44,11.26,11.26,20900
2024-02-26,11.35,11.44,11.26,11.44,16700
2024-02-27,11.44,11.44,11.44,11.44,6600
2024-02-28,11.53,11.62,11.53,11.53,38700
2024-02-29,11.44,11.53,11.44,11.53,162101
2024-03-01,11.53,11.53,11.53,11.53,10200
2024-03-04,11.53,11.53,11.44,11.44,12600
2024-03-05,11.35,11.53,11.35,11.53,13800
2024-03-06,11.53,11.53,11.35,11.44,8800
2024-03-07,11.44,11.62,11.44,11.44,16020
2024-03-08,11.44,11.44,11.44,11.44,4121
2024-03-11,11.35,11.35,11.26,11.35,26650
2024-03-12,11.26,11.35,11.26,11.35,8700
2024-03-13,11.35,11.53,11.35,11.53,21335
2024-03-14,11.53,11.53,11.26,11.53,2640
2024-03-15,11.53,11.62,11.53,11.53,11362
2024-03-18,11.35,11.44,11.26,11.44,14700
2024-03-19,11.44,11.53,11.44,11.53,4500
2024-03-20,11.53,11.53,11.53,11.53,1531
2024-03-21,11.53,11.62,11.44,11.62,13800
2024-03-22,11.53,11.62,11.53,11.62,36400
2024-03-25,11.62,11.62,11.62,11.62,700
2024-03-26,11.35,11.62,11.35,11.62,4200
2024-03-27,11.71,11.71,11.62,11.71,19500
2024-03-28,11.71,12.69,11.71,12.42,165906
2024-03-29,12.51,12.6,12.33,12.33,75500
2024-04-01,12.15,12.15,11.97,11.97,61502
