date,open,high,low,close,volume
2023-09-13,7.81,7.81,7.81,7.81,0
2023-09-14,8.17,8.26,7.9,7.9,500
2023-09-15,8.08,8.08,8.08,8.08,0
2023-09-18,8.08,8.08,8.08,8.08,0
2023-09-19,7.35,7.44,7.35,7.44,2400
2023-09-20,7.44,7.44,7.44,7.44,0
2023-09-21,7.44,7.44,7.44,7.44,0
2023-09-22,7.81,7.81,7.63,7.63,2700
2023-09-25,7.81,7.81,7.63,7.63,5000
2023-09-26,7.63,7.99,7.63,7.99,15100
2023-09-27,7.9,7.9,7.9,7.9,2500
2023-09-28,7.9,7.9,7.9,7.9,0
2023-09-29,7.63,8.44,7.63,8.44,300
2023-10-02,7.99,7.99,7.99,7.99,100
2023-10-03,7.99,7.99,7.99,7.99,0
2023-10-04,7.99,7.99,7.63,7.63,3300
2023-10-05,7.63,7.63,7.63,7.63,0
2023-10-06,7.81,7.81,7.81,7.81,800
2023-10-09,7.81,7.81,7.81,7.81,0
2023-10-10,7.81,7.81,7.81,7.81,0
2023-10-11,7.81,7.81,7.81,7.81,0
2023-10-12,7.81,7.81,7.81,7.81,0
2023-10-13,7.81,7.81,7.81,7.81,0
2023-10-16,7.81,7.81,7.81,7.81,0
2023-10-17,7.81,7.81,7.81,7.81,0
2023-10-18,7.81,7.81,7.81,7.81,0
2023-10-19,7.81,7.81,7.81,7.81,0
2023-10-20,7.81,7.81,7.81,7.81,0
2023-10-23,7.81,7.81,7.81,7.81,0
2023-10-24,7.81,7.81,7.81,7.81,0
2023-10-25,7.81,7.81,7.81,7.81,0
2023-10-26,7.63,7.63,7.53,7.53,200
2023-10-27,8.62,8.62,8.62,8.62,100
2023-10-30,8.62,8.62,8.62,8.62,0
2023-10-31,8.62,8.62,8.62,8.62,0
2023-11-01,8.62,8.62,8.62,8.62,0
2023-11-02,8.62,8.62,8.62,8.62,0
2023-11-03,8.62,8.62,8.62,8.62,0
2023-11-06,8.62,8.62,8.62,8.62,0
2023-11-07,8.62,8.62,8.62,8.62,5000
2023-11-08,8.62,8.62,8.62,8.62,0
2023-11-09,8.62,8.62,8.62,8.62,200
2023-11-10,8.62,8.62,8.62,8.62,0
2023-11-13,7.81,7.81,7.81,7.81,2100
2023-11-14,7.81,7.81,7.81,7.81,0
2023-11-15,7.81,7.99,7.81,7.99,3300
2023-11-16,7.81,7.81,7.81,7.81,0
2023-11-17,7.99,7.99,7.99,7.99,200
2023-11-20,7.81,8.81,7.81,7.99,3100
2023-11-21,8.26,8.26,8.26,8.26,0
2023-11-22,8.08,8.08,8.08,8.08,2000
2023-11-23,8.08,8.08,8.08,8.08,0
2023-11-24,8.08,8.08,8.08,8.08,0
2023-11-27,8.08,8.08,8.08,8.08,1700
2023-11-28,8.08,8.08,8.08,8.08,0
2023-11-29,8.08,8.08,8.08,8.08,0
2023-11-30,8.08,8.08,8.08,8.08,0
2023-12-01,8.08,8.08,8.08,8.08,0
2023-12-04,8.08,8.08,8.08,8.08,0
2023-12-05,9.08,9.08,9.08,9.08,300
2023-12-06,7.99,7.99,7.99,7.99,100
2023-12-07,7.99,7.99,7.99,7.99,0
2023-12-08,8.62,8.62,8.62,8.62,3200
2023-12-11,8.62,8.62,8.62,8.62,3000
2023-12-12,8.62,8.62,8.62,8.62,1000
2023-12-13,7.35,7.35,7.35,7.35,100
2023-12-14,8.44,8.44,8.44,8.44,2000
2023-12-15,8.44,8.44,8.44,8.44,0
2023-12-18,8.44,8.44,8.44,8.44,0
2023-12-19,8.44,8.44,8.44,8.44,0
2023-12-20,8.44,8.44,8.44,8.44,1000
2023-12-21,8.44,8.44,8.44,8.44,0
2023-12-22,8.44,8.44,8.44,8.44,0
2023-12-25,8.44,8.44,8.44,8.44,24
2023-12-26,8.44,8.44,8.44,8.44,0
2023-12-27,8.44,8.44,8.44,8.44,8
2023-12-28,8.44,8.44,8.44,8.44,0
2023-12-29,8.62,8.62,8.62,8.62,5900
2024-01-02,8.62,8.62,8.62,8.62,3900
2024-01-03,8.62,8.62,8.62,8.62,8
2024-01-04,8.62,8.62,8.62,8.62,1100
2024-01-05,8.62,8.62,8.62,8.62,0
2024-01-08,8.62,8.62,8.62,8.62,0
2024-01-09,8.62,8.62,8.62,8.62,0
2024-01-10,8.62,8.62,8.62,8.62,2000
2024-01-11,8.62,8.62,8.62,8.62,5000
2024-01-12,8.62,8.71,8.62,8.71,3500
2024-01-15,8.71,8.71,8.62,8.62,4200
2024-01-16,8.62,8.62,8.62,8.62,0
2024-01-17,8.62,8.62,8.62,8.62,0
2024-01-18,8.62,8.62,8.62,8.62,0
2024-01-19,8.62,8.62,8.62,8.62,0
2024-01-22,8.62,8.62,8.62,8.62,0
2024-01-23,8.62,8.62,8.62,8.62,0
2024-01-24,7.44,8.35,7.44,8.35,4700
2024-01-25,7.99,7.99,7.99,7.99,0
2024-01-26,7.99,7.99,7.99,7.99,0
2024-01-29,9.08,9.08,9.08,9.08,5000
2024-01-30,8.81,8.81,8.81,8.81,400
2024-01-31,8.81,8.81,8.81,8.81,0
2024-02-01,8.81,8.81,8.81,8.81,0
2024-02-02,8.71,8.71,8.71,8.71,1000
2024-02-05,8.71,8.71,8.71,8.71,0
2024-02-06,8.71,8.71,8.71,8.71,0
2024-02-07,8.71,8.71,8.71,8.71,0
2024-02-15,8.71,8.71,8.71,8.71,0
2024-02-16,8.71,8.71,8.71,8.71,0
2024-02-19,8.99,8.99,8.99,8.99,200
2024-02-20,8.99,8.99,8.99,8.99,0
2024-02-21,8.99,8.99,8.99,8.99,0
2024-02-22,8.99,8.99,8.99,8.99,0
2024-02-23,8.99,8.99,8.99,8.99,0
2024-02-26,8.99,8.99,8.99,8.99,0
2024-02-27,8.99,8.99,8.99,8.99,0
2024-02-28,9.08,9.08,9.08,9.08,200
2024-02-29,9.08,9.08,9.08,9.08,0
2024-03-01,9.08,9.08,9.08,9.08,100
2024-03-04,8.81,8.81,8.81,8.81,600
2024-03-05,8.9,8.9,8.9,8.9,108
2024-03-06,9.17,9.17,9.17,9.17,400
2024-03-07,10.08,10.08,10.08,10.08,100
2024-03-08,8.9,8.9,8.9,8.9,2300
2024-03-11,8.81,8.81,8.81,8.81,500
2024-03-12,8.81,8.81,8.81,8.81,0
2024-03-13,8.9,8.9,8.9,8.9,2000
2024-03-14,8.9,8.9,8.9,8.9,0
2024-03-15,8.9,8.9,8.9,8.9,0
2024-03-18,8.9,8.9,8.9,8.9,10000
2024-03-19,8.9,8.9,8.9,8.9,15
2024-03-20,8.9,8.9,8.9,8.9,0
2024-03-21,8.9,8.9,8.9,8.9,0
2024-03-22,9.08,9.08,9.08,9.08,100
2024-03-25,9.08,9.08,9.08,9.08,0
2024-03-26,9.08,9.08,9.08,9.08,0
2024-03-27,9.08,9.08,9.08,9.08,0
2024-03-28,10.17,10.17,10.17,10.17,600
2024-03-29,10.17,10.17,10.17,10.17,0
2024-04-01,8.81,8.81,8.81,8.81,3000
2024-04-02,8.81,8.81,8.81,8.81,0
2024-04-03,8.81,8.81,8.81,8.81,0
2024-04-04,8.17,9.26,8.17,9.26,3100
2024-04-05,9.35,9.35,9.35,9.35,100
2024-04-08,9.35,9.35,9.35,9.35,0
