date,open,high,low,close,volume
2024-01-30,21.71,21.97,21.42,21.84,822192
2024-01-31,21.84,21.84,20.82,21.29,1027487
2024-02-01,21.2,21.97,20.95,21.88,1373916
2024-02-02,22.22,22.22,21.2,21.25,1045662
2024-02-05,21.33,21.46,21.03,21.12,494610
2024-02-06,21.2,21.33,20.99,21.16,721199
2024-02-07,21.08,21.29,20.86,21.2,728091
2024-02-15,21.46,21.46,20.91,20.91,407430
2024-02-16,21.12,21.54,20.86,21.12,488092
2024-02-19,21.29,21.29,20.82,20.95,417533
2024-02-20,21.12,21.46,20.95,21.42,1052912
2024-02-21,21.54,22.9,21.5,22.9,4016621
2024-02-22,23.37,23.92,23.2,23.41,1302970
2024-02-23,23.54,23.62,22.56,22.56,1632512
2024-02-26,22.6,23.41,22.6,23.11,1339882
2024-02-27,23.24,24.13,22.98,24.0,1075458
2024-02-28,24.0,24.17,23.24,23.41,1068851
2024-02-29,23.41,23.75,22.65,23.03,1107780
2024-03-01,23.2,23.54,23.03,23.15,630727
2024-03-04,23.24,24.77,23.24,24.77,1958946
2024-03-05,25.02,25.02,24.21,24.26,714157
2024-03-06,24.21,24.26,23.28,23.54,914349
2024-03-07,23.54,24.0,23.41,23.71,926879
2024-03-08,23.88,24.09,23.11,23.24,1129354
2024-03-11,23.32,23.71,22.73,22.73,710222
2024-03-12,22.73,23.92,22.56,23.58,981274
2024-03-13,23.92,24.26,23.71,23.88,1015079
2024-03-14,23.92,24.72,23.32,23.58,1360684
2024-03-15,23.58,23.88,23.15,23.83,910946
2024-03-18,23.96,24.13,22.18,22.18,2730973
2024-03-19,22.26,22.39,21.84,22.01,747958
2024-03-20,22.01,22.39,21.8,22.31,509284
2024-03-21,22.65,22.65,22.22,22.22,1129127
2024-03-22,22.31,23.03,22.31,22.73,1253387
2024-03-25,22.77,22.82,22.22,22.26,681445
2024-03-26,22.26,23.03,22.22,22.98,781343
2024-03-27,22.86,22.98,22.65,22.69,486903
2024-03-28,22.9,22.94,22.56,22.56,427426
2024-03-29,22.56,22.9,22.35,22.39,513771
2024-04-01,22.31,22.48,21.97,22.22,792687
2024-04-02,22.18,22.65,22.01,22.6,611348
2024-04-03,22.6,22.82,22.05,22.18,527351
2024-04-04,22.18,22.18,21.63,21.67,928961
2024-04-05,21.46,21.59,21.16,21.25,746377
2024-04-08,21.5,21.5,20.61,20.61,371066
2024-04-09,20.61,21.2,20.61,21.2,464612
2024-04-10,21.29,21.29,20.99,21.03,216520
2024-04-11,20.95,21.08,20.61,21.08,374281
2024-04-12,21.2,21.25,20.91,21.03,316653
2024-04-15,20.91,20.95,19.59,19.59,762386
2024-04-16,19.59,19.59,18.74,19.0,810034
2024-04-17,19.21,19.38,18.7,18.7,413900
2024-04-19,18.66,19.17,18.57,18.7,652835
2024-04-22,19.04,19.17,18.83,19.13,150433
2024-04-23,19.17,19.21,18.7,18.74,275260
2024-04-24,19.34,19.68,19.17,19.68,283256
2024-04-25,19.59,20.31,19.55,19.85,426340
2024-04-26,19.72,19.93,19.51,19.76,160101
2024-05-02,20.1,20.1,19.55,19.76,181161
2024-05-03,19.85,19.93,19.59,19.63,245748
2024-05-06,19.72,20.36,19.68,20.27,405662
2024-05-07,20.27,20.27,20.06,20.27,147315
2024-05-08,20.19,20.86,20.02,20.23,197333
2024-05-09,20.27,20.53,20.1,20.19,205901
2024-05-10,20.19,20.27,19.76,20.19,145690
2024-05-13,20.27,20.27,19.97,20.02,150572
2024-05-14,20.1,20.53,20.1,20.19,160623
2024-05-15,20.19,20.53,20.1,20.36,326311
2024-05-16,20.57,20.78,20.44,20.61,271454
2024-05-17,20.65,20.95,20.48,20.86,329021
2024-05-20,20.91,21.33,20.86,20.99,592136
2024-05-21,21.03,21.21,20.6,20.99,320080
2024-05-22,21.29,21.81,21.29,21.51,941406
2024-05-23,21.46,21.46,21.08,21.38,278571
2024-05-24,21.03,21.29,20.22,20.52,672471
2024-05-27,20.6,20.99,20.52,20.52,176110
2024-05-28,20.82,21.12,20.73,21.12,334027
2024-05-29,21.12,21.21,20.82,20.86,289190
2024-05-30,20.65,20.78,20.22,20.65,402514
2024-05-31,20.69,20.73,20.43,20.48,185100
2024-06-03,20.95,20.95,20.69,20.73,220747
2024-06-04,20.73,21.03,20.73,20.86,264439
2024-06-05,20.78,21.64,20.78,21.33,859592
2024-06-06,21.33,21.46,20.91,20.99,268315
2024-06-07,21.03,21.25,20.86,21.08,243090
2024-06-10,21.16,21.38,21.12,21.21,405993
2024-06-11,21.38,21.38,20.73,20.91,502027
2024-06-12,20.99,21.12,20.73,21.12,203087
2024-06-13,21.25,21.29,20.95,20.95,252147
2024-06-14,20.95,21.46,20.69,20.69,690658
2024-06-17,20.73,20.91,20.52,20.52,305446
2024-06-18,20.52,20.99,20.52,20.86,253753
2024-06-19,20.69,21.03,20.39,20.43,383637
2024-06-20,20.43,20.6,20.26,20.26,292134
2024-06-21,20.26,21.29,20.26,21.12,766545
