date,open,high,low,close,volume
2024-01-22,41.97,42.45,41.12,41.12,15900
2024-01-23,41.12,41.22,40.56,41.22,1200
2024-01-24,41.5,41.88,40.09,40.94,8900
2024-01-25,41.5,41.5,40.18,41.22,1802
2024-01-26,40.56,41.31,40.56,41.22,14413
2024-01-29,41.31,45.28,41.31,45.28,54123
2024-01-30,49.8,49.8,48.1,49.8,158012
2024-01-31,54.71,54.71,54.71,54.71,39121
2024-02-01,60.18,60.18,55.27,55.27,118307
2024-02-02,55.93,58.01,55.37,56.41,71997
2024-02-05,55.65,59.23,55.65,57.63,64860
2024-02-06,59.42,59.42,56.97,57.54,18600
2024-02-07,57.16,58.48,56.88,57.63,12628
2024-02-15,58.29,58.39,55.08,55.08,30801
2024-02-16,55.08,56.59,55.08,55.08,58013
2024-02-19,55.08,55.74,54.14,54.99,47330
2024-02-20,54.99,55.46,53.86,54.14,37307
2024-02-21,54.61,56.22,53.76,55.84,110200
2024-02-22,56.31,58.95,56.31,58.01,60595
2024-02-23,57.07,58.2,55.65,57.07,33101
2024-02-26,57.07,57.07,55.65,57.07,39700
2024-02-27,56.22,56.59,55.74,55.93,17202
2024-02-28,56.12,56.12,55.56,56.03,20600
2024-02-29,56.03,56.5,54.71,55.27,25603
2024-03-01,55.27,56.12,55.18,56.12,23364
2024-03-04,56.59,56.59,55.93,56.12,14925
2024-03-05,56.12,56.12,54.71,55.93,26104
2024-03-06,55.18,55.65,54.71,55.08,15201
2024-03-07,55.56,56.59,55.08,55.18,24527
2024-03-08,54.8,55.65,54.71,55.46,12100
2024-03-11,55.46,56.03,55.08,55.18,11623
2024-03-12,55.18,56.12,55.18,56.03,17602
2024-03-13,55.93,61.31,55.93,58.48,62995
2024-03-14,58.57,61.12,58.57,59.61,16500
2024-03-15,59.61,59.61,58.48,59.05,10112
2024-03-18,58.48,58.48,55.65,58.29,43932
2024-03-19,58.29,58.39,57.54,58.1,2800
2024-03-20,59.05,60.93,58.1,58.39,2881
2024-03-21,58.39,58.48,57.07,58.2,20400
2024-03-22,58.29,58.29,57.54,57.82,22806
2024-03-25,57.82,57.91,57.07,57.54,9630
2024-03-26,56.59,57.91,56.59,57.91,7305
2024-03-27,58.01,63.67,58.01,63.01,115230
2024-03-28,63.01,67.06,62.91,66.97,88621
2024-03-29,67.91,68.76,66.03,66.97,58100
2024-04-01,67.16,68.1,66.87,67.82,41520
2024-04-02,67.91,67.91,61.4,67.35,34305
2024-04-03,67.82,68.76,67.16,68.1,25850
2024-04-04,68.38,74.89,68.38,74.52,64051
2024-04-05,74.52,79.8,73.67,79.61,39589
2024-04-08,83.95,87.53,83.95,87.34,74692
2024-04-09,87.72,89.51,84.89,85.55,44171
2024-04-10,84.98,85.74,79.23,81.12,64499
2024-04-11,81.5,82.34,81.12,82.34,12665
2024-04-12,82.63,83.85,82.53,82.82,31848
2024-04-15,83.66,83.66,78.48,78.48,52247
2024-04-16,78.19,79.99,77.44,79.7,34748
2024-04-17,81.02,81.02,79.23,80.17,19677
2024-04-19,80.17,80.83,79.23,79.23,39600
2024-04-22,79.7,80.08,76.87,77.34,24396
2024-04-23,78.29,78.29,77.16,77.16,18925
2024-04-24,77.34,78.1,77.34,77.44,20901
2024-04-25,76.87,76.87,74.42,75.93,28610
2024-04-26,75.46,75.46,68.38,68.38,175814
2024-05-02,61.69,68.38,61.59,66.97,125568
2024-05-03,67.91,67.91,62.25,66.03,35873
2024-05-06,66.03,67.82,64.71,66.97,49851
2024-05-07,67.91,70.65,66.97,67.91,24443
2024-05-08,67.91,69.14,67.16,68.86,17404
2024-05-09,69.8,71.69,69.14,70.27,36857
2024-05-10,69.8,70.46,69.33,70.18,13776
2024-05-13,70.18,70.18,68.86,68.86,9706
2024-05-14,68.86,68.86,67.16,67.16,22696
2024-05-15,65.93,67.72,65.93,67.25,12960
2024-05-16,67.25,67.35,65.84,66.03,15757
2024-05-17,66.03,67.35,66.03,66.5,24085
2024-05-20,66.5,68.57,66.03,68.57,56622
2024-05-21,68.48,68.57,66.97,67.25,14703
2024-05-22,66.12,66.97,66.03,66.12,40390
2024-05-23,65.84,66.03,65.18,65.84,27999
2024-05-24,65.84,65.84,63.2,64.89,30010
2024-05-27,65.46,67.06,65.46,67.06,38398
2024-05-28,67.06,67.06,66.03,66.5,19109
2024-05-29,66.69,67.54,66.03,66.03,43232
2024-05-30,66.13,66.32,65.35,66.32,30858
2024-05-31,66.32,66.32,65.06,65.54,6726
2024-06-03,66.03,67.48,65.83,66.32,26300
2024-06-04,66.32,72.92,66.32,72.92,77408
2024-06-05,76.71,80.2,74.09,74.09,37983
2024-06-06,74.77,74.77,69.91,71.95,23060
2024-06-07,71.47,72.73,70.69,72.24,27302
2024-06-10,71.85,73.31,65.93,72.63,20827
2024-06-11,72.63,72.63,71.47,72.63,14637
2024-06-12,71.95,74.48,71.85,74.48,26471
2024-06-13,74.18,76.71,74.18,76.51,15662
2024-06-14,75.35,75.64,74.67,75.06,7911
2024-06-17,74.96,75.74,74.09,75.06,19521
2024-06-18,75.06,77.58,75.06,77.1,31621
2024-06-19,77.0,77.19,76.22,76.81,34239
2024-06-20,76.81,78.07,76.81,78.07,26003
2024-06-21,78.07,83.8,78.07,82.92,46279
2024-06-24,81.76,82.92,79.62,79.62,39502
2024-06-25,79.62,82.54,79.62,82.54,18401
2024-06-26,80.69,83.31,80.2,81.56,11429
2024-06-27,81.56,82.05,80.69,81.56,37556
2024-06-28,82.54,86.61,81.08,81.56,13101
2024-07-01,81.08,81.08,78.17,79.52,18733
2024-07-02,79.14,82.34,78.75,80.69,25005
2024-07-03,80.69,80.69,79.62,79.62,40320
2024-07-04,79.62,79.91,78.26,79.62,28198
2024-07-05,80.59,81.56,79.62,80.98,13873
2024-07-08,79.91,80.98,79.91,80.11,53541
2024-07-09,72.15,82.54,72.15,81.66,42395
2024-07-10,81.66,87.68,81.66,87.68,66827
2024-07-11,87.39,88.85,85.64,85.64,39247
2024-07-12,86.03,86.32,84.87,85.06,11083
2024-07-15,85.16,89.82,84.96,88.65,54925
2024-07-16,89.14,90.3,88.36,90.3,47575
2024-07-17,91.27,97.0,88.36,91.18,76938
2024-07-18,91.27,92.15,88.46,89.82,13687
2024-07-19,91.27,94.19,90.3,92.24,6113
2024-07-22,92.15,92.24,87.39,88.85,28763
2024-07-23,87.88,88.65,86.52,86.61,12000
2024-07-24,86.42,87.29,83.6,87.29,17779
2024-07-25,86.52,87.2,85.06,87.2,19690
2024-07-26,85.45,87.0,85.45,86.42,9211
2024-07-29,86.42,86.42,84.19,84.19,23546
2024-07-30,75.84,75.84,75.84,75.84,52215
2024-07-31,69.91,73.7,68.26,73.41,55660
2024-08-01,73.41,73.41,68.94,69.33,33907
2024-08-02,68.94,68.94,67.1,67.39,38931
2024-08-05,66.03,67.97,63.79,64.18,40183
2024-08-06,64.18,66.42,64.18,65.83,25700
2024-08-07,65.83,67.97,65.83,67.97,12482
2024-08-08,69.43,69.43,67.78,67.87,6654
2024-08-09,67.87,68.84,67.87,68.84,7728
2024-08-12,68.84,70.4,68.84,70.4,14417
2024-08-13,69.43,69.43,68.46,68.65,5170
2024-08-14,68.94,68.94,67.97,67.97,4907
2024-08-15,67.97,67.97,66.51,66.51,16536
2024-08-16,66.13,68.46,66.03,68.46,6315
2024-08-19,68.46,69.62,67.39,68.94,11421
2024-08-20,68.94,69.04,68.65,68.65,3800
2024-08-21,68.75,69.52,68.07,69.23,10836
2024-08-22,68.94,69.04,68.55,69.04,4000
2024-08-23,69.14,69.14,68.46,69.14,5500
2024-08-26,68.94,68.94,68.65,68.84,4602
2024-08-27,68.07,68.84,68.07,68.36,4650
2024-08-28,68.94,68.94,68.46,68.84,15038
2024-08-29,68.55,69.04,68.55,69.04,5802
2024-08-30,68.84,69.23,68.65,68.65,11000
2024-09-04,68.65,68.65,67.48,67.48,9868
2024-09-05,67.58,67.97,67.48,67.58,24300
2024-09-06,67.58,67.58,67.1,67.48,6800
2024-09-09,67.1,67.29,66.22,66.32,14731
2024-09-10,66.42,66.42,66.03,66.22,5600
2024-09-11,66.22,66.22,65.45,66.13,4800
2024-09-12,67.48,67.97,67.1,67.19,1979
2024-09-13,67.0,67.0,66.51,66.51,1302
2024-09-16,59.91,66.8,59.91,66.32,13218
2024-09-17,66.32,66.32,65.06,66.03,24400
2024-09-18,66.03,67.48,66.03,66.03,1300
2024-09-19,66.03,66.8,65.54,66.8,8130
2024-09-20,66.8,67.48,65.06,66.8,15394
2024-09-23,66.8,66.8,65.74,66.13,9413
2024-09-24,66.03,66.8,65.54,66.51,13800
2024-09-25,66.03,66.42,65.93,65.93,2940
2024-09-26,65.93,67.58,65.83,66.51,30002
2024-09-27,66.51,66.51,65.83,65.83,1450
2024-09-30,65.83,65.83,64.09,65.74,28507
2024-10-01,65.74,65.74,64.57,65.54,21129
2024-10-02,65.93,66.03,65.15,65.15,5900
2024-10-03,65.15,65.93,64.57,65.45,1480
2024-10-04,65.15,65.15,64.57,64.57,1900
2024-10-07,64.28,65.06,63.7,64.57,12509
2024-10-08,64.57,65.06,64.57,65.06,5600
2024-10-09,65.54,65.93,65.06,65.45,3900
2024-10-10,65.45,65.83,65.15,65.83,2010
2024-10-11,66.03,66.03,65.93,65.93,601
2024-10-14,66.03,66.32,66.03,66.13,542
2024-10-15,65.45,65.54,65.06,65.06,6825
2024-10-16,64.96,64.96,64.57,64.86,5400
2024-10-17,64.09,65.06,63.89,63.89,7900
2024-10-18,64.67,64.86,64.67,64.86,2200
2024-10-21,64.86,64.86,64.18,64.18,6000
2024-10-22,64.09,64.57,63.6,64.57,8900
2024-10-23,64.47,64.47,64.18,64.18,3600
