date,open,high,low,close,volume
2023-08-09,8.09,8.09,8.09,8.09,0
2023-08-10,8.18,8.18,8.09,8.09,4004
2023-08-11,8.09,8.09,8.09,8.09,0
2023-08-14,8.09,8.09,8.09,8.09,5
2023-08-15,8.09,8.09,8.09,8.09,1600
2023-08-16,8.09,8.09,8.09,8.09,600
2023-08-17,8.09,8.09,8.09,8.09,0
2023-08-18,8.09,8.09,7.92,7.92,600
2023-08-21,7.92,7.92,7.92,7.92,2200
2023-08-22,7.92,7.92,7.92,7.92,0
2023-08-23,7.92,7.92,7.92,7.92,0
2023-08-24,7.92,7.92,7.92,7.92,1004
2023-08-25,7.92,7.92,7.92,7.92,505
2023-08-28,7.92,7.92,7.92,7.92,300
2023-08-29,7.92,7.92,7.92,7.92,0
2023-08-30,8.01,8.01,8.01,8.01,200
2023-08-31,8.01,8.01,8.01,8.01,0
2023-09-05,8.01,8.01,8.01,8.01,0
2023-09-06,8.01,8.01,8.01,8.01,400
2023-09-07,8.01,8.01,8.01,8.01,0
2023-09-08,8.01,8.01,8.01,8.01,15
2023-09-11,8.01,8.01,8.01,8.01,6
2023-09-12,8.09,8.09,8.09,8.09,909
2023-09-13,8.01,8.01,8.01,8.01,1000
2023-09-14,7.92,7.92,7.92,7.92,300
2023-09-15,8.27,8.27,8.09,8.09,1204
2023-09-18,8.09,8.09,8.09,8.09,0
2023-09-19,8.09,8.09,8.09,8.09,0
2023-09-20,8.09,8.09,8.09,8.09,1
2023-09-21,8.01,8.01,7.92,7.92,6500
2023-09-22,7.92,7.92,7.92,7.92,1
2023-09-25,7.92,7.92,7.92,7.92,0
2023-09-26,7.92,7.92,7.92,7.92,1
2023-09-27,7.92,7.92,7.92,7.92,201
2023-09-28,7.92,7.92,7.92,7.92,201
2023-09-29,7.92,7.92,7.92,7.92,0
2023-10-02,7.92,7.92,7.92,7.92,100
2023-10-03,7.92,7.92,7.92,7.92,0
2023-10-04,7.92,7.92,7.92,7.92,0
2023-10-05,7.92,7.92,7.92,7.92,1
2023-10-06,7.92,7.92,7.92,7.92,0
2023-10-09,7.92,7.92,7.92,7.92,32
2023-10-10,7.83,7.83,7.83,7.83,502
2023-10-11,7.83,7.83,7.83,7.83,0
2023-10-12,7.83,7.83,7.83,7.83,3
2023-10-13,7.83,7.83,7.83,7.83,0
2023-10-16,7.83,7.83,7.83,7.83,0
2023-10-17,7.83,7.83,7.83,7.83,0
2023-10-18,7.83,7.83,7.83,7.83,0
2023-10-19,7.83,7.83,7.83,7.83,0
2023-10-20,7.83,7.83,7.83,7.83,0
2023-10-23,7.83,7.83,7.83,7.83,0
2023-10-24,8.09,8.09,8.09,8.09,1200
2023-10-25,8.09,8.09,7.92,7.92,1500
2023-10-26,7.92,7.92,7.57,7.57,1500
2023-10-27,7.57,7.57,7.57,7.57,0
2023-10-30,7.57,7.57,7.57,7.57,0
2023-10-31,7.57,7.57,7.57,7.57,0
2023-11-01,7.74,7.74,7.74,7.74,200
2023-11-02,8.18,8.18,8.18,8.18,100
2023-11-03,8.18,8.18,8.18,8.18,0
2023-11-06,8.18,8.18,8.18,8.18,1
2023-11-07,8.18,8.18,8.18,8.18,0
2023-11-08,8.18,8.18,8.18,8.18,0
2023-11-09,8.09,8.09,8.09,8.09,200
2023-11-10,8.09,8.09,8.09,8.09,5
2023-11-13,8.09,8.09,8.09,8.09,100
2023-11-14,8.18,8.18,8.18,8.18,1100
2023-11-15,8.09,8.09,8.09,8.09,400
2023-11-16,8.09,8.09,8.09,8.09,0
2023-11-17,7.92,7.92,7.92,7.92,4000
2023-11-20,7.92,7.92,7.92,7.92,0
2023-11-21,7.92,7.92,7.92,7.92,0
2023-11-22,7.92,7.92,7.92,7.92,0
2023-11-23,7.92,7.92,7.92,7.92,0
2023-11-24,7.92,7.92,7.92,7.92,0
2023-11-27,8.09,8.09,8.09,8.09,100
2023-11-28,8.09,8.09,8.09,8.09,100
2023-11-29,8.09,8.09,8.09,8.09,0
2023-11-30,8.09,8.09,8.09,8.09,2
2023-12-01,8.18,8.18,8.18,8.18,108
2023-12-04,8.09,8.09,8.09,8.09,100
2023-12-05,8.09,8.09,8.01,8.01,300
2023-12-06,8.01,8.01,8.01,8.01,0
2023-12-07,7.92,7.92,7.92,7.92,1700
2023-12-08,7.92,7.92,7.92,7.92,0
2023-12-11,7.92,7.92,7.92,7.92,1200
2023-12-12,7.92,7.92,7.92,7.92,300
2023-12-13,7.92,7.92,7.92,7.92,0
2023-12-14,7.92,7.92,7.92,7.92,0
2023-12-15,7.92,7.92,7.92,7.92,0
2023-12-18,7.92,7.92,7.92,7.92,0
2023-12-19,7.92,7.92,7.92,7.92,0
2023-12-20,7.92,7.92,7.92,7.92,0
2023-12-21,7.92,7.92,7.92,7.92,0
2023-12-22,7.92,7.92,7.92,7.92,0
2023-12-25,7.92,7.92,7.92,7.92,0
2023-12-26,7.92,7.92,7.92,7.92,0
2023-12-27,7.92,7.92,7.92,7.92,0
2023-12-28,7.92,7.92,7.92,7.92,0
2023-12-29,7.92,7.92,7.92,7.92,0
2024-01-02,7.92,7.92,7.92,7.92,546
2024-01-03,7.92,7.92,7.92,7.92,100
2024-01-04,7.92,7.92,7.92,7.92,0
2024-01-05,7.92,7.92,7.92,7.92,0
2024-01-08,8.09,8.09,8.09,8.09,100
2024-01-09,8.09,8.09,8.09,8.09,0
2024-01-10,8.18,8.18,8.09,8.09,200
2024-01-11,8.01,8.09,8.01,8.09,400
2024-01-12,8.01,8.01,8.01,8.01,100
2024-01-15,8.01,8.01,8.01,8.01,0
2024-01-16,8.01,8.01,8.01,8.01,101
2024-01-17,8.01,8.01,8.01,8.01,200
2024-01-18,8.01,8.01,8.01,8.01,0
2024-01-19,8.01,8.01,8.01,8.01,400
2024-01-22,8.01,8.01,7.92,7.92,500
2024-01-23,7.92,7.92,7.92,7.92,100
2024-01-24,7.92,7.92,7.92,7.92,0
2024-01-25,7.92,7.92,7.92,7.92,0
2024-01-26,7.92,7.92,7.92,7.92,0
2024-01-29,7.92,7.92,7.92,7.92,0
2024-01-30,8.01,8.01,8.01,8.01,400
2024-01-31,8.01,8.01,8.01,8.01,100
2024-02-01,8.01,8.01,8.01,8.01,0
2024-02-02,8.01,8.01,8.01,8.01,0
2024-02-05,8.01,8.01,8.01,8.01,0
2024-02-06,8.01,8.01,8.01,8.01,0
2024-02-07,8.01,8.01,8.01,8.01,0
2024-02-15,8.01,8.01,8.01,8.01,0
2024-02-16,8.18,8.18,8.18,8.18,101
2024-02-19,8.18,8.18,8.18,8.18,0
2024-02-20,8.01,8.01,8.01,8.01,300
2024-02-21,8.01,8.18,8.01,8.18,9000
2024-02-22,8.27,8.27,8.18,8.18,1100
2024-02-23,8.18,8.18,8.18,8.18,100
2024-02-26,8.18,8.18,8.18,8.18,0
2024-02-27,8.18,8.18,8.18,8.18,0
2024-02-28,8.18,8.18,8.18,8.18,0
2024-02-29,8.18,8.18,8.18,8.18,0
2024-03-01,8.18,8.18,8.18,8.18,0
2024-03-04,8.18,8.18,8.18,8.18,0
2024-03-05,8.09,8.09,8.09,8.09,200
2024-03-06,8.09,8.09,8.09,8.09,600
2024-03-07,8.09,8.09,8.09,8.09,0
2024-03-08,8.09,8.09,8.09,8.09,0
2024-03-11,8.09,8.09,8.09,8.09,0
2024-03-12,8.09,8.09,8.09,8.09,10
2024-03-13,8.09,8.09,8.09,8.09,0
2024-03-14,8.09,8.09,8.09,8.09,0
2024-03-15,8.09,8.09,8.09,8.09,0
2024-03-18,8.09,8.09,8.09,8.09,0
2024-03-19,8.09,8.09,8.09,8.09,7
2024-03-20,8.09,8.09,8.09,8.09,10
2024-03-21,8.09,8.09,8.09,8.09,0
2024-03-22,8.09,8.09,8.09,8.09,12
2024-03-25,8.01,8.01,7.92,7.92,700
2024-03-26,8.01,8.01,8.01,8.01,900
2024-03-27,8.01,8.01,8.01,8.01,500
2024-03-28,8.18,8.18,8.18,8.18,526
2024-03-29,8.36,8.45,8.36,8.45,5100
2024-04-01,8.45,8.45,8.45,8.45,0
2024-04-02,8.09,8.09,7.92,7.92,2000
2024-04-03,7.92,7.92,7.92,7.92,0
2024-04-04,7.92,7.92,7.92,7.92,500
2024-04-05,7.92,7.92,7.92,7.92,0
2024-04-08,8.09,8.09,8.09,8.09,1100
2024-04-09,8.09,8.09,8.09,8.09,15
2024-04-10,8.09,8.09,8.09,8.09,0
2024-04-11,8.09,8.09,8.09,8.09,0
2024-04-12,8.09,8.09,8.09,8.09,0
2024-04-15,8.09,8.09,8.09,8.09,0
2024-04-16,8.09,8.09,8.09,8.09,0
2024-04-17,8.09,8.09,8.09,8.09,0
2024-04-19,8.09,8.09,8.09,8.09,0
2024-04-22,8.09,8.09,8.09,8.09,0
2024-04-23,8.09,8.09,8.09,8.09,0
2024-04-24,8.09,8.09,8.09,8.09,0
2024-04-25,8.09,8.09,8.09,8.09,0
2024-04-26,8.09,8.09,8.09,8.09,0
2024-05-02,8.09,8.09,8.09,8.09,500
2024-05-03,8.09,8.09,8.09,8.09,0
2024-05-06,8.09,8.09,8.09,8.09,0
2024-05-07,8.09,8.09,8.09,8.09,0
2024-05-08,8.09,8.09,8.09,8.09,0
2024-05-09,7.92,7.92,7.92,7.92,100
2024-05-10,7.92,7.92,7.92,7.92,0
2024-05-13,7.92,7.92,7.92,7.92,300
2024-05-14,8.27,8.27,8.18,8.18,2040
2024-05-15,8.18,8.18,8.18,8.18,0
2024-05-16,8.18,8.18,8.18,8.18,111
2024-05-17,8.18,8.18,8.18,8.18,700
2024-05-20,8.09,8.09,8.09,8.09,600
2024-05-21,8.18,8.27,8.18,8.27,400
2024-05-22,8.27,8.27,8.27,8.27,300
2024-05-23,8.36,8.36,8.36,8.36,100
2024-05-24,8.36,8.36,7.71,7.71,1200
2024-05-27,7.71,7.71,7.71,7.71,0
2024-05-28,7.99,7.99,7.99,7.99,100
2024-05-29,7.99,7.99,7.99,7.99,0
2024-05-30,7.99,7.99,7.99,7.99,0
2024-05-31,8.27,8.36,8.27,8.36,200
2024-06-03,8.27,8.36,7.99,8.36,2200
2024-06-04,8.36,8.36,8.36,8.36,0
2024-06-05,8.36,8.36,8.36,8.36,1200
2024-06-06,8.27,8.36,7.61,7.61,1700
2024-06-07,8.08,8.08,8.08,8.08,1011
2024-06-10,8.08,8.08,8.08,8.08,0
2024-06-11,8.08,8.08,8.08,8.08,2
2024-06-12,8.18,8.36,8.18,8.27,4700
2024-06-13,8.36,8.36,8.36,8.36,4408
2024-06-14,8.36,8.36,8.36,8.36,0
2024-06-17,8.27,8.27,8.27,8.27,2000
2024-06-18,8.27,8.36,8.27,8.36,7000
2024-06-19,9.12,9.12,9.12,9.12,100
2024-06-20,9.12,9.12,9.12,9.12,500
2024-06-21,9.12,9.12,9.12,9.12,0
2024-06-24,9.12,9.12,9.12,9.12,0
2024-06-25,9.12,9.12,9.12,9.12,21
2024-06-26,9.12,9.12,9.12,9.12,0
2024-06-27,9.12,9.12,9.12,9.12,0
2024-06-28,9.12,9.12,9.12,9.12,0
2024-07-01,8.36,9.12,8.36,9.12,208
2024-07-02,8.46,8.65,8.27,8.65,1000
2024-07-03,8.65,9.49,8.65,8.65,500
2024-07-04,8.65,8.65,8.65,8.65,400
2024-07-05,8.83,8.83,8.83,8.83,200
2024-07-08,8.83,8.83,8.83,8.83,6
2024-07-09,8.93,8.93,8.93,8.93,300
2024-07-10,8.93,8.93,8.93,8.93,0
2024-07-11,8.93,8.93,8.93,8.93,0
2024-07-12,8.93,8.93,8.93,8.93,1090
2024-07-15,8.93,8.93,8.93,8.93,0
2024-07-16,8.93,8.93,8.93,8.93,5
2024-07-17,8.93,8.93,8.93,8.93,5
2024-07-18,8.93,8.93,8.93,8.93,0
2024-07-19,8.93,8.93,8.93,8.93,0
2024-07-22,8.93,8.93,8.93,8.93,0
2024-07-23,8.93,8.93,8.93,8.93,0
2024-07-24,8.93,8.93,8.93,8.93,0
2024-07-25,8.93,8.93,8.93,8.93,500
2024-07-26,8.93,8.93,8.93,8.93,0
2024-07-29,8.93,8.93,8.93,8.93,0
2024-07-30,8.93,8.93,8.93,8.93,0
2024-07-31,8.93,8.93,8.93,8.93,600
2024-08-01,8.93,8.93,8.93,8.93,0
2024-08-02,8.93,8.93,8.83,8.83,4660
2024-08-05,8.83,8.83,8.83,8.83,0
2024-08-06,8.83,8.83,8.83,8.83,0
2024-08-07,8.83,8.83,8.83,8.83,0
2024-08-08,8.83,8.83,8.83,8.83,0
2024-08-09,8.93,8.93,7.99,7.99,2100
2024-08-12,7.99,7.99,7.99,7.99,2
2024-08-13,8.27,8.27,8.27,8.27,101
2024-08-14,8.27,8.27,8.27,8.27,0
2024-08-15,8.74,8.74,8.74,8.74,500
2024-08-16,8.74,8.74,8.74,8.74,0
2024-08-19,8.74,8.74,8.74,8.74,2250
2024-08-20,8.74,8.74,8.74,8.74,400
2024-08-21,7.99,7.99,7.99,7.99,261
2024-08-22,7.99,7.99,7.99,7.99,0
2024-08-23,8.46,8.46,8.46,8.46,1500
2024-08-26,8.46,8.46,8.46,8.46,0
2024-08-27,8.46,8.46,8.46,8.46,200
2024-08-28,8.27,8.27,8.27,8.27,1000
2024-08-29,8.27,8.27,8.27,8.27,0
2024-08-30,8.27,8.27,8.27,8.27,0
2024-09-04,8.27,8.27,8.27,8.27,1000
