date,open,high,low,close,volume
2023-12-06,9.55,9.55,9.55,9.55,110
2023-12-07,9.55,9.55,9.55,9.55,0
2023-12-08,9.55,9.55,9.55,9.55,0
2023-12-11,8.78,8.78,8.78,8.78,200
2023-12-12,8.78,8.78,8.78,8.78,100
2023-12-13,8.78,8.78,8.78,8.78,0
2023-12-14,8.78,8.78,8.78,8.78,0
2023-12-15,8.78,8.78,8.78,8.78,0
2023-12-18,8.78,8.78,8.78,8.78,100
2023-12-19,8.78,8.78,8.78,8.78,0
2023-12-20,8.78,8.78,8.78,8.78,0
2023-12-21,8.78,8.78,8.78,8.78,0
2023-12-22,8.78,8.78,8.78,8.78,0
2023-12-25,8.78,8.78,8.78,8.78,0
2023-12-26,8.78,8.78,8.78,8.78,0
2023-12-27,8.78,8.78,8.78,8.78,0
2023-12-28,8.78,8.78,8.78,8.78,0
2023-12-29,8.78,8.78,8.78,8.78,0
2024-01-02,8.78,8.78,8.78,8.78,0
2024-01-03,8.78,8.78,8.78,8.78,0
2024-01-04,8.78,8.78,8.78,8.78,0
2024-01-05,8.78,8.78,8.78,8.78,0
2024-01-08,8.78,8.78,8.78,8.78,0
2024-01-09,8.78,8.78,8.78,8.78,0
2024-01-10,8.78,8.78,8.78,8.78,0
2024-01-11,8.78,8.78,8.78,8.78,1800
2024-01-12,8.78,8.78,8.78,8.78,100
2024-01-15,8.78,8.78,8.78,8.78,0
2024-01-16,8.78,8.78,8.78,8.78,0
2024-01-17,8.78,8.78,8.78,8.78,0
2024-01-18,8.78,8.78,8.78,8.78,0
2024-01-19,8.78,8.78,8.78,8.78,0
2024-01-22,8.78,8.78,8.78,8.78,0
2024-01-23,9.55,9.65,9.55,9.65,1100
2024-01-24,9.65,9.65,9.65,9.65,0
2024-01-25,9.65,9.65,9.65,9.65,0
2024-01-26,9.65,9.65,9.65,9.65,400
2024-01-29,9.07,9.07,9.07,9.07,500
2024-01-30,9.55,9.65,9.55,9.65,2000
2024-01-31,9.65,9.65,9.65,9.65,0
2024-02-01,9.65,9.65,9.65,9.65,0
2024-02-02,9.65,9.65,9.65,9.65,0
2024-02-05,9.65,9.65,9.65,9.65,0
2024-02-06,9.65,9.65,9.65,9.65,1500
2024-02-07,9.65,9.65,9.65,9.65,0
2024-02-15,9.65,9.65,9.65,9.65,0
2024-02-16,9.65,9.65,9.65,9.65,0
2024-02-19,9.65,9.65,9.65,9.65,0
2024-02-20,9.65,9.65,9.65,9.65,700
2024-02-21,9.65,9.65,9.65,9.65,0
2024-02-22,9.65,9.65,9.65,9.65,0
2024-02-23,9.65,9.65,9.65,9.65,0
2024-02-26,9.65,9.65,9.65,9.65,0
2024-02-27,9.65,9.65,9.65,9.65,0
2024-02-28,9.65,9.65,9.65,9.65,0
2024-02-29,9.65,9.65,9.65,9.65,0
2024-03-01,9.65,9.65,9.65,9.65,0
2024-03-04,9.07,9.07,9.07,9.07,110
2024-03-05,9.07,9.07,9.07,9.07,0
2024-03-06,9.07,9.07,9.07,9.07,0
2024-03-07,9.07,9.07,9.07,9.07,0
2024-03-08,9.55,9.55,9.55,9.55,100
2024-03-11,9.55,9.55,9.55,9.55,0
2024-03-12,9.65,9.65,9.65,9.65,900
2024-03-13,9.65,9.65,9.65,9.65,73
2024-03-14,9.65,9.65,9.65,9.65,0
2024-03-15,9.65,9.65,9.65,9.65,300
2024-03-18,9.65,9.65,9.65,9.65,200
2024-03-19,9.65,9.65,9.65,9.65,0
2024-03-20,9.65,9.65,9.65,9.65,0
2024-03-21,8.78,9.65,8.78,9.65,900
2024-03-22,9.65,9.65,9.65,9.65,300
2024-03-25,9.65,9.65,9.65,9.65,609
2024-03-26,9.65,9.65,9.65,9.65,44
2024-03-27,10.22,10.22,10.22,10.22,100
2024-03-28,10.22,10.22,10.22,10.22,100
2024-03-29,10.22,10.22,10.22,10.22,0
2024-04-01,10.22,10.22,10.22,10.22,0
2024-04-02,10.22,10.22,10.22,10.22,0
2024-04-03,10.22,10.22,10.22,10.22,1
2024-04-04,10.22,10.22,10.22,10.22,0
2024-04-05,10.22,10.22,10.22,10.22,0
2024-04-08,9.26,10.22,9.26,10.22,900
2024-04-09,10.22,10.22,10.22,10.22,50
2024-04-10,10.22,10.22,10.22,10.22,100
2024-04-11,10.22,10.22,10.22,10.22,11
2024-04-12,10.22,10.22,10.22,10.22,0
2024-04-15,10.22,10.22,10.22,10.22,0
2024-04-16,9.26,9.26,9.26,9.26,100
2024-04-17,9.26,9.26,9.26,9.26,0
2024-04-19,10.13,10.13,10.13,10.13,100
2024-04-22,10.13,10.13,10.13,10.13,0
2024-04-23,10.13,10.13,10.13,10.13,0
2024-04-24,9.36,9.36,9.36,9.36,101
2024-04-25,9.36,9.36,9.36,9.36,19
2024-04-26,9.36,9.36,9.36,9.36,0
2024-05-02,9.36,9.36,9.36,9.36,1
2024-05-03,9.36,9.36,9.36,9.36,0
2024-05-06,9.36,9.36,9.36,9.36,0
2024-05-07,9.65,9.65,9.65,9.65,101
2024-05-08,9.65,9.65,9.65,9.65,12
2024-05-09,9.65,9.65,9.65,9.65,33
2024-05-10,10.42,10.42,10.42,10.42,200
2024-05-13,9.65,9.65,9.65,9.65,100
2024-05-14,9.65,9.65,9.65,9.65,1
2024-05-15,9.65,9.65,9.65,9.65,0
2024-05-16,10.32,10.32,10.32,10.32,300
2024-05-17,10.32,10.32,10.32,10.32,210
2024-05-20,10.42,10.42,10.42,10.42,500
2024-05-21,10.13,10.13,10.13,10.13,502
2024-05-22,10.13,10.13,10.13,10.13,0
2024-05-23,10.13,10.13,10.13,10.13,0
2024-05-24,10.13,10.13,10.13,10.13,0
2024-05-27,10.13,10.13,10.13,10.13,0
2024-05-28,10.13,10.13,10.13,10.13,501
2024-05-29,9.65,9.65,9.65,9.65,1000
2024-05-30,9.65,9.65,9.65,9.65,0
2024-05-31,9.65,9.65,9.65,9.65,0
2024-06-03,9.26,9.26,9.26,9.26,1000
2024-06-04,9.26,9.26,9.26,9.26,11
2024-06-05,9.26,9.26,9.26,9.26,5
2024-06-06,9.26,9.26,9.26,9.26,0
2024-06-07,9.26,9.26,9.26,9.26,0
2024-06-10,9.26,9.26,9.26,9.26,0
2024-06-11,9.26,9.26,9.26,9.26,0
2024-06-12,9.26,9.26,9.26,9.26,2
2024-06-13,9.36,9.36,9.26,9.26,500
2024-06-14,9.26,9.26,9.26,9.26,0
2024-06-17,10.13,10.13,10.13,10.13,200
2024-06-18,10.13,10.13,10.13,10.13,0
2024-06-19,10.13,10.13,10.13,10.13,0
2024-06-20,10.13,10.13,10.13,10.13,5
2024-06-21,10.61,10.61,10.61,10.61,147
2024-06-24,10.61,10.61,10.61,10.61,0
2024-06-25,9.55,9.55,9.55,9.55,100
2024-06-26,9.55,9.55,9.55,9.55,0
