date,open,high,low,close,volume
2023-07-19,11.26,11.26,11.26,11.26,0
2023-07-20,11.18,11.18,11.18,11.18,200
2023-07-21,11.09,11.26,11.09,11.26,3800
2023-07-24,11.18,11.18,11.09,11.09,2300
2023-07-25,11.26,11.26,11.26,11.26,2100
2023-07-26,11.26,11.26,11.26,11.26,0
2023-07-27,11.18,11.18,11.18,11.18,1000
2023-07-28,11.18,11.18,11.18,11.18,10800
2023-07-31,11.18,11.18,11.18,11.18,1000
2023-08-01,11.18,11.18,11.18,11.18,0
2023-08-02,11.18,11.18,11.18,11.18,0
2023-08-03,11.18,11.18,11.18,11.18,1000
2023-08-04,11.18,11.18,11.18,11.18,0
2023-08-07,10.74,10.74,10.74,10.74,2200
2023-08-08,10.74,10.74,10.74,10.74,0
2023-08-09,10.74,10.74,10.66,10.66,2000
2023-08-10,10.66,10.66,10.66,10.66,0
2023-08-11,10.66,10.66,10.66,10.66,0
2023-08-14,10.66,10.66,10.66,10.66,0
2023-08-15,10.66,10.66,10.66,10.66,0
2023-08-16,10.66,10.66,10.66,10.66,0
2023-08-17,10.66,10.66,10.66,10.66,0
2023-08-18,10.66,10.66,10.66,10.66,0
2023-08-21,10.66,10.66,10.66,10.66,0
2023-08-22,10.83,10.83,10.83,10.83,500
2023-08-23,10.83,10.83,10.83,10.83,0
2023-08-24,10.83,10.83,10.83,10.83,0
2023-08-25,10.83,10.83,10.83,10.83,0
2023-08-28,10.83,10.83,10.83,10.83,0
2023-08-29,9.27,9.27,9.27,9.27,200
2023-08-30,10.66,10.66,10.66,10.66,100
2023-08-31,10.66,10.66,10.66,10.66,0
2023-09-05,11.44,11.44,11.44,11.44,500
2023-09-06,9.79,9.79,9.79,9.79,200
2023-09-07,11.18,11.18,11.18,11.18,200
2023-09-08,10.83,10.83,10.83,10.83,500
2023-09-11,10.83,10.83,10.83,10.83,0
2023-09-12,10.83,10.83,10.83,10.83,0
2023-09-13,10.83,10.83,10.83,10.83,0
2023-09-14,10.83,10.83,10.83,10.83,0
2023-09-15,10.83,10.83,10.83,10.83,1
2023-09-18,10.83,10.83,10.83,10.83,0
2023-09-19,10.83,10.83,10.83,10.83,0
2023-09-20,10.83,10.83,10.83,10.83,1
2023-09-21,11.7,11.7,11.7,11.7,100
2023-09-22,11.7,11.7,11.7,11.7,0
2023-09-25,11.7,11.7,11.7,11.7,0
2023-09-26,11.7,11.7,11.7,11.7,0
2023-09-27,11.7,11.7,11.7,11.7,0
2023-09-28,11.7,11.7,11.7,11.7,0
2023-09-29,11.7,11.7,11.7,11.7,0
2023-10-02,11.7,11.7,11.7,11.7,0
2023-10-03,11.7,11.7,11.7,11.7,0
2023-10-04,11.7,11.7,11.7,11.7,0
2023-10-05,11.7,11.7,11.7,11.7,0
2023-10-06,11.7,11.7,11.7,11.7,0
2023-10-09,11.7,11.7,11.7,11.7,0
2023-10-10,11.7,11.7,11.7,11.7,0
2023-10-11,10.05,10.05,10.05,10.05,1800
2023-10-12,10.05,10.05,10.05,10.05,0
2023-10-13,10.05,10.05,10.05,10.05,0
2023-10-16,10.05,10.05,10.05,10.05,0
2023-10-17,10.05,10.05,10.05,10.05,0
2023-10-18,10.05,10.05,10.05,10.05,0
2023-10-19,10.05,10.05,10.05,10.05,0
2023-10-20,10.05,10.05,10.05,10.05,0
2023-10-23,10.05,10.05,10.05,10.05,0
2023-10-24,10.05,10.05,10.05,10.05,0
2023-10-25,10.05,10.05,10.05,10.05,0
2023-10-26,10.05,10.05,10.05,10.05,0
2023-10-27,10.05,10.05,10.05,10.05,0
2023-10-30,10.05,10.05,10.05,10.05,0
2023-10-31,10.05,10.05,10.05,10.05,0
2023-11-01,10.05,10.05,10.05,10.05,0
2023-11-02,10.05,10.05,10.05,10.05,0
2023-11-03,10.05,10.05,10.05,10.05,0
2023-11-06,10.05,10.05,10.05,10.05,0
2023-11-07,11.52,11.52,11.52,11.52,100
2023-11-08,11.61,11.61,11.61,11.61,300
2023-11-09,11.61,11.61,11.61,11.61,0
2023-11-10,11.61,11.61,11.61,11.61,0
2023-11-13,11.61,11.61,11.61,11.61,0
2023-11-14,11.61,11.61,11.61,11.61,0
2023-11-15,11.61,11.61,11.61,11.61,0
2023-11-16,11.61,11.61,11.61,11.61,0
2023-11-17,11.61,11.61,11.61,11.61,1
2023-11-20,11.61,11.61,11.61,11.61,0
2023-11-21,11.61,11.61,11.61,11.61,0
2023-11-22,11.61,11.61,11.61,11.61,1
2023-11-23,11.61,11.61,11.61,11.61,0
2023-11-24,11.61,11.61,11.61,11.61,0
2023-11-27,11.61,11.61,11.61,11.61,0
2023-11-28,11.61,11.61,11.61,11.61,0
2023-11-29,11.61,11.61,11.61,11.61,0
2023-11-30,11.61,11.61,11.61,11.61,0
2023-12-01,11.61,11.61,11.61,11.61,0
2023-12-04,11.61,11.61,11.61,11.61,1300
2023-12-05,11.61,11.61,11.61,11.61,0
2023-12-06,11.61,11.61,11.61,11.61,0
2023-12-07,11.61,11.61,11.61,11.61,0
2023-12-08,11.61,11.61,11.61,11.61,0
2023-12-11,11.61,11.61,11.61,11.61,0
2023-12-12,11.61,11.61,11.61,11.61,0
2023-12-13,11.61,11.61,11.61,11.61,0
2023-12-14,11.61,11.61,11.61,11.61,0
2023-12-15,11.61,11.61,11.61,11.61,0
2023-12-18,11.61,11.61,11.61,11.61,0
2023-12-19,11.61,11.61,11.61,11.61,0
2023-12-20,11.61,11.61,11.61,11.61,0
2023-12-21,11.61,11.61,11.61,11.61,0
2023-12-22,11.61,11.61,11.61,11.61,0
2023-12-25,11.61,11.61,11.61,11.61,0
2023-12-26,10.92,10.92,10.92,10.92,200
2023-12-27,10.92,10.92,10.92,10.92,0
2023-12-28,10.92,10.92,10.92,10.92,100
2023-12-29,10.14,10.14,10.14,10.14,1000
2024-01-02,11.61,11.61,11.61,11.61,500
2024-01-03,11.61,11.7,11.61,11.7,900
2024-01-04,11.7,11.7,11.7,11.7,0
2024-01-05,11.7,11.7,11.7,11.7,0
2024-01-08,13.0,13.0,13.0,13.0,300
2024-01-09,13.0,13.0,13.0,13.0,0
2024-01-10,13.0,13.0,13.0,13.0,0
2024-01-11,13.0,13.0,13.0,13.0,0
2024-01-12,13.0,13.0,13.0,13.0,0
2024-01-15,13.0,13.0,13.0,13.0,0
2024-01-16,13.0,13.0,13.0,13.0,0
2024-01-17,13.0,13.0,13.0,13.0,0
2024-01-18,13.0,13.0,13.0,13.0,0
2024-01-19,13.0,13.0,13.0,13.0,1
2024-01-22,13.0,13.0,13.0,13.0,0
2024-01-23,12.56,12.56,12.56,12.56,200
2024-01-24,12.56,12.56,12.56,12.56,1
2024-01-25,12.48,12.48,12.48,12.48,100
2024-01-26,12.48,12.48,12.48,12.48,0
2024-01-29,12.48,12.48,12.48,12.48,0
2024-01-30,12.48,12.91,12.48,12.91,200
2024-01-31,12.74,12.74,12.74,12.74,0
2024-02-01,12.74,12.74,12.74,12.74,0
2024-02-02,12.74,12.74,12.74,12.74,0
2024-02-05,12.74,12.74,12.74,12.74,0
2024-02-06,12.74,12.74,12.74,12.74,0
2024-02-07,12.74,12.74,12.74,12.74,0
2024-02-15,13.0,13.0,13.0,13.0,300
