date,open,high,low,close,volume
2023-05-12,4.3,4.3,3.6,4.3,5900
2023-05-15,3.7,3.7,3.7,3.7,0
2023-05-16,4.1,4.1,4.1,4.1,2500
2023-05-17,4.1,4.1,4.1,4.1,0
2023-05-18,4.1,4.1,4.1,4.1,0
2023-05-19,4.2,4.2,4.2,4.2,1500
2023-05-22,4.2,4.2,4.2,4.2,0
2023-05-23,4.2,4.2,4.2,4.2,0
2023-05-24,4.0,4.0,4.0,4.0,600
2023-05-25,4.6,4.6,4.6,4.6,100
2023-05-26,4.6,4.6,4.6,4.6,0
2023-05-29,4.5,5.2,4.2,5.2,10700
2023-05-30,5.7,5.7,5.7,5.7,100
2023-05-31,5.7,5.7,5.7,5.7,0
2023-06-01,5.7,5.7,5.7,5.7,0
2023-06-02,5.7,5.7,5.7,5.7,200
2023-06-05,5.7,5.7,5.7,5.7,0
2023-06-06,5.7,5.7,5.7,5.7,0
2023-06-07,5.7,5.7,5.7,5.7,0
2023-06-08,5.7,5.7,5.7,5.7,0
2023-06-09,5.7,5.7,5.7,5.7,0
2023-06-12,5.7,5.7,5.7,5.7,100
2023-06-13,6.0,6.0,6.0,6.0,100
2023-06-14,5.1,5.1,5.1,5.1,5300
2023-06-15,5.1,5.1,5.0,5.0,200
2023-06-16,5.1,5.1,5.1,5.1,0
2023-06-19,4.4,4.4,4.4,4.4,5000
2023-06-20,4.4,4.4,4.4,4.4,0
2023-06-21,4.4,4.4,4.4,4.4,0
2023-06-22,4.6,4.6,4.6,4.6,100
2023-06-23,5.0,5.0,5.0,5.0,5300
2023-06-26,4.3,4.3,4.3,4.3,100
2023-06-27,4.6,4.9,4.5,4.9,6200
2023-06-28,5.2,5.2,5.2,5.2,600
2023-06-29,5.9,5.9,5.8,5.8,200
2023-06-30,6.7,6.7,5.9,5.9,600
2023-07-03,6.8,6.8,6.8,6.8,105
2023-07-04,6.8,6.8,6.8,6.8,0
2023-07-05,6.8,6.8,6.8,6.8,0
2023-07-06,6.7,7.5,5.8,5.8,9200
2023-07-07,5.8,5.8,5.8,5.8,2000
2023-07-10,6.6,6.6,5.7,5.7,1100
2023-07-11,5.8,5.8,5.8,5.8,0
