date,open,high,low,close,volume
2024-01-30,7.65,7.74,7.56,7.65,53116
2024-01-31,7.65,7.65,7.47,7.65,39838
2024-02-01,7.47,7.65,7.47,7.47,44700
2024-02-02,7.56,7.65,7.47,7.47,19624
2024-02-05,7.47,7.56,7.47,7.47,31800
2024-02-06,7.56,7.65,7.47,7.65,10500
2024-02-07,7.56,7.65,7.56,7.65,22000
2024-02-15,7.65,7.74,7.65,7.74,32700
2024-02-16,7.65,7.65,7.56,7.65,50000
2024-02-19,7.65,7.65,7.47,7.56,45410
2024-02-20,7.56,7.65,7.56,7.65,26505
2024-02-21,7.56,7.56,7.56,7.56,27900
2024-02-22,7.56,7.56,7.56,7.56,5800
2024-02-23,7.65,7.65,7.47,7.65,168406
2024-02-26,7.65,7.74,7.65,7.65,27818
2024-02-27,7.65,7.92,7.65,7.92,64600
2024-02-28,7.92,7.92,7.65,7.74,82696
2024-02-29,7.74,7.74,7.65,7.74,10134
2024-03-01,7.74,7.74,7.65,7.74,22200
2024-03-04,7.74,7.83,7.65,7.83,80700
2024-03-05,7.92,7.92,7.65,7.74,33120
2024-03-06,7.74,7.74,7.65,7.74,20320
2024-03-07,7.74,7.74,7.65,7.74,20100
2024-03-08,7.74,7.83,7.65,7.74,32139
2024-03-11,7.65,7.74,7.65,7.74,48801
2024-03-12,7.74,7.83,7.74,7.74,25082
2024-03-13,7.74,7.83,7.74,7.83,28452
2024-03-14,7.83,8.01,7.83,7.92,54638
2024-03-15,7.92,8.37,7.92,8.37,87411
2024-03-18,8.28,8.37,7.83,8.1,99991
2024-03-19,8.01,8.37,8.01,8.19,42510
2024-03-20,8.28,8.28,8.1,8.1,10905
2024-03-21,8.1,8.1,8.1,8.1,31110
2024-03-22,8.19,8.19,8.1,8.19,44812
2024-03-25,8.19,8.37,8.19,8.19,84480
2024-03-26,8.37,8.46,8.37,8.46,75400
2024-03-27,8.46,8.91,8.46,8.82,82620
2024-03-28,8.82,9.09,8.82,9.0,56300
2024-03-29,9.0,9.0,8.73,8.73,36300
2024-04-01,8.73,8.91,8.55,8.73,77600
2024-04-02,8.64,8.82,8.55,8.82,57207
2024-04-03,8.82,9.0,8.64,8.82,66105
2024-04-04,8.91,9.18,8.91,9.18,120545
2024-04-05,9.18,9.72,9.18,9.63,204450
2024-04-08,9.81,10.17,9.63,9.9,255419
2024-04-09,9.9,9.9,9.45,9.81,142595
2024-04-10,9.9,9.99,9.9,9.9,76714
2024-04-11,9.99,9.99,9.81,9.9,97058
