date,open,high,low,close,volume
2024-01-30,20.31,20.31,19.74,20.21,6810
2024-01-31,20.21,20.79,20.12,20.12,7100
2024-02-01,20.79,22.41,20.5,20.79,4200
2024-02-02,22.41,22.41,20.59,21.55,7600
2024-02-05,21.45,21.45,21.45,21.45,500
2024-02-06,21.74,22.41,21.55,21.55,800
2024-02-07,22.88,22.88,21.07,21.55,16900
2024-02-15,24.31,24.31,21.74,21.93,16216
2024-02-16,22.69,22.69,21.83,21.83,6903
2024-02-19,22.41,22.41,21.93,22.12,12207
2024-02-20,22.31,22.31,21.83,21.83,1600
2024-02-21,21.45,21.93,21.45,21.45,3600
2024-02-22,21.45,21.74,21.45,21.74,2700
2024-02-23,22.12,22.12,21.55,21.55,1100
2024-02-26,21.55,21.64,21.55,21.64,1109
2024-02-27,21.64,21.64,21.64,21.64,200
2024-02-28,21.64,21.64,21.64,21.64,800
2024-02-29,21.64,22.02,21.07,22.02,7200
2024-03-01,22.02,22.02,21.83,21.83,6500
2024-03-04,21.17,22.02,21.17,21.93,18300
2024-03-05,22.12,22.69,22.12,22.69,2240
2024-03-06,22.69,22.69,22.69,22.69,1
2024-03-07,21.93,21.93,21.93,21.93,2000
2024-03-08,22.31,22.31,22.31,22.31,200
2024-03-11,21.45,21.45,21.45,21.45,500
2024-03-12,22.6,22.6,21.93,21.93,15800
2024-03-13,22.6,22.6,21.64,21.74,15500
2024-03-14,22.12,22.12,21.55,21.64,4400
2024-03-15,21.74,21.74,21.64,21.64,2100
2024-03-18,19.07,22.31,19.07,21.17,5300
2024-03-19,20.88,21.45,20.88,20.98,4800
2024-03-20,22.41,22.41,20.98,21.07,3700
2024-03-21,21.07,21.36,20.98,20.98,7700
2024-03-22,21.07,21.26,21.07,21.17,4138
2024-03-25,21.83,22.41,21.07,21.07,2729
2024-03-26,18.5,21.26,18.5,21.07,7700
2024-03-27,20.31,21.36,20.31,20.88,3508
2024-03-28,20.31,21.26,20.31,20.98,2130
2024-03-29,20.88,21.26,20.79,21.26,8104
2024-04-01,20.79,20.79,20.31,20.79,6800
2024-04-02,20.31,20.59,20.31,20.59,6300
2024-04-03,20.69,20.69,20.59,20.59,5500
2024-04-04,20.4,20.88,20.4,20.88,1100
2024-04-05,20.88,20.88,20.88,20.88,97
2024-04-08,20.31,20.88,20.31,20.88,5700
2024-04-09,20.31,20.59,20.31,20.59,700
2024-04-10,20.5,20.69,20.31,20.4,9340
2024-04-11,20.88,21.26,20.02,20.69,27500
2024-04-12,20.02,20.59,19.26,19.93,24151
2024-04-15,20.88,20.88,19.64,20.12,3009
2024-04-16,20.4,20.4,19.55,20.02,97331
2024-04-17,20.59,21.26,20.21,20.21,1500
2024-04-19,20.79,21.36,19.26,19.26,105619
2024-04-22,20.02,20.02,20.02,20.02,0
2024-04-23,18.59,20.02,18.59,18.78,11659
2024-04-24,17.54,19.93,17.54,19.93,6100
2024-04-25,20.5,20.5,19.64,20.02,631
2024-04-26,20.02,20.02,20.02,20.02,158
2024-05-02,20.31,20.31,20.31,20.31,200
2024-05-03,19.93,19.93,19.93,19.93,100
2024-05-06,19.83,20.5,19.55,19.83,2100
2024-05-07,20.59,22.79,19.55,19.83,1756
2024-05-08,20.12,20.12,20.02,20.02,612
2024-05-09,19.36,19.36,19.36,19.36,600
2024-05-10,19.83,19.83,19.83,19.83,100
2024-05-13,19.45,19.93,19.36,19.83,2500
2024-05-14,20.02,20.02,20.02,20.02,100
2024-05-15,20.02,20.02,19.36,19.36,3738
2024-05-16,19.83,20.98,19.07,19.16,11300
2024-05-17,22.12,22.12,18.59,19.36,4512
2024-05-20,18.59,21.74,18.59,19.07,8801
2024-05-21,19.07,19.07,18.78,19.07,500
2024-05-22,18.78,19.26,18.59,18.88,12200
2024-05-23,18.59,18.97,18.5,18.97,2444
2024-05-24,19.16,19.16,18.4,19.16,4934
2024-05-27,18.88,19.83,18.88,19.83,5912
2024-05-28,19.36,20.02,18.97,20.02,256545
2024-05-29,20.21,20.21,19.45,20.02,19740
2024-05-30,20.21,20.98,19.74,20.12,107800
2024-05-31,20.21,20.98,20.02,20.79,30258
2024-06-03,20.02,21.36,20.02,20.59,28153
2024-06-04,20.98,20.98,20.5,20.88,90800
2024-06-05,20.88,20.88,20.59,20.79,35404
2024-06-06,21.36,22.69,20.88,20.98,32721
2024-06-07,20.79,21.17,20.59,20.59,20155
2024-06-10,20.79,20.98,20.79,20.88,18750
2024-06-11,20.88,20.98,20.79,20.88,13700
2024-06-12,21.07,21.36,20.88,21.17,23900
