date,open,high,low,close,volume
2022-07-27,9.35,9.35,9.35,9.35,0
2022-07-28,10.67,10.67,10.67,10.67,100
2022-07-29,12.18,12.18,12.18,12.18,100
2022-08-01,13.97,13.97,13.97,13.97,100
2022-08-02,15.86,15.86,15.86,15.86,100
2022-08-03,13.5,13.5,13.5,13.5,831
2022-08-04,13.5,13.5,13.5,13.5,0
2022-08-05,15.48,15.48,13.5,13.5,200
2022-08-08,14.54,14.54,14.54,14.54,0
2022-08-09,14.54,14.54,14.54,14.54,0
2022-08-10,12.43,12.43,12.43,12.43,100
2022-08-11,11.96,11.96,11.96,11.96,3600
2022-08-12,11.96,11.96,11.96,11.96,0
2022-08-15,10.23,10.23,10.23,10.23,100
2022-08-16,10.23,10.23,10.23,10.23,0
2022-08-17,10.23,10.23,10.23,10.23,0
2022-08-18,8.7,8.7,8.7,8.7,100
2022-08-19,8.7,8.7,8.7,8.7,0
2022-08-22,8.7,8.7,8.7,8.7,0
2022-08-23,8.7,8.7,8.7,8.7,0
2022-08-24,8.7,8.7,8.7,8.7,0
2022-08-25,8.7,8.7,8.7,8.7,0
2022-08-26,8.7,8.7,8.7,8.7,0
2022-08-29,8.7,8.7,8.7,8.7,0
2022-08-30,8.7,8.7,8.7,8.7,0
2022-08-31,8.7,8.7,8.7,8.7,0
2022-09-05,8.7,8.7,8.7,8.7,0
2022-09-06,8.7,8.7,8.7,8.7,0
2022-09-07,8.7,8.7,8.7,8.7,0
2022-09-08,8.7,8.7,8.7,8.7,10
2022-09-09,9.95,9.95,9.95,9.95,100
2022-09-12,9.95,9.95,9.95,9.95,0
2022-09-13,8.7,8.7,8.7,8.7,100
2022-09-14,8.7,8.7,8.7,8.7,0
2022-09-15,8.7,8.7,8.7,8.7,21
2022-09-16,8.7,8.7,8.7,8.7,0
2022-09-19,8.7,8.7,8.7,8.7,0
2022-09-20,8.7,8.7,8.7,8.7,0
2022-09-21,8.7,8.7,8.7,8.7,0
2022-09-22,8.7,8.7,8.7,8.7,0
2022-09-23,8.7,8.7,8.7,8.7,0
2022-09-26,8.7,8.7,8.7,8.7,0
2022-09-27,8.7,8.7,8.7,8.7,0
2022-09-28,8.7,8.7,8.7,8.7,0
2022-09-29,8.7,8.7,8.7,8.7,0
2022-09-30,8.7,8.7,8.7,8.7,12
2022-10-03,8.7,8.7,8.7,8.7,0
2022-10-04,8.7,8.7,8.7,8.7,0
2022-10-05,8.7,8.7,8.7,8.7,0
2022-10-06,8.7,8.7,8.7,8.7,0
2022-10-07,8.7,8.7,8.7,8.7,0
2022-10-10,8.7,8.7,8.7,8.7,0
2022-10-11,8.7,8.7,8.7,8.7,0
2022-10-12,8.7,8.7,8.7,8.7,0
2022-10-13,9.95,9.95,9.95,9.95,6100
2022-10-14,9.95,9.95,9.95,9.95,0
2022-10-17,9.95,9.95,9.95,9.95,0
2022-10-18,9.95,9.95,9.95,9.95,0
2022-10-19,9.95,9.95,9.95,9.95,0
2022-10-20,9.95,9.95,9.95,9.95,0
2022-10-21,9.95,9.95,9.95,9.95,0
2022-10-24,8.51,8.51,8.51,8.51,1000
2022-10-25,8.51,8.51,8.51,8.51,19000
2022-10-26,9.76,9.76,9.76,9.76,100
2022-10-27,9.56,9.56,9.56,9.56,6600
2022-10-28,10.9,10.9,10.9,10.9,100
2022-10-31,12.53,12.53,12.53,12.53,3100
2022-11-01,14.35,14.35,14.35,14.35,401
2022-11-02,14.35,14.35,14.35,14.35,0
2022-11-03,14.35,14.35,14.35,14.35,0
2022-11-04,14.35,14.35,14.35,14.35,0
2022-11-07,14.35,14.35,14.35,14.35,0
2022-11-08,14.35,14.35,14.35,14.35,0
2022-11-09,14.35,14.35,14.35,14.35,0
2022-11-10,14.35,14.35,14.35,14.35,0
2022-11-11,14.35,14.35,14.35,14.35,0
2022-11-14,14.35,14.35,14.35,14.35,0
2022-11-15,14.35,14.35,14.35,14.35,0
2022-11-16,14.35,14.35,14.35,14.35,0
2022-11-17,12.24,12.24,12.24,12.24,100
2022-11-18,12.24,12.24,12.24,12.24,0
2022-11-21,12.24,12.24,12.24,12.24,0
2022-11-22,12.24,12.24,12.24,12.24,0
2022-11-23,12.24,12.24,12.24,12.24,0
2022-11-24,12.24,12.24,12.24,12.24,0
2022-11-25,12.24,12.24,12.24,12.24,0
2022-11-28,12.24,12.24,12.24,12.24,0
2022-11-29,12.24,12.24,12.24,12.24,0
2022-11-30,12.24,12.24,12.24,12.24,0
2022-12-01,12.24,12.24,12.24,12.24,0
2022-12-02,12.24,12.24,12.24,12.24,0
2022-12-05,12.24,12.24,12.24,12.24,0
2022-12-06,12.24,12.24,12.24,12.24,0
2022-12-07,12.24,12.24,12.24,12.24,0
2022-12-08,12.24,12.24,12.24,12.24,0
2022-12-09,12.24,12.24,12.24,12.24,0
2022-12-12,12.24,12.24,12.24,12.24,0
2022-12-13,12.24,12.24,12.24,12.24,0
2022-12-14,12.24,12.24,12.24,12.24,0
2022-12-15,12.24,12.24,12.24,12.24,0
2022-12-16,12.24,12.24,12.24,12.24,0
2022-12-19,12.24,12.24,12.24,12.24,0
2022-12-20,12.24,12.24,12.24,12.24,0
2022-12-21,12.24,12.24,12.24,12.24,0
2022-12-22,12.24,12.24,12.24,12.24,0
2022-12-23,12.24,12.24,12.24,12.24,0
2022-12-26,12.24,12.24,12.24,12.24,0
2022-12-27,12.24,12.24,12.24,12.24,0
2022-12-28,12.24,12.24,12.24,12.24,0
2022-12-29,12.24,12.24,12.24,12.24,0
2022-12-30,12.24,12.24,12.24,12.24,0
2023-01-03,7.65,7.65,7.65,7.65,400
2023-01-04,7.65,7.65,7.65,7.65,0
2023-01-05,7.65,7.65,7.65,7.65,0
2023-01-06,7.65,7.65,7.65,7.65,0
2023-01-09,7.65,7.65,7.65,7.65,0
2023-01-10,7.65,7.65,7.65,7.65,0
2023-01-11,8.8,8.8,8.8,8.8,1100
2023-01-12,10.04,10.04,10.04,10.04,100
2023-01-13,10.04,10.04,10.04,10.04,0
2023-01-16,11.38,11.38,11.38,11.38,100
2023-01-17,12.34,12.34,12.34,12.34,100
2023-01-18,13.3,13.3,13.3,13.3,100
2023-01-19,15.21,15.21,15.21,15.21,100
2023-01-27,15.21,15.21,15.21,15.21,0
2023-01-30,15.21,15.21,15.21,15.21,0
2023-01-31,15.21,15.21,15.21,15.21,0
2023-02-01,15.21,15.21,15.21,15.21,0
2023-02-02,15.21,15.21,15.21,15.21,10
2023-02-03,15.21,15.21,15.21,15.21,0
2023-02-06,15.21,15.21,15.21,15.21,0
2023-02-07,15.21,15.21,15.21,15.21,0
2023-02-08,15.21,15.21,15.21,15.21,0
2023-02-09,15.21,15.21,15.21,15.21,0
2023-02-10,15.21,15.21,15.21,15.21,0
2023-02-13,15.21,15.21,15.21,15.21,50
2023-02-14,15.21,15.21,15.21,15.21,0
2023-02-15,15.21,15.21,15.21,15.21,0
2023-02-16,13.01,13.01,13.01,13.01,100
2023-02-17,11.1,11.1,11.1,11.1,1300
2023-02-20,11.1,11.1,11.1,11.1,0
2023-02-21,11.1,11.1,11.1,11.1,300
2023-02-22,11.1,11.1,11.1,11.1,0
2023-02-23,11.1,11.1,11.1,11.1,600
2023-02-24,11.1,11.1,11.1,11.1,0
2023-02-27,11.1,11.1,11.1,11.1,0
2023-02-28,11.1,11.1,11.1,11.1,0
2023-03-01,12.72,12.72,12.72,12.72,100
2023-03-02,12.72,12.72,12.72,12.72,0
2023-03-03,12.72,12.72,12.72,12.72,0
2023-03-06,12.72,12.72,12.72,12.72,0
2023-03-07,12.72,12.72,12.72,12.72,0
2023-03-08,12.72,12.72,12.72,12.72,0
2023-03-09,12.72,12.72,12.72,12.72,0
2023-03-10,12.72,12.72,12.72,12.72,0
2023-03-13,12.72,12.72,12.72,12.72,0
2023-03-14,12.72,12.72,12.72,12.72,0
2023-03-15,12.72,12.72,12.72,12.72,0
2023-03-16,12.72,12.72,12.72,12.72,0
2023-03-17,12.72,12.72,12.72,12.72,0
2023-03-20,12.72,12.72,12.72,12.72,0
2023-03-21,12.72,12.72,12.72,12.72,0
2023-03-22,12.72,12.72,12.72,12.72,0
2023-03-23,12.72,12.72,12.72,12.72,0
2023-03-24,12.72,12.72,12.72,12.72,0
2023-03-27,12.72,12.72,12.72,12.72,0
2023-03-28,12.72,12.72,12.72,12.72,0
2023-03-29,12.72,12.72,12.72,12.72,0
2023-03-30,12.72,12.72,12.72,12.72,0
2023-03-31,12.72,12.72,12.72,12.72,0
2023-04-03,12.72,12.72,12.72,12.72,0
2023-04-04,12.72,12.72,12.72,12.72,0
2023-04-05,12.72,12.72,12.72,12.72,0
2023-04-06,12.72,12.72,12.72,12.72,0
2023-04-07,12.72,12.72,12.72,12.72,0
2023-04-10,12.72,12.72,12.72,12.72,0
2023-04-11,12.72,12.72,12.72,12.72,0
2023-04-12,12.72,12.72,12.72,12.72,0
2023-04-13,12.72,12.72,12.72,12.72,0
2023-04-14,12.72,12.72,12.72,12.72,0
2023-04-17,12.72,12.72,12.72,12.72,0
2023-04-18,12.72,12.72,12.72,12.72,0
2023-04-19,12.72,12.72,12.72,12.72,0
2023-04-20,12.72,12.72,12.72,12.72,0
2023-04-21,12.72,12.72,12.72,12.72,0
2023-04-24,12.72,12.72,12.72,12.72,0
2023-04-25,12.72,12.72,12.72,12.72,0
2023-04-26,12.72,12.72,12.72,12.72,0
2023-04-27,12.72,12.72,12.72,12.72,0
2023-04-28,12.72,12.72,12.72,12.72,0
2023-05-04,12.72,12.72,12.72,12.72,0
2023-05-05,12.72,12.72,12.72,12.72,0
2023-05-08,12.72,12.72,12.72,12.72,0
2023-05-09,12.72,12.72,12.72,12.72,0
2023-05-10,12.72,12.72,12.72,12.72,0
2023-05-11,12.72,12.72,12.72,12.72,0
2023-05-12,12.72,12.72,12.72,12.72,0
2023-05-15,12.72,12.72,12.72,12.72,0
2023-05-16,12.72,12.72,12.72,12.72,0
2023-05-17,12.72,12.72,12.72,12.72,0
2023-05-18,12.72,12.72,12.72,12.72,0
2023-05-19,12.72,12.72,12.72,12.72,0
2023-05-22,12.72,12.72,12.72,12.72,0
2023-05-23,17.79,17.79,17.79,17.79,100
2023-05-24,17.79,17.79,17.79,17.79,0
2023-05-25,17.79,17.79,17.79,17.79,0
2023-05-26,17.79,17.79,17.79,17.79,0
2023-05-29,17.79,17.79,17.79,17.79,0
2023-05-30,17.79,17.79,17.79,17.79,0
2023-05-31,17.79,17.79,17.79,17.79,0
2023-06-01,17.79,17.79,17.79,17.79,0
2023-06-02,17.79,17.79,17.79,17.79,0
2023-06-05,17.79,17.79,17.79,17.79,0
2023-06-06,17.79,17.79,17.79,17.79,0
2023-06-07,17.79,17.79,17.79,17.79,0
2023-06-08,17.79,17.79,17.79,17.79,0
2023-06-09,17.79,17.79,17.79,17.79,0
2023-06-12,17.79,17.79,17.79,17.79,0
2023-06-13,17.79,17.79,17.79,17.79,3
2023-06-14,17.79,17.79,17.79,17.79,0
2023-06-15,17.79,17.79,17.79,17.79,0
2023-06-16,17.79,17.79,17.79,17.79,0
2023-06-19,17.79,17.79,17.79,17.79,0
2023-06-20,17.79,17.79,17.79,17.79,1
2023-06-21,17.79,17.79,17.79,17.79,0
2023-06-22,17.79,17.79,17.79,17.79,0
2023-06-23,17.79,17.79,17.79,17.79,0
2023-06-26,17.79,17.79,17.79,17.79,0
2023-06-27,17.79,17.79,17.79,17.79,88
2023-06-28,17.79,17.79,17.79,17.79,0
2023-06-29,17.79,17.79,17.79,17.79,0
2023-06-30,17.79,17.79,17.79,17.79,0
2023-07-03,17.79,17.79,17.79,17.79,0
2023-07-04,17.79,17.79,17.79,17.79,0
2023-07-05,17.79,17.79,17.79,17.79,0
2023-07-06,17.79,17.79,17.79,17.79,0
2023-07-07,17.79,17.79,17.79,17.79,0
2023-07-10,17.79,17.79,17.79,17.79,0
2023-07-11,17.79,17.79,17.79,17.79,0
2023-07-12,17.79,17.79,17.79,17.79,0
2023-07-13,17.79,17.79,17.79,17.79,0
2023-07-14,17.79,17.79,17.79,17.79,0
2023-07-17,17.6,17.6,17.6,17.6,100
2023-07-18,17.6,17.6,17.6,17.6,0
2023-07-19,17.6,17.6,17.6,17.6,0
2023-07-20,17.6,17.6,17.6,17.6,0
2023-07-21,17.6,17.6,17.6,17.6,0
2023-07-24,17.6,17.6,17.6,17.6,0
2023-07-25,17.6,17.6,17.6,17.6,0
2023-07-26,17.6,17.6,17.6,17.6,0
2023-07-27,17.6,17.6,17.6,17.6,0
2023-07-28,17.6,17.6,17.6,17.6,0
2023-07-31,17.6,17.6,17.6,17.6,0
2023-08-01,17.6,17.6,17.6,17.6,0
2023-08-02,17.6,17.6,17.6,17.6,0
2023-08-03,17.6,17.6,17.6,17.6,0
2023-08-04,17.6,17.6,17.6,17.6,0
2023-08-07,17.6,17.6,17.6,17.6,0
2023-08-08,17.6,17.6,17.6,17.6,0
2023-08-09,17.6,17.6,17.6,17.6,0
2023-08-10,17.6,17.6,17.6,17.6,0
2023-08-11,17.6,17.6,17.6,17.6,0
2023-08-14,17.6,17.6,17.6,17.6,0
2023-08-15,17.6,17.6,17.6,17.6,0
2023-08-16,17.6,17.6,17.6,17.6,0
2023-08-17,15.3,15.3,15.3,15.3,800
2023-08-18,15.3,15.3,15.3,15.3,0
2023-08-21,15.3,15.3,15.3,15.3,0
2023-08-22,14.73,15.11,14.73,15.11,3200
2023-08-23,14.83,14.83,14.83,14.83,0
2023-08-24,14.83,14.83,14.83,14.83,0
2023-08-25,14.83,15.11,14.83,15.11,400
2023-08-28,15.02,15.02,15.02,15.02,0
2023-08-29,15.02,15.02,15.02,15.02,1
2023-08-30,15.02,15.02,15.02,15.02,22
2023-08-31,15.11,15.11,15.11,15.11,209
2023-09-05,15.4,15.4,15.4,15.4,100
2023-09-06,15.4,15.4,15.4,15.4,0
2023-09-07,15.4,15.4,15.4,15.4,0
2023-09-08,15.4,15.4,15.4,15.4,0
2023-09-11,15.4,15.4,15.4,15.4,0
2023-09-12,15.4,15.4,15.4,15.4,0
2023-09-13,15.4,15.4,15.4,15.4,0
2023-09-14,15.4,15.4,15.4,15.4,0
2023-09-15,13.5,13.5,13.5,13.5,100
2023-09-18,15.4,15.4,15.4,15.4,100
2023-09-19,15.4,15.4,15.4,15.4,0
2023-09-20,15.4,15.4,15.4,15.4,0
2023-09-21,15.4,15.4,15.4,15.4,0
2023-09-22,15.4,15.4,15.4,15.4,0
2023-09-25,15.4,15.4,15.4,15.4,0
2023-09-26,15.4,15.4,15.4,15.4,0
2023-09-27,13.1,16.4,13.1,16.4,200
2023-09-28,14.8,14.8,14.8,14.8,0
2023-09-29,12.6,12.6,12.6,12.6,100
2023-10-02,11.0,11.0,10.8,10.8,200
2023-10-03,10.8,12.5,9.5,12.5,1400
2023-10-04,12.7,12.7,12.6,12.6,1300
2023-10-05,12.7,14.5,11.8,11.9,1900
2023-10-06,13.6,13.6,13.5,13.5,1300
2023-10-09,13.5,13.5,13.5,13.5,800
2023-10-10,11.6,11.6,11.6,11.6,700
2023-10-11,12.0,13.3,12.0,13.3,2300
2023-10-12,14.4,14.4,14.4,14.4,100
2023-10-13,12.3,12.3,12.3,12.3,500
2023-10-16,13.0,13.0,13.0,13.0,200
2023-10-17,13.0,13.0,13.0,13.0,0
2023-10-18,13.0,13.0,13.0,13.0,0
2023-10-19,13.0,13.0,13.0,13.0,100
2023-10-20,13.0,13.0,13.0,13.0,0
2023-10-23,13.0,13.0,13.0,13.0,0
2023-10-24,13.0,13.0,13.0,13.0,0
2023-10-25,13.0,13.0,13.0,13.0,400
2023-10-26,13.0,13.0,13.0,13.0,0
2023-10-27,13.0,13.0,13.0,13.0,0
2023-10-30,13.0,13.0,13.0,13.0,0
2023-10-31,13.0,13.0,13.0,13.0,0
2023-11-01,12.5,12.5,12.5,12.5,400
2023-11-02,12.5,12.5,12.5,12.5,600
2023-11-03,12.5,12.5,12.5,12.5,0
2023-11-06,12.5,12.5,12.5,12.5,0
2023-11-07,12.5,12.5,12.5,12.5,0
2023-11-08,12.5,12.5,12.5,12.5,0
2023-11-09,12.5,12.5,12.5,12.5,1
2023-11-10,12.5,12.5,12.5,12.5,0
2023-11-13,12.5,12.5,12.5,12.5,0
2023-11-14,12.5,12.5,12.5,12.5,0
2023-11-15,12.5,12.5,12.5,12.5,0
2023-11-16,12.5,12.5,12.5,12.5,0
2023-11-17,10.9,10.9,10.9,10.9,100
2023-11-20,10.9,10.9,10.9,10.9,29
2023-11-21,10.9,10.9,10.9,10.9,0
2023-11-22,10.9,10.9,10.9,10.9,0
2023-11-23,10.9,10.9,10.9,10.9,0
2023-11-24,10.9,10.9,10.9,10.9,0
2023-11-27,10.9,10.9,10.9,10.9,0
2023-11-28,10.9,10.9,10.9,10.9,0
2023-11-29,10.9,10.9,10.9,10.9,0
2023-11-30,10.9,10.9,10.9,10.9,1
2023-12-01,9.6,9.6,9.6,9.6,100
2023-12-04,9.6,9.6,9.6,9.6,0
2023-12-05,9.6,9.6,9.6,9.6,0
2023-12-06,9.6,9.6,9.6,9.6,0
2023-12-07,9.6,9.6,9.6,9.6,0
2023-12-08,11.0,11.0,11.0,11.0,300
2023-12-11,11.0,11.0,11.0,11.0,0
2023-12-12,12.6,12.6,12.6,12.6,800
2023-12-13,12.6,12.6,12.6,12.6,1
2023-12-14,12.6,12.6,12.6,12.6,0
2023-12-15,12.6,12.6,12.6,12.6,0
2023-12-18,12.6,12.6,12.6,12.6,0
2023-12-19,12.6,12.6,12.6,12.6,0
2023-12-20,12.6,12.6,12.6,12.6,0
2023-12-21,12.6,12.6,12.6,12.6,0
2023-12-22,12.6,12.6,12.6,12.6,0
2023-12-25,12.6,12.6,12.6,12.6,500
2023-12-26,12.8,12.8,12.8,12.8,100
2023-12-27,12.8,12.8,12.8,12.8,0
2023-12-28,12.8,12.8,12.8,12.8,0
2023-12-29,13.0,13.0,13.0,13.0,100
2024-01-02,13.0,13.0,13.0,13.0,0
2024-01-03,13.5,13.5,13.5,13.5,100
2024-01-04,13.5,13.5,13.5,13.5,0
2024-01-05,13.5,13.5,13.5,13.5,0
2024-01-08,11.6,14.0,11.6,14.0,2100
2024-01-09,13.4,13.4,13.4,13.4,0
2024-01-10,13.4,13.4,13.4,13.4,0
2024-01-11,13.4,13.4,13.4,13.4,0
2024-01-12,13.4,13.4,13.4,13.4,0
2024-01-15,13.4,13.4,13.4,13.4,0
2024-01-16,13.4,13.4,13.4,13.4,0
2024-01-17,13.4,13.4,11.4,13.4,900
2024-01-18,11.3,11.3,11.3,11.3,101
2024-01-19,11.3,11.3,11.3,11.3,0
2024-01-22,11.3,11.3,11.3,11.3,0
2024-01-23,11.3,11.3,11.3,11.3,0
2024-01-24,11.3,11.3,11.3,11.3,0
2024-01-25,11.3,11.3,11.3,11.3,0
2024-01-26,11.3,11.3,11.3,11.3,0
2024-01-29,11.3,11.3,11.3,11.3,0
2024-01-30,12.4,12.4,9.9,9.9,200
2024-01-31,11.2,11.2,11.2,11.2,0
2024-02-01,11.2,11.2,11.2,11.2,0
