date,open,high,low,close,volume
2023-05-31,15.12,15.12,15.12,15.12,0
2023-06-01,15.12,15.12,15.12,15.12,0
2023-06-02,15.12,15.12,15.12,15.12,0
2023-06-05,15.12,15.12,15.12,15.12,0
2023-06-06,15.12,15.12,15.12,15.12,0
2023-06-07,17.09,17.09,17.09,17.09,200
2023-06-08,17.09,17.09,17.09,17.09,0
2023-06-09,17.09,17.09,17.09,17.09,0
2023-06-12,17.09,17.09,17.09,17.09,0
2023-06-13,17.09,17.09,17.09,17.09,0
2023-06-14,17.09,17.09,17.09,17.09,0
2023-06-15,17.09,17.09,17.09,17.09,0
2023-06-16,17.09,17.09,17.09,17.09,0
2023-06-19,17.09,17.09,17.09,17.09,0
2023-06-20,17.09,17.09,17.09,17.09,0
2023-06-21,17.09,17.09,17.09,17.09,0
2023-06-22,17.09,17.09,17.09,17.09,0
2023-06-23,17.09,17.09,17.09,17.09,0
2023-06-26,17.09,17.09,17.09,17.09,0
2023-06-27,17.09,17.09,17.09,17.09,0
2023-06-28,17.09,17.09,17.09,17.09,0
2023-06-29,17.09,17.09,17.09,17.09,0
2023-06-30,17.09,17.09,17.09,17.09,0
2023-07-03,17.09,17.09,17.09,17.09,0
2023-07-04,17.09,17.09,17.09,17.09,0
2023-07-05,17.09,17.09,17.09,17.09,0
2023-07-06,17.09,17.09,17.09,17.09,0
2023-07-07,17.09,17.09,17.09,17.09,0
2023-07-10,17.09,17.09,17.09,17.09,0
2023-07-11,14.53,14.53,14.53,14.53,1000
2023-07-12,14.53,14.53,14.53,14.53,0
2023-07-13,12.48,12.48,12.48,12.48,100
2023-07-14,12.48,12.48,12.48,12.48,0
2023-07-17,10.77,10.77,10.77,10.77,100
2023-07-18,10.77,10.77,10.77,10.77,0
2023-07-19,10.77,10.77,10.77,10.77,0
2023-07-20,10.77,10.77,10.77,10.77,0
2023-07-21,10.77,10.77,10.77,10.77,0
2023-07-24,9.31,9.31,9.31,9.31,200
2023-07-25,8.03,8.03,8.03,8.03,100
2023-07-26,8.03,8.03,8.03,8.03,0
2023-07-27,9.23,9.23,9.23,9.23,100
2023-07-28,9.23,9.23,9.23,9.23,0
2023-07-31,7.95,7.95,7.95,7.95,100
2023-08-01,7.95,7.95,7.95,7.95,0
2023-08-02,7.95,7.95,7.95,7.95,0
2023-08-03,6.92,6.92,6.92,6.92,100
2023-08-04,5.98,5.98,5.98,5.98,100
2023-08-07,5.98,5.98,5.98,5.98,0
2023-08-08,5.64,5.64,5.64,5.64,100
2023-08-09,5.64,5.64,5.64,5.64,0
2023-08-10,5.64,5.64,5.64,5.64,0
2023-08-11,5.64,5.64,5.64,5.64,0
2023-08-14,5.64,5.64,5.64,5.64,0
2023-08-15,5.64,5.64,5.64,5.64,0
2023-08-16,5.64,5.64,5.64,5.64,0
2023-08-17,5.64,5.64,5.64,5.64,0
2023-08-18,5.64,5.64,5.64,5.64,0
2023-08-21,5.64,5.64,5.64,5.64,0
2023-08-22,5.64,5.64,5.64,5.64,0
2023-08-23,5.64,5.64,5.64,5.64,0
2023-08-24,5.64,5.64,5.64,5.64,0
2023-08-25,5.64,5.64,5.64,5.64,0
2023-08-28,5.64,5.64,5.64,5.64,0
