date,open,high,low,close,volume
2023-06-07,9.11,9.11,9.11,9.11,0
2023-06-08,9.11,9.11,9.11,9.11,0
2023-06-09,9.11,9.11,9.11,9.11,0
2023-06-12,9.11,9.11,9.11,9.11,0
2023-06-13,9.11,9.11,9.11,9.11,0
2023-06-14,9.11,9.11,9.11,9.11,0
2023-06-15,9.11,9.11,9.11,9.11,0
2023-06-16,9.11,9.11,9.11,9.11,0
2023-06-19,9.11,9.11,9.11,9.11,0
2023-06-20,9.11,9.11,9.11,9.11,0
2023-06-21,9.11,9.11,9.11,9.11,0
2023-06-22,9.11,9.11,9.11,9.11,0
2023-06-23,9.11,9.11,9.11,9.11,0
2023-06-26,9.11,9.11,9.11,9.11,0
2023-06-27,9.11,9.11,9.11,9.11,0
2023-06-28,9.11,9.11,9.11,9.11,0
2023-06-29,9.11,9.11,9.11,9.11,0
2023-06-30,9.11,9.11,9.11,9.11,0
2023-07-03,9.11,9.11,9.11,9.11,0
2023-07-04,9.11,9.11,9.11,9.11,0
2023-07-05,9.11,9.11,9.11,9.11,0
2023-07-06,9.11,9.11,9.11,9.11,0
2023-07-07,9.11,9.11,9.11,9.11,0
2023-07-10,9.11,9.11,9.11,9.11,0
2023-07-11,9.11,9.11,9.11,9.11,0
2023-07-12,9.11,9.11,9.11,9.11,0
2023-07-13,9.11,9.11,9.11,9.11,0
2023-07-14,9.11,9.11,9.11,9.11,0
2023-07-17,9.11,9.11,9.11,9.11,0
2023-07-18,9.11,9.11,9.11,9.11,0
2023-07-19,9.11,9.11,9.11,9.11,0
2023-07-20,9.11,9.11,9.11,9.11,0
2023-07-21,9.11,9.11,9.11,9.11,0
2023-07-24,9.11,9.11,9.11,9.11,0
2023-07-25,9.11,9.11,9.11,9.11,0
2023-07-26,9.11,9.11,9.11,9.11,0
2023-07-27,9.11,9.11,9.11,9.11,0
2023-07-28,9.11,9.11,9.11,9.11,0
2023-07-31,9.11,9.11,9.11,9.11,0
2023-08-01,9.11,9.11,9.11,9.11,0
2023-08-02,9.11,9.11,9.11,9.11,0
2023-08-03,9.11,9.11,9.11,9.11,0
2023-08-04,9.11,9.11,9.11,9.11,0
2023-08-07,9.11,9.11,9.11,9.11,0
2023-08-08,9.11,9.11,9.11,9.11,0
2023-08-09,9.11,9.11,9.11,9.11,0
2023-08-10,9.11,9.11,9.11,9.11,0
2023-08-11,6.25,6.25,6.25,6.25,400
2023-08-14,6.25,6.25,6.25,6.25,0
2023-08-15,6.25,6.25,6.25,6.25,0
2023-08-16,6.25,6.25,6.25,6.25,0
2023-08-17,6.25,6.25,6.25,6.25,0
2023-08-18,6.25,6.25,6.25,6.25,0
2023-08-21,6.25,6.25,6.25,6.25,0
2023-08-22,6.25,6.25,6.25,6.25,0
2023-08-23,6.25,6.25,6.25,6.25,0
2023-08-24,6.25,6.25,6.25,6.25,0
2023-08-25,6.25,6.25,6.25,6.25,0
2023-08-28,6.25,6.25,6.25,6.25,0
2023-08-29,6.25,6.25,6.25,6.25,0
2023-08-30,6.25,6.25,6.25,6.25,0
2023-08-31,6.25,6.25,6.25,6.25,0
2023-09-05,6.25,6.25,6.25,6.25,0
2023-09-06,6.25,6.25,6.25,6.25,0
2023-09-07,6.25,6.25,6.25,6.25,0
2023-09-08,6.25,6.25,6.25,6.25,0
2023-09-11,6.25,6.25,6.25,6.25,0
2023-09-12,6.25,6.25,6.25,6.25,0
2023-09-13,6.25,6.25,6.25,6.25,0
2023-09-14,6.25,6.25,6.25,6.25,0
2023-09-15,6.25,6.25,6.25,6.25,0
2023-09-18,6.25,6.25,6.25,6.25,0
2023-09-19,6.25,6.25,6.25,6.25,0
2023-09-20,6.25,6.25,6.25,6.25,0
2023-09-21,6.25,6.25,6.25,6.25,0
2023-09-22,6.25,6.25,6.25,6.25,0
2023-09-25,6.25,6.25,6.25,6.25,0
2023-09-26,6.25,6.25,6.25,6.25,0
2023-09-27,6.25,6.25,6.25,6.25,0
2023-09-28,6.25,6.25,6.25,6.25,0
2023-09-29,6.25,6.25,6.25,6.25,0
2023-10-02,6.25,6.25,6.25,6.25,0
2023-10-03,6.25,6.25,6.25,6.25,0
2023-10-04,6.25,6.25,6.25,6.25,0
2023-10-05,6.25,6.25,6.25,6.25,0
2023-10-06,6.25,6.25,6.25,6.25,0
2023-10-09,6.25,6.25,6.25,6.25,0
2023-10-10,6.25,6.25,6.25,6.25,0
2023-10-11,6.25,6.25,6.25,6.25,0
2023-10-12,6.25,6.25,6.25,6.25,0
2023-10-13,6.25,6.25,6.25,6.25,0
2023-10-16,6.25,6.25,6.25,6.25,0
2023-10-17,6.25,6.25,6.25,6.25,0
2023-10-18,6.25,6.25,6.25,6.25,0
2023-10-19,6.25,6.25,6.25,6.25,0
2023-10-20,6.25,6.25,6.25,6.25,0
2023-10-23,6.25,6.25,6.25,6.25,0
2023-10-24,6.25,6.25,6.25,6.25,0
2023-10-25,6.25,6.25,6.25,6.25,0
2023-10-26,6.25,6.25,6.25,6.25,0
2023-10-27,6.25,6.25,6.25,6.25,0
2023-10-30,6.25,6.25,6.25,6.25,0
2023-10-31,6.25,6.25,6.25,6.25,0
2023-11-01,6.25,6.25,6.25,6.25,0
2023-11-02,6.25,6.25,6.25,6.25,0
2023-11-03,6.25,6.25,6.25,6.25,0
2023-11-06,6.25,6.25,6.25,6.25,0
2023-11-07,6.25,6.25,6.25,6.25,0
2023-11-08,6.25,6.25,6.25,6.25,0
2023-11-09,6.25,6.25,6.25,6.25,0
2023-11-10,6.25,6.25,6.25,6.25,0
2023-11-13,6.25,6.25,6.25,6.25,0
2023-11-14,6.25,6.25,6.25,6.25,0
2023-11-15,6.25,6.25,6.25,6.25,0
2023-11-16,6.25,6.25,6.25,6.25,0
2023-11-17,6.25,6.25,6.25,6.25,0
2023-11-20,6.25,6.25,6.25,6.25,0
2023-11-21,6.25,6.25,6.25,6.25,0
2023-11-22,6.25,6.25,6.25,6.25,0
2023-11-23,6.25,6.25,6.25,6.25,0
2023-11-24,6.25,6.25,6.25,6.25,0
2023-11-27,6.25,6.25,6.25,6.25,0
2023-11-28,8.72,8.72,8.72,8.72,100
2023-11-29,8.72,8.72,8.72,8.72,0
2023-11-30,8.72,8.72,8.72,8.72,0
2023-12-01,8.72,8.72,8.72,8.72,0
2023-12-04,8.72,8.72,8.72,8.72,0
2023-12-05,8.72,8.72,8.72,8.72,0
2023-12-06,8.72,8.72,8.72,8.72,0
2023-12-07,8.72,8.72,8.72,8.72,0
2023-12-08,8.72,8.72,8.72,8.72,0
