date,open,high,low,close,volume
2024-01-30,15.56,15.86,15.56,15.6,29648
2024-01-31,15.56,15.67,15.48,15.48,83830
2024-02-01,15.48,15.56,15.45,15.48,33189
2024-02-02,15.45,15.93,15.45,15.71,91210
2024-02-05,15.74,15.78,15.48,15.56,17610
2024-02-06,15.56,15.74,15.48,15.71,44023
2024-02-07,15.67,15.89,15.63,15.78,42470
2024-02-15,15.86,15.93,15.71,15.82,38462
2024-02-16,15.82,16.19,15.82,16.04,58505
2024-02-19,16.01,16.15,15.86,16.08,62536
2024-02-20,16.08,16.3,16.01,16.08,38945
2024-02-21,16.15,16.23,16.01,16.01,54922
2024-02-22,16.01,16.08,15.86,15.89,27033
2024-02-23,15.89,16.01,15.78,15.78,54964
2024-02-26,15.86,16.23,15.86,16.15,79271
2024-02-27,16.23,17.27,16.15,17.27,342763
2024-02-28,17.87,17.87,17.16,17.35,73323
2024-02-29,17.35,17.68,16.6,17.05,96804
2024-03-01,16.94,17.79,16.94,17.46,234352
2024-03-04,17.46,17.64,17.27,17.38,124363
2024-03-05,17.31,17.46,16.97,17.46,57760
2024-03-06,17.46,17.46,16.82,16.9,112527
2024-03-07,16.94,18.05,16.94,18.05,421785
2024-03-08,18.24,18.54,17.83,17.9,271096
2024-03-11,18.35,18.5,17.87,18.09,153336
2024-03-12,18.09,18.35,17.94,18.02,118919
2024-03-13,18.02,18.91,17.79,18.61,311180
2024-03-14,18.95,18.95,18.42,18.54,168022
2024-03-15,18.42,18.91,17.94,18.76,174397
2024-03-18,18.76,18.76,17.64,18.02,240776
2024-03-19,18.39,18.39,17.83,18.13,93639
2024-03-20,18.13,18.46,17.98,18.31,128406
2024-03-21,18.69,18.69,18.31,18.46,126354
2024-03-22,18.54,18.54,18.31,18.39,46720
2024-03-25,18.39,19.36,18.28,18.5,100763
2024-03-26,18.39,18.46,17.94,18.46,19800
2024-03-27,18.57,18.91,18.35,18.46,47990
2024-03-28,18.5,18.95,18.39,18.61,69621
2024-03-29,18.61,18.61,18.39,18.57,24420
2024-04-01,18.54,18.54,18.2,18.46,43850
2024-04-02,18.54,18.54,18.24,18.35,81797
2024-04-03,18.54,18.54,18.24,18.24,72380
2024-04-04,18.28,18.28,17.87,18.02,88909
2024-04-05,17.87,18.16,17.87,18.02,47524
2024-04-08,18.02,18.02,17.68,17.72,30305
2024-04-09,17.64,18.09,17.57,18.09,50686
2024-04-10,18.09,18.24,17.79,17.83,34400
2024-04-11,17.83,17.9,17.72,17.75,21716
2024-04-12,17.87,17.98,17.75,17.79,24231
2024-04-15,18.24,18.24,16.68,16.68,89885
2024-04-16,16.71,16.97,16.08,16.45,174869
2024-04-17,16.45,16.68,16.27,16.3,53122
2024-04-19,16.23,16.38,15.22,15.97,75824
2024-04-22,17.08,17.08,16.12,16.97,138834
2024-04-23,16.97,17.49,16.97,17.27,74411
2024-04-24,17.79,17.79,17.35,17.57,94384
2024-04-25,17.2,17.61,17.2,17.49,122348
2024-04-26,17.49,17.79,17.12,17.49,46159
2024-05-02,17.87,18.02,17.49,17.87,51967
2024-05-03,18.02,18.02,17.75,17.75,68960
2024-05-06,17.83,18.24,17.75,18.24,113770
2024-05-07,18.46,18.46,18.05,18.05,71015
2024-05-08,18.02,18.05,17.75,17.75,103805
2024-05-09,17.83,18.02,17.72,17.72,33970
2024-05-10,17.72,18.05,17.72,17.87,108295
2024-05-13,17.79,18.24,17.68,17.68,62890
2024-05-14,17.68,17.83,17.42,17.79,116561
2024-05-15,17.72,18.2,17.61,18.09,114918
2024-05-16,18.24,18.31,17.98,17.98,131999
2024-05-17,17.98,18.02,17.79,17.79,96824
2024-05-20,17.87,17.9,17.75,17.79,144987
2024-05-21,17.72,17.94,17.46,17.68,61609
2024-05-22,17.75,18.09,17.75,17.75,66558
2024-05-23,17.75,17.79,17.57,17.75,113514
2024-05-24,17.87,17.87,17.12,17.12,228762
2024-05-27,17.12,17.42,16.38,17.2,210542
2024-05-28,17.35,17.35,17.01,17.08,138395
2024-05-29,17.12,17.12,17.01,17.01,67945
2024-05-30,16.79,16.97,16.49,16.79,122626
2024-05-31,16.53,17.27,16.53,16.75,129714
2024-06-03,17.2,17.85,17.16,17.61,214357
2024-06-04,17.61,18.02,17.36,17.77,885639
2024-06-05,17.85,19.0,17.85,19.0,1178037
