date,open,high,low,close,volume
2024-01-22,14.15,14.15,13.97,13.97,2201
2024-01-23,14.1,14.1,14.02,14.02,1100
2024-01-24,14.19,14.19,13.84,14.06,2300
2024-01-25,13.97,14.02,13.76,14.02,4121
2024-01-26,14.1,14.1,14.1,14.1,200
2024-01-29,14.1,14.15,14.02,14.1,14900
2024-01-30,13.84,14.1,13.84,14.1,13800
2024-01-31,14.1,14.1,14.06,14.1,15100
2024-02-01,14.1,14.1,14.1,14.1,17
2024-02-02,14.1,14.1,14.1,14.1,9113
2024-02-05,14.1,14.1,14.1,14.1,1
2024-02-06,14.1,14.23,14.1,14.1,3700
2024-02-07,14.1,14.1,14.1,14.1,5436
2024-02-15,14.1,14.1,14.1,14.1,6600
2024-02-16,14.1,14.27,13.76,14.27,2500
2024-02-19,14.23,14.27,14.15,14.23,12202
2024-02-20,14.23,14.23,14.1,14.15,5800
2024-02-21,14.15,14.19,14.15,14.19,10418
2024-02-22,14.15,14.23,14.1,14.19,8500
2024-02-23,14.19,14.27,14.1,14.15,7100
2024-02-26,14.27,14.27,14.19,14.19,400
2024-02-27,14.19,14.23,14.19,14.23,7815
2024-02-28,14.32,14.4,14.19,14.27,4910
2024-02-29,14.27,14.4,14.1,14.4,2220
2024-03-01,14.36,14.4,14.36,14.4,6800
2024-03-04,14.4,14.4,14.27,14.4,5900
2024-03-05,14.45,14.49,14.45,14.49,6401
2024-03-06,14.27,14.49,14.27,14.4,2800
2024-03-07,14.49,14.49,14.49,14.49,125
2024-03-08,14.4,14.4,14.32,14.36,4300
2024-03-11,14.32,14.36,14.27,14.36,8700
2024-03-12,14.36,14.36,14.19,14.19,2100
2024-03-13,14.36,15.05,14.36,14.96,10400
2024-03-14,14.96,14.96,14.96,14.96,2812
2024-03-15,14.7,14.96,14.62,14.96,8903
2024-03-18,14.88,14.88,14.79,14.79,2609
2024-03-19,14.62,14.62,14.45,14.45,4200
2024-03-20,14.45,14.88,14.45,14.88,3500
2024-03-21,14.88,14.88,14.53,14.58,5359
2024-03-22,14.88,14.88,14.7,14.7,8310
2024-03-25,14.7,14.7,14.7,14.7,3003
2024-03-26,14.49,14.96,14.49,14.96,9039
2024-03-27,14.62,14.92,14.62,14.92,3400
2024-03-28,14.58,14.88,14.49,14.88,801
2024-03-29,14.88,15.01,14.7,15.01,11200
2024-04-01,14.88,14.88,14.7,14.7,6923
2024-04-02,14.66,14.66,14.53,14.58,6300
2024-04-03,14.53,14.88,14.53,14.75,4205
2024-04-04,14.62,14.75,14.53,14.75,3500
2024-04-05,14.75,14.75,14.75,14.75,1
2024-04-08,14.88,14.88,14.62,14.62,1000
2024-04-09,14.58,14.58,14.02,14.02,525
2024-04-10,14.45,14.45,14.45,14.45,3300
2024-04-11,14.45,14.45,14.32,14.45,6501
2024-04-12,14.45,14.45,14.45,14.45,2
2024-04-15,14.23,14.36,14.19,14.19,9200
2024-04-16,14.19,14.19,13.76,13.76,9387
2024-04-17,13.93,13.93,13.84,13.84,3305
2024-04-19,13.93,13.93,13.84,13.93,14301
2024-04-22,14.19,14.19,14.06,14.15,6610
2024-04-23,14.15,14.19,14.15,14.19,4400
2024-04-24,14.27,14.27,14.19,14.19,3700
2024-04-25,14.4,14.4,14.4,14.4,200
2024-04-26,14.4,14.4,14.4,14.4,0
2024-05-02,13.97,14.32,13.84,14.32,8000
2024-05-03,14.27,14.27,13.8,14.02,15279
2024-05-06,14.02,14.1,14.02,14.1,5800
2024-05-07,14.1,14.19,14.1,14.15,3440
2024-05-08,14.15,14.19,14.15,14.19,3700
2024-05-09,14.19,14.19,14.15,14.19,4000
2024-05-10,14.23,14.23,14.1,14.1,5030
2024-05-13,14.19,14.23,13.76,14.15,12500
2024-05-14,14.19,14.19,14.15,14.15,8100
2024-05-15,14.19,14.79,14.19,14.58,8000
2024-05-16,14.27,14.27,14.27,14.27,600
2024-05-17,14.27,14.62,14.27,14.36,16232
2024-05-20,14.32,14.58,14.23,14.58,2520
2024-05-21,14.62,14.83,14.49,14.49,13334
2024-05-22,14.53,14.53,14.36,14.49,28759
2024-05-23,14.53,14.53,14.36,14.49,1500
2024-05-24,14.58,14.58,14.45,14.45,10338
2024-05-27,14.58,14.58,14.45,14.45,16300
2024-05-28,14.53,14.53,14.45,14.53,1900
2024-05-29,14.53,14.53,14.36,14.53,2300
2024-05-30,14.32,14.49,14.32,14.49,7501
2024-05-31,14.36,14.7,14.36,14.49,13401
2024-06-03,14.53,14.7,14.53,14.66,15164
2024-06-04,14.62,14.79,14.58,14.7,34963
2024-06-05,14.75,14.83,14.7,14.83,11300
2024-06-06,14.88,15.31,14.88,15.05,31665
2024-06-07,15.13,15.22,15.05,15.05,11920
2024-06-10,15.05,15.05,14.62,14.96,1600
2024-06-11,15.26,15.26,14.96,14.96,5100
2024-06-12,15.05,15.65,15.05,15.48,50000
2024-06-13,15.48,15.48,15.39,15.48,9050
2024-06-14,15.56,15.56,15.48,15.48,15400
2024-06-17,15.65,15.65,15.31,15.39,15606
2024-06-18,15.48,15.48,15.39,15.44,8500
2024-06-19,15.56,15.56,15.35,15.39,23483
2024-06-20,15.31,15.48,15.31,15.48,1108
2024-06-21,15.07,15.43,15.07,15.3,7951
2024-06-24,15.39,15.39,15.21,15.39,11401
2024-06-25,15.21,15.21,15.21,15.21,2000
2024-06-26,15.21,15.21,15.02,15.16,8201
2024-06-27,15.16,15.16,15.16,15.16,300
2024-06-28,15.16,15.16,15.02,15.16,4803
2024-07-01,15.16,15.16,15.16,15.16,32
2024-07-02,15.16,15.16,15.12,15.12,11510
2024-07-03,15.21,15.21,15.21,15.21,2000
2024-07-04,15.12,15.39,15.12,15.39,610
2024-07-05,15.34,15.43,15.21,15.3,11801
2024-07-08,15.39,15.39,15.39,15.39,3500
2024-07-09,15.3,15.66,15.12,15.66,20801
2024-07-10,15.66,15.66,15.66,15.66,30
2024-07-11,15.07,15.66,15.07,15.66,2300
2024-07-12,15.25,15.43,15.25,15.43,2100
2024-07-15,15.43,15.43,15.39,15.43,2300
2024-07-16,15.34,15.43,15.34,15.39,23000
2024-07-17,15.43,15.43,14.57,15.39,20200
2024-07-18,14.93,14.93,14.93,14.93,106
2024-07-19,15.02,15.07,14.93,15.07,10150
2024-07-22,15.07,15.07,15.07,15.07,0
2024-07-23,15.07,15.07,14.66,14.75,2300
2024-07-24,14.57,15.02,14.57,15.02,1100
2024-07-25,15.02,15.02,15.02,15.02,1000
2024-07-26,14.93,14.93,14.84,14.93,11542
2024-07-29,14.98,15.3,14.98,15.3,6000
2024-07-30,14.89,14.93,14.8,14.8,9500
2024-07-31,15.02,15.02,14.8,14.84,1400
2024-08-01,14.75,14.75,14.75,14.75,1301
2024-08-02,14.66,14.93,14.3,14.93,1100
2024-08-05,14.39,14.39,13.93,13.93,13800
2024-08-06,14.02,14.84,14.02,14.84,4700
2024-08-07,14.84,14.84,14.3,14.75,1916
2024-08-08,14.75,15.07,14.75,14.75,5536
2024-08-09,14.75,14.75,14.2,14.75,600
2024-08-12,14.75,14.89,14.66,14.89,9600
