date,open,high,low,close,volume
2023-11-14,32.5,33.0,32.1,32.1,3400
2023-11-15,32.15,32.8,32.1,32.1,5000
2023-11-16,32.1,32.15,32.1,32.15,2700
2023-11-17,32.3,32.3,32.3,32.3,100
2023-11-20,32.4,32.4,32.0,32.0,5105
2023-11-21,32.0,32.0,32.0,32.0,10500
2023-11-22,32.0,32.0,32.0,32.0,0
2023-11-23,32.05,32.5,32.0,32.5,2800
2023-11-24,32.5,32.5,32.5,32.5,0
2023-11-27,32.5,32.5,32.0,32.0,4500
2023-11-28,32.0,32.0,32.0,32.0,1000
2023-11-29,32.5,32.5,32.5,32.5,1059
2023-11-30,31.7,32.5,30.25,32.45,55200
2023-12-01,32.45,32.45,32.0,32.0,3200
2023-12-04,31.5,32.0,29.8,31.9,18900
2023-12-05,31.8,31.8,31.8,31.8,5300
2023-12-06,31.75,32.0,31.15,31.55,5826
2023-12-07,31.25,32.0,31.25,31.4,3800
2023-12-08,31.4,31.4,31.4,31.4,4074
2023-12-11,31.8,31.8,31.8,31.8,400
2023-12-12,31.8,32.0,31.8,32.0,1000
2023-12-13,32.0,32.45,31.8,31.8,9300
2023-12-14,32.25,32.3,32.0,32.0,1901
2023-12-15,32.0,32.0,31.8,31.8,710
2023-12-18,31.8,31.8,31.8,31.8,0
2023-12-19,31.8,32.0,31.8,32.0,300
2023-12-20,31.85,32.0,31.85,32.0,700
2023-12-21,32.5,32.5,32.5,32.5,550
2023-12-22,32.0,32.0,31.85,31.85,1100
2023-12-25,32.0,32.0,32.0,32.0,1102
2023-12-26,32.0,32.0,32.0,32.0,100
2023-12-27,32.0,32.1,32.0,32.1,1401
2023-12-28,32.1,32.5,32.1,32.15,2551
2023-12-29,32.2,32.6,32.2,32.5,3702
2024-01-02,32.3,32.5,32.0,32.2,6500
2024-01-03,32.2,32.9,32.2,32.9,4201
2024-01-04,32.8,32.8,32.4,32.4,719
2024-01-05,32.4,32.9,32.4,32.9,2920
2024-01-08,32.9,33.3,32.9,33.3,12504
2024-01-09,32.5,33.3,32.5,33.3,900
2024-01-10,33.3,33.3,33.3,33.3,0
2024-01-11,34.0,34.0,33.0,34.0,3200
2024-01-12,33.9,34.0,33.9,34.0,4000
2024-01-15,34.0,34.0,33.5,33.5,1500
2024-01-16,33.55,34.0,32.8,33.5,4300
2024-01-17,34.0,34.0,34.0,34.0,100
2024-01-18,33.0,34.0,33.0,34.0,5420
2024-01-19,34.0,34.0,33.95,34.0,2200
2024-01-22,34.0,36.0,34.0,35.9,7500
2024-01-23,35.5,36.2,35.5,36.15,4200
2024-01-24,35.1,36.9,35.1,36.3,2900
2024-01-25,36.65,36.65,36.0,36.05,6100
2024-01-26,35.0,36.2,35.0,36.15,1026
2024-01-29,36.6,36.8,36.0,36.7,20407
2024-01-30,36.8,37.0,36.25,36.8,3700
2024-01-31,36.8,36.8,36.15,36.75,1606
2024-02-01,36.8,36.8,36.75,36.75,800
2024-02-02,38.9,39.3,37.0,37.2,1100
2024-02-05,37.0,39.0,37.0,38.0,28811
2024-02-06,36.5,37.9,36.5,37.9,900
2024-02-07,37.7,37.9,36.35,37.9,34247
2024-02-15,37.3,37.3,36.8,36.8,7800
2024-02-16,37.0,37.0,36.65,36.65,13205
2024-02-19,36.65,37.0,36.65,37.0,4200
2024-02-20,37.4,37.4,36.5,37.0,2700
2024-02-21,37.0,37.0,36.5,36.9,2500
2024-02-22,36.9,36.9,36.9,36.9,200
2024-02-23,36.85,36.85,36.45,36.85,800
2024-02-26,36.0,37.1,36.0,37.1,1500
2024-02-27,37.05,37.1,37.05,37.1,1300
2024-02-28,37.05,37.05,37.05,37.05,100
2024-02-29,37.05,37.05,36.8,36.8,3000
2024-03-01,36.75,36.8,36.5,36.8,1600
2024-03-04,36.8,37.0,36.8,37.0,3839
2024-03-05,37.0,37.0,36.95,36.95,500
2024-03-06,36.95,37.05,36.8,36.95,3200
2024-03-07,36.95,38.0,36.95,38.0,15573
2024-03-08,38.0,38.0,37.3,37.3,5000
2024-03-11,38.0,38.0,37.0,37.3,13700
2024-03-12,36.6,37.2,36.6,37.2,2530
2024-03-13,37.3,37.65,37.3,37.4,6800
2024-03-14,37.4,38.0,37.4,37.6,6200
2024-03-15,37.6,38.4,37.6,38.4,7100
2024-03-18,37.9,38.5,37.9,38.4,13900
2024-03-19,37.55,38.4,37.5,38.4,10100
2024-03-20,38.0,38.7,38.0,38.7,1100
2024-03-21,38.7,38.7,38.7,38.7,0
2024-03-22,38.0,38.0,38.0,38.0,3510
2024-03-25,38.1,38.7,38.1,38.7,2300
2024-03-26,38.65,39.3,38.65,39.3,4800
2024-03-27,41.5,41.5,38.7,40.65,600
2024-03-28,40.65,40.65,40.65,40.65,9
2024-03-29,40.45,40.45,40.45,40.45,100
2024-04-01,40.4,40.45,40.4,40.45,3011
2024-04-02,40.1,40.45,39.05,39.05,1138
2024-04-03,39.0,40.25,39.0,40.25,33800
2024-04-04,40.0,40.2,39.8,40.2,15300
2024-04-05,40.2,40.2,40.2,40.2,0
2024-04-08,40.0,40.0,40.0,40.0,100
2024-04-09,38.8,38.8,38.8,38.8,319
2024-04-10,39.9,39.9,38.8,38.8,200
2024-04-11,38.8,38.8,38.8,38.8,0
2024-04-12,38.8,38.8,38.8,38.8,0
2024-04-15,38.8,38.8,38.0,38.0,7200
2024-04-16,37.9,37.9,37.1,37.8,4300
2024-04-17,39.6,39.6,39.4,39.45,1300
2024-04-19,37.8,38.6,37.6,38.6,9900
2024-04-22,39.3,39.5,36.0,38.4,1700
2024-04-23,38.2,38.4,38.2,38.2,4050
2024-04-24,38.25,38.25,37.0,37.0,300
2024-04-25,37.5,38.4,37.5,38.35,400
2024-04-26,38.35,38.35,38.35,38.35,0
2024-05-02,38.2,38.4,38.2,38.4,1500
2024-05-03,38.4,38.4,38.4,38.4,0
2024-05-06,38.4,38.4,38.4,38.4,0
2024-05-07,38.4,38.4,38.0,38.4,4900
2024-05-08,38.2,38.9,38.2,38.9,500
2024-05-09,38.0,38.5,38.0,38.1,1200
2024-05-10,38.1,40.5,38.1,40.5,5300
2024-05-13,40.5,40.5,40.5,40.5,0
2024-05-14,39.0,40.0,39.0,40.0,520
2024-05-15,40.0,40.0,40.0,40.0,9
2024-05-16,40.0,40.0,40.0,40.0,900
2024-05-17,39.9,39.9,39.9,39.9,100
2024-05-20,39.5,39.5,39.0,39.0,701
2024-05-21,39.0,39.0,39.0,39.0,2
2024-05-22,39.0,39.0,39.0,39.0,400
2024-05-23,39.0,39.3,38.7,39.3,9900
2024-05-24,39.2,39.2,38.3,38.3,15050
2024-05-27,38.3,38.8,38.2,38.8,1102
2024-05-28,38.8,38.8,38.8,38.8,1
2024-05-29,38.3,38.3,37.5,37.5,23013
2024-05-30,36.8,39.8,36.5,39.7,18900
2024-05-31,39.7,39.7,39.7,39.7,0
2024-06-03,39.8,40.0,39.8,40.0,2400
2024-06-04,39.8,39.8,37.5,38.9,1200
2024-06-05,38.8,38.8,38.8,38.8,120
2024-06-06,38.8,38.8,38.8,38.8,0
2024-06-07,37.85,39.6,37.85,38.1,1900
2024-06-10,38.1,38.1,38.1,38.1,0
2024-06-11,38.1,38.75,38.1,38.75,1600
2024-06-12,38.75,38.75,38.75,38.75,22
2024-06-13,38.75,38.75,38.75,38.75,0
2024-06-14,38.75,38.75,38.75,38.75,0
2024-06-17,38.75,38.75,38.75,38.75,8
2024-06-18,37.25,39.5,37.25,39.5,600
2024-06-19,39.45,39.45,39.45,39.45,100
2024-06-20,39.45,39.45,39.45,39.45,0
2024-06-21,39.45,39.45,39.45,39.45,2
2024-06-24,39.95,40.0,39.6,39.9,2000
2024-06-25,37.65,39.4,37.65,39.4,400
2024-06-26,39.4,39.4,39.4,39.4,1
2024-06-27,39.3,39.4,39.3,39.4,1100
2024-06-28,39.4,39.4,39.4,39.4,0
2024-07-01,37.7,37.85,37.7,37.8,3400
2024-07-02,37.8,37.8,37.8,37.8,0
2024-07-03,37.8,37.8,37.8,37.8,0
2024-07-04,38.0,38.1,38.0,38.1,700
2024-07-05,38.5,38.5,38.15,38.15,317
2024-07-08,38.5,38.5,38.5,38.5,300
2024-07-09,38.95,38.95,38.95,38.95,170
2024-07-10,38.95,38.95,38.95,38.95,0
2024-07-11,38.2,38.2,38.2,38.2,300
2024-07-12,38.05,39.0,38.05,39.0,300
2024-07-15,39.0,39.0,39.0,39.0,1800
2024-07-16,38.0,38.9,38.0,38.9,2164
2024-07-17,39.0,39.0,38.6,38.6,7900
2024-07-18,38.2,38.2,38.2,38.2,1000
2024-07-19,39.0,39.3,39.0,39.3,2200
2024-07-22,39.0,39.25,39.0,39.0,3300
2024-07-23,39.0,39.0,37.5,38.8,21303
2024-07-24,38.0,38.8,38.0,38.8,400
2024-07-25,38.8,39.0,38.8,38.95,3500
2024-07-29,38.8,38.8,38.8,38.8,100
2024-07-30,38.0,38.0,38.0,38.0,13100
2024-07-31,38.85,38.9,38.5,38.5,5500
2024-08-01,38.5,38.5,38.0,38.0,9100
2024-08-02,38.0,38.0,37.6,37.7,9900
2024-08-05,37.2,37.7,37.0,37.7,2800
2024-08-06,37.0,37.7,37.0,37.5,1200
2024-08-07,37.5,37.5,37.5,37.5,4200
2024-08-08,37.2,38.85,37.2,38.85,1800
2024-08-09,38.85,38.9,38.85,38.85,900
2024-08-12,36.8,36.8,36.8,36.8,100
2024-08-13,37.1,37.1,37.05,37.1,3100
2024-08-14,37.2,37.2,37.1,37.1,1000
2024-08-16,38.0,38.0,38.0,38.0,100
2024-08-19,38.5,38.5,38.5,38.5,200
2024-08-21,37.5,37.6,37.5,37.5,6900
2024-08-22,37.25,37.5,37.25,37.35,400
2024-08-23,37.5,38.55,37.5,38.05,800
2024-08-27,38.0,38.0,38.0,38.0,100
2024-08-29,37.3,37.35,37.3,37.35,600
2024-08-30,37.3,37.5,37.3,37.5,9600
2024-09-04,37.55,37.65,37.55,37.65,300
2024-09-05,37.7,37.7,37.7,37.7,1000
2024-09-09,37.7,37.7,37.7,37.7,500
2024-09-10,37.7,37.7,37.7,37.7,200
2024-09-11,37.45,37.45,37.2,37.2,3100
2024-09-12,37.1,38.35,37.0,38.35,5500
2024-09-13,38.3,38.3,38.3,38.3,100
2024-09-16,38.0,38.0,38.0,38.0,6500
2024-09-17,38.0,38.1,38.0,38.0,6200
2024-09-18,38.5,38.5,38.0,38.0,9100
2024-09-19,38.0,38.0,38.0,38.0,6300
2024-09-20,38.0,38.0,38.0,38.0,7400
