date,open,high,low,close,volume
2025-01-24,6.0,6.0,6.0,6.0,100
2025-02-14,6.5,6.5,6.5,6.5,100
2025-02-21,5.6,5.6,5.6,5.6,100
2025-04-11,6.4,6.4,6.4,6.4,100
2025-07-25,5.5,5.5,5.5,5.5,700
2025-08-01,4.7,4.7,4.7,4.7,2200
2025-08-08,4.0,4.1,4.0,4.0,4100
2025-08-15,3.4,3.4,3.4,3.4,100
2025-08-22,3.0,3.0,3.0,3.0,3200
2025-09-19,3.0,3.0,3.0,3.0,100
2025-11-14,2.6,2.6,2.6,2.6,400
2025-12-05,2.3,2.3,2.3,2.3,300
2025-12-26,2.0,2.0,2.0,2.0,400
2026-01-09,1.7,1.7,1.7,1.7,2100
2026-01-16,1.5,1.9,1.5,1.5,4300
2026-01-30,1.3,1.3,1.3,1.3,2100
2026-02-06,1.3,1.3,1.3,1.3,100
2026-02-13,1.3,1.3,1.2,1.2,4000
2026-02-27,1.2,1.2,1.1,1.1,3300
2026-03-06,1.2,1.2,1.2,1.2,500
2026-03-13,1.3,1.3,1.3,1.3,3600
2026-03-16,1.3,1.3,1.3,1.3,0.0
2026-03-17,1.3,1.3,1.3,1.3,0.0
2026-03-18,1.3,1.3,1.3,1.3,0.0
2026-03-19,1.3,1.3,1.3,1.3,0.0
2026-03-20,1.2,1.2,1.2,1.2,2500.0
2026-03-23,1.2,1.2,1.2,1.2,0.0
2026-03-24,1.2,1.2,1.2,1.2,0.0
2026-03-25,1.2,1.2,1.2,1.2,0.0
2026-03-26,1.2,1.2,1.2,1.2,0.0
2026-03-27,1.2,1.2,1.2,1.2,0.0
2026-03-30,1.2,1.2,1.2,1.2,0.0
2026-03-31,1.2,1.2,1.2,1.2,0.0
2026-04-01,1.2,1.2,1.2,1.2,0.0
2026-04-02,1.2,1.2,1.2,1.2,0.0
2026-04-03,1.2,1.2,1.2,1.2,0.0
2026-04-06,1.2,1.2,1.2,1.2,0.0
2026-04-07,1.2,1.2,1.2,1.2,0.0
2026-04-08,1.2,1.2,1.2,1.2,0.0
2026-04-09,1.2,1.2,1.2,1.2,0.0
2026-04-10,1.2,1.2,1.2,1.2,0.0
2026-04-13,1.2,1.2,1.2,1.2,0.0
2026-04-14,1.2,1.2,1.2,1.2,0.0
2026-04-15,1.2,1.2,1.2,1.2,0.0
2026-04-16,1.2,1.2,1.2,1.2,0.0
2026-04-17,1.1,1.1,1.1,1.1,1000.0
2026-04-20,1.1,1.1,1.1,1.1,0.0
2026-04-21,1.1,1.1,1.1,1.1,0.0
2026-04-22,1.1,1.1,1.1,1.1,0.0
2026-04-23,1.1,1.1,1.1,1.1,0.0
2026-04-24,1.1,1.1,1.1,1.1,0.0
2026-04-28,1.1,1.1,1.1,1.1,0.0
2026-04-29,1.1,1.1,1.1,1.1,0.0
