date,open,high,low,close,volume
2023-09-29,5.8,6.3,5.8,6.2,33100
2023-10-02,6.0,6.2,5.9,6.2,32300
2023-10-03,6.0,6.4,6.0,6.2,48100
2023-10-04,6.2,6.2,6.2,6.2,3000
2023-10-05,6.2,6.2,6.0,6.2,17700
2023-10-06,6.2,6.3,6.1,6.3,5000
2023-10-09,6.1,6.9,6.1,6.7,65800
2023-10-10,6.7,6.7,6.6,6.7,10300
2023-10-11,6.5,6.7,6.4,6.7,19000
2023-10-12,6.7,6.7,6.5,6.7,13400
2023-10-13,6.7,6.7,6.7,6.7,64
2023-10-16,6.4,6.7,6.3,6.7,3600
2023-10-17,6.5,6.6,6.4,6.6,12200
2023-10-18,6.5,6.5,6.0,6.1,29000
2023-10-19,6.1,6.1,5.8,6.1,21800
2023-10-20,6.1,6.3,6.0,6.2,7400
2023-10-23,6.3,6.3,6.2,6.2,17822
2023-10-24,6.3,6.4,6.2,6.4,11200
2023-10-25,6.4,6.4,6.3,6.3,12200
2023-10-26,6.2,6.2,5.8,6.0,19000
2023-10-27,5.9,6.1,5.5,6.1,10200
2023-10-30,5.8,6.1,5.6,6.0,13415
2023-10-31,5.8,5.8,5.6,5.7,13000
2023-11-01,5.9,5.9,5.9,5.9,500
2023-11-02,6.0,6.1,5.9,6.0,3000
2023-11-03,6.1,6.1,6.0,6.0,20400
2023-11-06,6.2,6.3,6.0,6.2,18600
2023-11-07,6.2,6.2,6.1,6.2,5101
2023-11-08,6.3,6.3,6.1,6.3,5500
2023-11-09,6.3,6.5,6.3,6.4,32500
2023-11-10,6.3,6.4,6.3,6.4,4100
2023-11-13,6.2,6.4,6.1,6.4,19010
2023-11-14,6.2,6.3,6.1,6.3,6080
2023-11-15,6.4,6.4,6.2,6.2,23721
2023-11-16,6.3,6.3,6.2,6.3,5900
2023-11-17,6.2,6.3,6.1,6.3,2900
2023-11-20,6.3,6.3,6.2,6.3,8900
2023-11-21,6.2,6.4,6.0,6.2,20900
2023-11-22,6.3,6.3,6.0,6.2,53500
2023-11-23,6.1,6.4,6.1,6.2,64300
2023-11-24,6.2,6.2,6.1,6.2,4800
2023-11-27,6.1,6.3,6.0,6.3,25600
2023-11-28,6.1,6.3,6.1,6.3,1500
2023-11-29,6.2,6.3,6.1,6.3,7400
2023-11-30,6.2,6.3,6.2,6.2,6600
2023-12-01,6.1,6.3,6.1,6.1,7800
2023-12-04,6.2,6.2,6.0,6.2,13700
2023-12-05,6.1,6.2,6.0,6.2,16000
2023-12-06,6.1,6.1,6.1,6.1,3800
2023-12-07,6.0,6.1,5.9,6.1,38400
2023-12-08,6.1,6.1,6.0,6.1,9100
2023-12-11,6.0,6.1,5.8,5.8,13400
2023-12-12,6.0,6.1,5.9,6.1,21400
2023-12-13,6.0,6.2,6.0,6.2,4400
2023-12-14,5.9,6.2,5.9,6.2,200
2023-12-15,6.0,6.1,5.9,6.1,17507
2023-12-18,6.0,6.0,5.9,5.9,7200
2023-12-19,5.8,6.1,5.8,6.0,5500
2023-12-20,6.0,6.1,6.0,6.1,1000
2023-12-21,6.1,6.1,6.1,6.1,0
2023-12-22,6.1,6.1,6.1,6.1,0
2023-12-25,6.1,6.1,6.1,6.1,1800
2023-12-26,5.8,6.0,5.8,5.8,24000
2023-12-27,6.1,6.1,6.1,6.1,100
2023-12-28,6.1,6.2,5.8,6.2,19400
2023-12-29,6.2,6.2,6.2,6.2,0
2024-01-02,6.2,6.2,6.2,6.2,0
2024-01-03,6.0,6.2,5.9,6.2,3300
2024-01-04,6.1,6.2,5.8,6.1,3600
2024-01-05,5.9,6.1,5.9,6.1,1400
2024-01-08,6.0,6.1,6.0,6.1,2500
2024-01-09,5.9,6.1,5.9,6.0,4200
2024-01-10,6.1,6.1,6.1,6.1,100
2024-01-11,5.9,6.1,5.9,6.1,2200
2024-01-12,6.1,6.3,6.0,6.1,33000
2024-01-15,6.1,6.2,6.1,6.1,18900
2024-01-16,6.1,6.1,6.1,6.1,10600
2024-01-17,6.2,6.2,6.0,6.1,4800
2024-01-18,6.1,6.1,6.1,6.1,3100
2024-01-19,6.1,6.2,6.0,6.2,6300
2024-01-22,6.2,6.4,6.2,6.4,7400
2024-01-23,6.4,6.4,6.2,6.4,22300
2024-01-24,6.3,6.4,6.3,6.4,14200
2024-01-25,6.4,7.0,6.4,7.0,180103
2024-01-26,7.6,7.7,7.6,7.7,107212
2024-01-29,8.4,8.4,7.0,7.6,216853
2024-01-30,7.2,7.7,6.9,7.6,101500
2024-01-31,7.7,7.7,7.1,7.1,21500
2024-02-01,7.3,7.3,6.9,6.9,35200
2024-02-02,6.8,6.8,6.7,6.8,9400
2024-02-05,6.7,6.8,6.5,6.8,60800
2024-02-06,6.8,6.8,6.5,6.8,15900
2024-02-07,6.8,6.8,6.5,6.7,31000
2024-02-15,6.7,7.2,6.7,7.2,25500
2024-02-16,7.1,7.2,7.1,7.2,9600
2024-02-19,7.2,7.2,6.8,7.1,11300
2024-02-20,6.8,7.0,6.8,6.9,19000
2024-02-21,6.9,6.9,6.3,6.9,23600
2024-02-22,6.8,7.1,6.8,7.1,43700
2024-02-23,7.1,7.1,6.9,7.1,52200
2024-02-26,6.9,7.2,6.9,7.2,11700
2024-02-27,7.2,7.2,6.7,6.9,38600
2024-02-28,7.0,7.0,6.9,6.9,19700
2024-02-29,6.8,7.0,6.8,7.0,1500
2024-03-01,6.9,7.1,6.8,6.8,8000
2024-03-04,6.8,7.0,6.6,7.0,13800
2024-03-05,7.0,7.1,7.0,7.1,2600
2024-03-06,6.9,6.9,6.8,6.8,14400
2024-03-07,6.8,6.8,6.7,6.7,7800
2024-03-08,6.7,7.1,6.6,6.8,8400
2024-03-11,6.7,7.1,6.5,6.7,13200
2024-03-12,6.7,7.0,6.7,6.9,5000
2024-03-13,6.9,7.0,6.9,7.0,1400
2024-03-14,7.1,7.1,6.9,7.0,4200
2024-03-15,7.1,7.1,6.9,7.1,7900
2024-03-18,6.9,7.0,6.8,7.0,10600
2024-03-19,7.1,7.1,7.0,7.1,36500
2024-03-20,6.9,7.1,6.9,6.9,5600
2024-03-21,7.1,7.1,6.9,7.0,2600
2024-03-22,7.1,7.4,7.0,7.2,36500
2024-03-25,7.3,7.5,7.3,7.5,8100
2024-03-26,7.5,7.8,7.2,7.8,18000
2024-03-27,7.7,7.7,7.3,7.7,4408
2024-03-28,7.5,7.7,7.4,7.6,8800
2024-03-29,7.6,7.7,7.5,7.6,9100
2024-04-01,7.5,7.7,7.3,7.5,5300
2024-04-02,7.4,7.6,7.3,7.6,3300
2024-04-03,7.6,7.6,7.1,7.6,15800
2024-04-04,7.3,7.5,7.2,7.5,8500
2024-04-05,7.5,7.6,7.3,7.5,5200
2024-04-08,7.3,7.5,7.3,7.4,2800
2024-04-09,7.3,7.4,7.3,7.4,2900
2024-04-10,7.4,7.5,7.4,7.4,3500
2024-04-11,7.3,7.4,7.2,7.4,7100
2024-04-12,7.3,7.3,7.3,7.3,700
2024-04-15,7.2,7.4,6.9,6.9,21600
2024-04-16,6.8,6.9,6.6,6.8,64700
2024-04-17,7.2,7.2,6.6,6.6,8100
2024-04-19,6.8,6.8,6.6,6.8,3300
2024-04-22,6.8,7.0,6.8,6.8,15400
2024-04-23,6.7,6.8,6.7,6.8,18700
2024-04-24,6.8,6.8,6.8,6.8,1200
2024-04-25,6.8,6.9,6.7,6.9,3500
2024-04-26,6.7,7.0,6.7,7.0,1700
2024-05-02,7.0,7.0,6.8,7.0,2600
2024-05-03,6.8,6.9,6.7,6.9,5000
2024-05-06,6.8,6.9,6.5,6.9,14000
2024-05-07,6.7,7.0,6.6,6.7,12100
2024-05-08,6.8,6.9,6.7,6.9,4200
2024-05-09,6.7,6.9,6.7,6.9,7800
2024-05-10,6.9,6.9,6.9,6.9,900
2024-05-13,6.7,6.9,6.6,6.9,2400
2024-05-14,6.7,6.9,6.7,6.9,2200
2024-05-15,6.8,6.9,6.6,6.8,16701
2024-05-16,6.8,6.9,6.7,6.9,2813
2024-05-17,6.8,6.9,6.7,6.9,15100
2024-05-20,6.7,6.9,6.6,6.9,75300
2024-05-21,6.9,7.0,6.8,6.9,23223
2024-05-22,6.9,7.0,6.6,6.9,48506
2024-05-23,6.8,6.9,6.8,6.9,8620
2024-05-24,6.8,6.9,6.7,6.9,42800
2024-05-27,6.7,6.9,6.7,6.9,16100
2024-05-28,6.9,6.9,6.7,6.9,6200
2024-05-29,6.9,6.9,6.8,6.9,50200
2024-05-30,6.8,6.9,6.8,6.9,5600
2024-05-31,6.9,6.9,6.8,6.9,3304
2024-06-03,6.8,7.5,6.8,7.5,138513
2024-06-04,8.1,8.2,8.0,8.0,245900
2024-06-05,8.0,8.2,7.5,8.0,42100
2024-06-06,8.0,8.7,7.6,8.6,68502
2024-06-07,8.2,8.4,7.8,7.9,23204
2024-06-10,8.1,8.1,7.6,8.0,4102
2024-06-11,8.0,8.0,7.2,7.3,202500
2024-06-12,7.3,7.6,6.9,7.4,39804
2024-06-13,7.5,7.6,7.0,7.5,10800
2024-06-14,7.5,8.2,7.2,7.5,35401
2024-06-17,7.5,8.2,7.3,7.7,46501
2024-06-18,7.7,7.7,7.0,7.0,166140
2024-06-19,7.0,7.2,6.7,7.2,44100
2024-06-20,7.6,7.6,6.7,7.1,44000
2024-06-21,6.8,7.2,6.8,7.2,17000
2024-06-24,7.1,7.3,6.9,7.3,14300
2024-06-25,7.0,7.3,6.9,7.2,13322
2024-06-26,7.1,7.2,7.1,7.2,2100
2024-06-27,7.0,7.2,7.0,7.2,2100
2024-06-28,7.1,7.1,7.0,7.1,4805
2024-07-01,7.0,7.1,7.0,7.0,5900
2024-07-02,7.2,7.2,7.2,7.2,200
2024-07-03,7.0,7.2,7.0,7.2,6205
2024-07-04,7.0,7.2,7.0,7.2,3100
2024-07-05,7.0,7.1,7.0,7.1,3800
2024-07-08,7.1,7.1,7.0,7.0,7800
2024-07-09,6.9,7.0,6.9,7.0,900
2024-07-10,7.0,7.0,7.0,7.0,500
2024-07-11,7.0,7.0,6.9,7.0,3000
2024-07-12,6.9,7.1,6.6,7.0,8205
2024-07-15,6.9,7.0,6.9,7.0,10110
2024-07-16,7.0,7.0,7.0,7.0,0
2024-07-17,7.0,7.0,6.9,7.0,7100
2024-07-18,6.7,7.0,6.5,7.0,13000
2024-07-19,7.1,7.1,6.9,7.0,9000
2024-07-22,6.8,6.8,6.6,6.8,10900
2024-07-23,6.6,6.6,6.4,6.6,15100
2024-07-24,6.4,6.7,6.3,6.7,28800
2024-07-25,6.7,6.7,6.7,6.7,1700
2024-07-29,6.7,6.8,6.5,6.8,3500
2024-07-31,6.7,6.7,6.4,6.7,2400
2024-08-02,6.4,6.7,6.4,6.7,600
2024-08-05,6.3,6.7,6.2,6.7,11700
2024-08-06,6.2,6.6,6.2,6.6,18600
2024-08-07,6.2,6.4,6.1,6.2,13300
2024-08-08,6.5,6.5,6.5,6.5,100
2024-08-12,6.6,6.6,6.6,6.6,100
2024-08-16,6.2,6.6,6.2,6.6,900
2024-08-19,6.2,7.0,6.2,6.6,8500
2024-08-20,6.7,6.7,6.7,6.7,200
2024-08-21,6.4,6.8,6.4,6.8,300
2024-08-23,6.5,6.6,6.5,6.6,1100
2024-08-27,6.5,6.6,6.5,6.6,700
2024-08-28,6.3,6.5,6.3,6.5,600
2024-08-29,6.6,6.6,6.6,6.6,100
2024-08-30,6.3,6.6,6.2,6.6,3300
2024-09-04,6.3,6.5,6.2,6.5,5100
2024-09-05,6.5,6.5,6.0,6.0,9900
2024-09-06,6.5,6.5,6.0,6.4,3500
2024-09-09,6.5,6.5,6.0,6.4,1600
2024-09-10,6.0,6.4,6.0,6.4,4400
2024-09-11,6.0,6.0,6.0,6.0,3500
2024-09-12,6.4,6.4,6.2,6.2,700
2024-09-13,6.2,6.2,6.1,6.1,1200
2024-09-16,6.3,6.3,5.9,6.3,6800
2024-09-17,6.0,6.3,5.9,6.3,1100
2024-09-18,6.0,6.3,5.9,6.3,1300
2024-09-19,5.9,6.3,5.9,6.3,1000
2024-09-20,6.0,6.3,5.9,6.2,1100
2024-09-23,6.0,6.0,5.9,5.9,5500
2024-09-24,6.2,6.2,5.9,6.1,1000
2024-09-25,5.9,6.3,5.9,6.2,2500
2024-09-26,6.0,6.3,6.0,6.1,10900
2024-09-27,6.2,6.2,6.0,6.0,7200
2024-09-30,6.0,6.1,5.9,6.0,10700
2024-10-01,6.0,6.1,6.0,6.0,19000
2024-10-02,6.1,6.1,6.0,6.0,3600
2024-10-03,5.9,6.1,5.9,6.1,1200
2024-10-04,5.9,6.1,5.9,6.1,700
2024-10-07,6.1,6.2,6.1,6.1,3100
2024-10-08,6.0,6.0,5.7,6.0,32800
2024-10-09,6.1,6.1,6.0,6.1,1400
2024-10-10,5.9,6.1,5.8,6.1,1100
2024-10-11,5.8,6.1,5.8,6.0,700
2024-10-14,5.9,5.9,5.7,5.7,10200
2024-10-15,6.0,6.0,5.8,6.0,3300
2024-10-16,6.0,6.0,5.8,5.8,1000
2024-10-17,6.0,6.0,5.7,6.0,6800
2024-10-18,5.8,6.0,5.7,5.9,6700
2024-10-21,5.9,6.1,5.9,6.1,1100
2024-10-22,5.8,6.1,5.7,6.0,14600
2024-10-23,6.1,6.1,5.8,6.0,2900
2024-10-24,5.8,6.1,5.8,6.1,2900
2024-10-25,6.1,6.1,5.8,6.1,1700
2024-10-28,5.8,6.1,5.7,5.9,1700
2024-10-29,6.0,6.1,5.8,6.0,3700
2024-10-30,5.8,6.0,5.7,6.0,34900
2024-10-31,5.7,6.0,5.7,6.0,14300
2024-11-04,5.8,5.8,5.7,5.7,6100
2024-11-05,5.8,5.8,5.8,5.8,500
2024-11-06,5.8,6.3,5.8,6.2,30800
2024-11-07,5.6,6.2,5.6,6.2,2200
2024-11-11,6.2,6.4,6.1,6.1,16600
2024-11-12,6.3,6.3,6.3,6.3,100
2024-11-13,6.3,6.3,6.0,6.2,400
2024-11-14,6.3,6.3,6.0,6.0,200
2024-11-15,6.0,6.3,6.0,6.3,500
2024-11-18,6.0,6.0,5.9,6.0,4300
2024-11-19,5.9,6.1,5.9,6.1,300
2024-11-20,5.8,6.1,5.8,6.1,2300
2024-11-25,5.8,6.1,5.8,6.1,6800
2024-11-26,6.0,6.0,6.0,6.0,1000
2024-11-27,6.0,6.0,6.0,6.0,1400
2024-11-28,6.2,6.6,6.1,6.6,75800
2024-11-29,6.6,6.6,6.4,6.5,500
2024-12-02,6.5,6.7,6.1,6.7,24200
2024-12-03,6.7,6.7,6.3,6.5,31600
2024-12-04,6.5,6.5,6.3,6.3,2600
2024-12-05,6.3,6.9,6.3,6.9,100600
2024-12-09,6.7,6.9,6.5,6.9,21500
2024-12-10,6.9,7.0,6.9,6.9,36200
