date,open,high,low,close,volume
2023-09-07,16.55,16.55,16.55,16.55,100
2023-09-08,15.45,16.3,15.45,16.3,1500
2023-09-11,14.86,15.45,14.86,15.45,1300
2023-09-12,15.45,15.45,15.45,15.45,0
2023-09-13,15.45,15.45,15.45,15.45,0
2023-09-14,15.45,15.45,15.45,15.45,0
2023-09-15,15.28,15.87,15.11,15.87,2500
2023-09-18,14.43,15.2,14.43,15.2,200
2023-09-19,15.2,15.28,15.2,15.2,900
2023-09-20,15.2,15.2,15.11,15.2,3500
2023-09-21,16.47,16.47,16.47,16.47,100
2023-09-22,16.47,16.47,16.47,16.47,0
2023-09-25,15.2,15.28,15.2,15.2,2100
2023-09-26,15.2,15.2,15.2,15.2,0
2023-09-27,15.79,15.79,15.79,15.79,100
2023-09-28,15.7,15.79,15.7,15.79,400
2023-09-29,16.64,16.64,16.64,16.64,100
2023-10-02,15.28,15.28,15.28,15.28,100
2023-10-03,15.28,15.28,15.28,15.28,0
2023-10-04,15.28,15.28,15.28,15.28,0
2023-10-05,15.28,15.28,15.28,15.28,100
2023-10-06,15.28,15.28,15.28,15.28,0
2023-10-09,15.28,15.28,15.28,15.28,0
2023-10-10,15.28,15.28,14.86,14.86,200
2023-10-11,15.03,15.03,15.03,15.03,600
2023-10-12,15.28,15.28,15.28,15.28,600
2023-10-13,15.28,15.28,15.28,15.28,0
2023-10-16,15.28,15.28,15.28,15.28,0
2023-10-17,15.2,15.2,15.2,15.2,100
2023-10-18,15.2,15.2,15.11,15.2,8900
2023-10-19,15.2,15.2,15.2,15.2,0
2023-10-20,15.2,15.2,15.2,15.2,0
2023-10-23,15.2,15.2,15.2,15.2,0
2023-10-24,15.36,15.53,15.36,15.45,3000
2023-10-25,15.45,15.45,15.45,15.45,0
2023-10-26,15.28,15.28,15.2,15.2,1100
2023-10-27,15.36,15.36,15.36,15.36,1300
2023-10-30,15.36,15.36,15.36,15.36,0
2023-10-31,15.36,15.36,15.36,15.36,3700
2023-11-01,15.36,15.36,15.36,15.36,1900
2023-11-02,15.36,15.36,15.36,15.36,0
2023-11-03,15.36,15.36,15.36,15.36,0
2023-11-06,15.36,15.36,15.36,15.36,0
2023-11-07,15.36,15.36,15.36,15.36,0
2023-11-08,15.36,15.36,15.36,15.36,0
2023-11-09,16.89,16.89,16.89,16.89,100
2023-11-10,16.89,16.89,16.89,16.89,0
2023-11-13,16.89,16.89,16.89,16.89,0
2023-11-14,16.89,16.89,16.89,16.89,0
2023-11-15,16.89,16.89,16.89,16.89,0
2023-11-16,16.89,16.89,16.89,16.89,0
2023-11-17,16.89,16.89,16.89,16.89,0
2023-11-20,16.89,16.89,16.89,16.89,0
2023-11-21,15.28,15.28,15.28,15.28,400
2023-11-22,15.28,15.28,15.28,15.28,0
2023-11-23,15.28,15.28,15.28,15.28,0
2023-11-24,15.45,15.45,15.45,15.45,200
2023-11-27,15.45,15.45,15.45,15.45,0
2023-11-28,15.45,15.45,15.45,15.45,0
2023-11-29,15.45,15.45,15.45,15.45,0
2023-11-30,15.36,15.36,15.36,15.36,2000
2023-12-01,15.36,15.36,15.36,15.36,0
2023-12-04,15.36,15.36,15.36,15.36,0
2023-12-05,15.36,15.36,15.36,15.36,0
2023-12-06,15.36,15.36,15.36,15.36,0
2023-12-07,15.36,15.36,15.36,15.36,0
2023-12-08,15.36,15.36,15.36,15.36,0
2023-12-11,15.36,15.36,15.36,15.36,0
2023-12-12,15.45,15.53,15.45,15.53,700
2023-12-13,15.53,15.53,15.53,15.53,0
2023-12-14,15.53,15.53,15.53,15.53,0
2023-12-15,15.53,15.53,15.53,15.53,0
2023-12-18,15.53,15.53,15.53,15.53,0
2023-12-19,15.28,15.28,15.28,15.28,200
2023-12-20,15.36,15.36,15.36,15.36,500
2023-12-21,15.36,15.36,15.36,15.36,0
2023-12-22,15.36,15.36,15.36,15.36,0
2023-12-25,15.36,15.36,15.36,15.36,0
2023-12-26,15.45,15.45,15.45,15.45,200
2023-12-27,16.98,16.98,16.98,16.98,300
