date,open,high,low,close,volume
2023-04-13,9.5,9.5,9.5,9.5,500
2023-04-14,9.5,9.5,9.5,9.5,0
2023-04-17,8.7,8.7,8.6,8.6,1500
2023-04-18,8.6,8.6,8.6,8.6,86
2023-04-19,8.6,8.6,8.6,8.6,9
2023-04-20,8.6,8.6,8.6,8.6,0
2023-04-21,8.6,8.6,8.6,8.6,0
2023-04-24,8.6,8.6,8.6,8.6,5
2023-04-25,8.6,8.6,8.6,8.6,0
2023-04-26,8.0,8.2,8.0,8.2,2137
2023-04-27,8.0,8.5,8.0,8.5,1100
2023-04-28,8.3,8.3,8.2,8.2,1200
2023-05-04,8.1,8.8,8.1,8.8,200
2023-05-05,8.8,8.8,8.8,8.8,2100
2023-05-08,8.8,8.8,8.8,8.8,0
2023-05-09,8.8,8.8,8.8,8.8,0
2023-05-10,8.3,8.3,8.3,8.3,101
2023-05-11,8.3,8.8,8.3,8.3,2595
2023-05-12,8.3,8.3,8.3,8.3,59
2023-05-15,7.9,8.1,7.9,8.1,200
2023-05-16,8.5,8.8,8.5,8.8,2160
2023-05-17,8.8,8.8,8.8,8.8,2033
2023-05-18,9.0,9.0,9.0,9.0,2000
2023-05-19,8.5,8.5,8.2,8.2,533
2023-05-22,8.9,8.9,8.9,8.9,3200
2023-05-23,8.2,8.5,8.1,8.5,1005
2023-05-24,8.6,8.6,7.9,7.9,2300
2023-05-25,7.9,7.9,7.9,7.9,0
2023-05-26,8.3,8.3,8.0,8.3,5400
2023-05-29,8.3,8.6,8.3,8.6,6200
2023-05-30,8.6,8.6,8.5,8.6,35100
2023-05-31,8.7,9.4,8.5,9.4,47401
2023-06-01,10.1,10.1,9.6,9.7,6500
2023-06-02,10.5,10.5,9.6,9.6,700
2023-06-05,8.8,9.5,8.8,9.5,11500
2023-06-06,9.4,9.4,9.4,9.4,2400
2023-06-07,9.5,9.7,9.5,9.5,9920
2023-06-08,9.5,9.9,9.5,9.9,10400
2023-06-09,9.7,9.7,9.7,9.7,1000
2023-06-12,9.6,9.6,9.5,9.5,7600
2023-06-13,9.3,9.6,9.2,9.5,11400
2023-06-14,9.5,9.6,9.4,9.5,22860
2023-06-15,9.5,9.6,9.4,9.4,14200
2023-06-16,10.1,10.1,9.3,9.3,3100
2023-06-19,9.0,10.0,9.0,10.0,6700
2023-06-20,10.0,10.0,9.4,9.9,11900
2023-06-21,9.9,9.9,9.9,9.9,0
2023-06-22,9.2,10.4,9.2,10.4,12181
2023-06-23,10.0,10.7,9.6,10.7,18920
2023-06-26,9.7,10.6,9.7,10.6,3300
2023-06-27,10.6,11.4,9.7,10.6,10324
2023-06-28,10.6,11.0,9.9,11.0,6400
2023-06-29,10.1,10.5,10.0,10.5,5500
2023-06-30,10.2,10.3,10.2,10.3,2104
2023-07-03,10.4,11.0,10.4,11.0,8203
2023-07-04,10.9,12.0,10.2,11.0,68002
2023-07-05,10.2,10.8,10.1,10.8,7601
2023-07-06,10.0,10.0,10.0,10.0,3500
2023-07-07,10.5,10.6,10.0,10.4,5800
2023-07-10,9.6,10.6,9.5,10.6,2200
2023-07-11,10.0,10.4,10.0,10.4,11100
2023-07-12,10.3,10.3,9.7,10.0,19500
2023-07-13,10.0,10.1,9.8,9.8,23510
2023-07-14,10.0,10.0,10.0,10.0,7700
2023-07-17,10.0,10.0,10.0,10.0,0
2023-07-18,9.6,9.6,9.5,9.5,4600
2023-07-19,10.2,10.2,10.2,10.2,501
2023-07-20,10.2,10.2,10.2,10.2,1
2023-07-21,9.4,9.7,9.3,9.7,14415
2023-07-24,9.2,9.7,9.2,9.7,12706
2023-07-25,9.8,9.8,9.8,9.8,100
2023-07-26,9.7,9.7,9.3,9.6,11401
2023-07-27,9.5,9.6,9.4,9.6,10101
2023-07-28,9.7,9.7,9.1,9.1,16000
2023-07-31,9.0,9.5,9.0,9.5,14600
2023-08-01,9.1,9.5,9.0,9.5,21400
2023-08-02,9.4,9.4,9.4,9.4,100
2023-08-03,9.0,9.1,9.0,9.0,480
2023-08-04,9.3,9.3,9.3,9.3,562
2023-08-07,9.3,9.3,8.5,9.2,8601
2023-08-08,9.2,9.2,9.2,9.2,100
2023-08-09,9.2,9.3,8.4,9.2,18200
2023-08-10,9.2,9.3,9.2,9.2,3300
2023-08-11,9.0,9.2,8.7,9.2,5200
2023-08-14,9.3,9.4,9.2,9.2,9900
2023-08-15,9.1,9.2,9.1,9.2,4800
2023-08-16,9.4,9.4,9.0,9.0,600
2023-08-17,9.2,9.3,9.2,9.3,2622
2023-08-18,9.2,9.3,9.2,9.3,28000
2023-08-21,9.0,9.4,9.0,9.4,2800
2023-08-22,9.5,9.5,9.4,9.4,11200
