date,open,high,low,close,volume
2024-01-30,28.18,28.18,28.18,28.18,10
2024-01-31,28.18,28.18,28.18,28.18,0
2024-02-01,27.03,27.03,25.87,25.87,200
2024-02-02,27.03,27.03,27.03,27.03,500
2024-02-05,27.89,27.89,25.48,25.48,3916
2024-02-06,26.54,26.54,26.54,26.54,100
2024-02-07,27.03,27.03,26.54,26.54,503
2024-02-15,27.12,27.8,27.03,27.8,600
2024-02-16,27.99,27.99,27.8,27.8,601
2024-02-19,28.86,28.86,27.8,27.8,1001
2024-02-20,27.99,27.99,27.8,27.8,600
2024-02-21,27.8,27.8,27.8,27.8,1001
2024-02-22,27.8,27.8,27.8,27.8,235
2024-02-23,27.8,27.8,27.8,27.8,0
2024-02-26,27.99,27.99,27.99,27.99,102
2024-02-27,27.99,27.99,27.99,27.99,100
2024-02-28,27.99,27.99,27.99,27.99,300
2024-02-29,27.99,27.99,27.99,27.99,200
2024-03-01,27.99,27.99,27.99,27.99,1001
2024-03-04,27.99,27.99,27.99,27.99,69
2024-03-05,27.99,27.99,27.99,27.99,1
2024-03-06,27.99,27.99,27.99,27.99,1
2024-03-07,25.67,25.67,25.67,25.67,1501
2024-03-08,24.61,24.61,24.61,24.61,2700
2024-03-11,24.61,24.61,24.61,24.61,0
2024-03-12,26.93,26.93,26.93,26.93,100
2024-03-13,24.81,24.81,24.81,24.81,300
2024-03-14,26.83,26.83,26.83,26.83,114
2024-03-15,26.83,26.83,26.83,26.83,43
2024-03-18,26.06,26.06,26.06,26.06,1101
2024-03-19,26.06,26.06,26.06,26.06,0
2024-03-20,26.06,26.06,26.06,26.06,0
2024-03-21,27.51,27.51,27.51,27.51,193
2024-03-22,25.96,25.96,25.38,25.38,1700
2024-03-25,25.1,25.1,25.1,25.1,141
2024-03-26,24.13,26.74,24.13,26.74,2000
2024-03-27,26.74,26.74,26.74,26.74,1
2024-03-28,26.74,26.74,25.1,26.35,2501
2024-03-29,25.1,25.1,24.61,25.1,5948
2024-04-01,24.52,25.29,24.03,25.29,9400
2024-04-02,24.61,24.61,24.13,24.13,3703
2024-04-03,24.61,24.61,24.52,24.52,9610
2024-04-04,24.52,24.52,24.13,24.13,5200
2024-04-05,24.13,25.1,24.13,24.42,8400
2024-04-08,24.42,24.42,24.23,24.23,8500
2024-04-09,24.23,24.52,23.65,24.52,15600
2024-04-10,24.52,25.87,24.52,25.87,10410
2024-04-11,25.87,27.7,24.03,27.7,19355
2024-04-12,27.51,27.51,25.1,25.19,10809
2024-04-15,25.19,25.58,25.1,25.1,7803
2024-04-16,25.1,25.1,24.42,24.42,8300
2024-04-17,24.42,24.42,24.23,24.23,6200
2024-04-19,24.23,24.23,24.03,24.03,6700
2024-04-22,24.03,24.61,24.03,24.61,22102
2024-04-23,24.61,24.61,23.16,24.13,17500
2024-04-24,24.13,24.13,24.13,24.13,8500
2024-04-25,24.61,25.1,23.36,23.36,23001
2024-04-26,23.36,24.13,23.36,24.13,6500
2024-05-02,24.13,24.13,23.94,24.13,21700
2024-05-03,24.13,24.13,22.68,23.94,20313
2024-05-06,23.94,23.94,23.65,23.94,11600
2024-05-07,23.94,23.94,23.16,23.94,15213
2024-05-08,23.94,23.94,23.74,23.74,10900
2024-05-09,23.74,23.74,23.45,23.45,10500
2024-05-10,23.45,23.45,23.16,23.45,14700
2024-05-13,23.45,23.45,22.88,22.97,8834
2024-05-14,22.97,23.16,22.97,22.97,7502
2024-05-15,22.97,23.65,22.97,23.65,12103
2024-05-16,23.65,23.84,23.16,23.16,11407
2024-05-17,23.16,23.65,23.07,23.65,10600
2024-05-20,23.65,23.94,23.26,23.84,12500
2024-05-21,23.84,23.84,23.74,23.74,8800
2024-05-22,23.74,23.94,23.65,23.94,17100
2024-05-23,23.94,23.94,23.16,23.16,13721
2024-05-24,23.16,23.16,23.07,23.07,6000
2024-05-27,23.07,23.07,22.97,23.07,9500
2024-05-28,23.07,24.13,23.07,23.84,10900
2024-05-29,23.84,23.84,23.65,23.65,4800
2024-05-30,23.65,23.65,23.65,23.65,4000
2024-05-31,23.65,23.74,23.65,23.65,6000
2024-06-03,23.65,24.61,23.45,24.61,10700
2024-06-04,24.61,25.58,24.61,25.58,10700
2024-06-05,25.58,25.77,25.38,25.77,9100
2024-06-06,25.77,25.87,25.38,25.77,6901
2024-06-07,25.77,25.77,25.67,25.67,5200
2024-06-10,25.67,25.67,25.58,25.67,7740
2024-06-11,25.67,25.67,24.13,25.67,5805
2024-06-12,25.67,26.06,25.58,25.58,6200
2024-06-13,25.58,25.58,25.29,25.58,7405
2024-06-14,25.58,25.77,25.19,25.77,7000
2024-06-17,25.77,25.77,25.67,25.77,5200
2024-06-18,25.77,25.77,25.29,25.77,11800
2024-06-19,25.77,25.77,25.67,25.67,4800
2024-06-20,25.67,26.83,25.67,26.83,12300
2024-06-21,26.83,27.99,26.83,26.93,11012
2024-06-24,26.93,29.53,26.93,29.53,20608
2024-06-25,27.99,29.53,27.99,29.53,7722
2024-06-26,27.99,29.53,27.99,29.53,3500
2024-06-27,29.53,30.31,29.44,29.82,5000
2024-06-28,29.82,29.82,27.51,29.25,11500
2024-07-01,28.28,28.86,27.99,28.38,7501
2024-07-02,27.99,28.38,27.99,28.38,16000
2024-07-03,28.38,29.34,28.09,28.47,21800
2024-07-04,27.99,28.57,27.99,28.47,8900
2024-07-05,28.28,28.96,28.28,28.96,6300
2024-07-08,27.99,28.38,27.99,28.38,3200
2024-07-09,27.99,28.28,27.6,28.28,5601
2024-07-10,27.8,28.18,27.6,28.18,4500
2024-07-11,27.89,28.47,27.89,28.47,10601
2024-07-12,27.99,28.38,27.99,28.38,7100
2024-07-15,27.99,28.28,27.6,27.99,5000
2024-07-16,27.51,28.47,27.51,28.47,7901
2024-07-17,28.28,28.96,27.03,28.47,14616
2024-07-18,28.09,28.38,28.09,28.38,7300
2024-07-19,27.99,27.99,27.51,27.99,6500
2024-07-22,27.51,27.89,27.51,27.89,3600
2024-07-23,27.03,27.8,27.03,27.8,7200
2024-07-24,26.54,27.7,26.54,27.7,6300
2024-07-25,27.89,27.89,27.8,27.8,1700
2024-07-26,27.51,27.99,27.51,27.99,2809
2024-07-29,27.8,27.89,27.51,27.89,4800
2024-07-30,27.8,27.8,27.7,27.7,9600
2024-07-31,27.6,27.6,27.6,27.6,4200
2024-08-01,27.51,27.51,27.32,27.51,2500
2024-08-02,27.03,27.51,27.03,27.51,4000
2024-08-05,27.12,27.51,27.12,27.32,6209
2024-08-06,27.32,27.41,27.32,27.41,2000
2024-08-07,27.41,27.41,27.12,27.41,4035
2024-08-08,27.12,27.41,27.12,27.41,2820
2024-08-09,27.41,27.41,27.41,27.41,13500
2024-08-12,27.41,27.41,27.32,27.32,3000
2024-08-13,27.12,27.51,27.12,27.51,4000
2024-08-14,27.12,27.41,27.12,27.41,2200
2024-08-15,27.12,27.41,27.12,27.12,2900
2024-08-16,27.51,27.51,27.51,27.51,1200
2024-08-19,27.03,27.41,27.03,27.41,2400
2024-08-20,27.32,27.89,27.32,27.89,12646
2024-08-21,27.89,27.89,27.51,27.8,6600
2024-08-22,27.51,27.7,27.51,27.7,6600
2024-08-23,27.51,27.6,27.51,27.6,2605
2024-08-26,27.7,27.7,27.51,27.51,4959
2024-08-27,27.41,27.51,27.41,27.51,1804
2024-08-28,27.51,27.51,27.32,27.32,2301
2024-08-29,27.31,27.41,27.31,27.41,3700
2024-08-30,27.12,27.41,27.12,27.41,4502
2024-09-04,27.41,27.41,27.02,27.31,8801
2024-09-05,27.31,27.61,27.12,27.61,4859
2024-09-06,27.61,27.61,27.12,27.61,2600
2024-09-09,27.61,28.4,27.61,27.81,8203
2024-09-10,27.81,28.1,27.61,27.61,5505
2024-09-11,27.61,27.61,27.61,27.61,7400
2024-09-12,27.51,27.51,27.12,27.41,3500
2024-09-13,27.41,27.61,27.22,27.61,5500
2024-09-16,27.61,28.1,27.61,28.1,7400
2024-09-17,28.1,28.3,28.1,28.3,7909
2024-09-18,28.3,29.09,28.3,29.09,7714
2024-09-19,28.7,29.58,28.7,29.58,8666
2024-09-20,29.29,29.48,29.09,29.48,6100
2024-09-23,29.48,29.48,29.48,29.48,5700
2024-09-24,29.48,29.48,28.6,29.39,14900
2024-09-25,29.39,29.39,29.09,29.09,7500
2024-09-26,29.09,29.19,29.09,29.19,2550
2024-09-27,29.19,29.39,29.19,29.39,2200
2024-09-30,29.09,29.29,29.09,29.29,5700
2024-10-01,29.19,29.29,29.09,29.29,16200
2024-10-02,29.29,29.48,29.29,29.48,9600
2024-10-03,29.48,29.48,28.79,29.39,4300
2024-10-04,29.39,29.48,29.39,29.48,4100
2024-10-07,29.48,29.48,29.39,29.39,4800
2024-10-08,29.39,29.39,29.39,29.39,1700
2024-10-09,29.39,29.39,29.39,29.39,2200
2024-10-10,29.39,29.48,29.39,29.48,1900
2024-10-11,29.19,29.19,29.19,29.19,2100
2024-10-14,29.19,29.19,29.19,29.19,4400
2024-10-15,29.19,29.19,29.19,29.19,1700
2024-10-16,29.19,29.19,29.19,29.19,600
2024-10-17,29.19,29.19,29.19,29.19,3000
2024-10-18,29.19,29.19,29.19,29.19,2600
2024-10-21,29.19,29.19,29.19,29.19,1700
2024-10-22,29.19,29.19,29.19,29.19,1400
2024-10-23,29.19,29.19,29.19,29.19,900
2024-10-24,29.29,29.29,29.29,29.29,1100
2024-10-25,29.29,29.29,29.29,29.29,1300
2024-10-28,29.29,29.29,29.29,29.29,1100
2024-10-29,28.6,28.6,28.5,28.5,3500
2024-10-30,27.61,27.61,26.92,27.51,2700
2024-10-31,27.12,27.12,26.92,27.02,3400
2024-11-01,27.51,27.51,27.51,27.51,600
2024-11-04,26.72,27.12,26.72,27.12,10500
2024-11-05,28.01,28.01,28.01,28.01,1500
2024-11-06,28.01,28.2,28.01,28.2,2293
2024-11-07,27.61,27.61,27.61,27.61,2600
2024-11-08,26.33,28.01,24.85,28.01,2100
2024-11-11,28.01,28.01,27.71,27.71,1293
2024-11-12,27.71,27.71,27.12,27.61,3100
2024-11-13,27.61,27.91,27.61,27.91,1486
2024-11-14,27.91,27.91,27.91,27.91,500
2024-11-15,25.74,28.5,25.74,28.5,800
2024-11-18,27.81,30.57,27.61,30.57,11300
2024-11-19,29.58,31.26,28.2,31.26,45520
2024-11-20,31.95,32.05,29.58,31.65,44200
2024-11-21,30.67,31.75,29.58,31.75,15900
2024-11-22,31.56,32.54,31.56,32.25,15100
2024-11-25,32.15,32.25,31.56,31.56,24600
2024-11-26,31.56,32.05,31.36,32.05,14500
2024-11-27,32.05,32.54,32.05,32.54,2300
2024-11-28,31.56,32.94,31.56,32.94,27502
2024-11-29,32.94,32.94,32.84,32.84,6200
2024-12-02,32.84,33.33,32.05,32.34,13100
2024-12-03,32.05,32.05,31.56,31.85,7109
2024-12-04,31.85,32.05,31.85,31.85,6600
2024-12-05,31.85,31.95,31.85,31.95,5600
2024-12-06,31.95,32.15,31.95,32.15,16665
2024-12-09,32.05,32.15,32.05,32.15,8900
2024-12-10,32.15,32.15,32.05,32.05,4500
2024-12-11,32.05,32.05,31.95,31.95,6300
2024-12-12,31.56,31.95,31.06,31.95,4609
2024-12-13,31.95,32.54,31.85,31.85,7530
2024-12-16,31.85,31.85,31.56,31.75,7700
2024-12-17,31.75,31.75,31.56,31.75,2100
2024-12-18,31.75,32.05,31.56,32.05,6200
2024-12-19,32.05,32.05,31.95,31.95,3600
2024-12-20,31.95,31.95,31.56,31.95,4000
2024-12-23,31.85,31.85,31.56,31.85,4200
2024-12-24,31.85,31.85,31.75,31.85,7500
2024-12-25,31.85,31.85,31.56,31.56,10400
2024-12-26,31.56,31.56,30.57,31.56,13201
2024-12-27,31.56,31.56,31.56,31.56,400
2024-12-30,31.56,31.56,31.46,31.46,3400
2024-12-31,31.46,31.56,31.46,31.56,400
2025-01-02,31.56,31.56,31.06,31.06,5800
2025-01-03,31.06,31.06,31.06,31.06,5000
2025-01-06,31.06,31.06,30.08,30.08,137500
2025-01-07,30.08,30.08,30.08,30.08,400
2025-01-08,30.08,30.57,30.08,30.57,601
2025-01-09,30.57,31.06,30.57,31.06,1002
2025-01-10,31.06,31.06,31.06,31.06,200
2025-01-13,31.06,31.06,31.06,31.06,400
2025-01-14,31.06,31.65,31.06,31.65,2802
2025-01-15,31.56,31.56,31.06,31.46,4400
2025-01-16,31.46,31.46,29.09,31.36,7300
2025-01-17,31.36,31.36,31.06,31.26,9200
2025-01-20,31.26,31.26,30.57,31.06,5300
2025-01-21,31.06,31.06,30.57,30.86,6100
2025-01-22,30.86,31.06,30.57,31.06,4300
2025-01-23,31.06,31.36,30.96,31.36,6000
2025-01-24,31.06,31.36,31.06,31.36,4300
2025-02-03,31.36,31.56,31.06,31.56,3200
2025-02-04,31.56,31.56,31.56,31.56,4201
2025-02-05,31.56,31.56,30.67,31.56,5900
2025-02-06,31.56,31.56,31.36,31.36,13800
2025-02-07,31.36,31.56,31.36,31.56,6701
2025-02-10,31.56,31.56,30.86,31.56,9200
2025-02-11,31.56,31.56,31.46,31.46,4800
2025-02-12,31.46,31.46,31.36,31.36,7700
2025-02-13,31.36,31.36,30.86,31.36,11700
2025-02-14,31.36,31.95,31.06,31.95,6801
2025-02-17,31.95,31.95,31.36,31.85,8901
2025-02-18,31.85,31.85,31.06,31.06,7300
2025-02-19,31.06,31.26,31.06,31.06,9200
2025-02-20,31.06,31.46,31.06,31.46,6100
2025-02-21,31.46,31.46,30.96,31.06,11900
2025-02-24,31.06,31.06,30.67,30.86,10300
2025-02-25,30.86,31.06,30.86,31.06,5200
