date,open,high,low,close,volume
2024-01-15,24.53,24.53,24.53,24.53,0
2024-01-16,22.89,22.89,22.89,22.89,100
2024-01-17,24.6,24.6,24.6,24.6,3540
2024-01-18,24.6,24.6,24.6,24.6,0
2024-01-19,24.6,24.6,24.6,24.6,0
2024-01-22,24.6,24.6,24.6,24.6,1000
2024-01-23,24.6,24.6,24.6,24.6,100
2024-01-24,24.6,24.6,24.6,24.6,0
2024-01-25,24.6,24.6,24.6,24.6,6800
2024-01-26,24.6,24.6,24.6,24.6,1002
2024-01-29,25.23,25.23,25.23,25.23,2100
2024-01-30,25.16,25.16,25.16,25.16,120
2024-01-31,25.16,25.16,25.16,25.16,20
2024-02-01,25.23,25.23,25.23,25.23,6000
2024-02-02,25.23,25.23,25.23,25.23,0
2024-02-05,23.84,25.35,23.84,25.35,1300
2024-02-06,25.35,25.35,25.35,25.35,1000
2024-02-07,25.35,25.35,25.35,25.35,100
2024-02-15,25.35,25.35,25.35,25.35,0
2024-02-16,25.35,25.35,25.35,25.35,0
2024-02-19,25.86,27.12,25.86,27.12,1000
2024-02-20,24.72,24.72,24.72,24.72,100
2024-02-21,28.38,28.38,25.61,28.0,300
2024-02-22,25.29,25.61,25.29,25.54,1100
2024-02-23,27.12,28.25,27.12,27.62,700
2024-02-26,25.35,27.75,25.35,26.8,1800
2024-02-27,27.12,27.12,26.99,26.99,6000
2024-02-28,27.12,27.12,27.12,27.12,0
2024-02-29,25.54,27.12,25.54,27.12,3000
2024-03-01,27.12,27.18,27.06,27.18,12200
2024-03-04,27.12,27.37,27.12,27.37,8500
2024-03-05,27.43,27.88,27.43,27.88,9300
2024-03-06,28.82,28.82,27.75,27.75,2100
2024-03-07,27.75,28.06,27.75,28.06,400
2024-03-08,28.06,28.06,28.06,28.06,300
2024-03-11,28.06,28.06,28.06,28.06,0
2024-03-12,28.06,28.06,28.06,28.06,200
2024-03-13,28.0,28.0,27.75,27.75,400
2024-03-14,27.94,27.94,27.94,27.94,0
2024-03-15,27.75,27.75,27.75,27.75,1700
2024-03-18,29.01,30.27,27.81,29.96,11600
2024-03-19,30.9,33.74,30.9,33.74,23601
2024-03-20,35.32,35.95,34.69,34.69,4780
2024-03-21,35.32,35.32,34.88,34.88,1100
2024-03-22,34.88,36.64,34.88,36.58,24200
2024-03-25,37.71,39.73,37.4,39.48,23456
2024-03-26,39.61,39.67,39.04,39.48,23100
2024-03-27,39.42,40.05,39.42,39.86,50135
2024-03-28,40.99,40.99,39.92,39.98,19302
2024-03-29,40.24,40.36,37.84,39.1,16084
2024-04-01,39.54,40.36,39.54,40.24,73289
2024-04-02,40.23,40.23,38.15,39.96,18846
2024-04-03,38.84,38.84,33.41,36.55,19897
2024-04-04,35.64,35.64,34.81,35.22,22595
2024-04-05,35.08,36.13,34.94,35.5,8059
2024-04-08,35.22,35.22,35.15,35.15,11022
2024-04-09,35.85,35.85,35.5,35.5,508
2024-04-10,35.64,35.64,35.5,35.5,4260
2024-04-11,35.5,36.2,35.5,35.64,5700
2024-04-12,37.59,41.0,37.59,38.49,19661
2024-04-15,39.61,45.53,39.61,42.11,38584
2024-04-16,42.46,42.46,39.68,41.56,19044
2024-04-17,41.84,41.84,38.63,41.07,3505
2024-04-19,39.89,41.28,39.68,39.68,2932
2024-04-22,40.03,41.0,40.03,40.58,6702
2024-04-23,40.51,40.51,40.51,40.51,270
2024-04-24,40.58,40.58,39.54,40.58,7063
2024-04-25,39.12,39.68,36.41,39.68,1516
2024-04-26,40.03,40.37,40.03,40.03,9484
2024-05-02,40.03,40.37,40.03,40.3,820
2024-05-03,38.63,40.1,38.63,40.1,4400
2024-05-06,39.75,41.49,39.75,40.1,6012
2024-05-07,39.82,40.1,39.68,40.1,3400
2024-05-08,39.82,40.37,39.82,40.37,6500
2024-05-09,40.37,42.46,40.37,42.46,16416
2024-05-10,42.04,42.04,42.04,42.04,25
2024-05-13,40.37,40.44,40.17,40.17,4801
2024-05-14,40.37,41.77,40.37,41.63,2600
2024-05-15,41.63,41.77,41.63,41.63,3320
2024-05-16,41.7,42.46,39.68,39.82,7229
2024-05-17,39.89,41.0,39.89,40.37,2900
2024-05-20,40.23,41.07,40.23,40.3,3819
2024-05-21,40.51,40.51,40.44,40.51,2221
2024-05-22,40.51,41.42,40.51,41.07,2300
2024-05-23,40.17,40.37,40.17,40.37,500
2024-05-24,40.3,40.3,39.61,39.61,10016
2024-05-27,39.96,40.37,39.54,40.37,3501
2024-05-28,39.75,39.75,39.75,39.75,0
2024-05-29,40.37,40.44,40.3,40.3,600
2024-05-30,40.37,40.37,39.89,40.37,21100
2024-05-31,38.36,39.33,38.36,39.33,10101
2024-06-03,40.65,40.65,39.75,40.58,41402
2024-06-04,39.47,41.0,39.47,39.75,13500
2024-06-05,39.75,40.1,39.54,39.68,39293
2024-06-06,39.82,39.82,39.75,39.82,1500
